"","PGR.Open","PGR.High","PGR.Low","PGR.Close","PGR.Volume"
"2013-08-15",25.58,25.65,25.29,25.35,2434340
"2013-08-22",25.22,25.5,25.17,25.46,1264406
"2013-08-29",24.92,25.27,24.86,25.19,1743554
"2013-09-05",25.29,25.53,25.29,25.38,1152094
"2013-09-12",26.44,26.44,25.91,25.95,3513703
"2013-09-19",26.78,27.07,26.75,27,2702082
"2013-09-26",27.27,27.54,27.22,27.35,3254300
"2013-10-03",27.18,27.25,26.98,27.18,11752048
"2013-10-10",26.75,26.94,26.63,26.94,3578011
"2013-10-17",26.91,27.22,26.87,27.13,2315629
"2013-10-24",27.1,27.25,26.83,26.84,4137500
"2013-10-31",26.26,26.27,25.97,25.97,3726817
"2013-11-07",26.36,26.58,26.15,26.16,2983663
"2013-11-14",27.15,27.45,27.02,27.39,3047441
"2013-11-21",27.4,27.77,27.36,27.63,3939536
"2013-12-05",27.41,27.48,27.06,27.14,3434705
"2013-12-12",26.9,27,26.51,26.52,4083056
"2013-12-19",26.32,26.82,26.31,26.7,2910703
"2013-12-26",27.03,27.19,26.88,27.07,3750864
"2014-01-02",27.29,27.3,26.67,26.72,2569518
"2014-01-09",25.83,25.96,25.5,25.9,6197031
"2014-01-16",26,26,25.81,25.85,2160070
"2014-01-23",25.26,25.37,25.02,25.19,8742210
"2014-01-30",23.54,23.6,23.44,23.56,2493397
"2014-02-06",22.65,22.92,22.56,22.9,2992890
"2014-02-13",23.42,23.94,23.42,23.85,3855648
"2014-02-20",23.78,24.05,23.59,23.97,5032667
"2014-02-27",23.86,24.19,23.8,24.18,2842838
"2014-03-06",24.31,24.56,24.28,24.45,1880910
"2014-03-13",23.6,23.66,23.16,23.4,6912166
"2014-03-20",23.38,23.89,23.35,23.82,2946038
"2014-03-27",23.84,23.92,23.7,23.77,2986109
"2014-04-03",24.21,24.51,24.15,24.5,3415005
"2014-04-10",24.08,24.37,23.81,23.81,3190476
"2014-04-17",23.96,24,23.82,23.96,2137335
"2014-04-24",23.85,24.14,23.71,23.94,8357136
"2014-05-01",24.25,25.01,24.12,24.98,9402483
"2014-05-08",24.58,24.73,24.51,24.62,3299259
"2014-05-15",25.37,25.56,25.25,25.31,4930427
"2014-05-22",25.29,25.34,25.1,25.16,2619069
"2014-05-29",25.34,25.36,25.16,25.17,2465966
"2014-06-05",24.69,25.09,24.58,25.08,2882438
"2014-06-12",25.23,25.26,25.01,25.19,2719110
"2014-06-19",25.65,26,25.53,25.9,5723941
"2014-06-26",25.4,25.44,25.02,25.21,4056981
"2014-07-03",24.87,25.38,24.74,25.16,1913811
"2014-07-10",24.75,24.92,24.42,24.52,8649906
"2014-07-17",24.37,24.68,24.15,24.16,3920407
"2014-07-24",24.23,24.35,24.11,24.32,3213072
"2014-07-31",23.82,23.9,23.44,23.44,4625508
"2014-08-07",23.57,23.93,23.33,23.34,2522580
"2014-08-14",24.53,24.59,24.32,24.49,3506644
"2014-08-21",24.71,25.01,24.67,24.95,2486870
"2014-08-28",24.86,25.02,24.8,24.91,1418980
"2014-09-04",25.1,25.16,24.97,25.04,2102517
"2014-09-11",24.85,25.08,24.8,25.04,3141183
"2014-09-18",25.33,25.5,25.27,25.47,1799519
"2014-09-25",25.35,25.42,25.17,25.31,3498669
"2014-10-02",25.17,25.42,25.14,25.35,2038101
"2014-10-09",25.59,25.7,25.23,25.27,3720946
"2014-10-16",24.23,24.65,24.17,24.43,5755110
"2014-10-23",25.54,25.65,25.38,25.43,2271384
"2014-10-30",25.78,26.08,25.69,25.99,2691722
"2014-11-06",26.94,26.94,26.8,26.9,2104147
"2014-11-13",27.07,27.2,27,27.18,3032012
"2014-11-20",26.98,27.18,26.95,27.11,2039697
"2014-12-04",27.23,27.34,27.12,27.22,3319475
"2014-12-11",26.76,27.09,26.76,26.85,7369377
"2014-12-18",26.44,26.76,26.27,26.76,3960070
"2015-01-08",27.17,27.51,27.1,27.5,2748080
"2015-01-15",26.05,26.35,26.05,26.27,5021177
"2015-01-22",26.39,26.75,26.17,26.69,2516503
"2015-01-29",26.58,26.69,26.2,26.65,3264469
"2015-02-05",26.16,26.4,25.95,26.38,3472455
"2015-02-12",26.71,27.07,26.69,27.05,3554857
"2015-02-19",26.68,26.75,26.49,26.71,2868168
"2015-02-26",26.51,26.76,26.38,26.73,3034394
"2015-03-05",26.45,26.55,26.35,26.54,2208324
"2015-03-12",26.5,26.81,26.43,26.8,3331464
"2015-03-19",27.47,27.68,27.37,27.53,4873506
"2015-03-26",26.97,27.14,26.81,26.93,3592486
"2015-04-02",27.01,27.07,26.8,26.84,3310873
"2015-04-09",26.81,26.96,26.72,26.76,4089025
"2015-04-16",27.15,27.27,26.96,27.18,2473911
"2015-04-23",26.66,26.91,26.6,26.81,1902943
"2015-04-30",26.7,26.85,26.57,26.66,4381808
"2015-05-07",26.83,27.01,26.74,26.95,3653675
"2015-05-14",27.14,27.4,27,27.39,2926616
"2015-05-21",27.23,27.42,27.16,27.35,2413350
"2015-05-28",27.18,27.43,27.16,27.42,6090268
"2015-06-04",27.44,27.52,27.22,27.27,4997735
"2015-06-11",27.6,27.87,27.54,27.83,2410090
"2015-06-18",27.99,28.41,27.95,28.37,3613692
"2015-06-25",28.23,28.3,27.99,28.17,3746279
"2015-07-02",28.5,28.59,28.17,28.24,3268889
"2015-07-09",29.07,29.13,28.85,29.03,5223738
"2015-07-16",30.29,30.4,30.02,30.18,7075087
"2015-07-23",30.62,30.73,30.47,30.56,2813679
"2015-07-30",30.34,30.51,30.21,30.49,3187142
"2015-08-06",30.75,30.83,30.39,30.49,3328172
"2015-08-13",31,31.13,30.64,31,2651046
"2015-08-20",31.2,31.27,30.87,30.88,3600016
"2015-08-27",29.91,30.38,29.74,30.25,4741471
"2015-09-03",29.8,30.08,29.64,29.83,3127255
"2015-09-10",29.66,30.12,29.6,29.98,3144317
"2015-09-17",31.08,31.7,31.02,31.34,5637147
"2015-09-24",30.47,30.66,30.32,30.61,3027423
"2015-10-01",30.72,30.95,30.34,30.67,3563415
"2015-10-08",31.5,32.16,31.5,32.13,2510010
"2015-10-15",31.81,32.02,31.55,31.83,4149951
"2015-10-22",32.85,33.08,32.82,33.05,2486425
"2015-10-29",33.54,33.95,33.51,33.64,2493203
"2015-11-05",33.16,33.29,32.23,32.38,7335008
"2015-11-12",31.41,31.53,31.03,31.04,3028295
"2015-11-19",31.38,31.53,31.21,31.4,2343100
"2015-12-03",30.87,30.92,30.31,30.39,4184837
"2015-12-10",30.66,30.98,30.49,30.69,3011795
"2015-12-17",32.03,32.06,31.42,31.48,3716656
"2015-12-24",31.89,32.19,31.78,32,869040
"2015-12-31",32.14,32.2,31.79,31.8,1460575
"2016-01-07",30.61,30.94,30.37,30.53,4892866
"2016-01-14",30.21,30.6,30.1,30.22,4102818
"2016-01-21",29.77,30,29.46,29.55,4216168
"2016-01-28",30.62,30.8,29.91,30.72,4399873
"2016-02-04",30.39,30.67,30.27,30.66,4956397
"2016-02-11",30.41,30.68,30.19,30.23,5183430
"2016-02-18",32.06,32.12,31.78,31.95,3178533
"2016-02-25",31.98,32.23,31.89,32.17,3029110
"2016-03-03",32.98,33.54,32.98,33.49,7479014
"2016-03-10",33.15,33.27,32.62,32.84,4260136
"2016-03-17",34.08,34.53,33.78,34.46,3804967
"2016-03-24",34.97,35.07,34.56,34.81,2504948
"2016-03-31",35.06,35.2,34.92,35.14,2857208
"2016-04-07",34.65,34.66,34.27,34.41,3322494
"2016-04-14",34.13,34.14,33.22,33.57,7797523
"2016-04-21",33.31,33.41,32.66,32.72,3470101
"2016-04-28",32.54,32.79,32.41,32.54,2179621
"2016-05-05",32.95,33.34,32.76,32.88,3484836
"2016-05-12",33.3,33.59,33.19,33.56,2467487
"2016-05-19",32.24,32.69,32.06,32.56,4690623
"2016-05-26",33.22,33.34,33.17,33.25,3123327
"2016-06-02",32.94,33.29,32.73,33.17,2721935
"2016-06-09",32.71,32.91,32.63,32.86,2158968
"2016-06-16",31.58,31.96,31.38,31.94,2018555
"2016-06-23",32.34,32.49,32.15,32.49,1904031
"2016-06-30",32.68,33.5,32.6,33.5,3543372
"2016-07-07",33.11,33.36,33.07,33.14,3533934
"2016-07-14",33.64,33.86,33.25,33.46,4122351
"2016-07-21",32.67,32.87,32.58,32.65,2636837
"2016-07-28",32.58,32.76,32.54,32.64,2118000
"2016-08-04",33.08,33.68,32.96,33.51,4148475
"2016-08-11",34.1,34.19,33.94,34.09,1689604
"2016-08-18",33.1,33.27,32.99,33.22,2278160
"2016-08-25",32.2,32.51,32.06,32.33,2109720
"2016-09-01",32.58,32.72,32.32,32.52,2299338
"2016-09-08",32.2,32.27,31.99,32,2009473
"2016-09-15",30.7,31.28,30.54,31.09,4488216
