"","VRTX.Open","VRTX.High","VRTX.Low","VRTX.Close","VRTX.Volume"
"2014-06-12",73.78,74.93,73.03,73.5,1028955
"2014-06-19",65.4,65.49,63.68,64.63,2181922
"2014-06-26",89,93.3,88.27,93.17,5511777
"2014-07-03",97.8,99,97.34,98.8,1300894
"2014-07-10",96.15,98.49,95.05,97.82,1330241
"2014-07-17",95.83,96.68,94.31,94.49,1634985
"2014-07-24",97.87,98.45,95.68,95.77,1962264
"2014-07-31",90.64,91.85,88.11,88.91,2470099
"2014-08-07",86.94,87.45,84.6,84.74,1388780
"2014-08-14",88.46,90.43,88.11,90.37,1156441
"2014-08-21",91.32,91.88,88.38,88.99,1007361
"2014-08-28",92.55,94.08,92.34,92.8,558165
"2014-09-04",92.99,93.41,90.99,91.55,864859
"2014-09-11",94.3,96.2,92.27,94.25,1339441
"2014-09-18",95,97.42,94.32,97.35,1413902
"2014-09-25",111.43,112.71,109.97,110.28,2646600
"2014-10-02",107.14,107.37,101.52,104.8,2361692
"2014-10-09",105.79,109.15,103.78,105.27,1578339
"2014-10-16",99.25,103.19,97.77,101.26,1822737
"2014-10-23",107.03,109.55,106.33,108.09,1261219
"2014-10-30",109.21,111.82,108.61,110.85,1398361
"2014-11-06",112.43,117.6,111.85,117.29,1533635
"2014-11-13",116.7,116.75,111.85,112.72,1240701
"2014-11-20",112.88,113,109.34,112.89,2557395
"2014-12-04",119.68,121.19,117.52,118.71,971710
"2014-12-11",118.12,122.26,117.2,120.78,1299781
"2014-12-18",114.08,118.67,111.66,117.74,2148261
"2015-01-08",122,124,121.14,123.97,1358285
"2015-01-15",120.78,121.39,117.68,117.78,1052322
"2015-01-22",125.41,127.69,122.01,127.3,1579283
"2015-01-29",112.4,115.94,111.28,114.14,4027048
"2015-02-05",109.42,111.86,108.27,111.59,1099180
"2015-02-12",109.43,109.97,108.06,109.63,1328765
"2015-02-19",113.47,113.99,111.68,111.97,1244059
"2015-02-26",119.05,120.23,116.5,119.97,1303281
"2015-03-05",120.79,127.36,120.28,126.96,2413717
"2015-03-12",123.21,123.66,121.18,123.31,1371595
"2015-03-19",131.16,134.41,130.07,134.25,2143332
"2015-03-26",118.94,120.02,116.61,117.6,1902885
"2015-04-02",115.85,117.74,114.32,117.23,1513946
"2015-04-09",123.67,125.75,123.09,125.64,1091722
"2015-04-16",129.03,131.63,127.61,128.94,1142328
"2015-04-23",132.44,137.5,131.79,135.82,1672488
"2015-04-30",124.17,128.68,121.3,123.28,1849674
"2015-05-07",122.89,125.78,121.17,125.05,1306153
"2015-05-14",126,126.48,121.02,123,2637053
"2015-05-21",126.42,127.1,124.32,125.05,1202635
"2015-05-28",126.75,128.24,126.36,127.4,799116
"2015-06-04",125.84,127.92,125.46,126.94,1221432
"2015-06-11",125.86,126.88,125.15,126.35,1216063
"2015-06-18",124.62,127.75,123.94,127.63,1410708
"2015-06-25",130.27,130.84,127.89,128.35,1201737
"2015-07-02",127.02,132,126,131.26,3660501
"2015-07-09",123.01,123.9,120.88,120.89,1660328
"2015-07-16",133.49,134.32,133.12,133.9,2004219
"2015-07-23",131.71,131.95,129.93,130.85,870010
"2015-07-30",126.09,135.9,121.15,135.46,3099814
"2015-08-06",141.25,142.36,137.22,139.44,1570305
"2015-08-13",137.89,140,136.89,137.37,1268685
"2015-08-20",138.69,140.66,132.63,132.91,1849666
"2015-08-27",131.49,133.99,129.85,133.75,2012956
"2015-09-03",130.13,130.76,126.15,126.53,984432
"2015-09-10",129.21,133.71,129.21,132,975644
"2015-09-17",134.03,136.62,133.11,135.19,1164864
"2015-09-24",110.3,112.94,109.02,111.11,2665072
"2015-10-01",103.2,107.43,101.49,107.23,2480877
"2015-10-08",109.25,110.5,102.96,109.03,2743695
"2015-10-15",113.07,115.88,111.47,115.79,2007322
"2015-10-22",109.87,111.29,107.46,109.49,1843077
"2015-10-29",125.5,129.13,122.68,126.17,3554453
"2015-11-05",125,126.34,121.82,121.91,1485330
"2015-11-12",117.78,119.11,116.87,117.3,1015142
"2015-11-19",133.01,134,129.77,130.08,1248262
"2015-12-03",130.26,130.26,120.46,122.06,1770307
"2015-12-10",119.55,123.12,119.51,121.87,1309317
"2015-12-17",118.31,119.57,116.44,117.94,1220256
"2015-12-24",124.38,125.4,124.2,124.84,367523
"2015-12-31",125.55,127.6,124.9,125.83,797339
"2016-01-07",119.01,119.82,113.85,114.96,2362559
"2016-01-14",97.44,103.95,94.68,101.91,3674796
"2016-01-21",97.06,98.84,94.84,95.07,2881144
"2016-01-28",91,94.09,81.98,92.76,8088468
"2016-02-04",93.49,96.35,90.71,91.72,2445434
"2016-02-11",79.21,81.17,78.51,79.71,3882926
"2016-02-18",87.87,88.47,85.76,86.64,2114128
"2016-02-25",87.33,88.94,84.34,85.53,1383288
"2016-03-03",92.25,93,89.1,89.45,1575650
"2016-03-10",85.16,85.43,81.16,82.28,2456616
"2016-03-17",79.33,80.09,75.9,79.18,2652628
"2016-03-24",79.71,82.19,78.25,80.58,1884185
"2016-03-31",78.72,82.1,77.81,79.49,3255186
"2016-04-07",90.31,91.78,85.93,86.3,2775595
"2016-04-14",85.13,88.08,84.73,87.08,1319208
"2016-04-21",84.39,87.49,84.1,86.81,1731185
"2016-04-28",81.24,90.25,78.84,86.75,5455482
"2016-05-05",81.41,84.07,80.63,84,1813702
"2016-05-12",84.24,84.83,80.58,82.1,1958250
"2016-05-19",80.89,82.29,80.25,81.01,1669072
"2016-05-26",89.05,89.93,87.24,89.19,1278985
"2016-06-02",93.64,95.88,93.11,95.82,1295054
"2016-06-09",94,94.55,92.18,92.49,1191766
"2016-06-16",89.95,90.68,88.58,90.41,1284757
"2016-06-23",86.21,88.28,85.04,88.2,1397980
"2016-06-30",85.23,86.64,84.08,86.02,1418486
"2016-07-07",89.69,90.83,89,90.05,1254035
"2016-07-14",88.98,89.08,87.5,88.15,990289
"2016-07-21",91.34,93.61,91,93.21,1783324
"2016-07-28",95.35,98.5,95.08,96.21,1455259
"2016-08-04",100.82,101.02,98.82,100.28,1414118
"2016-08-11",99.84,101.28,99.59,101.21,744396
"2016-08-18",99.74,100.14,98.79,99.1,744572
"2016-08-25",97.09,98.87,95.16,96.38,1349446
"2016-09-01",95.03,95.88,93.14,94.75,966637
"2016-09-08",95.69,97.8,94.43,97.31,1021660
"2016-09-15",90.6,94.43,89.35,93.1,2575963
