"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume"
"2012-06-14",8.97,9.02,8.72,8.95,26168576
"2012-06-21",9.75,9.78,9.39,9.41,17695419
"2012-06-28",9.44,9.72,9.4,9.62,15151934
"2012-07-05",10.62,11.84,10.61,11.67,104497764
"2012-07-12",11.65,12.21,11.5,12.14,41493788
"2012-07-19",11.71,12.12,11.65,11.87,29132775
"2012-07-26",8.47,8.49,8.02,8.14,79781667
"2012-08-02",7.75,7.96,7.61,7.7,23947140
"2012-08-09",8.23,8.35,8.18,8.27,16497873
"2012-08-16",9.07,9.23,8.97,9.19,17640413
"2012-08-23",9.43,9.49,9.08,9.15,32590236
"2012-08-30",9.02,9.05,8.6,8.64,18684526
"2012-09-06",7.94,8.11,7.74,8.09,37301432
"2012-09-13",8.12,8.31,8.01,8.29,24505397
"2012-09-20",8.06,8.4,8.06,8.39,37234176
"2012-09-27",7.98,8.01,7.74,7.94,21362698
"2012-10-04",8.95,9.61,8.94,9.52,91616175
"2012-10-11",9.56,9.59,9.32,9.43,22029357
"2012-10-18",9.78,9.98,9.56,9.62,26803623
"2012-10-25",8.58,8.81,8.56,8.79,33081118
"2012-11-01",11.12,11.38,10.66,11.1,62688507
"2012-11-08",11.16,11.48,10.83,10.85,33427093
"2012-11-15",11.44,11.7,11.36,11.64,17403414
"2012-11-29",11.77,11.83,11.54,11.63,11475268
"2012-12-06",11.74,12.65,11.67,12.31,38143966
"2012-12-13",12.98,13.33,12.84,13.22,28870247
"2012-12-20",13.48,13.5,13.24,13.36,16642920
"2012-12-27",12.94,13.06,12.65,12.93,14899318
"2013-01-03",13.14,13.99,13.08,13.8,27932765
"2013-01-10",13.8,14.27,13.67,14,26123727
"2013-01-17",14.01,14.09,13.68,13.96,16225853
"2013-01-24",20.57,21.31,19.95,20.98,118805414
"2013-01-31",23.87,24.14,22.9,23.61,35632387
"2013-02-07",26.54,26.98,25.51,25.99,53106494
"2013-02-14",26.76,27.12,26.38,26.77,31995831
"2013-02-21",26.57,27.46,26.07,26.74,36893647
"2013-02-28",26.26,27.45,26.22,26.87,34302506
"2013-03-07",25.71,26.07,25.17,25.94,28715267
"2013-03-14",27.53,27.53,26.72,26.91,28483287
"2013-03-21",26.06,26.77,26,26,18807229
"2013-03-28",27.25,27.56,26.94,27.04,19595457
"2013-04-04",23.91,24.3,23.4,23.81,34464934
"2013-04-11",24.12,24.77,24.12,24.72,33055813
"2013-04-18",24.43,24.56,23.11,23.4,23130744
"2013-04-25",31,31.26,30.47,30.54,29281168
"2013-05-02",30.46,30.78,30.03,30.64,18334449
"2013-05-09",29.72,31.27,29.5,30.92,36119461
"2013-05-16",35.28,35.55,33.6,33.86,28061894
"2013-05-23",32.24,32.6,31.65,32.31,16210523
"2013-05-30",30.86,31.86,30.22,31.81,24100580
"2013-06-06",31.73,32.2,30.57,31.11,26078941
"2013-06-13",29.71,30.79,29.39,30.77,18519606
"2013-06-20",32.78,33,31.51,31.93,21129108
"2013-06-27",30.42,30.96,29.94,30.71,18332594
"2013-07-11",35.43,35.6,34.4,34.88,21154763
"2013-07-18",38.62,38.62,37.71,38.06,20502538
"2013-07-25",34.37,35.38,34.27,35.25,19642952
"2013-08-01",35.22,35.71,34.94,35.59,14206626
"2013-08-08",35.98,36.27,35.49,35.77,14818461
"2013-08-15",37,37.21,35.91,36.2,16637824
"2013-08-22",38.93,39.07,38.32,38.54,10028389
"2013-08-29",40.58,41.46,40.55,41.12,19112100
"2013-09-05",42.4,42.7,42.06,42.16,19093025
"2013-09-12",43.12,43.78,42.62,43.06,21961212
"2013-09-19",44.05,44.11,43.43,43.64,17449061
"2013-09-26",44.01,44.93,43.93,44.79,12481042
"2013-10-03",47.29,47.79,45.44,45.96,24663604
"2013-10-10",43,43.92,42.34,43.43,30694699
"2013-10-17",46.03,47.17,45.67,47.16,19329877
"2013-10-24",47.35,48.12,46.24,47.32,33559561
"2013-10-31",45.44,46.66,45.1,46.07,18489681
"2013-11-07",48.43,48.52,46.45,46.69,20042456
"2013-11-14",47.97,49.14,47.87,48.94,20121241
"2013-11-21",48.89,49.81,48.81,49.79,16015048
"2013-12-05",51.11,51.59,50.48,51.15,13793178
"2013-12-12",51.95,53.55,51.94,53.33,21318766
"2013-12-19",53.46,54.27,53.34,53.82,13856626
"2013-12-26",54.02,54.42,53.69,53.85,12275704
"2014-01-02",52.4,52.51,51.54,51.83,12333979
"2014-01-09",48.82,49.14,47.86,48.15,17017301
"2014-01-16",46.92,47.7,46,47.38,21139797
"2014-01-23",55.34,56.52,53.93,55.53,91360052
"2014-01-30",58.16,58.46,57.36,57.81,18408341
"2014-02-06",58.06,58.7,57.2,58.27,12906831
"2014-02-13",60.81,62.78,60.71,62.36,18723075
"2014-02-20",61.48,62.54,61.31,62.14,12013281
"2014-02-27",63.98,64.88,63.98,64.6,10326036
"2014-03-06",64.99,65.43,64.14,64.36,11824344
"2014-03-13",62.82,62.9,61.18,61.44,11390225
"2014-03-20",59.95,61.74,59.93,60.61,14495075
"2014-03-27",53,53.98,51.65,52.03,28671909
"2014-04-03",51.62,52.16,50.01,50.67,22001427
"2014-04-10",50.64,51.07,47.72,47.82,24917956
"2014-04-17",48.11,49.96,47.5,49.39,32141907
"2014-04-24",50.36,50.84,47.83,49.15,30659629
"2014-05-01",46.29,49.38,46.15,48.07,37013753
"2014-05-08",45.31,47.39,44.91,45.95,21182511
"2014-05-15",50.12,50.26,48.48,49.17,23373973
"2014-05-22",55.84,56.79,55.36,55.97,33228594
"2014-05-29",57.63,59.43,57.08,59.31,22862644
"2014-06-05",60.54,61.34,59.8,61.19,18946123
"2014-06-12",61.3,61.46,60.07,60.35,15839082
"2014-06-19",64.2,64.21,62.58,63.06,17341198
"2014-06-26",62.97,63.16,62.39,62.8,14249025
"2014-07-03",67.17,67.52,66.98,67.48,11359495
"2014-07-10",62.06,63.46,61.17,62.65,24397541
"2014-07-17",63.33,64.12,62.61,62.77,13276389
"2014-07-24",61.35,61.46,59.86,60.77,18638704
"2014-07-31",61.47,61.85,60.18,60.39,13827009
"2014-08-07",62.19,64.28,62.08,64.24,27334916
"2014-08-14",64.6,65,64.03,64.41,6676369
"2014-08-21",67.33,68.02,66.81,67.44,11753280
"2014-08-28",67.52,68.21,67.26,67.89,7601867
"2014-09-04",68.44,68.81,67.45,67.52,11962335
"2014-09-11",68.94,69.19,68.52,68.79,7869988
"2014-09-18",65.35,65.91,64.76,65.57,10631341
"2014-09-25",64.27,64.62,63.2,63.36,9853270
"2014-10-02",62.7,64.36,62.55,64.28,18453435
"2014-10-09",66.66,66.86,65.65,65.95,14933275
"2014-10-16",47.53,52.31,47.29,51.67,92304996
"2014-10-23",54.36,55.11,54.04,54.72,19926837
"2014-10-30",53.93,54.62,53.51,54.14,10593681
"2014-11-06",54,55.05,53.91,54.76,9991933
"2014-11-13",54.92,55.01,53.93,54.2,10490466
"2014-11-20",51.87,53.32,51.57,52.59,15425431
"2014-12-04",50.43,51.14,49.91,50.09,11864713
"2014-12-11",48.01,48.7,47.66,47.8,11771424
"2014-12-18",48.4,48.93,47.23,47.77,15639365
"2015-01-08",47.12,47.84,46.48,47.78,9624209
"2015-01-15",46.55,46.79,45.84,46.25,11678688
"2015-01-22",58.57,61.37,57.83,61.21,33319398
"2015-01-29",63.2,63.93,62.5,63.4,15127938
"2015-02-05",64.54,65.14,63.67,64.13,14248724
"2015-02-12",65.06,65.61,64.45,65.25,8471939
"2015-02-19",67.86,68.71,67.57,67.8,10438554
"2015-02-26",68.63,69.5,68.43,69,10852884
"2015-03-05",67.43,67.46,66.42,66.81,11248986
"2015-03-12",63.35,64.58,63.34,64.05,14654647
"2015-03-19",60.46,61.21,60.26,60.74,11449823
"2015-03-26",59.63,60.45,59.39,59.75,16038785
"2015-04-02",59.07,59.61,58.86,59.15,9864211
"2015-04-09",63,63.14,62.11,62.79,13455540
"2015-04-16",76,81.25,75.71,80.29,104500746
"2015-04-23",79.66,80.34,78.96,79.87,12687283
"2015-04-30",80.24,80.84,79.12,79.5,10565254
"2015-05-07",80.11,80.79,79.46,80.75,10220595
"2015-05-14",83.29,83.92,82.33,83.84,8898659
"2015-05-21",89.08,89.57,88.18,89,12767020
"2015-05-28",89.71,89.86,88.93,89.51,7821541
"2015-06-04",88.38,89.43,88.04,89.35,10074379
"2015-06-11",96.89,96.92,94.09,95.09,26623387
"2015-06-18",94.65,95.34,94.37,94.74,8963122
"2015-06-25",95.48,96,93.46,94.89,41623204
"2015-07-02",94,94.2,93.21,94.04,11053231
"2015-07-09",94.9,95.85,94.29,95.73,16731316
"2015-07-16",111.02,116.49,107.68,115.81,63460992
"2015-07-23",110.91,112.18,109.84,110.1,8306774
"2015-07-30",106.4,111.9,105.4,111.56,14229196
"2015-08-06",126.29,128.85,122.04,126.45,24716746
"2015-08-13",120.99,125.73,119.34,123.73,15284397
"2015-08-20",119.8,121.45,111.34,112.49,27863377
"2015-08-27",114.94,118.25,113.02,117.66,35741993
"2015-09-03",102.69,104.17,100.11,101.06,29188068
"2015-09-10",99.42,100.85,96.78,99.48,20998283
"2015-09-17",103.67,107.5,101.83,104.21,25531317
"2015-09-24",97.11,104,96.78,103.76,21136676
"2015-10-01",102.91,106.11,101.12,105.98,16995856
"2015-10-08",107.94,115.05,102.6,114.93,42511098
"2015-10-15",103.77,104.88,99.1,101.09,47147030
"2015-10-22",98.07,99.93,96.86,97.32,12508145
"2015-10-29",105,106.91,104.75,105.12,9802651
"2015-11-05",113.75,115.68,111.72,113.5,13789557
"2015-11-12",112.52,115.25,108.2,108.92,17364015
"2015-11-19",120.25,123.13,119.61,120.22,19088792
"2015-12-03",129.62,132.2,126.39,126.81,26647260
"2015-12-10",124.5,125.21,121.62,122.91,13474119
"2015-12-17",123.97,126.35,122.42,122.51,17284872
"2015-12-24",118.22,118.8,117.3,117.33,3541403
"2015-12-31",116.21,117.46,114.28,114.38,9273008
"2016-01-07",116.36,122.18,112.29,114.56,33636661
"2016-01-14",105.65,109.25,101.21,107.06,23620712
"2016-01-21",108.32,108.51,102.1,102.35,30919715
"2016-01-28",93.84,95.25,90.11,94.41,24373250
"2016-02-04",89.5,91.25,86.54,89.71,19055444
"2016-02-11",87.42,88.39,82.91,86.35,21768153
"2016-02-18",94.8,94.9,90.31,90.49,17631232
"2016-02-25",91.08,94.81,90.21,94.53,17852939
"2016-03-03",97.83,98.35,95.39,97.93,15303552
"2016-03-10",98.18,99.74,95.45,97.36,16979357
"2016-03-17",99.05,101.39,99,99.72,13755028
"2016-03-24",98.64,98.85,97.07,98.36,10646907
"2016-03-31",102.43,103.53,101.05,102.23,9742175
"2016-04-07",104.31,106.44,103.6,104.45,10735092
"2016-04-14",110.01,111.64,109.15,110.42,9532477
"2016-04-21",97.31,97.38,94.78,94.98,19859384
"2016-04-28",91.5,92.67,90.09,90.28,11435585
"2016-05-05",90.91,92.08,89.25,89.37,10339331
"2016-05-12",90.32,90.41,85.74,87.74,20231264
"2016-05-19",90.16,91.27,88.3,89.55,11441277
"2016-05-26",103.21,104,101.38,102.81,17791364
"2016-06-02",101.39,102.15,100.77,101.25,7992448
"2016-06-09",97.22,98.43,96.66,97.09,8923803
"2016-06-16",94.18,95.56,93.25,95.44,7550774
"2016-06-23",90.62,91.68,88.15,91.66,10819033
"2016-06-30",90.91,91.72,89.9,91.48,9098971
"2016-07-07",94.7,95.38,93.18,95.1,9913509
"2016-07-14",97,98.27,96.8,98.02,9885009
"2016-07-21",88.3,88.38,85.21,85.99,16083996
"2016-07-28",91.92,92.21,90.68,91.65,6227698
"2016-08-04",93.2,93.73,91.82,93.44,6043394
"2016-08-11",94.6,96.33,94.37,95.89,8547659
"2016-08-18",95.98,97.22,95.17,96.16,7252629
"2016-08-25",96.38,98.24,96.04,97.32,10823055
"2016-09-01",97.81,97.98,96.92,97.38,4148621
"2016-09-08",99.23,100.05,98.82,99.66,5201208
"2016-09-15",97.23,97.97,96.53,97.34,5299930
