"","HRB.Open","HRB.High","HRB.Low","HRB.Close","HRB.Volume"
"2013-01-10",19.51,19.88,19.5,19.8,4806260
"2013-01-17",19.5,20.57,19.38,20.34,8764377
"2013-01-24",21.28,21.73,21.27,21.72,6885439
"2013-01-31",22.98,23.12,22.75,22.77,5031232
"2013-02-07",24,24.1,23.66,24.09,3287101
"2013-02-14",24.77,24.93,24.73,24.86,2320228
"2013-02-21",24.5,24.66,24.17,24.54,4899228
"2013-02-28",24.9,25,24.79,24.86,2688780
"2013-03-07",25.34,25.59,24.83,24.98,7005232
"2013-03-14",27.92,28.09,27.72,27.93,4324873
"2013-03-21",27.78,28.09,27.78,27.9,4451799
"2013-03-28",29.15,29.43,28.98,29.42,2350807
"2013-04-04",28.74,28.9,28.36,28.43,4646345
"2013-04-11",28.85,29.1,28.73,28.76,2391411
"2013-04-18",26.74,27.17,26.58,26.9,5374611
"2013-04-25",28.17,28.37,27.87,28.03,3867315
"2013-05-02",27.95,28.42,27.87,28.15,2709096
"2013-05-09",27.74,27.93,27.31,27.53,3703961
"2013-05-16",28.62,29.2,28.6,28.83,3236541
"2013-05-23",28.98,29.22,28.62,29.15,3108457
"2013-05-30",29.63,29.99,29.56,29.68,1524785
"2013-06-06",28.23,29.13,28.15,29.13,1988585
"2013-06-13",28.58,29.21,27.7,28.91,6570732
"2013-06-20",28.8,28.83,28.14,28.23,1927903
"2013-06-27",28.56,28.59,28.17,28.29,1961202
"2013-07-11",30,30,29.66,29.94,1987575
"2013-07-18",30.5,30.88,30.44,30.75,1900792
"2013-07-25",30.6,30.76,30.51,30.65,1504282
"2013-08-01",31.66,32.09,31.66,31.99,1690631
"2013-08-08",31.68,31.7,31.42,31.54,686498
"2013-08-15",30.64,30.68,29.55,29.63,2926812
"2013-08-22",28.7,29.21,28.67,29.1,928878
"2013-08-29",28.09,28.38,28.09,28.16,823946
"2013-09-05",27.68,27.71,26.99,27.04,3244976
"2013-09-12",27.09,27.42,27.02,27.05,1108333
"2013-09-19",27.94,28.12,27.77,27.87,2476458
"2013-09-26",26.76,26.78,26,26.05,5604297
"2013-10-03",27.81,28.04,27.55,27.94,3581758
"2013-10-10",27.37,27.94,27.37,27.83,2095833
"2013-10-17",28.72,29.11,28.53,29.08,2240708
"2013-10-24",28.93,29.01,28.59,28.7,1151637
"2013-10-31",28.45,28.62,28.22,28.44,1791579
"2013-11-07",28.71,28.79,27.23,27.36,3368378
"2013-11-14",28.08,28.25,27.93,28.17,1207272
"2013-11-21",28.41,28.98,28.4,28.9,960170
"2013-12-05",28.2,28.64,28.13,28.54,1710336
"2013-12-12",27.94,28.32,27.79,28.15,3484529
"2013-12-19",28.32,28.59,28.16,28.48,1908728
"2013-12-26",28.84,28.96,28.74,28.94,780350
"2014-01-02",28.99,29.41,28.95,29.38,1835433
"2014-01-09",30.23,30.5,29.79,30.03,5053321
"2014-01-16",29.25,29.31,28.52,28.81,3619653
"2014-01-23",29.15,29.3,28.78,29,2850339
"2014-01-30",29.31,30.22,29.02,30.12,3219367
"2014-02-06",29.39,29.75,29.25,29.36,2130309
"2014-02-13",30.3,30.91,30.27,30.73,2099589
"2014-02-20",31.58,31.67,31.42,31.53,2227327
"2014-02-27",31.7,31.91,31.36,31.69,1934741
"2014-03-06",31.39,31.42,30.84,30.96,5070306
"2014-03-13",30.09,30.48,29.63,29.85,3843656
"2014-03-20",29.51,29.83,29.37,29.81,1759444
"2014-03-27",28.95,29.02,28.51,28.58,3318926
"2014-04-03",30.97,30.97,29.68,29.97,3990821
"2014-04-10",29.23,29.38,28.34,28.42,2745039
"2014-04-17",28.17,28.33,28.03,28.2,2143815
"2014-04-24",28.03,28.26,27.87,27.97,1951839
"2014-05-01",28.44,29.16,28.31,28.81,3180662
"2014-05-08",27.71,28.17,27.58,27.75,1942080
"2014-05-15",28.11,28.15,27.6,27.94,3283652
"2014-05-22",29.27,29.34,29.04,29.25,2345867
"2014-05-29",29.51,29.61,29.15,29.42,1572488
"2014-06-05",29.83,30.08,29.44,29.82,1745476
"2014-06-12",32.12,32.77,32.09,32.36,5339514
"2014-06-19",33.64,33.65,33.05,33.29,2315204
"2014-06-26",33.32,33.4,32.96,33.31,1588830
"2014-07-03",33.4,33.44,33.17,33.25,1235988
"2014-07-10",32.42,32.87,32.26,32.6,1680243
"2014-07-17",32.46,32.62,31.93,31.94,1755283
"2014-07-24",32.14,32.68,32.13,32.6,2018785
"2014-07-31",32.15,32.35,32.07,32.13,1701517
"2014-08-07",32.4,32.64,32.24,32.38,1576900
"2014-08-14",33.2,33.32,33.07,33.26,938754
"2014-08-21",33.75,33.89,33.57,33.83,1616443
"2014-08-28",33.72,33.79,33.54,33.56,1818570
"2014-09-04",33.54,33.64,32.62,32.81,5231232
"2014-09-11",32.22,32.5,32.1,32.46,2329061
"2014-09-18",32.22,32.3,32.13,32.25,789941
"2014-09-25",31.47,31.47,30.98,31.02,2193635
"2014-10-02",30.48,30.8,29.98,30.73,3083602
"2014-10-09",29.81,29.9,28.94,28.94,3065623
"2014-10-16",28.11,29.55,28.11,29.39,4409296
"2014-10-23",30.47,30.99,30.43,30.8,2208561
"2014-10-30",31.45,31.79,31.28,31.66,1102028
"2014-11-06",32.32,32.49,32.23,32.41,766241
"2014-11-13",32.75,32.89,32.06,32.25,2233434
"2014-11-20",32.35,33.06,32.34,32.93,1267283
"2014-12-04",34.2,34.46,33.9,34.14,2733894
"2014-12-11",32.05,32.44,31.67,31.76,2269398
"2014-12-18",33.22,33.53,32.89,33.5,2537527
"2015-01-08",32.8,33.49,32.7,33.13,3546775
"2015-01-15",32.69,32.74,32.02,32.06,1298957
"2015-01-22",33.3,34,33.08,34,2109908
"2015-01-29",34.42,34.72,34.06,34.7,1793897
"2015-02-05",34.91,35.66,34.85,35.64,1741585
"2015-02-12",35.31,35.44,35.18,35.2,1540623
"2015-02-19",35.02,35.2,34.92,35,1463613
"2015-02-26",34.65,34.9,34.44,34.48,1925591
"2015-03-05",32.84,33.46,31.75,32.01,5794556
"2015-03-12",31.66,32.2,31.66,32.07,3708084
"2015-03-19",32.42,32.5,31.97,32.29,2418048
"2015-03-26",32.03,32.2,31.7,31.98,2894528
"2015-04-02",32.26,32.76,32.07,32.15,2180287
"2015-04-09",31.85,32.03,31.73,31.92,1945872
"2015-04-16",31.92,32.04,31.76,32.01,1687457
"2015-04-23",32.2,32.85,32.2,32.64,2091641
"2015-04-30",30.52,30.7,30.1,30.24,2491201
"2015-05-07",30.24,30.89,30.24,30.86,2096063
"2015-05-14",31.69,32.05,31.43,32.03,1962792
"2015-05-21",31.86,32.2,31.79,32.12,1531529
"2015-05-28",31.99,32.15,31.8,32.05,1690923
"2015-06-04",31.82,31.89,31.32,31.41,1800308
"2015-06-11",30.2,30.59,30.1,30.41,2823424
"2015-06-18",30.3,30.56,30.23,30.37,2191033
"2015-06-25",30.63,31.09,30.25,30.55,4346988
"2015-07-02",29.77,29.87,29.5,29.61,2603772
"2015-07-09",30.32,30.74,30.18,30.47,4772104
"2015-07-16",31.76,32.15,31.57,32.07,3205297
"2015-07-23",32.98,33.16,32.67,32.87,2631542
"2015-07-30",32.96,33.52,32.76,33.34,2946691
"2015-08-06",35.68,35.97,34.79,35.17,6471003
"2015-08-13",34.79,35.82,32.51,35.58,1236692
"2015-08-20",34.71,34.78,34.38,34.39,2227434
"2015-08-27",33.92,34.39,33.53,34.37,3456177
"2015-09-03",35.57,35.63,35,35.4,8206291
"2015-09-10",35.36,35.85,35.2,35.72,2062868
"2015-09-17",35.91,36.3,35.68,35.74,2880948
"2015-09-24",35.8,36.06,35.72,35.77,3368866
"2015-10-01",36.25,36.43,35.91,36.37,7025923
"2015-10-08",34.8,35.4,34.66,35.38,3384057
"2015-10-15",34.72,35,34.44,34.86,2948368
"2015-10-22",35.81,35.85,35.4,35.51,2228689
"2015-10-29",37.07,37.34,36.94,37.16,1479807
"2015-11-05",36.88,37.42,36.75,37.33,2069756
"2015-11-12",36.68,36.82,36.36,36.49,2661120
"2015-11-19",36.81,36.85,36.46,36.47,2714030
"2015-12-03",36.85,37.35,36.6,36.68,3616081
"2015-12-10",32.57,33.36,32.44,33.17,6080881
"2015-12-17",33.61,33.92,33.34,33.68,3286983
"2015-12-24",33.42,33.42,33.14,33.33,951254
"2015-12-31",33.24,33.52,33.17,33.31,1669235
"2016-01-07",32.49,32.99,32.36,32.72,3420586
"2016-01-14",31.59,32.49,31.49,32.33,2385222
"2016-01-21",32.24,32.65,31.97,32.26,2138807
"2016-01-28",33.11,33.11,32.63,32.99,1703637
"2016-02-04",33.99,34.65,33.82,34.62,2058304
"2016-02-11",33.52,33.66,32.77,33.16,3360871
"2016-02-18",34.62,34.78,34.18,34.2,1881901
"2016-02-25",33.63,33.87,33.38,33.71,2065782
"2016-03-03",32.62,32.99,32.45,32.9,2825708
"2016-03-10",27.56,28.1,27.52,28.07,5921099
"2016-03-17",27.1,27.23,26.89,27.01,2807895
"2016-03-24",26.84,27.08,26.6,26.61,3826812
"2016-03-31",26.45,26.56,26.22,26.42,3720861
"2016-04-07",25.31,25.38,24.61,24.76,4010352
"2016-04-14",25.03,25.07,23.98,24.02,5295789
"2016-04-21",23.87,24.01,23.6,23.76,2492115
"2016-04-28",20.6,21.3,20.51,21.01,6052161
"2016-05-05",20.24,20.33,19.95,20.03,2985569
"2016-05-12",19.54,19.76,19.18,19.52,4241283
"2016-05-19",20.34,20.42,20.02,20.16,2014428
"2016-05-26",20.42,20.74,20.42,20.71,2604568
"2016-06-02",21.47,21.93,21.4,21.72,2620275
"2016-06-09",21.01,21.66,20.84,21.54,7180551
"2016-06-16",23.37,23.55,23.04,23.46,3198269
"2016-06-23",22.76,22.94,22.7,22.85,3307036
"2016-06-30",22.89,23,22.54,23,3511728
"2016-07-07",23.4,23.62,23.27,23.5,3013729
"2016-07-14",23.83,23.99,23.62,23.8,2762176
"2016-07-21",24.08,24.11,23.76,23.8,1768332
"2016-07-28",24.07,24.15,23.84,24.05,1759113
"2016-08-04",23.53,23.96,23.53,23.85,1229459
"2016-08-11",23.96,24.33,23.9,24.04,1970079
"2016-08-18",24.44,24.57,23.9,23.95,2125981
"2016-08-25",24.56,24.68,24.42,24.47,1345550
"2016-09-01",21.7,21.91,21.49,21.57,4978080
"2016-09-08",21.85,22.28,21.76,22.17,3938734
"2016-09-15",22.09,22.45,21.94,22.39,2770772
