"","SNPS.Open","SNPS.High","SNPS.Low","SNPS.Close","SNPS.Volume"
"2013-09-05",36.02,36.5,36.02,36.34,453666
"2013-09-12",37.37,37.49,37.02,37.17,520617
"2013-09-19",37.95,38.09,37.71,38.07,928261
"2013-09-26",38.14,38.14,37.5,37.87,704214
"2013-10-03",37.47,37.62,37.08,37.31,547503
"2013-10-10",36.76,37.19,36.52,37.18,265481
"2013-10-17",34.55,37.99,34.55,37.98,390785
"2013-10-24",37.95,38.04,35.82,35.85,1619204
"2013-10-31",36.42,36.63,36.32,36.42,872687
"2013-11-07",36.49,36.69,36.02,36.11,446058
"2013-11-14",36.47,36.71,36.34,36.47,373059
"2013-11-21",36.03,36.25,35.76,36.24,515444
"2013-12-05",36.38,37.45,36,37.41,1961960
"2013-12-12",38.01,38.32,37.96,38.07,950675
"2013-12-19",39.26,39.39,39.12,39.14,869478
"2013-12-26",40.08,40.25,39.88,39.98,406754
"2014-01-02",40.33,40.6,40.06,40.42,802775
"2014-01-09",40.73,40.98,40.55,40.94,606971
"2014-01-16",41.12,41.18,40.84,40.95,512998
"2014-01-23",41.05,41.11,40.76,40.96,741538
"2014-01-30",39.58,40.6,39.48,40.52,988684
"2014-02-06",38.99,39.23,38.81,39.1,353291
"2014-02-13",40.43,41.1,40.27,41.1,412976
"2014-02-20",41.24,41.25,39.2,39.85,1123186
"2014-02-27",39.87,40.12,39.85,40,979110
"2014-03-06",40.37,40.64,40.19,40.48,870287
"2014-03-13",40.07,40.07,39.51,39.6,690931
"2014-03-20",40.23,40.66,40.23,40.57,666922
"2014-03-27",37.98,38.36,37.7,38.35,818164
"2014-04-03",38.77,39,38.44,38.64,662384
"2014-04-10",37.91,38,36.94,36.99,451595
"2014-04-17",37.02,37.62,36.85,37.52,498462
"2014-04-24",38.14,38.28,37.72,37.87,562241
"2014-05-01",37.77,37.94,37.33,37.59,503645
"2014-05-08",37.04,37.75,37.03,37.25,389860
"2014-05-15",37.96,38.03,37.46,37.88,513380
"2014-05-22",38.13,39.15,37.49,38.91,955167
"2014-05-29",37.71,39.13,37.71,38.75,428060
"2014-06-05",38.15,38.2,37.78,38.03,1025657
"2014-06-12",39.06,39.16,38.7,38.85,343169
"2014-06-19",38.96,38.98,38.65,38.69,436353
"2014-06-26",38.96,38.97,38.71,38.8,409260
"2014-07-03",38.94,39.1,38.81,38.94,614154
"2014-07-10",38.28,39,37.99,38.78,709434
"2014-07-17",39,39.3,38.92,39.07,585929
"2014-07-24",38.97,39.12,38.86,39.03,370686
"2014-07-31",38.6,38.67,37.75,37.77,704773
"2014-08-07",38.2,38.37,37.8,37.9,365675
"2014-08-14",38.78,39.04,38.73,38.86,271956
"2014-08-21",39.5,41.82,39.49,41.75,1834146
"2014-08-28",40.69,40.91,40.63,40.75,443684
"2014-09-04",41.36,41.64,41.26,41.35,718688
"2014-09-11",41.27,41.58,41.22,41.48,354531
"2014-09-18",40.73,41.06,40.73,41.04,324110
"2014-09-25",40.22,40.22,39.73,39.98,571707
"2014-10-02",39.49,39.78,39.19,39.45,350969
"2014-10-09",40.15,40.24,39.11,39.13,676179
"2014-10-16",36.92,37.55,36.62,37.32,1078410
"2014-10-23",39,39.67,39,39.51,461000
"2014-10-30",40.48,40.8,40.38,40.77,261336
"2014-11-06",41.3,41.62,41.08,41.59,369729
"2014-11-13",42.2,42.21,41.77,42,356592
"2014-11-20",41.69,42.15,41.67,42.12,347906
"2014-12-04",43.9,45.03,43.3,44.65,1056393
"2014-12-11",43.43,44.23,43.41,43.55,629676
"2014-12-18",43.5,44.13,43.45,44.12,765094
"2015-01-08",42.53,43.08,42.36,42.86,694668
"2015-01-15",42.26,42.73,41.64,41.73,396019
"2015-01-22",42.66,43.25,42.23,43.17,558347
"2015-01-29",43.47,43.76,43.07,43.74,576146
"2015-02-05",44.43,44.48,43.96,44.1,757300
"2015-02-12",44.5,45.05,44.41,44.87,545301
"2015-02-19",46.06,46.93,45.72,46.53,1681175
"2015-02-26",47.14,47.22,46.69,46.72,590922
"2015-03-05",46.25,46.5,45.98,46.31,528199
"2015-03-12",45.26,45.71,45.04,45.63,448443
"2015-03-19",46.51,46.95,46.51,46.77,427915
"2015-03-26",45.45,45.9,45.36,45.61,606300
"2015-04-02",46.36,46.56,46.14,46.46,733317
"2015-04-09",47.44,47.72,47.26,47.65,639457
"2015-04-16",47.32,47.58,47.23,47.35,466046
"2015-04-23",47.52,48.11,47.52,47.96,547917
"2015-04-30",47.26,47.54,46.74,46.88,610528
"2015-05-07",46.74,47.14,46.64,47.12,823475
"2015-05-14",48.42,48.84,48.3,48.72,541208
"2015-05-21",48.24,49.94,47.84,49.8,1029781
"2015-05-28",49.86,50.2,49.67,49.83,736454
"2015-06-04",50.7,50.7,50.18,50.32,529357
"2015-06-11",50.43,50.58,50.22,50.57,643774
"2015-06-18",50.03,50.73,50.01,50.32,654800
"2015-06-25",50.36,50.5,50.12,50.46,800663
"2015-07-02",50.24,50.4,49.56,49.92,629600
"2015-07-09",50.09,50.72,49.53,50.32,1137088
"2015-07-16",51.19,51.35,50.75,50.79,922086
"2015-07-23",50.6,50.89,50.29,50.43,482757
"2015-07-30",50.6,51.01,49.91,50.9,301259
"2015-08-06",51.68,51.8,50.85,51.07,476004
"2015-08-13",51.27,51.65,51.14,51.39,467693
"2015-08-20",51.8,52.03,48.35,48.6,1540608
"2015-08-27",47,47.48,45.98,46.94,1437076
"2015-09-03",46.73,47.59,46.18,47.14,1113095
"2015-09-10",47.03,48.06,47.02,47.6,824056
"2015-09-17",48.03,48.41,47.71,47.89,675612
"2015-09-24",47.31,47.44,46.74,47.03,1034615
"2015-10-01",46.17,46.47,45.81,46.4,1035050
"2015-10-08",47.4,47.97,47.19,47.8,593714
"2015-10-15",47.58,48.05,46.01,48.03,625846
"2015-10-22",48.3,49.64,47.88,49.48,1413631
"2015-10-29",50.23,50.45,49.87,50.01,544830
"2015-11-05",50.88,51.1,50.54,50.84,485727
"2015-11-12",51.12,51.66,51.05,51.12,446610
"2015-11-19",52.19,52.78,50.96,52.52,671597
"2015-12-03",46.76,48.69,46.27,46.57,2743788
"2015-12-10",45.34,45.77,45.1,45.5,640111
"2015-12-24",45.73,45.99,45.63,45.77,241948
"2015-12-31",46.07,46.52,45.61,45.61,808550
"2016-01-07",43.5,43.99,43.09,43.28,949007
"2016-01-14",40.83,41.62,40.2,41.25,1409905
"2016-01-21",40.96,41.23,39.26,40.69,1081783
"2016-01-28",41.76,41.9,41.27,41.61,922728
"2016-02-04",42.75,43.34,42.53,42.86,861633
"2016-02-11",40.77,41.75,40.77,41.34,1176534
"2016-02-18",46.05,46.4,43.93,44,2007531
"2016-02-25",44.22,44.75,44.01,44.55,833421
"2016-03-03",45.66,45.89,45.37,45.87,842430
"2016-03-10",45.86,46.17,45.06,45.52,530273
"2016-03-17",46.83,47.44,45.96,47.15,791550
"2016-03-24",47.26,47.91,47.1,47.87,579299
"2016-03-31",48.2,48.58,47.97,48.44,1150819
"2016-04-07",48.23,48.46,47.86,48.14,777149
"2016-04-14",48.22,48.46,48.05,48.1,522370
"2016-04-21",48.77,49.31,48.54,49.11,793204
"2016-04-28",48.39,48.92,48.06,48.26,587039
"2016-05-05",47.92,48.19,47.37,47.45,530131
"2016-05-12",48.5,48.55,48.02,48.47,624311
"2016-05-19",49.19,49.43,47.87,48.74,1256082
"2016-05-26",51.16,51.68,51.04,51.34,727928
"2016-06-02",51.67,52.42,51.67,52.4,812859
"2016-06-09",53.32,53.33,53.04,53.08,1119235
"2016-06-16",51.65,52.61,51.14,52.52,944786
"2016-06-23",53.43,53.95,53.26,53.93,698867
"2016-06-30",53.24,54.1,53.03,54.08,1598941
"2016-07-07",53.67,53.87,53.38,53.82,647274
"2016-07-14",55.14,55.21,54.78,54.79,749976
"2016-07-21",54.75,54.83,54.28,54.45,815398
"2016-07-28",54.02,54.48,53.8,54.31,656079
"2016-08-04",54.55,54.74,54.27,54.68,578128
"2016-08-11",55.87,55.94,55.59,55.88,444955
"2016-08-18",57.75,58.68,57.15,58.5,1459071
"2016-08-25",58.59,58.82,58.3,58.74,746234
"2016-09-01",58.96,59.41,58.66,59.14,1046736
"2016-09-08",59.88,59.98,59.38,59.71,664413
"2016-09-15",57.7,58.6,57.43,58.4,790476
