"","NWSA.Open","NWSA.High","NWSA.Low","NWSA.Close","NWSA.Volume"
"2014-12-04",15.72,15.83,15.59,15.71,3572311
"2014-12-11",15.6,15.6,15.23,15.33,3718824
"2014-12-18",15.13,15.34,14.94,15.02,4005598
"2015-01-08",15.05,15.38,14.83,15.34,4637143
"2015-01-15",15.2,15.35,14.95,15.01,2692407
"2015-01-22",15.01,15.24,14.84,15.2,2155913
"2015-01-29",15.13,15.23,14.75,14.93,2693565
"2015-02-05",15.58,15.75,15.43,15.73,3815188
"2015-02-12",16.48,16.99,16.48,16.84,2443284
"2015-02-19",16.97,17.05,16.85,17.04,1644476
"2015-02-26",17.47,17.52,17.24,17.32,2004512
"2015-03-05",17.22,17.22,17.04,17.1,2192557
"2015-03-12",16.52,16.82,16.47,16.75,2149419
"2015-03-19",16.82,16.83,16.51,16.69,2566481
"2015-03-26",16.32,16.32,16.11,16.18,3618554
"2015-04-02",16.09,16.23,16.01,16.18,1719968
"2015-04-09",16.03,16.11,15.84,15.94,1926271
"2015-04-16",15.87,16.14,15.68,15.89,3488423
"2015-04-23",15.51,15.64,15.44,15.56,2629226
"2015-04-30",15.72,15.88,15.66,15.78,4275995
"2015-05-07",15.01,15.02,14.82,14.97,7108398
"2015-05-14",15.38,15.44,15.13,15.38,3264920
"2015-05-21",15.58,15.69,15.52,15.63,1579702
"2015-05-28",15.37,15.41,15.26,15.35,3222229
"2015-06-04",15.17,15.23,14.96,15,2167839
"2015-06-11",14.66,14.7,14.55,14.58,2224208
"2015-06-18",14.41,14.62,14.39,14.54,5027742
"2015-06-25",14.82,14.91,14.68,14.75,3139455
"2015-07-02",14.69,14.99,14.56,14.6,2998641
"2015-07-09",14.31,14.41,14.14,14.18,2075306
"2015-07-16",14.56,14.71,14.51,14.66,1713302
"2015-07-23",14.59,14.76,14.5,14.72,2878311
"2015-07-30",14.82,14.82,14.6,14.8,2129394
"2015-08-06",14.56,14.6,13.73,14.02,3733812
"2015-08-13",15.23,15.92,14.8,15.19,8864102
"2015-08-20",14.87,14.87,14.25,14.26,3597303
"2015-08-27",13.41,13.67,13.3,13.62,7047702
"2015-09-03",12.92,13.49,12.92,13.32,3651191
"2015-09-10",13.14,13.3,12.98,13.01,4021329
"2015-09-17",12.8,13.48,12.76,13.21,6250158
"2015-09-24",12.68,12.89,12.63,12.83,3154147
"2015-10-01",12.77,12.94,12.53,12.73,3560507
"2015-10-08",13.61,14.06,13.61,14.05,2957347
"2015-10-15",14.08,14.32,13.91,14.29,4284712
"2015-10-22",14.38,14.7,14.28,14.69,2764909
"2015-10-29",14.89,15.18,14.89,15.12,3648281
"2015-11-05",15.43,15.53,15.19,15.35,3079648
"2015-11-12",14.26,14.37,14.08,14.11,3301265
"2015-11-19",14.29,14.31,14.08,14.19,2509764
"2015-12-03",14.41,14.51,13.59,13.78,3799741
"2015-12-10",13.48,13.88,13.46,13.75,3208381
"2015-12-17",13.68,13.73,13.35,13.36,2510338
"2015-12-24",13.46,13.84,13.32,13.62,994343
"2015-12-31",13.5,13.54,13.35,13.36,1899324
"2016-01-07",12.44,12.61,12.39,12.42,3197065
"2016-01-14",12.29,12.81,12.18,12.71,5457769
"2016-01-21",12.15,12.58,12.05,12.37,3375186
"2016-01-28",12.96,12.96,12.54,12.84,4184696
"2016-02-04",12.22,12.5,12.16,12.21,6294735
"2016-02-11",10.44,10.48,10.21,10.4,4909921
"2016-02-18",11.02,11.05,10.83,10.85,3175946
"2016-02-25",10.81,10.88,10.58,10.87,3209897
"2016-03-03",10.89,10.97,10.77,10.91,7581103
"2016-03-10",11.17,11.19,10.87,11.09,6216608
"2016-03-17",12.07,12.66,12.07,12.44,5931313
"2016-03-24",12.44,12.54,12.29,12.5,3300117
"2016-03-31",12.74,12.88,12.61,12.77,2349498
"2016-04-07",12.73,12.85,12.46,12.59,6125535
"2016-04-14",12.75,12.86,12.71,12.73,1733938
"2016-04-21",12.54,12.91,12.48,12.74,4207663
"2016-04-28",12.6,12.79,12.5,12.54,1763206
"2016-05-05",12.22,12.23,12.07,12.17,2325884
"2016-05-12",12.23,12.27,11.89,11.94,2131069
"2016-05-19",11.52,11.65,11.48,11.52,3322245
"2016-05-26",12,12.06,11.85,11.86,1307474
"2016-06-02",11.99,12.14,11.93,12.14,2744416
"2016-06-09",11.74,11.82,11.6,11.69,6365256
"2016-06-16",11.58,11.66,11.3,11.4,2948053
"2016-06-23",11.79,12.04,11.76,11.86,2370055
"2016-06-30",11.3,11.43,11.2,11.35,3286308
"2016-07-07",11.23,11.45,11.23,11.36,2296171
"2016-07-14",12.35,12.46,12.21,12.33,2746335
"2016-07-21",12.23,12.54,12.23,12.4,2581798
"2016-07-28",12.43,12.78,12.43,12.78,1602075
"2016-08-04",12.66,12.76,12.65,12.74,1719606
"2016-08-11",13.21,13.46,13.19,13.39,3118849
"2016-08-18",13.73,13.88,13.7,13.75,3418477
"2016-08-25",13.85,13.94,13.73,13.89,2809328
"2016-09-01",14.09,14.14,13.82,13.97,2694631
"2016-09-08",13.75,14.04,13.71,13.81,3322447
"2016-09-15",13.72,13.77,13.58,13.64,2798365
