"","LUV.Open","LUV.High","LUV.Low","LUV.Close","LUV.Volume"
"2013-06-20",13.56,13.7,13.51,13.53,7673754
"2013-06-27",13.02,13.23,12.79,13.04,8318609
"2013-07-11",13.25,13.33,13.09,13.29,5942837
"2013-07-18",13.64,13.9,13.54,13.78,8553183
"2013-07-25",13.62,13.81,13.24,13.81,10947740
"2013-08-01",13.91,14.22,13.91,14.2,5185700
"2013-08-08",13.86,13.91,13.78,13.86,5446858
"2013-08-15",13.38,13.44,13.25,13.32,4904149
"2013-08-22",13.07,13.26,13.06,13.19,3623862
"2013-08-29",12.76,12.88,12.64,12.79,6185238
"2013-09-05",13.03,13.14,12.97,13.09,4195837
"2013-09-12",13.86,13.9,13.69,13.75,5252958
"2013-09-19",14.26,14.58,14.22,14.54,11831139
"2013-09-26",14.58,14.75,14.55,14.7,3658796
"2013-10-03",14.6,14.76,14.49,14.72,6003445
"2013-10-10",15.08,15.14,14.99,15.12,6158374
"2013-10-17",15.68,16.11,15.65,16.01,7999944
"2013-10-24",16.67,17.05,16.6,17.02,8347621
"2013-10-31",17.14,17.31,17.08,17.22,6543267
"2013-11-07",17.86,17.98,17.52,17.57,10387704
"2013-11-14",18.19,18.39,18.09,18.18,6049245
"2013-11-21",18.12,18.52,18.11,18.45,6867514
"2013-12-05",17.91,18.24,17.9,18,7679574
"2013-12-12",18.29,18.84,18.21,18.79,11460303
"2013-12-19",18.72,18.78,18.36,18.62,4723088
"2013-12-26",18.94,18.97,18.8,18.93,2432535
"2014-01-02",18.85,19.09,18.78,18.88,4559256
"2014-01-09",20.41,20.87,20.34,20.76,12104500
"2014-01-16",21.18,21.48,21.14,21.46,8010154
"2014-01-23",21.97,22.1,20.82,21.24,15075517
"2014-01-30",20.8,21.33,20.79,21.22,11467610
"2014-02-06",20.6,21.1,20.56,20.96,7161478
"2014-02-13",21.08,21.32,21,21.2,7051763
"2014-02-20",21.04,21.76,20.97,21.7,8849639
"2014-02-27",22.37,22.62,22.3,22.46,5728710
"2014-03-06",23.12,23.35,23.03,23.12,7330076
"2014-03-13",23.95,23.98,23.49,23.6,8093690
"2014-03-20",23.69,23.89,23.59,23.88,5590785
"2014-03-27",23.39,23.39,22.78,23.16,6001421
"2014-04-03",24.09,24.3,23.81,24.01,4466984
"2014-04-10",24.24,24.25,23.09,23.13,9464779
"2014-04-17",23.67,23.7,23.02,23.49,6264809
"2014-04-24",24.33,24.45,23.51,24.27,8362773
"2014-05-01",24.17,24.63,24.17,24.33,5751893
"2014-05-08",24.09,24.63,24.09,24.46,6569671
"2014-05-15",24.86,24.94,24.47,24.76,5425213
"2014-05-22",25.11,25.35,25.1,25.27,2918567
"2014-05-29",26.45,26.59,26.13,26.44,4107178
"2014-06-05",27.49,27.65,27.22,27.28,8612165
"2014-06-12",26.67,26.68,25.47,25.72,13576222
"2014-06-19",26.77,27.08,26.73,27.08,6860712
"2014-06-26",27.01,27.1,26.75,27.06,3241438
"2014-07-03",27.59,27.78,27.55,27.71,3050529
"2014-07-10",27.01,27.44,26.93,27.27,8868595
"2014-07-17",27.81,28.11,27.31,27.51,5426941
"2014-07-24",29.25,29.5,28.36,28.68,10019557
"2014-07-31",28.6,28.73,28.21,28.28,6356767
"2014-08-07",28.28,28.49,27.87,28.06,5227285
"2014-08-14",29.33,29.76,29.22,29.75,5538313
"2014-08-21",31.64,31.73,31.18,31.24,4598191
"2014-08-28",32.09,32.17,31.9,32.05,3659627
"2014-09-04",32.74,33.14,32.51,32.62,5551440
"2014-09-11",33.7,33.91,33.27,33.64,6826274
"2014-09-18",34.64,35.3,34.59,35.23,6413621
"2014-09-25",34.15,34.19,33.6,33.64,6814795
"2014-10-02",32.9,33.23,31.58,32.46,10038919
"2014-10-09",32.29,32.52,31.08,31.32,12497289
"2014-10-16",28.65,31.28,28.6,30.94,18368379
"2014-10-23",35,35.35,32.41,33.25,23476141
"2014-10-30",34.35,34.51,33.88,34.13,6727238
"2014-11-06",36.84,38.16,36.7,37.94,9823406
"2014-11-13",39.56,39.97,39.19,39.46,6694033
"2014-11-20",38.98,39.22,38.51,38.87,5847538
"2014-12-04",42.15,42.25,41.11,41.39,10853233
"2014-12-11",42.01,42.42,41.74,41.92,9610829
"2014-12-18",40.32,40.76,39.74,40.62,8656577
"2015-01-08",41,42.09,40.95,41.88,7301942
"2015-01-15",39.22,39.76,38.75,38.9,7480237
"2015-01-22",43.45,45.7,43.34,45.35,20870689
"2015-01-29",45.95,47.17,45.5,46.99,8234098
"2015-02-05",44.31,44.48,43.36,44.47,7950962
"2015-02-12",43.06,43.52,42.19,43.5,7304447
"2015-02-19",44.92,44.97,43.7,43.76,7535503
"2015-02-26",44.56,44.63,43.73,44.08,7835458
"2015-03-05",44.17,44.28,43.71,44.1,5324551
"2015-03-12",43.91,45.04,43.8,44.97,5761591
"2015-03-19",46.07,46.45,45.93,46.35,5911160
"2015-03-26",42.84,43.5,42.21,43.18,7537450
"2015-04-02",43.62,43.82,42.69,42.86,8655638
"2015-04-09",42.92,43.21,42.17,42.82,7122689
"2015-04-16",42.11,42.73,41.8,42.25,7080230
"2015-04-23",43.35,44.19,43.18,43.26,9045273
"2015-04-30",40.56,41.48,40.38,40.56,6492101
"2015-05-07",41.11,42.18,41.11,42.1,6493229
"2015-05-14",41.54,42.25,41.39,42.12,5154241
"2015-05-21",37.46,37.8,37.05,37.23,14993622
"2015-05-28",36.9,36.96,36.36,36.81,9324945
"2015-06-04",37.56,38.2,37.1,37.32,9341641
"2015-06-11",34.76,35.1,34.51,34.7,8612200
"2015-06-18",33.04,33.91,33.02,33.86,11884671
"2015-06-25",34.55,35.02,34.45,34.49,5939251
"2015-07-02",32.74,33.03,32.25,32.51,9447049
"2015-07-09",32.79,32.89,32.46,32.52,8008865
"2015-07-16",34.13,34.82,33.84,34.57,8272623
"2015-07-23",37.59,38.7,36.28,36.48,15720456
"2015-07-30",35.9,36.54,35.82,36.31,9055657
"2015-08-06",37.99,38.5,37.43,37.81,7094657
"2015-08-13",38.92,39.27,38.33,38.97,7180097
"2015-08-20",39.8,40.15,38.94,39.06,8657359
"2015-08-27",37.78,38.09,36.58,37.31,10486488
"2015-09-03",37.9,38.17,37.32,37.43,6185257
"2015-09-10",38.4,38.99,38.18,38.36,5761997
"2015-09-17",39.3,40,39.2,39.49,5454010
"2015-09-24",38.16,38.49,37.75,38.17,5245663
"2015-10-01",37.82,38.46,37.56,38.41,6057258
"2015-10-08",38.69,38.98,38.2,38.76,7033633
"2015-10-15",40.97,41.41,40.59,41.24,5600301
"2015-10-22",42.52,44.15,42.36,44.08,15261492
"2015-10-29",45.24,45.89,45.1,45.82,4206119
"2015-11-05",46.66,46.9,46.31,46.67,4794265
"2015-11-12",46.58,47.19,46.52,46.69,4381261
"2015-11-19",46.57,47.15,46.5,46.87,4140527
"2015-12-03",47.52,47.93,46.69,47.29,7639838
"2015-12-10",44.83,45.86,44.56,45.25,9665234
"2015-12-17",44.85,45.22,43.49,43.51,5083513
"2015-12-24",43.5,44.44,43.5,43.9,1963008
"2015-12-31",43.18,43.3,42.75,43.06,3825951
"2016-01-07",42.95,43.15,41.56,41.95,8545633
"2016-01-14",40.31,40.96,39.26,40.47,8082839
"2016-01-21",39.99,41.5,38.94,39.5,12315084
"2016-01-28",37.48,37.94,35.71,36.19,8872566
"2016-02-04",36.44,37.7,36.44,37.55,6573495
"2016-02-11",34.97,35.76,34.78,35.34,6460151
"2016-02-18",38.65,39.1,38.4,39,6714771
"2016-02-25",41.6,42.6,41.48,42.59,7926820
"2016-03-03",42,42.13,41.41,42.03,6112610
"2016-03-10",42.39,42.57,41.67,42.26,5091010
"2016-03-17",44.08,44.2,43.5,43.6,6126041
"2016-03-24",44.35,44.35,43.27,44.06,5545553
"2016-03-31",44.97,45.36,44.78,44.8,5194317
"2016-04-07",43.63,44.44,43.31,43.65,5885999
"2016-04-14",46.24,47.01,46.03,46.71,7505977
"2016-04-21",48,48,46.27,47.73,9871212
"2016-04-28",45.48,45.74,43.95,44.06,8446828
"2016-05-05",41.76,42.14,41.39,41.53,5968922
"2016-05-12",42.25,42.37,40.85,41.22,5669937
"2016-05-19",42.75,42.96,41.5,42.17,5693296
"2016-05-26",42.57,42.69,41.57,41.79,5016042
"2016-06-02",42.32,42.62,42.03,42.17,4391071
"2016-06-09",43.46,44.33,43.35,44.19,5605201
"2016-06-16",39.45,40.09,39.18,39.78,6621645
"2016-06-23",40.72,40.75,38.2,39.59,16781910
"2016-06-30",38.96,39.21,38.54,39.21,5333329
"2016-07-07",39,39.95,39,39.85,3774999
"2016-07-14",42.87,43.34,42.43,43.17,6168703
"2016-07-21",39.08,39.27,37.22,37.32,34055734
"2016-07-28",37.47,37.64,37.14,37.47,6339305
"2016-08-04",36.21,36.81,36.09,36.42,7366166
"2016-08-11",36.96,37.53,36.8,37.24,5974554
"2016-08-18",36.85,36.9,36.52,36.84,4370523
"2016-08-25",36.55,36.85,36.43,36.69,3334942
"2016-09-01",36.88,37.25,36.41,36.59,4781378
"2016-09-08",38.54,39.06,38.43,38.76,7353439
"2016-09-15",36.81,37.12,36.45,36.99,4479158
