"","RF.Open","RF.High","RF.Low","RF.Close","RF.Volume"
"2012-08-09",6.89,6.97,6.87,6.97,15703316
"2012-08-16",7.06,7.17,6.98,7.14,14300162
"2012-08-23",7.09,7.12,6.98,7.01,9530413
"2012-08-30",7.01,7.05,6.96,7.03,9792873
"2012-09-06",7.04,7.22,7.03,7.22,19028558
"2012-09-13",7.3,7.63,7.23,7.59,31098067
"2012-09-20",7.57,7.6,7.37,7.58,25497750
"2012-09-27",7.24,7.32,7.16,7.28,16239732
"2012-10-04",7.35,7.63,7.34,7.5,44796255
"2012-10-11",7.66,7.69,7.6,7.62,12062638
"2012-10-18",7.22,7.35,7.15,7.22,21805772
"2012-10-25",6.51,6.61,6.41,6.61,26532933
"2012-11-01",6.54,6.68,6.44,6.68,23304634
"2012-11-08",6.55,6.66,6.38,6.38,27716836
"2012-11-15",6.23,6.41,6.19,6.3,25283856
"2012-11-29",6.65,6.72,6.63,6.67,13023334
"2012-12-06",6.64,6.65,6.48,6.54,10796017
"2012-12-13",6.76,6.8,6.68,6.73,11013102
"2012-12-20",7.05,7.19,7.04,7.18,13766363
"2012-12-27",7.03,7.07,6.9,6.99,10721004
"2013-01-03",7.3,7.37,7.2,7.33,22204094
"2013-01-10",7.33,7.38,7.24,7.35,17756808
"2013-01-17",7.41,7.55,7.35,7.45,20303857
"2013-01-24",7.66,7.73,7.63,7.67,12471040
"2013-01-31",7.61,7.81,7.56,7.78,26416121
"2013-02-07",7.96,8,7.87,7.96,13759739
"2013-02-14",7.82,7.91,7.81,7.91,12751865
"2013-02-21",7.68,7.75,7.54,7.59,23973510
"2013-02-28",7.64,7.72,7.56,7.65,11556573
"2013-03-07",8.07,8.24,8.05,8.22,14124023
"2013-03-14",8.29,8.34,8.16,8.31,22832062
"2013-03-21",8.36,8.39,8.21,8.22,10011292
"2013-03-28",8.2,8.24,8.11,8.19,7841036
"2013-04-04",7.87,7.99,7.86,7.97,8923283
"2013-04-11",8.24,8.24,8.11,8.22,7879436
"2013-04-18",7.81,7.83,7.62,7.67,15995394
"2013-04-25",8.23,8.39,8.23,8.32,15781528
"2013-05-02",8.43,8.55,8.37,8.46,13190656
"2013-05-09",8.8,8.92,8.78,8.81,15172543
"2013-05-16",9.13,9.18,8.9,8.95,14737376
"2013-05-23",8.92,9.09,8.82,8.99,15793837
"2013-05-30",9.26,9.48,9.25,9.38,15414002
"2013-06-06",8.87,9.04,8.83,9.03,15190491
"2013-06-13",9.06,9.18,8.97,9.17,11371472
"2013-06-20",8.96,9.16,8.95,9.06,29192265
"2013-06-27",9.6,9.71,9.54,9.71,20497141
"2013-07-11",10.28,10.29,9.72,9.88,25183016
"2013-07-18",9.96,10.27,9.88,10.23,16416015
"2013-07-25",10.21,10.33,10.1,10.18,16875754
"2013-08-01",10.12,10.3,10.05,10.26,18890712
"2013-08-08",10,10.05,9.88,9.93,11260218
"2013-08-15",9.83,9.9,9.76,9.81,14231111
"2013-08-22",9.86,10.1,9.83,10.06,12848887
"2013-08-29",9.41,9.62,9.39,9.49,10545719
"2013-09-05",9.5,9.64,9.5,9.57,9079617
"2013-09-12",9.54,9.57,9.44,9.48,8418314
"2013-09-19",9.62,9.64,9.15,9.21,36857670
"2013-09-26",9.25,9.32,9.13,9.18,7553462
"2013-10-03",9.33,9.43,9.23,9.3,17761938
"2013-10-10",9.42,9.55,9.38,9.47,25179493
"2013-10-17",9.77,9.95,9.72,9.94,16369967
"2013-10-24",9.5,9.56,9.42,9.54,17386307
"2013-10-31",9.55,9.68,9.49,9.63,46873701
"2013-11-07",9.48,9.5,9.25,9.26,18589140
"2013-11-14",9.72,9.82,9.64,9.81,12778788
"2013-11-21",9.58,9.83,9.58,9.74,11750518
"2013-12-05",9.57,9.68,9.55,9.56,10330833
"2013-12-12",9.41,9.61,9.39,9.52,14537874
"2013-12-19",9.53,9.65,9.52,9.59,10970031
"2013-12-26",9.85,9.91,9.84,9.88,5327175
"2014-01-02",9.86,9.99,9.83,9.89,12170235
"2014-01-09",10.27,10.46,10.27,10.45,33898069
"2014-01-16",10.55,10.57,10.41,10.48,13848317
"2014-01-23",10.94,10.95,10.76,10.92,24656079
"2014-01-30",10.43,10.45,10.3,10.43,8568165
"2014-02-06",9.92,10.28,9.88,10.27,17493314
"2014-02-13",10.16,10.31,10.13,10.3,8496437
"2014-02-20",10.1,10.26,10.03,10.22,13316172
"2014-02-27",10.51,10.59,10.43,10.57,7873475
"2014-03-06",10.78,10.91,10.75,10.83,15090583
"2014-03-13",10.79,10.9,10.65,10.67,14290080
"2014-03-20",11.04,11.37,11.03,11.3,21195204
"2014-03-27",10.94,10.98,10.72,10.79,18555030
"2014-04-03",11.08,11.13,10.91,11.08,12892086
"2014-04-10",10.72,10.78,10.29,10.29,23123011
"2014-04-17",10.32,10.41,10.2,10.22,17835278
"2014-04-24",10.45,10.47,10.26,10.31,11849235
"2014-05-01",10.19,10.27,10.11,10.21,14076297
"2014-05-08",10.21,10.38,10.15,10.17,14772441
"2014-05-15",10.16,10.18,9.9,10.04,20328638
"2014-05-22",10.1,10.16,10.01,10.09,9021353
"2014-05-29",10.09,10.19,10.02,10.1,11312029
"2014-06-05",10.53,10.63,10.4,10.6,16513335
"2014-06-12",10.74,10.8,10.56,10.61,11706404
"2014-06-19",10.74,10.78,10.61,10.69,9665361
"2014-06-26",10.68,10.7,10.52,10.68,9688433
"2014-07-03",10.8,10.96,10.78,10.87,5475067
"2014-07-10",10.47,10.62,10.42,10.55,12190298
"2014-07-17",10.58,10.6,10.18,10.21,23121179
"2014-07-24",10.12,10.32,10.1,10.29,15571847
"2014-07-31",10.23,10.29,10.11,10.14,14883219
"2014-08-07",9.89,9.89,9.65,9.71,12710518
"2014-08-14",9.9,9.97,9.86,9.9,8037036
"2014-08-21",9.96,10.18,9.94,10.12,12002839
"2014-08-28",10.13,10.15,10.06,10.11,5987103
"2014-09-04",10.16,10.26,10.12,10.14,10880728
"2014-09-11",10.14,10.29,10.14,10.28,12638499
"2014-09-18",10.44,10.63,10.42,10.54,21650046
"2014-09-25",10.15,10.17,10.01,10.06,11409020
"2014-10-02",9.89,9.97,9.77,9.91,12609593
"2014-10-09",9.9,9.94,9.72,9.72,19680802
"2014-10-16",8.96,9.21,8.93,9.06,31833478
"2014-10-23",9.39,9.51,9.36,9.41,19928775
"2014-10-30",9.72,9.85,9.65,9.76,14804381
"2014-11-06",10.11,10.27,10.01,10.23,19488213
"2014-11-13",10.19,10.23,10.1,10.17,11572447
"2014-11-20",10.02,10.03,9.93,10.03,14458219
"2014-12-04",9.96,10.11,9.89,10.11,19005032
"2014-12-11",10.15,10.31,10.11,10.17,14805277
"2014-12-18",10.31,10.45,10.3,10.44,19974155
"2015-01-08",9.97,10.04,9.91,10.02,14101121
"2015-01-15",9.07,9.18,8.9,8.99,24860422
"2015-01-22",8.77,9.29,8.76,9.19,31189948
"2015-01-29",8.72,8.88,8.69,8.85,21703450
"2015-02-05",9.09,9.24,9.09,9.2,14320454
"2015-02-12",9.41,9.59,9.35,9.54,16265427
"2015-02-19",9.48,9.56,9.36,9.53,10257917
"2015-02-26",9.61,9.67,9.54,9.62,10429803
"2015-03-05",9.55,9.71,9.45,9.7,10092280
"2015-03-12",9.87,9.96,9.79,9.89,32861873
"2015-03-19",9.68,9.7,9.27,9.5,38704271
"2015-03-26",9.26,9.37,9.17,9.31,19301730
"2015-04-02",9.51,9.64,9.42,9.58,19494395
"2015-04-09",9.63,9.71,9.57,9.67,17433952
"2015-04-16",9.72,9.73,9.6,9.7,19136601
"2015-04-23",9.67,9.7,9.59,9.62,10795480
"2015-04-30",9.79,9.91,9.75,9.83,22080499
"2015-05-07",9.88,9.96,9.78,9.89,15442317
"2015-05-14",10.3,10.31,10.16,10.19,14835743
"2015-05-21",10.22,10.32,10.18,10.24,13552179
"2015-05-28",10.27,10.3,10.13,10.22,10353433
"2015-06-04",10.25,10.35,10.19,10.22,15847769
"2015-06-11",10.64,10.69,10.51,10.56,12486654
"2015-06-18",10.48,10.51,10.27,10.5,16610758
"2015-06-25",10.71,10.73,10.49,10.57,15100383
"2015-07-02",10.33,10.41,10.19,10.27,12811005
"2015-07-09",9.99,10.04,9.93,10,14817598
"2015-07-16",10.42,10.46,10.35,10.39,14450126
"2015-07-23",10.68,10.86,10.52,10.62,25786380
"2015-07-30",10.51,10.6,10.46,10.57,11128546
"2015-08-06",10.53,10.66,10.48,10.57,20280806
"2015-08-13",10.41,10.49,10.33,10.41,13293377
"2015-08-20",10.16,10.2,9.93,9.93,19168626
"2015-08-27",9.4,9.59,9.35,9.56,24059831
"2015-09-03",9.37,9.58,9.31,9.43,13321852
"2015-09-10",9.29,9.58,9.29,9.52,16329041
"2015-09-17",9.55,9.62,9.23,9.29,35164690
"2015-09-24",8.82,8.94,8.78,8.92,10437846
"2015-10-01",9.01,9.07,8.9,9.03,14604698
"2015-10-08",9.17,9.29,9.1,9.26,15348059
"2015-10-15",8.9,9.1,8.84,9.08,17701231
"2015-10-22",9.09,9.3,9.09,9.21,17672858
"2015-10-29",9.67,9.76,9.62,9.64,14582427
"2015-11-05",9.6,9.8,9.58,9.73,20334713
"2015-11-12",9.87,9.9,9.78,9.8,14756499
"2015-11-19",10.03,10.22,9.82,10.14,32049346
"2015-12-03",10.15,10.17,9.93,9.97,15801615
"2015-12-10",9.45,9.74,9.37,9.61,16280945
"2015-12-17",9.98,10.02,9.73,9.73,21232803
"2015-12-24",9.68,9.78,9.66,9.71,3692442
"2015-12-31",9.58,9.73,9.54,9.6,9616292
"2016-01-07",9.05,9.17,8.96,8.96,27113583
"2016-01-14",8.38,8.48,8.17,8.36,43911642
"2016-01-21",7.86,8.08,7.78,7.83,31908135
"2016-01-28",8.08,8.26,7.98,8.01,29477869
"2016-02-04",7.76,8.1,7.74,7.9,22182520
"2016-02-11",7.25,7.3,7,7.08,28279186
"2016-02-18",7.9,7.9,7.51,7.62,24288052
"2016-02-25",7.43,7.55,7.35,7.51,15088551
"2016-03-03",8.11,8.3,8.08,8.28,20972514
"2016-03-10",8,8.09,7.82,7.97,23258039
"2016-03-17",7.98,8.13,7.82,8.12,17715427
"2016-03-24",8.02,8.07,7.82,8.06,11388402
"2016-03-31",7.86,7.95,7.79,7.85,15241726
"2016-04-07",7.68,7.76,7.53,7.6,16754866
"2016-04-14",8.39,8.63,8.36,8.48,35699130
"2016-04-21",9.21,9.26,9.12,9.17,17328927
"2016-04-28",9.47,9.62,9.38,9.42,21401161
"2016-05-05",9.09,9.15,8.98,9.04,16828156
"2016-05-12",9.27,9.36,9.06,9.13,17652451
"2016-05-19",9.52,9.7,9.34,9.47,19341356
"2016-05-26",9.85,9.86,9.68,9.73,13385414
"2016-06-02",9.88,10,9.82,10,11752885
"2016-06-09",9.71,9.73,9.54,9.7,13663194
"2016-06-16",9.01,9.04,8.79,8.97,44565119
"2016-06-23",9.26,9.45,9.24,9.45,12912837
"2016-06-30",8.49,8.51,8.34,8.51,26525463
"2016-07-07",8.18,8.4,8.17,8.25,21554021
"2016-07-14",9.06,9.12,9.01,9.08,20403434
"2016-07-21",8.95,9.09,8.91,8.94,21094840
"2016-07-28",9.06,9.19,9,9.16,13576490
"2016-08-04",9.06,9.11,9.02,9.04,12049578
"2016-08-11",9.26,9.34,9.22,9.3,11666423
"2016-08-18",9.55,9.63,9.52,9.63,12426253
"2016-08-25",9.63,9.74,9.63,9.65,15908752
"2016-09-01",9.99,10.02,9.75,9.85,15272606
"2016-09-08",9.97,10.08,9.87,9.93,17252991
"2016-09-15",9.43,9.66,9.37,9.63,16660765
