"","HOLX.Open","HOLX.High","HOLX.Low","HOLX.Close","HOLX.Volume"
"2015-09-10",38.9,39.66,38.75,39.39,1720824
"2015-09-17",41.64,42.58,41.53,41.99,2415464
"2015-09-24",40.86,41.02,40.4,40.71,2433170
"2015-10-01",39.02,39.25,38.25,39.03,1955687
"2015-10-08",37.41,37.48,36.72,37.2,2806945
"2015-10-15",36.73,37.69,36.59,37.67,2132258
"2015-10-22",37.36,37.52,36.29,36.57,2959225
"2015-10-29",39.49,39.49,38.45,38.67,2249087
"2015-11-05",39.43,40.5,38.44,39.96,3452481
"2015-11-12",40.23,40.55,39.69,39.7,2702368
"2015-11-19",40.46,40.6,39.75,39.85,2044221
"2015-12-03",40.99,41.09,39.06,39.17,2199813
"2015-12-10",37.68,38.19,37.33,37.77,2255263
"2015-12-17",39.17,39.2,38.37,38.4,1876821
"2015-12-24",38.84,39.3,38.7,39.08,434674
"2015-12-31",39.14,39.34,38.5,38.69,934389
"2016-01-07",37.87,38,37.19,37.37,1858978
"2016-01-14",35.23,35.57,34.63,35.36,3167073
"2016-01-21",34.82,35.02,33.76,33.91,2959023
"2016-01-28",34.24,34.24,32.41,33.07,8291680
"2016-02-04",35.16,35.78,34.84,35.21,3527196
"2016-02-11",32.46,32.92,32.18,32.42,3295185
"2016-02-18",34.46,34.98,34.17,34.4,2377175
"2016-02-25",34.77,35.24,34.69,35.15,2071746
"2016-03-03",35.95,36.08,35.65,35.95,1279039
"2016-03-10",34.72,34.99,34.24,34.5,2376131
"2016-03-17",34.39,34.49,33.78,33.94,2349761
"2016-03-24",33.8,34.43,33.69,34.35,1677771
"2016-03-31",34.41,34.7,34.35,34.5,4759454
"2016-04-07",35.52,35.71,35,35.25,1905807
"2016-04-14",36.06,36.54,35.84,36.25,2877741
"2016-04-21",37.41,38.08,37.25,37.5,4523864
"2016-04-28",36,36.25,33.74,33.92,9927462
"2016-05-05",33.92,34.12,33.58,33.75,3354061
"2016-05-12",34.21,34.4,33.64,33.76,2795666
"2016-05-19",33.28,33.49,32.96,33.28,2672103
"2016-05-26",33.59,34.05,33.46,33.85,3567034
"2016-06-02",34.73,35.05,34.57,34.84,3038237
"2016-06-09",34.31,35.02,34.31,34.95,5842231
"2016-06-16",32.96,33.76,32.64,33.7,4725985
"2016-06-23",34.42,35.66,34.17,35.62,4426927
"2016-06-30",34.04,34.6,33.82,34.6,2508203
"2016-07-07",34.7,35.79,34.6,35.5,3322753
"2016-07-14",36.06,36.56,36.04,36.53,2378818
"2016-07-21",36.84,37.04,36.08,36.45,4810880
"2016-07-28",37.85,38.71,37.62,38.27,4563350
"2016-08-04",39.08,39.15,38.01,38.68,2065500
"2016-08-11",38.7,38.89,38.41,38.85,2557952
"2016-08-18",38.03,38.44,37.95,38.38,1456152
"2016-08-25",38.36,38.76,38.3,38.43,2787586
"2016-09-01",38.39,38.58,38.12,38.46,1699124
"2016-09-08",38.58,38.7,38.38,38.5,1669300
"2016-09-15",37.21,37.94,37.21,37.75,1912523
