"","AJG.Open","AJG.High","AJG.Low","AJG.Close","AJG.Volume"
"2012-09-20",36.89,37.11,36.59,37.08,331875
"2012-09-27",35.97,36.05,35.76,35.87,430157
"2012-10-04",36.38,36.63,36.28,36.55,725397
"2012-10-11",36.53,36.61,36.25,36.3,471888
"2012-10-18",36.47,36.78,36.37,36.43,256884
"2012-10-25",35.49,35.79,35.05,35.29,375148
"2012-11-01",35.29,35.97,34.98,35.91,879240
"2012-11-08",35.56,35.7,35.27,35.34,444689
"2012-11-15",35.36,35.48,35.03,35.42,426881
"2012-11-29",36.4,36.4,35.78,36.3,489844
"2012-12-06",36.5,36.6,36.29,36.38,296508
"2012-12-13",35.6,35.79,35.51,35.56,502331
"2012-12-20",35.35,35.61,35.22,35.61,559278
"2012-12-27",34.84,34.93,34.43,34.66,526241
"2013-01-03",35.56,35.67,35.16,35.34,685667
"2013-01-10",35.7,35.77,35.55,35.69,438758
"2013-01-17",35.37,35.55,35.21,35.47,419599
"2013-01-24",35.74,35.87,35.33,35.37,674831
"2013-01-31",36.5,37.19,36.5,36.95,3126578
"2013-02-07",38.09,38.24,37.83,38.01,512626
"2013-02-14",38.43,38.93,38.43,38.82,719755
"2013-02-21",38.56,38.68,38.36,38.45,600890
"2013-02-28",38.38,38.83,38.29,38.48,633547
"2013-03-07",38.47,38.57,38.28,38.42,449205
"2013-03-14",39.17,39.64,39.17,39.52,525397
"2013-03-21",40.1,40.38,40.09,40.23,865391
"2013-03-28",40.95,41.31,40.91,41.31,1293816
"2013-04-04",41.14,41.53,40.96,41.1,564796
"2013-04-11",41.58,42.69,41.58,42.39,1205456
"2013-04-18",41.95,41.95,41.62,41.79,833991
"2013-04-25",42.25,42.46,42.1,42.21,316948
"2013-05-02",42.53,43.25,42.38,43.09,1031962
"2013-05-09",44.42,44.64,44.27,44.35,517484
"2013-05-16",45.56,45.87,45.46,45.55,608621
"2013-05-23",44.64,44.77,44.32,44.66,484726
"2013-05-30",44.56,44.96,44.49,44.82,405656
"2013-06-06",42.56,43.16,42.5,43.16,634084
"2013-06-13",43.44,44.43,43.12,44.37,452594
"2013-06-20",43.53,43.64,42.68,42.7,864025
"2013-06-27",43.37,44.03,43.23,43.87,323634
"2013-07-11",45,45.36,44.88,45.33,598234
"2013-07-18",44.65,45.21,44.65,44.94,852283
"2013-07-25",43.99,44.35,43.84,43.99,448322
"2013-08-01",44.85,45.68,44.33,44.82,1095810
"2013-08-08",44.25,44.49,43.97,44.25,490173
"2013-08-15",43.62,43.83,43,43.09,495390
"2013-08-22",42.85,42.98,42.52,42.81,372006
"2013-08-29",41.66,42.41,41.66,42.1,523043
"2013-09-05",42.82,42.97,42.58,42.92,781776
"2013-09-12",44.25,44.46,44.05,44.14,828761
"2013-09-19",44.75,44.79,44.28,44.3,767283
"2013-09-26",44.3,44.5,44.06,44.19,288152
"2013-10-03",44.11,44.16,43.57,43.81,483104
"2013-10-10",44.3,44.79,44.21,44.74,1164610
"2013-10-17",45.84,46.72,45.84,46.64,581121
"2013-10-24",47.76,48.11,47.57,47.67,425399
"2013-10-31",47.27,47.81,46.96,47.45,1878486
"2013-11-07",47.42,47.56,46.74,46.77,575057
"2013-11-14",47.77,48.49,47.68,48.11,509301
"2013-11-21",47.42,47.77,47.27,47.45,685327
"2013-12-05",45.49,46.11,45.43,46.09,553971
"2013-12-12",45.92,46.11,45.85,45.92,597288
"2013-12-19",45.84,46.37,45.81,46.01,1208919
"2013-12-26",46.25,46.49,46.12,46.17,895095
"2014-01-02",46.67,46.89,46.09,46.15,483694
"2014-01-09",47.27,47.98,47.22,47.98,849441
"2014-01-16",48.56,48.79,48.42,48.78,697711
"2014-01-23",49.23,49.32,48.34,48.44,737309
"2014-01-30",47.26,47.26,46.32,46.55,836974
"2014-02-06",44.84,45.05,44.53,44.58,726443
"2014-02-13",45,45.64,44.97,45.61,427287
"2014-02-20",45.58,46.13,45.47,46.06,346741
"2014-02-27",45.63,46.05,45.31,45.96,443645
"2014-03-06",46.96,47.28,46.72,47.22,382768
"2014-03-13",46.97,46.97,46.23,46.36,604512
"2014-03-20",46.67,47.01,46.53,47.01,595642
"2014-03-27",49.38,49.38,46.54,46.7,285294
"2014-04-03",48.24,48.38,47.92,48,648737
"2014-04-10",44.39,44.51,43.3,43.66,2808005
"2014-04-17",45.29,45.29,44.97,45.17,1613479
"2014-04-24",45.04,45.2,44.52,44.67,1292803
"2014-05-01",45.11,45.5,44.83,45.08,1130052
"2014-05-08",44.64,45.3,44.58,45.04,2015688
"2014-05-15",44.99,45.03,44.52,44.95,782321
"2014-05-22",45.89,46.32,45.82,45.89,1030070
"2014-05-29",47.68,47.68,45.76,45.96,857863
"2014-06-05",46.17,46.41,45.88,45.89,1007259
"2014-06-12",45.79,45.8,45.47,45.7,424677
"2014-06-19",46.45,46.46,46.14,46.26,482488
"2014-06-26",46.82,46.82,46.05,46.36,661887
"2014-07-03",46.71,46.86,46.5,46.77,307070
"2014-07-10",46.14,46.75,46.04,46.58,546558
"2014-07-17",46.27,46.57,45.97,46.06,634529
"2014-07-24",46.68,46.92,46.61,46.64,509953
"2014-07-31",45.59,45.86,44.98,45,1022769
"2014-08-07",44.82,45.16,44.8,44.94,952056
"2014-08-14",45.61,45.85,45.61,45.81,399395
"2014-08-21",46.29,46.72,46.25,46.69,454676
"2014-08-28",46.97,47.27,46.86,47.09,433605
"2014-09-04",46.69,46.89,46.36,46.46,416935
"2014-09-11",45.96,46.19,45.87,46.03,714301
"2014-09-18",45.68,45.8,45.44,45.46,596778
"2014-09-25",45.32,45.32,44.76,44.76,863769
"2014-10-02",44.76,44.99,44.44,44.76,577004
"2014-10-09",45.16,45.37,44.69,44.82,1082642
"2014-10-16",43.48,44.02,43.36,43.89,1154218
"2014-10-23",45.66,45.68,45.27,45.37,614455
"2014-10-30",47.28,47.43,46.69,47.06,832343
"2014-11-06",48.19,48.23,47.93,48.08,1017901
"2014-11-13",48.03,48.33,47.88,47.92,482042
"2014-11-20",47.46,47.9,47.46,47.81,313257
"2014-12-04",48.11,48.65,48.02,48.65,615026
"2014-12-11",47.87,48.33,47.69,47.8,606844
"2014-12-18",47.37,47.5,47.15,47.43,979334
"2015-01-08",47.3,48.04,47.17,47.88,803555
"2015-01-15",46.96,47.44,46.66,46.7,551980
"2015-01-22",45.64,46.17,45.37,46.17,803524
"2015-01-29",45.02,45.17,44.49,45.09,753896
"2015-02-05",46.21,46.56,46,46.45,878981
"2015-02-12",46.99,47.26,46.79,47.23,863733
"2015-02-19",48.25,48.71,48.24,48.5,1435152
"2015-02-26",47.35,47.39,47.11,47.32,551190
"2015-03-05",46.5,46.73,46.19,46.46,878625
"2015-03-12",46.41,46.96,46.41,46.92,682866
"2015-03-19",47.51,47.78,47.38,47.59,726212
"2015-03-26",46.24,46.92,46.08,46.63,848679
"2015-04-02",46.6,46.97,46.37,46.86,847413
"2015-04-09",47.21,47.5,46.96,47.37,553921
"2015-04-16",47.77,48.21,47.71,47.98,753594
"2015-04-23",47.48,48.02,47.48,47.76,1004970
"2015-04-30",48.43,48.47,47.71,47.83,1145096
"2015-05-07",47.62,47.89,47.39,47.74,757566
"2015-05-14",48.55,48.55,48.22,48.36,1626397
"2015-05-21",49.38,49.46,49.11,49.18,870882
"2015-05-28",49.08,49.18,48.61,48.8,1061854
"2015-06-04",48.07,48.3,47.78,47.86,615369
"2015-06-11",48.14,48.64,48,48.64,1311807
"2015-06-18",49.33,49.5,49.09,49.22,1256334
"2015-06-25",48.86,48.86,48.31,48.43,538685
"2015-07-02",47.78,47.8,47.33,47.58,668635
"2015-07-09",47.49,47.54,47.2,47.32,691246
"2015-07-16",48.16,48.19,47.84,48.19,677333
"2015-07-23",47.71,48.04,47.59,47.67,755471
"2015-07-30",47.74,47.86,47.56,47.66,780989
"2015-08-06",47.91,48.12,47.33,47.46,642286
"2015-08-13",47.1,47.43,46.88,47.03,989280
"2015-08-20",46.75,46.83,46.33,46.33,596604
"2015-08-27",43.85,44.34,43.57,44.24,882640
"2015-09-03",42.47,42.65,42.34,42.4,1585798
"2015-09-10",42.01,42.43,41.99,42.1,953506
"2015-09-17",42.51,42.91,42.25,42.47,1199852
"2015-09-24",41.85,41.96,41.57,41.88,1266828
"2015-10-01",41.19,41.35,40.67,41.24,891426
"2015-10-08",42.11,42.63,41.92,42.55,840495
"2015-10-15",42.67,42.77,42.21,42.49,1082456
"2015-10-22",43.34,43.8,43.23,43.58,943965
"2015-10-29",43.73,44.29,43.73,44.15,1276280
"2015-11-05",43.99,44.16,43.78,44.09,845938
"2015-11-12",43.96,44.1,43.27,43.27,612112
"2015-11-19",43.74,43.96,43.53,43.87,675024
"2015-12-03",43.51,43.63,42.76,42.96,1034568
"2015-12-10",43.17,43.58,42.89,43.45,1290794
"2015-12-17",42.47,42.69,41.05,41.26,2512445
"2015-12-24",41.06,41.3,40.78,41.15,388921
"2015-12-31",41.2,41.54,40.93,40.94,855606
"2016-01-07",38.82,38.96,38.35,38.71,1265477
"2016-01-14",37.08,38.08,36.78,37.7,2085323
"2016-01-21",36.9,37.17,36.67,36.75,916530
"2016-01-28",37.31,37.56,36.22,36.24,3477696
"2016-02-04",38.38,38.86,38.05,38.68,1448525
"2016-02-11",37.29,38.07,37.19,37.82,1242685
"2016-02-18",39.36,39.81,39.1,39.72,1187258
"2016-02-25",39.69,40.01,39.49,40.01,646935
"2016-03-03",40.26,40.69,40.13,40.69,752113
"2016-03-10",41.3,41.52,40.94,41.51,845347
"2016-03-17",42.94,43.9,42.94,43.71,844985
"2016-03-24",43.84,44,43.66,43.98,506166
"2016-03-31",44.32,44.67,44.29,44.48,896929
"2016-04-07",43.7,43.8,43.17,43.43,1090277
"2016-04-14",44.72,44.88,44.49,44.69,678703
"2016-04-21",45.2,45.53,44.74,44.75,781118
"2016-04-28",44.86,44.95,44.35,44.43,993266
"2016-05-05",47.24,47.43,46.96,47.08,895322
"2016-05-12",47.37,47.54,47.2,47.49,564998
"2016-05-19",47.27,47.7,47.11,47.62,926222
"2016-05-26",48.2,48.26,47.85,48.01,1831220
"2016-06-02",47.84,48.25,47.61,48.25,1144685
"2016-06-09",47.84,48.36,47.66,48.36,1617973
"2016-06-16",46.18,46.61,46.01,46.61,927042
"2016-06-23",47.3,47.56,47.12,47.56,902852
"2016-06-30",46.58,47.62,46.33,47.6,1292604
"2016-07-07",47.99,48.19,47.69,48,877198
"2016-07-14",49.13,49.26,48.74,48.95,1638120
"2016-07-21",48.7,48.9,48.52,48.63,721837
"2016-07-28",49.36,49.53,49.13,49.41,1286119
"2016-08-04",48.85,49.3,48.81,48.9,1057066
"2016-08-11",49.75,49.97,49.67,49.75,663443
"2016-08-18",48.66,48.73,48.4,48.52,1480310
"2016-08-25",48.55,49,48.48,48.89,833348
"2016-09-01",49.44,49.54,49.06,49.42,583553
"2016-09-08",50.4,50.49,50.18,50.29,657519
"2016-09-15",49.3,50.14,49.3,50.02,785116
