"","IPG.Open","IPG.High","IPG.Low","IPG.Close","IPG.Volume"
"2013-02-07",12.19,12.22,11.91,12.08,4430881
"2013-02-14",12.35,12.51,12.35,12.49,3183446
"2013-02-21",12.44,12.51,12.13,12.25,6352840
"2013-02-28",12.7,12.89,12.66,12.78,8179108
"2013-03-07",12.75,13.04,12.74,13.01,4965081
"2013-03-14",13.41,13.43,13.23,13.38,3389897
"2013-03-21",13.01,13.11,12.87,12.95,4710398
"2013-03-28",13.01,13.14,12.98,13.03,6535765
"2013-04-04",12.95,13.06,12.92,13.01,6796496
"2013-04-11",13.66,13.7,13.51,13.64,3629794
"2013-04-18",13.13,13.3,12.85,12.92,5897947
"2013-04-25",14.03,14.35,13.93,14.19,7823485
"2013-05-02",13.63,14,13.58,13.94,5385076
"2013-05-09",14.49,14.76,14.46,14.75,4682395
"2013-05-16",14.89,14.98,14.64,14.7,2704611
"2013-05-23",14.27,14.49,14.21,14.33,3505064
"2013-05-30",14.42,14.51,14.37,14.44,2489822
"2013-06-06",13.8,14.2,13.7,14.13,4703790
"2013-06-13",14.29,14.79,14.25,14.71,3865723
"2013-06-20",14.42,14.47,14.19,14.28,4105678
"2013-06-27",14.62,14.72,14.53,14.65,3193013
"2013-07-11",15.66,15.72,15.49,15.59,3107719
"2013-07-18",15.64,15.97,15.62,15.79,5694785
"2013-07-25",15.7,15.84,15.64,15.67,3872810
"2013-08-01",16.59,16.73,16.43,16.5,6772761
"2013-08-08",16.06,16.08,15.93,16.01,2473701
"2013-08-15",15.94,16.04,15.83,15.83,4007377
"2013-08-22",15.89,16.04,15.87,16,1578962
"2013-08-29",15.57,16.12,15.52,15.89,3953104
"2013-09-05",16.12,16.32,16.12,16.14,2037283
"2013-09-12",16.82,16.95,16.71,16.73,2249394
"2013-09-19",17.12,17.54,17.09,17.51,7977367
"2013-09-26",17.11,17.28,16.91,17.28,2594614
"2013-10-03",17.04,17.08,16.74,16.83,4251165
"2013-10-10",16.54,16.73,16.51,16.68,5106340
"2013-10-17",16.94,16.99,16.72,16.89,8194671
"2013-10-24",15.45,16,15.28,15.91,17054643
"2013-10-31",16.61,16.88,16.52,16.8,6716364
"2013-11-07",17.05,17.16,16.69,16.7,5105226
"2013-11-14",17.06,17.32,17.02,17.28,4585738
"2013-11-21",17.04,17.3,16.97,17.3,3259003
"2013-12-05",16.98,16.99,16.74,16.77,4453093
"2013-12-12",16.7,16.88,16.67,16.68,2955006
"2013-12-19",16.83,16.99,16.73,16.78,3179040
"2013-12-26",17.16,17.35,17.15,17.33,2314556
"2014-01-02",17.6,17.66,17.47,17.6,3238010
"2014-01-09",17.53,17.58,17.26,17.4,5339560
"2014-01-16",17.67,17.7,17.49,17.54,3146508
"2014-01-23",17.42,17.42,17.18,17.21,2734502
"2014-01-30",16.6,16.7,16.49,16.57,2757035
"2014-02-06",16.36,16.7,16.32,16.7,5406498
"2014-02-13",16.89,17.14,16.82,17.13,3569270
"2014-02-20",16.77,17.04,16.72,17.02,3963329
"2014-02-27",17.06,17.49,16.98,17.49,5977242
"2014-03-06",17.37,17.65,17.35,17.59,4671638
"2014-03-13",17.51,17.57,17.3,17.39,5290764
"2014-03-20",17.06,17.29,17.01,17.15,3095205
"2014-03-27",16.61,16.78,16.56,16.76,4001960
"2014-04-03",17.3,17.44,17.07,17.09,3985265
"2014-04-10",16.72,16.86,16.44,16.48,4138205
"2014-04-17",17,17.1,16.89,16.93,3303133
"2014-04-24",17.53,17.54,16.98,17.3,6374675
"2014-05-01",17.46,17.56,17.33,17.34,3557133
"2014-05-08",17.46,17.78,17.38,17.45,3692743
"2014-05-15",17.71,17.73,17.38,17.56,4358039
"2014-05-22",18.28,18.55,18.14,18.55,9316498
"2014-05-29",19.03,19.5,18.96,19.11,12741489
"2014-06-05",19.4,19.6,19.36,19.58,3828131
"2014-06-12",19.65,19.72,19.49,19.56,7310576
"2014-06-19",19.51,19.69,19.23,19.5,6120472
"2014-06-26",19.44,19.51,19.28,19.4,4678288
"2014-07-03",19.53,19.55,19.36,19.39,4633756
"2014-07-10",19,19.16,18.86,19.13,9160907
"2014-07-17",19.17,19.28,18.98,19.03,7560535
"2014-07-24",20.37,20.37,19.84,20.15,12131026
"2014-07-31",19.98,20.01,19.67,19.71,6028122
"2014-08-07",19.54,19.67,19.23,19.25,4075896
"2014-08-14",19.85,19.91,19.75,19.85,2223654
"2014-08-21",19.96,19.99,19.87,19.92,4692084
"2014-08-28",19.87,19.91,19.73,19.77,2847415
"2014-09-04",19.61,19.83,19.53,19.62,7845969
"2014-09-11",19.18,19.31,19.12,19.23,3024502
"2014-09-18",18.62,18.8,18.61,18.74,2148170
"2014-09-25",18.15,18.21,17.94,18.14,5531888
"2014-10-02",17.87,17.94,17.39,17.8,5564289
"2014-10-09",17.72,17.72,17.03,17.07,4014697
"2014-10-16",16.75,17.45,16.75,17.32,8388976
"2014-10-23",18.56,18.7,18.36,18.62,3932245
"2014-10-30",18.84,19.38,18.7,19.2,4957634
"2014-11-06",19.24,19.4,19.15,19.39,2224266
"2014-11-13",19.5,19.65,19.33,19.41,2398258
"2014-11-20",19.8,20.07,19.79,20,5727301
"2014-12-04",20.47,20.56,20.38,20.51,1400864
"2014-12-11",20.22,20.39,20.09,20.15,2173534
"2014-12-18",19.82,19.91,19.65,19.89,2650760
"2015-01-08",19.84,20.56,19.79,20.55,5012732
"2015-01-15",20.12,20.2,19.52,19.66,4896128
"2015-01-22",20.41,20.91,20.23,20.86,4350441
"2015-01-29",19.76,20.29,19.48,20.28,4020761
"2015-02-05",20.61,20.88,20.5,20.86,2702393
"2015-02-12",20.83,21.25,20.81,21.16,2774800
"2015-02-19",22.26,22.44,22.15,22.31,2029106
"2015-02-26",22.4,22.5,22.28,22.46,2143456
"2015-03-05",22.47,22.47,22.01,22.02,2717386
"2015-03-12",21.46,21.7,21.38,21.7,3137180
"2015-03-19",21.87,21.97,21.74,21.91,1917681
"2015-03-26",21.54,21.8,21.44,21.76,2703532
"2015-04-02",21.99,22.24,21.94,22.12,2599038
"2015-04-09",21.93,21.97,21.64,21.75,2430351
"2015-04-16",21.35,21.35,21.07,21.07,6501019
"2015-04-23",21.33,21.39,21.09,21.16,5046044
"2015-04-30",20.75,21.13,20.68,20.84,6042693
"2015-05-07",20.64,20.89,20.53,20.71,3340831
"2015-05-14",20.96,21.2,20.93,21.14,2336433
"2015-05-21",20.91,21.21,20.78,21.02,2850256
"2015-05-28",20.75,20.8,20.52,20.64,2656128
"2015-06-04",20.49,20.6,20.18,20.21,2088177
"2015-06-11",20.19,20.24,19.99,20.15,2790034
"2015-06-18",20.09,20.34,20.06,20.23,2771453
"2015-06-25",19.75,19.95,19.66,19.79,4209595
"2015-07-02",19.35,19.47,19.14,19.27,3725811
"2015-07-09",19.29,19.51,19.26,19.29,5112955
"2015-07-16",19.89,20.12,19.75,20.11,3376936
"2015-07-23",20.96,21.16,20.69,20.77,4374649
"2015-07-30",21.13,21.27,20.87,21.22,2487673
"2015-08-06",21.17,21.17,20.2,20.75,6837595
"2015-08-13",21.32,21.35,21.07,21.08,2460721
"2015-08-20",20.7,20.7,20.23,20.24,2352587
"2015-08-27",19.28,19.41,18.88,19.24,5706631
"2015-09-03",18.93,19.26,18.83,19.14,3989185
"2015-09-10",19.09,19.41,19.02,19.22,1920706
"2015-09-17",20.3,20.72,20.25,20.48,4434587
"2015-09-24",19.53,19.53,19.23,19.47,5516340
"2015-10-01",19.11,19.23,18.81,19.19,4545017
"2015-10-08",20.16,20.92,20.15,20.89,6138860
"2015-10-15",20.99,21.32,20.83,21.24,4951704
"2015-10-22",21.96,22.24,21.87,22.18,5186150
"2015-10-29",22.63,22.87,22.55,22.76,3667774
"2015-11-05",23,23.06,22.76,22.76,3587898
"2015-11-12",22.81,23.1,22.73,22.87,2451505
"2015-11-19",23.11,23.43,23.08,23.3,2612417
"2015-12-03",23.17,23.27,22.78,22.95,3566673
"2015-12-10",23.21,23.46,23.1,23.29,2900905
"2015-12-17",22.86,22.92,22.49,22.49,2738191
"2015-12-24",23.59,23.69,23.47,23.55,974259
"2015-12-31",23.47,23.51,23.04,23.28,3023113
"2016-01-07",22.38,22.7,22.1,22.16,3355663
"2016-01-14",21.76,22.36,21.65,22.31,7341468
"2016-01-21",21.1,21.9,20.96,21.65,7452972
"2016-01-28",22.31,22.31,21.91,22,3436398
"2016-02-04",22.03,22.24,21.8,21.91,4530468
"2016-02-11",20.08,20.55,19.97,20.36,6570032
"2016-02-18",20.89,21.04,20.7,20.87,4451968
"2016-02-25",21.49,21.68,21.3,21.58,4945261
"2016-03-03",21.39,21.46,21.15,21.44,3862926
"2016-03-10",21.29,21.37,20.82,21.02,4228047
"2016-03-17",21.38,21.64,21.33,21.53,2372260
"2016-03-24",21.57,21.62,21.44,21.52,3187788
"2016-03-31",22.88,23.11,22.78,22.95,5536223
"2016-04-07",23.02,23.06,22.72,22.76,3441916
"2016-04-14",23.53,23.75,23.41,23.44,8347456
"2016-04-21",23.3,23.51,23.21,23.43,4616824
"2016-04-28",23.22,23.42,23,23.05,3117779
"2016-05-05",23.31,23.44,23.22,23.32,3809045
"2016-05-12",23.8,23.87,23.59,23.86,3854823
"2016-05-19",23.4,23.63,23.22,23.6,5750135
"2016-05-26",23.54,23.59,23.47,23.49,2756111
"2016-06-02",23.77,24.01,23.74,23.97,3301310
"2016-06-09",24.14,24.32,24.07,24.19,3911661
"2016-06-16",23.58,23.78,23.38,23.76,2921103
"2016-06-23",24.78,24.82,24.45,24.6,4390231
"2016-06-30",23.16,23.21,22.98,23.1,5255017
"2016-07-07",23.14,23.47,23.12,23.29,3791613
"2016-07-14",24.06,24.06,23.56,23.85,5258814
"2016-07-21",22.63,23.45,22.34,22.81,21539995
"2016-07-28",23.06,23.2,22.9,23.05,3648862
"2016-08-04",22.58,22.86,22.49,22.78,3826612
"2016-08-11",22.85,23.1,22.85,23.03,2449673
"2016-08-18",23.07,23.27,22.99,23.07,3067512
"2016-08-25",23,23.16,22.73,22.78,3249498
"2016-09-01",23.17,23.34,22.88,22.97,2558839
"2016-09-08",23.12,23.12,22.88,23.01,3274714
"2016-09-15",22.28,22.75,22.28,22.67,2624172
