"","UDR.Open","UDR.High","UDR.Low","UDR.Close","UDR.Volume"
"2013-07-11",25.72,26.11,25.72,26.1,2424914
"2013-07-18",26.08,26.35,26,26.1,1021842
"2013-07-25",25.32,25.58,25.28,25.52,1076721
"2013-08-01",25.18,25.33,24.94,25.11,2692262
"2013-08-08",24.6,24.65,24.09,24.24,1816199
"2013-08-15",23.49,23.55,22.95,23.07,2021477
"2013-08-22",22.81,22.9,22.47,22.77,1242986
"2013-08-29",22.67,22.85,22.48,22.85,1504095
"2013-09-05",22.6,22.62,22.25,22.38,894193
"2013-09-12",23.94,24.11,23.76,23.87,1909268
"2013-09-19",24.85,25.08,24.69,24.74,1636486
"2013-09-26",23.75,23.99,23.74,23.99,1028149
"2013-10-03",24.05,24.1,23.51,23.58,1640207
"2013-10-10",23.56,23.9,23.3,23.83,1761839
"2013-10-17",24.45,24.99,24.45,24.95,1737685
"2013-10-24",25.13,25.17,24.27,24.55,2584984
"2013-10-31",24.99,25.02,24.51,24.81,1877325
"2013-11-07",24.43,24.49,23.93,23.97,1363353
"2013-11-14",23.93,24.17,23.89,23.91,869428
"2013-11-21",23.5,23.73,23.32,23.73,1019950
"2013-12-05",24,24.14,23.74,24.11,1615672
"2013-12-12",24.22,24.23,23.66,23.69,1494754
"2013-12-19",23.5,23.57,22.98,23.1,2125481
"2013-12-26",23.34,23.53,23.23,23.3,685837
"2014-01-02",23.31,23.57,23.1,23.27,1427884
"2014-01-09",23.46,23.55,23.14,23.46,1579338
"2014-01-16",23.85,24.07,23.83,23.97,1803988
"2014-01-23",24.1,24.16,23.92,23.97,1409173
"2014-01-30",23.84,24.65,23.77,24.4,2397317
"2014-02-06",24.84,25.34,24.72,25.26,2737347
"2014-02-13",25.82,26.11,25.75,25.89,1953048
"2014-02-20",25.92,26.11,25.69,25.77,1104993
"2014-02-27",25.85,25.96,25.65,25.77,1117181
"2014-03-06",26.62,26.64,26.15,26.32,1172576
"2014-03-13",25.95,25.95,25.45,25.65,1117308
"2014-03-20",25.17,25.46,25.07,25.46,1086288
"2014-03-27",25.53,25.65,25.3,25.63,1354740
"2014-04-03",25.82,25.97,25.65,25.71,1010235
"2014-04-10",25.85,25.97,25.53,25.63,1450090
"2014-04-17",25.61,25.68,25.28,25.43,1292821
"2014-04-24",25.62,25.86,25.56,25.84,793726
"2014-05-01",25.97,26.08,25.51,25.95,2019534
"2014-05-08",26.81,27.03,26.69,26.98,1763397
"2014-05-15",27.17,27.38,27.05,27.37,1595422
"2014-05-22",27.55,27.68,27.44,27.46,1505522
"2014-05-29",27.5,27.57,27.4,27.51,1233267
"2014-06-05",27.83,28.26,27.73,28.24,1320034
"2014-06-12",27.39,27.48,27.13,27.45,1136573
"2014-06-19",27.8,28.08,27.68,28.07,1022146
"2014-06-26",28.39,28.49,28.34,28.47,986345
"2014-07-03",28.62,28.63,28.37,28.47,634033
"2014-07-10",28.3,28.6,28.24,28.44,932504
"2014-07-17",28.67,28.85,28.58,28.61,798643
"2014-07-24",28.76,28.96,28.65,28.83,1324875
"2014-07-31",29.24,29.33,28.99,29.08,2517696
"2014-08-07",29.05,29.26,28.97,29.14,1675816
"2014-08-14",29.76,29.83,29.46,29.51,812230
"2014-08-21",30.01,30.25,29.87,29.95,1191316
"2014-08-28",29.7,29.83,29.6,29.76,584951
"2014-09-04",30.16,30.33,29.95,30.05,1094094
"2014-09-11",29.29,29.43,29.12,29.33,1209848
"2014-09-18",28.13,28.26,27.83,27.86,972969
"2014-09-25",27.26,27.35,27.04,27.18,1206949
"2014-10-02",27.41,27.56,27.22,27.36,1107142
"2014-10-09",27.81,28.21,27.79,27.93,2129523
"2014-10-16",28.91,29.12,28.59,28.82,2608403
"2014-10-23",29.51,29.68,29.31,29.6,1387289
"2014-10-30",29.46,29.72,29.35,29.66,1326689
"2014-11-06",30.48,30.72,30.18,30.26,1355719
"2014-11-13",30.26,30.45,30.06,30.26,1239564
"2014-11-20",29.65,29.7,29.47,29.65,1069488
"2014-12-04",30.73,30.83,30.56,30.77,1156819
"2014-12-11",31.42,31.57,31.2,31.5,1487664
"2014-12-18",31.18,31.3,30.98,31.07,1554488
"2015-01-08",31.89,31.95,31.61,31.9,2929245
"2015-01-15",32.6,32.79,32.44,32.75,2023558
"2015-01-22",32.82,33.63,32.77,33.63,1501237
"2015-01-29",34.25,34.36,33.75,33.97,1557884
"2015-02-05",33.33,33.48,33.12,33.48,1597156
"2015-02-12",32.26,32.73,32.14,32.67,1688814
"2015-02-19",32.57,32.58,31.73,31.83,1567639
"2015-02-26",31.81,31.84,31.41,31.49,1445951
"2015-03-05",32.07,32.55,32.07,32.25,2052361
"2015-03-12",32.11,32.81,32.06,32.75,2967016
"2015-03-19",34.2,34.62,34.16,34.25,1997325
"2015-03-26",33.92,34.11,33.65,33.77,1121159
"2015-04-02",33.71,34.16,33.61,33.98,1313483
"2015-04-09",33.75,33.89,32.76,32.91,1161736
"2015-04-16",32.3,32.74,32.18,32.59,861764
"2015-04-23",33.16,33.41,33.06,33.34,1064293
"2015-04-30",33.35,33.47,32.5,32.77,3450859
"2015-05-07",32.39,33.13,32.32,33.01,1565056
"2015-05-14",32.68,33.13,32.66,33.09,1201622
"2015-05-21",33.12,33.13,32.69,32.82,912477
"2015-05-28",33.19,33.24,32.94,33.12,1502351
"2015-06-04",31.76,31.94,31.52,31.72,1047925
"2015-06-11",32.12,32.4,32.05,32.4,1664008
"2015-06-18",33.04,33.74,33.04,33.64,1505765
"2015-06-25",32.61,32.79,32.37,32.37,1657207
"2015-07-02",32.89,33.27,32.75,32.86,1898298
"2015-07-09",33.23,33.26,32.86,32.99,1767833
"2015-07-16",33.46,33.99,33.39,33.51,869728
"2015-07-23",33.63,33.64,33.16,33.41,1673911
"2015-07-30",33.28,33.44,33.14,33.42,1171320
"2015-08-06",33.92,34.15,33.53,34.12,1512291
"2015-08-13",34.76,34.94,34.43,34.83,1341491
"2015-08-20",34.79,35.14,34.35,34.89,2299276
"2015-08-27",32.19,32.92,31.9,32.77,2005615
"2015-09-03",31.86,32.1,31.71,31.78,898582
"2015-09-10",31.14,31.75,31.05,31.37,1089382
"2015-09-17",33.25,34.11,33,33.53,1948891
"2015-09-24",33.86,34.09,33.28,33.62,1688138
"2015-10-01",34.6,34.78,34.26,34.68,1661805
"2015-10-08",35.11,35.42,34.23,35.24,2258898
"2015-10-15",35.09,35.97,35.09,35.57,1321188
"2015-10-22",36.18,36.31,35.64,35.77,2757841
"2015-10-29",35.15,35.34,34.82,35.17,1294110
"2015-11-05",34.93,35.3,34.75,35.27,862342
"2015-11-12",34.49,34.76,34.27,34.49,1585025
"2015-11-19",35.57,36,35.4,35.82,1329963
"2015-12-03",36.61,36.81,35.94,36.04,1644248
"2015-12-10",35.97,36.1,35.16,35.7,1677221
"2015-12-17",37.02,37.2,36.05,36.57,2308296
"2015-12-24",36.91,37.02,36.64,36.93,442616
"2015-12-31",37.82,37.99,36.92,37.57,1635580
"2016-01-07",36.25,36.75,36.25,36.47,1973936
"2016-01-14",36.06,36.29,35.44,35.44,1734837
"2016-01-21",34.98,35.27,34.5,34.77,1539430
"2016-01-28",35.68,35.91,34.91,35.04,1878890
"2016-02-04",36.16,37.19,35.82,36.77,2820012
"2016-02-11",33.32,33.52,32.9,33.15,1384989
"2016-02-18",33.73,34.14,33.56,33.9,1450691
"2016-02-25",33.95,34.54,33.85,34.53,1660810
"2016-03-03",36.26,36.54,35.7,36.53,1405461
"2016-03-10",36.06,36.2,35.24,35.69,1876815
"2016-03-17",37.29,38.21,37.25,38.1,1961062
"2016-03-24",37.07,37.19,36.74,37.05,1003107
"2016-03-31",38.21,38.6,38.07,38.53,1383873
"2016-04-07",37.76,37.94,37.17,37.7,2099552
"2016-04-14",35.92,36.05,35.2,35.53,1964294
"2016-04-21",35.81,36.21,35.38,35.47,1403099
"2016-04-28",35.2,35.72,35.05,35.22,1829977
"2016-05-05",36.11,36.7,35.97,36.51,1500022
"2016-05-12",36.59,36.92,36.24,36.81,1238346
"2016-05-19",35.37,35.45,35.02,35.3,1200346
"2016-05-26",35.97,36,35.37,35.92,1324820
"2016-06-02",35.03,35.17,34.67,35.14,1808388
"2016-06-09",33.55,34.02,33.48,33.71,1942290
"2016-06-16",34.36,34.92,34.36,34.9,1920325
"2016-06-23",35.52,35.99,35.06,35.2,1105920
"2016-06-30",36.4,36.93,36.1,36.92,1916926
"2016-07-07",36.83,36.93,36.35,36.61,1088581
"2016-07-14",37.62,37.62,36.85,36.97,1630563
"2016-07-21",36.7,36.97,36.51,36.9,991779
"2016-07-28",36.06,36.92,35.83,36.56,1839892
"2016-08-04",37.03,37.1,36.75,36.87,1752788
"2016-08-11",37.17,37.17,36.47,36.81,1433670
"2016-08-18",36.31,36.59,36.11,36.35,1170409
"2016-08-25",35.81,36.55,35.76,36.1,1206881
"2016-09-01",36.21,36.31,35.87,36.09,1049792
"2016-09-08",36.61,36.61,35.63,35.64,4290030
"2016-09-15",34.62,34.91,34.36,34.87,1691153
