"","PCG.Open","PCG.High","PCG.Low","PCG.Close","PCG.Volume"
"2013-11-07",42.81,42.95,41.99,42.05,2718216
"2013-11-14",41.09,41.34,40.94,41.01,2200912
"2013-11-21",40.7,40.81,40.13,40.52,2299750
"2013-12-05",40.66,40.66,40.05,40.36,3130017
"2013-12-12",40.17,40.49,40.16,40.2,3367573
"2013-12-19",40.57,40.57,40.04,40.22,3900502
"2013-12-26",41.12,41.18,40.48,40.56,1925378
"2014-01-02",40.36,40.37,39.66,39.66,2366352
"2014-01-09",40.07,40.16,39.78,40.07,1884224
"2014-01-16",40.48,40.69,40.32,40.65,2340224
"2014-01-23",40.98,41.37,40.92,41.29,2981885
"2014-01-30",41.2,41.99,41.11,41.96,3937947
"2014-02-06",41.11,41.52,40.92,41.35,1776687
"2014-02-13",43.06,43.94,43,43.91,3812113
"2014-02-20",43.29,43.82,43.2,43.66,1327392
"2014-02-27",43.44,43.78,43.21,43.39,1823590
"2014-03-06",43.22,43.37,42.6,42.75,3312368
"2014-03-13",43.64,44.1,43.48,44.04,2409438
"2014-03-20",44.11,44.32,43.93,44.31,1935671
"2014-03-27",43.69,43.72,43.33,43.64,4107746
"2014-04-03",43.38,43.95,43.35,43.8,3603934
"2014-04-10",44.38,44.88,44.23,44.43,2694078
"2014-04-17",45.44,45.56,44.8,44.87,2170584
"2014-04-24",44.56,45.21,44.35,44.9,1768308
"2014-05-01",44.28,45.94,43.71,45.75,2422345
"2014-05-08",44.78,44.9,44.39,44.59,3645675
"2014-05-15",43.78,44.05,43.18,43.63,5048260
"2014-05-22",44.18,44.69,44.04,44.61,3245122
"2014-05-29",45.29,45.73,45.23,45.68,2755909
"2014-06-05",45.78,46.58,45.77,46.5,2336761
"2014-06-12",46.19,46.52,45.49,46.32,2768991
"2014-06-19",47.66,48.24,47.54,48.23,4444447
"2014-06-26",46.99,47.3,46.79,47.2,1973263
"2014-07-03",46.41,46.64,45.84,46.03,3307153
"2014-07-10",46.54,47.31,46.54,47.2,2741399
"2014-07-17",47.34,47.4,46.85,46.87,2050798
"2014-07-24",47.29,47.47,47.11,47.37,2184932
"2014-07-31",45.35,45.93,44.65,44.67,3582386
"2014-08-07",43.21,43.55,43.11,43.28,2537463
"2014-08-14",44.09,44.59,44.09,44.52,1425475
"2014-08-21",45.99,46.11,45.72,45.85,1387689
"2014-08-28",45.77,46.16,45.61,46.13,977563
"2014-09-04",47.02,47.21,46.62,47.2,2687061
"2014-09-11",46.82,47.48,46.81,47.36,1703895
"2014-09-18",46.17,46.28,45.64,45.9,2430225
"2014-09-25",45.21,45.4,44.58,44.68,2120000
"2014-10-02",45.03,45.4,44.89,45.09,2444433
"2014-10-09",44.84,45.28,44.51,44.52,4885166
"2014-10-16",45.41,45.51,44.44,44.68,4794009
"2014-10-23",46.52,46.59,46.07,46.19,2501361
"2014-10-30",48.81,49.92,48.66,49.85,5972954
"2014-11-06",50.27,50.29,48.92,49.34,6199955
"2014-11-13",50.27,50.39,49.63,49.77,3588237
"2014-11-20",50.12,50.44,50.04,50.21,3098426
"2014-12-04",50.91,51.46,50.91,51.09,3302185
"2014-12-11",51.89,53.03,51.78,52.93,4116907
"2014-12-18",52.77,53.45,52.51,53.45,2903975
"2015-01-08",54.75,55.5,54.71,55.28,2598476
"2015-01-15",57.67,57.9,57,57.61,4237131
"2015-01-22",58.65,58.83,57.95,58.2,2518360
"2015-01-29",59.29,60.21,59,60.15,2913212
"2015-02-05",58.36,58.53,57.85,58.06,4917789
"2015-02-12",55.45,55.54,54.87,55.2,3883619
"2015-02-19",55.72,55.72,54.76,55.05,2071113
"2015-02-26",54.28,54.31,53.73,53.92,2070051
"2015-03-05",53.69,54.28,53.59,53.83,2639695
"2015-03-12",51.63,52.61,51.63,52.41,1780067
"2015-03-19",54,54.75,53.6,53.61,2117966
"2015-03-26",52.72,53.04,52.01,52.37,2059183
"2015-04-02",53.21,53.73,53.04,53.59,2334521
"2015-04-09",53.53,53.63,52.3,52.78,5089024
"2015-04-16",51.92,52.02,51.4,51.92,5135133
"2015-04-23",51.88,52.51,51.86,52.19,2484514
"2015-04-30",53.77,53.8,52.21,52.92,5687544
"2015-05-07",51.94,52.31,51.71,51.77,2589761
"2015-05-14",51.09,51.59,51.09,51.43,2058609
"2015-05-21",52.89,53.19,52.61,53.15,1961913
"2015-05-28",53.22,53.5,53,53.36,2835923
"2015-06-04",51.77,52.11,51.65,51.85,2501747
"2015-06-11",50.77,51.12,50.43,50.62,2872599
"2015-06-18",50.81,51.9,50.75,51.69,2552726
"2015-06-25",50.01,50.05,49.51,49.6,3418760
"2015-07-02",49.68,50.18,49.52,49.79,3714667
"2015-07-09",51.52,51.52,50.58,50.7,2557915
"2015-07-16",51.54,52.32,51.54,52.27,1457604
"2015-07-23",51.14,51.27,50.14,50.33,2534705
"2015-07-30",52.06,52.49,51.8,52.18,3043950
"2015-08-06",51.99,52.24,51.64,52.16,6080961
"2015-08-13",53.02,53.62,52.5,53.36,2276316
"2015-08-20",53.8,54.46,53.55,53.88,1707833
"2015-08-27",49.68,50.4,49.27,50.34,5571844
"2015-09-03",47.98,48.43,47.73,48.3,2557406
"2015-09-10",47.78,48.32,47.54,47.7,3055844
"2015-09-17",49.21,51.03,48.94,50.09,5260623
"2015-09-24",51.71,52.6,51.35,52.44,4587582
"2015-10-01",52.92,53,52.26,52.58,3083686
"2015-10-08",52.58,53.25,52.35,53.09,2576949
"2015-10-15",52.88,54.08,52.87,54.05,3015386
"2015-10-22",54.24,54.7,54.22,54.5,2286694
"2015-10-29",52.75,53.34,51.47,52.35,5256128
"2015-11-05",54.07,54.38,53.67,53.72,2842250
"2015-11-12",53.56,54.12,52.77,52.79,1692893
"2015-11-19",52.79,53.4,52.67,53.19,1628552
"2015-12-03",51.8,52.22,51.4,51.81,3279466
"2015-12-10",52.6,52.8,51.43,51.65,3091523
"2015-12-17",54.26,54.39,53.7,53.85,2723365
"2015-12-24",54.08,54.18,53.87,53.94,592163
"2015-12-31",53.83,54.04,52.85,53.19,1753611
"2016-01-07",52.21,52.7,52.14,52.46,2331117
"2016-01-14",52.49,53.68,52.28,53.41,3362713
"2016-01-21",51.55,51.96,50.8,51.48,3601198
"2016-01-28",52.73,54.16,52.35,53.76,2223761
"2016-02-04",57.27,57.43,56.23,56.33,4141217
"2016-02-11",55.88,56.48,55.08,55.16,3655546
"2016-02-18",55.6,56.38,54.95,56,4134384
"2016-02-25",57.65,58.46,57.29,58.34,2755300
"2016-03-03",56.34,56.4,55.61,56.29,2171678
"2016-03-10",57.29,57.61,56.56,57.04,2023398
"2016-03-17",58.09,59.3,57.65,59,3017759
"2016-03-24",58.71,59.11,58.62,58.85,2026340
"2016-03-31",59.42,59.88,59.17,59.72,2501282
"2016-04-07",58.42,59.06,58.32,58.75,1826104
"2016-04-14",58.74,58.99,58.52,58.85,1803041
"2016-04-21",58.13,58.14,56.48,56.62,3643514
"2016-04-28",57.26,58.06,57.08,57.76,1462780
"2016-05-05",59.16,59.6,58.8,59.15,2516924
"2016-05-12",59.18,59.53,58.92,59.24,3418624
"2016-05-19",56.71,57.56,56.39,57.54,1549823
"2016-05-26",58.37,59.4,58.26,59.39,1944866
"2016-06-02",60.09,60.6,59.86,60.6,1879243
"2016-06-09",61.96,63.03,61.96,62.98,2420006
"2016-06-16",62.38,63.13,62.38,62.95,2678089
"2016-06-23",62.26,62.3,61.86,62.13,2179537
"2016-06-30",62.88,63.95,62.67,63.92,3851371
"2016-07-07",65.1,65.33,64.16,64.4,4517275
"2016-07-14",64.22,64.53,63.93,64.2,2936172
"2016-07-21",64.09,64.25,63.75,64.16,3172138
"2016-07-28",64.09,64.09,62.9,63.75,2511903
"2016-08-04",64.92,65.39,64.31,64.51,2958798
"2016-08-11",63.6,64.1,63.45,64.08,1956656
"2016-08-18",63.62,65.18,63.5,65.17,3713095
"2016-08-25",63.72,63.89,63.37,63.44,1841355
"2016-09-01",61.93,62.21,61.62,61.81,2112229
"2016-09-08",62.7,63.16,62.63,63.09,1594168
"2016-09-15",61.25,61.88,60.97,61.84,1774611
