"","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume"
"2012-10-04",147.89,148.63,146.14,147.68,313726
"2012-10-11",146.66,147.99,146.04,146.07,229434
"2012-10-18",146.22,149.41,146.21,148.88,300138
"2012-10-25",146.1,147,143.76,145,445820
"2012-11-01",147.85,150.04,144.27,147.81,802748
"2012-11-08",145.17,145.65,143.14,143.25,165029
"2012-11-15",138.6,139.52,137.03,138.08,283911
"2012-11-29",141.28,141.67,139.24,140.52,680923
"2012-12-06",141.17,142.59,140.4,142.53,612730
"2012-12-13",143.88,144.16,143.05,143.38,358478
"2012-12-20",144.34,146.66,143.61,146.66,448492
"2012-12-27",147.28,148.37,146.43,147.79,191419
"2013-01-03",148.47,149.43,147.99,148.76,266168
"2013-01-10",152.36,152.75,150.49,151.26,334628
"2013-01-17",153,153.78,152.57,152.66,226432
"2013-01-24",154.78,156.36,153.26,154.43,206433
"2013-01-31",153.71,154.46,151.92,153.78,520965
"2013-02-07",151.27,151.84,150.06,150.49,455855
"2013-02-14",152.6,153.53,152.06,152.49,120016
"2013-02-21",152.53,153.11,150.94,151.26,275230
"2013-02-28",149.72,150.18,148.99,148.99,382421
"2013-03-07",150.8,151.36,149.11,149.62,232888
"2013-03-14",149.69,151.67,149.65,151.12,174630
"2013-03-21",150.97,152.09,150,150.29,176383
"2013-03-28",150.74,151.12,149.24,150.58,352783
"2013-04-04",152.15,155.93,151.54,155.73,436274
"2013-04-11",155.47,157.4,155.14,156.72,233271
"2013-04-18",153.81,154.73,153.26,154.01,142142
"2013-04-25",153.21,153.76,151.59,152.55,281705
"2013-05-02",152.5,155.87,151.9,154.8,573086
"2013-05-09",159,159.76,157.93,159.1,301845
"2013-05-16",165.77,167.54,165.77,166.68,208525
"2013-05-23",166.61,166.61,164.18,164.31,563636
"2013-05-30",159.66,161.38,158.24,158.33,491204
"2013-06-06",154.05,156.17,152.52,156.17,266296
"2013-06-13",152.67,157.63,152.5,157.09,158806
"2013-06-20",150.99,151.36,147.56,148.43,266332
"2013-06-27",156.79,160.14,156.79,160.1,182781
"2013-07-11",164.65,167.93,164.63,167.68,213139
"2013-07-18",168.36,170.44,167.79,168.65,262668
"2013-07-25",163.33,164.74,162.55,164.51,117078
"2013-08-01",162.66,164.28,160,160.93,544857
"2013-08-08",157.75,158.12,155.98,156.11,146391
"2013-08-15",151.6,151.6,149,150.2,165979
"2013-08-22",146.7,147.72,144.84,147.35,158570
"2013-08-29",144.47,145.12,143.5,144.45,318596
"2013-09-05",143.38,143.49,141.48,142.11,151577
"2013-09-12",150.5,151.68,149.24,149.89,123094
"2013-09-19",157.18,158.99,155.67,155.74,139790
"2013-09-26",148.9,149.92,148.59,149.84,144883
"2013-10-03",150.6,151.55,147.88,148.31,323266
"2013-10-10",150.35,154.46,149.63,154.28,147995
"2013-10-17",157.5,161.17,157.13,160.69,204514
"2013-10-24",160.82,160.9,158.07,159.93,232446
"2013-10-31",160.28,163.83,158.33,161,390630
"2013-11-07",160.08,160.08,156.74,157.21,288965
"2013-11-14",161.89,162.55,159.72,159.95,270048
"2013-11-21",153.58,154.6,152.51,154.54,99045
"2013-12-05",150.65,154.79,149.63,154.22,736045
"2013-12-12",148.5,148.96,146.16,146.27,366475
"2013-12-19",147.54,147.54,142.54,142.78,1041097
"2013-12-26",143.52,146.17,143.52,145.29,305338
"2014-01-02",141.79,147.54,141.79,146.3,725431
"2014-01-09",149.26,149.89,147.17,149.44,328568
"2014-01-16",152.46,154.1,152.46,153.75,449118
"2014-01-23",154.65,155.81,154.11,154.64,392366
"2014-01-30",154.75,156.73,150.81,156.37,507243
"2014-02-06",162.21,164.06,161.28,163.6,694961
"2014-02-13",166.47,168.99,165.75,166.58,554858
"2014-02-20",165.96,167.09,163.91,164.22,288612
"2014-02-27",166.52,167.02,164.42,165.09,436384
"2014-03-06",170.49,171.35,168.35,169.31,358452
"2014-03-13",165.36,165.42,162.84,162.91,387046
"2014-03-20",162.9,165.24,161.1,165.06,285548
"2014-03-27",167.86,168.36,164.45,167.61,1109278
"2014-04-03",171.8,172.98,167.62,168.84,1542896
"2014-04-10",168.89,169.33,166.38,167.16,1018392
"2014-04-17",167.61,168.1,166.56,167.89,336928
"2014-04-24",168.66,170.71,168.5,170.67,224258
"2014-05-01",173.7,175.48,171.95,174.69,415438
"2014-05-08",179.12,180.9,178.1,180.02,358359
"2014-05-15",179.42,180.07,177.74,179.43,402603
"2014-05-22",179.01,179.7,178.07,178.62,259352
"2014-05-29",179.31,179.79,178.88,179.53,189505
"2014-06-05",181.45,185.4,181.23,185.25,433001
"2014-06-12",184.26,184.26,178.4,179.3,509097
"2014-06-19",181.78,183.45,180.84,183.08,570790
"2014-06-26",183.63,183.85,182.48,183.7,392767
"2014-07-03",185.19,185.19,183.62,184.78,353635
"2014-07-10",186.13,187.92,185.9,187.46,308939
"2014-07-17",188.69,189.93,188.69,189.07,280511
"2014-07-24",191.99,192.58,190.64,192.27,308052
"2014-07-31",191.01,192.68,189.55,189.57,324855
"2014-08-07",189.36,189.97,186.96,187.77,363063
"2014-08-14",191,191.18,189.14,189.74,267184
"2014-08-21",193.25,194.94,193.13,193.47,267261
"2014-08-28",192.62,193.68,192.04,192.27,234891
"2014-09-04",193.43,194.87,192.22,193.91,437662
"2014-09-11",190.11,191.03,188.63,189.36,291772
"2014-09-18",183.52,184.07,181,181.17,277381
"2014-09-25",180.36,181,179.03,179.83,258587
"2014-10-02",179.01,179.53,177.41,178.63,404159
"2014-10-09",181.46,183.82,181.23,181.55,420451
"2014-10-16",185.7,187.87,183.84,187.53,393911
"2014-10-23",193.2,194.47,192.28,194.29,357336
"2014-10-30",194.76,196.76,194.01,196.76,261248
"2014-11-06",202.92,204.13,201.06,201.36,276239
"2014-11-13",201.25,202.59,200.02,200.52,467718
"2014-11-20",198.5,198.95,196.84,197.85,372010
"2014-12-04",202.26,203.41,201.13,203.22,288248
"2014-12-11",206.55,207.04,204.78,205.93,307283
"2014-12-18",204.86,208.25,204.8,208.25,454213
"2015-01-08",218.2,219.12,216.25,218.86,379765
"2015-01-15",225.92,227.61,225.49,227.27,401365
"2015-01-22",225.92,229.18,225.27,228.82,486978
"2015-01-29",226.92,229.74,225.93,229.52,393092
"2015-02-05",228.62,230.76,224.49,230.48,434332
"2015-02-12",224.2,228.02,223.38,227.99,296162
"2015-02-19",227.96,227.96,223,223.55,235830
"2015-02-26",221.95,223.14,220.03,220.34,257792
"2015-03-05",223.16,227.77,223.06,226.19,463819
"2015-03-12",225.48,229.4,225.4,228.77,361717
"2015-03-19",236.23,238.85,234.76,234.84,548125
"2015-03-26",232.2,234.18,228.29,233.33,388856
"2015-04-02",226.64,230.55,226.61,229.15,271475
"2015-04-09",227.47,227.47,221.32,221.89,274381
"2015-04-16",221.12,224.38,220.75,223.31,198762
"2015-04-23",226.8,229.05,226.8,227.75,289273
"2015-04-30",223.5,225.74,220.46,221.95,391300
"2015-05-07",225.28,227.08,220.78,224.19,437713
"2015-05-14",220.2,224.75,219.2,224.64,365919
"2015-05-21",224.27,224.27,221.86,222.21,274756
"2015-05-28",224.03,225.4,223.24,224.98,251168
"2015-06-04",216.04,217.2,214.97,216.08,387584
"2015-06-11",214.45,215.4,210.18,214.27,378923
"2015-06-18",219.17,222.67,219.17,221.88,344617
"2015-06-25",215.08,216.98,213.11,213.3,286587
"2015-07-02",218.56,220.23,214.71,218.31,376432
"2015-07-09",222.77,224.4,221.01,221.01,378801
"2015-07-16",223.41,225,222.14,223.77,243403
"2015-07-23",223.56,223.89,220.76,222.37,216027
"2015-07-30",222.03,229.9,221.11,223.78,383988
"2015-08-06",223.97,226.28,221.72,226.07,195597
"2015-08-13",227.33,228.95,224.2,227.93,269377
"2015-08-20",226.61,230.97,225.42,227.61,326906
"2015-08-27",216.36,222.2,215.13,220.25,341453
"2015-09-03",212.87,214.23,211.47,212.16,255681
"2015-09-10",206.54,211.65,205.72,208.58,289942
"2015-09-17",217.31,223.04,215.46,219.56,300277
"2015-09-24",220.27,221.72,216.62,217.89,295308
"2015-10-01",224.24,226.05,222.86,225.68,402832
"2015-10-08",229.09,230.37,226.03,229.57,272358
"2015-10-15",227.13,231.21,226.4,231.03,439074
"2015-10-22",235.31,236.21,230.8,231.99,648565
"2015-10-29",223.19,227,222.2,226.25,556169
"2015-11-05",221.07,223.76,220.26,223.58,321030
"2015-11-12",220.42,221.19,218.53,218.87,220198
"2015-11-19",223.78,226.3,223.08,225.97,198318
"2015-12-03",228,229.26,226.51,227.61,566412
"2015-12-10",230.33,231.59,228.8,229.43,292594
"2015-12-17",240.09,240.16,237.48,238.63,880729
"2015-12-24",237.71,239.19,236.58,238.37,137824
"2015-12-31",243.36,243.92,239.3,239.41,341118
"2016-01-07",235.56,237.99,234.73,235.7,459973
"2016-01-14",233.78,235.85,230.54,230.83,632928
"2016-01-21",225.12,226.84,219.31,221,587375
"2016-01-28",219.38,221.19,209.89,210.78,989072
"2016-02-04",209.2,212.57,207.25,210.92,577994
"2016-02-11",194.03,194.87,191.25,192.26,470326
"2016-02-18",201.78,203.8,198.87,202.03,397717
"2016-02-25",208.65,214.86,208.15,211,468042
"2016-03-03",218.66,221.1,217.18,221.05,454319
"2016-03-10",223.53,224.67,219.17,220.67,435519
"2016-03-17",222.41,227.12,221.05,226.38,501003
"2016-03-24",227.74,228.22,224.74,226.21,319771
"2016-03-31",232.17,234.78,231.14,233.86,482815
"2016-04-07",231.41,232.63,229.3,230.6,346522
"2016-04-14",222.66,222.66,217.46,218.89,504601
"2016-04-21",222.02,225.76,221.22,222.3,429958
"2016-04-28",224.08,227.87,223.36,224.33,378381
"2016-05-05",227.3,230,227.09,228.87,297462
"2016-05-12",230.78,231.19,227.56,229.93,323016
"2016-05-19",221.86,221.9,219.46,221.32,251005
"2016-05-26",225.62,227.2,224.52,227.08,272438
"2016-06-02",218.71,219.83,216.42,218.05,541009
"2016-06-09",209.19,210.92,208.66,209.26,443478
"2016-06-16",215.84,217.58,215,217.47,291093
"2016-06-23",221.64,221.74,217.84,218.45,379596
"2016-06-30",225,228.09,222.81,228.09,385004
"2016-07-07",230.05,230.05,227.28,228.76,347274
"2016-07-14",235.43,235.43,228.88,229.54,299448
"2016-07-21",225.87,226.51,224.28,226.44,274095
"2016-07-28",218.77,222.43,218.09,220.59,446415
"2016-08-04",230.93,230.93,229.11,229.51,236893
"2016-08-11",232.62,234.39,226.58,228.68,449123
"2016-08-18",227.4,228.89,226.26,227.59,212167
"2016-08-25",223.53,226.95,222.07,225.52,256844
"2016-09-01",226.84,227.59,225.64,226.86,261688
"2016-09-08",229.52,229.52,226.63,226.83,516125
"2016-09-15",220.35,222.28,219.29,221.96,337139
