"","GLW.Open","GLW.High","GLW.Low","GLW.Close","GLW.Volume"
"2012-12-13",12.76,12.9,12.69,12.74,11309928
"2012-12-20",12.79,12.87,12.74,12.79,18190336
"2012-12-27",12.62,12.63,12.41,12.58,10300731
"2013-01-03",12.86,13,12.76,12.77,10662552
"2013-01-10",12.48,12.69,12.47,12.64,18285774
"2013-01-17",12.45,12.49,12.28,12.3,16463815
"2013-01-24",12.23,12.26,12.07,12.16,15952398
"2013-01-31",12,12.08,11.93,12,25381791
"2013-02-07",12.16,12.33,12.14,12.32,16208020
"2013-02-14",12.76,12.99,12.69,12.95,16363707
"2013-02-21",12.59,12.63,12.42,12.51,13285985
"2013-02-28",12.6,12.75,12.57,12.61,12516079
"2013-03-07",12.66,12.68,12.53,12.66,7642433
"2013-03-14",12.66,12.82,12.61,12.81,9723369
"2013-03-21",13.15,13.16,12.92,12.99,12561267
"2013-03-28",13.18,13.35,13.13,13.33,11639613
"2013-04-04",13.34,13.49,13.32,13.34,10232025
"2013-04-11",13.41,13.45,13.27,13.37,12965394
"2013-04-18",12.96,13.11,12.77,13.06,22186394
"2013-04-25",13.92,14.41,13.88,14.23,24422455
"2013-05-02",14.3,14.43,14.25,14.37,7558304
"2013-05-09",14.83,15.25,14.83,15.06,14645770
"2013-05-16",15.67,15.77,15.31,15.45,14200477
"2013-05-23",15.36,15.79,15.23,15.75,13759937
"2013-05-30",15.53,15.73,15.52,15.59,9875262
"2013-06-06",15.02,15.1,14.82,15.01,18588154
"2013-06-13",14.7,15.18,14.52,15.09,11533536
"2013-06-20",14.69,14.89,14.24,14.31,18670495
"2013-06-27",14.42,14.49,14.28,14.3,7723517
"2013-07-11",15,15.08,14.85,15.04,8341485
"2013-07-18",14.57,14.89,14.53,14.79,10030374
"2013-07-25",15.14,15.33,15.05,15.28,9276176
"2013-08-01",15.32,15.51,15.32,15.45,12931634
"2013-08-08",15.04,15.2,14.94,15.13,7464018
"2013-08-15",14.96,15.03,14.88,14.91,8887038
"2013-08-22",14.6,14.79,14.5,14.62,7170845
"2013-08-29",14.13,14.27,14.08,14.18,7773697
"2013-09-05",14.23,14.5,14.21,14.45,9632843
"2013-09-12",14.88,14.89,14.4,14.49,16781632
"2013-09-19",15.09,15.11,14.83,14.87,10313687
"2013-09-26",14.94,15,14.84,14.94,10756446
"2013-10-03",14.5,14.57,14.25,14.3,12940032
"2013-10-10",14.23,14.47,14.14,14.46,13484064
"2013-10-17",14.36,14.88,14.36,14.83,14746979
"2013-10-24",17.49,17.52,16.83,17.48,36889685
"2013-10-31",16.86,17.27,16.8,17.09,17040548
"2013-11-07",16.57,16.69,16.22,16.31,13162183
"2013-11-14",16.87,16.99,16.64,16.79,13278732
"2013-11-21",16.91,17.22,16.91,17.14,9605811
"2013-12-05",16.73,16.86,16.63,16.63,19715156
"2013-12-12",16.78,17.06,16.77,17.01,10629851
"2013-12-19",17.38,17.48,17.35,17.42,7637218
"2013-12-26",17.65,17.76,17.64,17.73,6314057
"2014-01-02",17.74,17.81,17.62,17.77,7571718
"2014-01-09",18.01,18.16,17.95,18,8262268
"2014-01-16",18.41,18.61,18.37,18.51,8110396
"2014-01-23",18.85,19.02,18.77,18.98,15890953
"2014-01-30",17.29,17.5,17.25,17.38,9301155
"2014-02-06",17.55,18.12,17.51,18.08,18087473
"2014-02-13",18.82,19.1,18.75,19.09,9019759
"2014-02-20",18.95,19.11,18.92,19,8443269
"2014-02-27",19.13,19.35,19.13,19.34,9252723
"2014-03-06",19.73,19.77,19.5,19.54,13693497
"2014-03-13",19.33,19.51,19.1,19.17,8771363
"2014-03-20",19.03,19.66,19.03,19.42,12860894
"2014-03-27",20.43,20.75,20.22,20.46,11889687
"2014-04-03",21.42,21.76,21.39,21.59,15741039
"2014-04-10",21.19,21.29,20.72,20.77,11011831
"2014-04-17",20.7,21.05,20.66,21.04,11158246
"2014-04-24",21.3,21.34,21.03,21.19,7533689
"2014-05-01",20.91,21.24,20.87,21.06,8491659
"2014-05-08",20.79,21.13,20.76,20.82,11041571
"2014-05-15",21.17,21.23,20.85,20.96,9632591
"2014-05-22",21.19,21.41,21.16,21.22,6342324
"2014-05-29",21.37,21.5,21.27,21.4,5540728
"2014-06-05",21.38,21.59,21.27,21.58,5804989
"2014-06-12",21.44,21.47,20.94,21,10003834
"2014-06-19",21.46,21.67,21.43,21.67,5623087
"2014-06-26",22.04,22.06,21.64,21.75,7170587
"2014-07-03",22.08,22.37,22.03,22.33,5100691
"2014-07-10",21.78,21.85,21.55,21.63,9318490
"2014-07-17",21.77,21.88,21.47,21.49,5602742
"2014-07-24",22.22,22.26,22.03,22.09,5157209
"2014-07-31",19.63,19.88,19.61,19.65,13197599
"2014-08-07",19.94,20.02,19.61,19.68,5317709
"2014-08-14",20.29,20.4,20.21,20.26,5235659
"2014-08-21",20.73,20.84,20.61,20.65,7693448
"2014-08-28",20.4,20.69,20.35,20.57,4251403
"2014-09-04",21,21.42,20.95,21.12,10544033
"2014-09-11",20.99,21.1,20.78,20.94,6858391
"2014-09-18",20.76,20.8,20.68,20.75,4431971
"2014-09-25",20.18,20.19,19.8,19.81,6130214
"2014-10-02",18.75,18.89,18.32,18.7,12836933
"2014-10-09",18.94,19.01,18.57,18.58,8325662
"2014-10-16",17.21,17.74,17.12,17.5,10893935
"2014-10-23",18.65,18.85,18.58,18.68,5304953
"2014-10-30",19.9,20.21,19.85,20.07,7764745
"2014-11-06",20.84,20.9,20.61,20.68,9340359
"2014-11-13",20.66,20.72,20.21,20.35,8660342
"2014-11-20",20.4,20.75,20.34,20.61,6163090
"2014-12-04",21.56,21.61,21.2,21.23,9738137
"2014-12-11",21.28,21.55,21.12,21.19,6083937
"2014-12-18",21.85,22.19,21.71,22.18,14379101
"2015-01-08",22.93,23.49,22.9,23.35,9533590
"2015-01-15",23.8,23.8,23.01,23.02,9173223
"2015-01-22",23.44,23.75,23.27,23.72,6610299
"2015-01-29",24.36,24.36,23.27,23.79,14157385
"2015-02-05",24.22,24.65,24.17,24.48,8666047
"2015-02-12",24.63,25.05,24.61,24.86,7373194
"2015-02-19",24.6,24.75,24.5,24.65,7059068
"2015-02-26",24.6,24.79,24.41,24.47,6489728
"2015-03-05",24.7,24.85,24.56,24.62,4808081
"2015-03-12",22.75,23.17,22.55,23.13,10354114
"2015-03-19",23.62,23.7,23.07,23.13,8291185
"2015-03-26",22.61,22.62,22.25,22.47,12019873
"2015-04-02",22.21,22.44,22.07,22.32,9155035
"2015-04-09",22.04,22.28,22.01,22.24,8297198
"2015-04-16",22.27,22.75,22.25,22.64,9309703
"2015-04-23",22.36,22.98,22.36,22.79,10749159
"2015-04-30",21.28,21.44,20.7,20.93,14806761
"2015-05-07",21.04,21.19,20.9,21.04,11614411
"2015-05-14",21.25,21.39,21.12,21.37,5990959
"2015-05-21",21.68,22.05,21.64,21.82,9715350
"2015-05-28",21.16,21.16,20.83,21.05,8575769
"2015-06-04",20.75,20.76,20.43,20.65,12959308
"2015-06-11",21,21.09,20.77,20.8,8644515
"2015-06-18",20.99,21.29,20.97,21.22,7743691
"2015-06-25",20.9,20.92,20.52,20.55,8793983
"2015-07-02",19.86,19.97,19.64,19.7,7447585
"2015-07-09",19.46,19.59,19.12,19.16,10142404
"2015-07-16",19.38,19.62,19.33,19.54,10976983
"2015-07-23",18.83,19.03,18.71,18.78,9955312
"2015-07-30",18.55,18.78,18.46,18.63,9830214
"2015-08-06",18.28,18.38,18.12,18.26,8624535
"2015-08-13",17.92,18,17.79,17.81,6663541
"2015-08-20",17.6,17.63,17.22,17.23,8650919
"2015-08-27",16.6,17.02,16.57,16.96,11879575
"2015-09-03",17.01,17.62,17.01,17.26,10944113
"2015-09-10",17.56,17.78,17.47,17.61,9936433
"2015-09-17",18.29,18.48,18.1,18.17,8272516
"2015-09-24",16.59,16.76,16.24,16.68,14556286
"2015-10-01",17.15,17.24,16.67,16.83,9240455
"2015-10-08",17.8,18.04,17.76,17.97,8112677
"2015-10-15",17.03,17.08,16.72,16.85,15094444
"2015-10-22",16.88,17.74,16.79,17.6,41475597
"2015-10-29",18.77,19,18.7,18.85,18515485
"2015-11-05",18.79,19.2,18.79,19.06,8121836
"2015-11-12",18.38,18.55,18.12,18.14,7809369
"2015-11-19",18.83,19.2,18.8,18.99,9799156
"2015-12-03",18.84,18.88,17.76,17.83,20092149
"2015-12-10",17.75,17.99,17.59,17.69,8096970
"2015-12-17",18.18,18.32,18.07,18.09,13301058
"2015-12-24",18.57,18.82,18.52,18.56,3162956
"2015-12-31",18.35,18.52,18.26,18.28,7590076
"2016-01-07",17.15,17.4,17.04,17.1,11555110
"2016-01-14",17.12,17.47,17.03,17.3,9938696
"2016-01-21",16.76,17.3,16.57,16.93,14563535
"2016-01-28",18.12,18.2,17.89,17.99,11287050
"2016-02-04",18.36,19.07,18.34,18.86,13504645
"2016-02-11",17.81,18.03,17.61,17.81,14092695
"2016-02-18",19.05,19.11,18.71,18.73,9539558
"2016-02-25",17.99,18.18,17.93,18.12,12371345
"2016-03-03",18.92,18.95,18.67,18.89,7702977
"2016-03-10",19.19,19.41,18.8,19,7665690
"2016-03-17",19.49,20.15,19.47,20.04,11048578
"2016-03-24",19.89,20.28,19.82,20.25,7009483
"2016-03-31",20.91,21,20.74,20.89,9694168
"2016-04-07",20.75,20.85,20.59,20.66,7165980
"2016-04-14",21,21.1,20.5,20.77,8666897
"2016-04-21",20.95,21.07,20.78,20.8,7025489
"2016-04-28",19.24,19.24,18.88,18.89,14630843
"2016-05-05",18.38,18.53,18.32,18.32,7108662
"2016-05-12",18.92,19.06,18.65,18.88,14750648
"2016-05-19",18.83,19.03,18.74,18.94,9203155
"2016-05-26",19.94,20.15,19.91,20.13,7377809
"2016-06-02",20.77,21.19,20.73,21.16,9981112
"2016-06-09",20.87,21.07,20.68,21.03,7786999
"2016-06-16",20.04,20.18,19.92,20.11,6785277
"2016-06-23",20.79,20.9,20.59,20.79,6270901
"2016-06-30",19.91,20.56,19.9,20.48,9738861
"2016-07-07",20.52,20.78,20.34,20.42,7302649
"2016-07-14",21.5,21.55,21.39,21.42,4485241
"2016-07-21",21.64,21.77,21.46,21.5,3896049
"2016-07-28",21.49,22.62,21.41,22.29,22400825
"2016-08-04",22.16,22.49,22.16,22.38,7728491
"2016-08-11",22.9,23,22.87,22.92,6531651
"2016-08-18",22.59,22.76,22.56,22.67,9902474
"2016-08-25",22.62,22.84,22.54,22.68,7680438
"2016-09-01",22.67,22.8,22.58,22.71,5918412
"2016-09-08",22.71,22.84,22.66,22.76,14202066
"2016-09-15",22.24,22.67,22.24,22.59,7059802
