"","PVH.Open","PVH.High","PVH.Low","PVH.Close","PVH.Volume"
"2012-08-23",87.06,87.54,86.56,87.07,556384
"2012-08-30",93.18,94.07,92.53,93.49,539685
"2012-09-06",93.9,95.05,93.51,94.56,648286
"2012-09-13",92.65,93.95,91.69,93.34,804991
"2012-09-20",91.69,92.84,90.48,92.51,649214
"2012-09-27",92.9,94.16,91.27,93.43,665988
"2012-10-04",94.9,95.87,94.35,95.83,619867
"2012-10-11",94.3,94.73,93.57,94.06,545905
"2012-10-18",98.12,99.05,97.46,98.3,539615
"2012-10-25",94.57,95.05,92.29,93.01,464558
"2012-11-01",109.69,115.09,108.15,114.75,3138673
"2012-11-08",112.61,112.61,109.92,110.21,1163787
"2012-11-15",106.69,108,106.23,107.31,911594
"2012-11-29",116.64,117.22,113.12,114.84,1118588
"2012-12-06",110.45,112.44,108.88,112.18,700894
"2012-12-13",109.51,110.48,107.7,108.76,746466
"2012-12-20",112.72,112.84,110.2,112.19,1370089
"2012-12-27",108.15,110,107.29,109.21,481661
"2013-01-03",111.43,113.9,110.86,113.7,879757
"2013-01-10",119.36,119.36,116.85,117.81,877408
"2013-01-17",115.46,119.92,115.46,118.97,999530
"2013-01-24",117.86,118.89,116.56,118.69,587241
"2013-01-31",118.03,119.39,117.01,118.87,589810
"2013-02-07",121.22,122.97,119.69,122.82,1064452
"2013-02-14",119.98,121.06,119.4,120.3,1457661
"2013-02-21",118.3,118.64,116.95,117.8,1279271
"2013-02-28",120.42,122.33,120.26,121.85,1177791
"2013-03-07",123.09,124.37,122.76,124.08,880113
"2013-03-14",119.32,119.68,118.28,118.72,798143
"2013-03-21",111.52,113.17,111.12,111.83,958305
"2013-03-28",109.28,110.67,106.61,106.81,4922496
"2013-04-04",105.01,105.6,104.03,104.82,1522424
"2013-04-11",109.62,112.75,109.4,111.43,1378995
"2013-04-18",105.02,105.84,103.3,103.85,923969
"2013-04-25",109.94,111.46,109.66,111.35,739574
"2013-05-02",115.21,115.21,113.45,114.51,693891
"2013-05-09",118.93,119.24,117.62,118.39,799014
"2013-05-16",117.99,119.15,117.45,118.04,773268
"2013-05-23",114.91,118.33,114.76,116.91,874714
"2013-05-30",115.29,116.49,114.89,115.98,369031
"2013-06-06",111.33,112,110.12,111.93,773821
"2013-06-13",121.48,123.2,120.25,122.6,3070318
"2013-06-20",123.54,123.63,119.51,120.32,779120
"2013-06-27",124.3,125.65,124.24,125.01,616088
"2013-07-11",133.62,133.74,130.82,131.48,849333
"2013-07-18",127.55,129.68,127.37,129.41,426219
"2013-07-25",130.92,133.27,130.48,132.4,773298
"2013-08-01",133.51,134.76,133.18,134.39,537092
"2013-08-08",131.02,131.36,129.69,129.82,515994
"2013-08-15",127.58,128.56,125.95,126.82,589551
"2013-08-22",130.52,131,129.71,130.87,508342
"2013-08-29",127.17,129.45,127.11,128.93,338700
"2013-09-05",130.76,131,128.96,129.3,792404
"2013-09-12",122.51,123.83,121.07,123.76,1163294
"2013-09-19",126.53,128.01,126.39,127,719485
"2013-09-26",120.18,121.33,119.37,119.81,889918
"2013-10-03",121.19,125.78,120.21,122.69,3002862
"2013-10-10",119.38,120.05,118.77,119.88,653936
"2013-10-17",120.11,121.2,119.9,120.2,480410
"2013-10-24",121.36,122.39,118.9,119.05,1279024
"2013-10-31",124.4,125.37,123.52,124.57,638718
"2013-11-07",126.95,127.29,124.44,124.64,492027
"2013-11-14",132.74,133.83,131.47,133.43,668747
"2013-11-21",131.32,131.61,130.82,131.27,393059
"2013-12-05",129.78,131.59,129.78,130.76,588973
"2013-12-12",129.85,130.16,127.93,128,1242951
"2013-12-19",132.53,134.65,130.9,130.98,1070628
"2013-12-26",134.42,136.32,134.02,134.97,352317
"2014-01-02",135.76,137.66,135.49,136.58,817684
"2014-01-09",133.05,133.6,131.67,133.02,996239
"2014-01-16",126.18,126.3,124.04,125.14,1058560
"2014-01-23",122.15,122.54,120.25,121.39,1043911
"2014-01-30",121.74,122.39,121.25,121.45,929322
"2014-02-06",117.34,121.48,117.04,120.7,1051209
"2014-02-13",117.4,120.15,116.9,119.46,982479
"2014-02-20",118.07,118.83,117.16,118.09,862615
"2014-02-27",125.68,126.57,125.28,126.21,793335
"2014-03-06",125.73,126.36,125.14,125.85,502216
"2014-03-13",118.95,119.97,115.02,115.04,3604714
"2014-03-20",117.94,119.46,117.73,119.12,718564
"2014-03-27",122.59,125.25,121.89,123.08,2852274
"2014-04-03",126.46,126.85,124.12,124.53,1191474
"2014-04-10",125.5,126.26,123.38,123.69,1267901
"2014-04-17",123.88,124.65,122.54,122.59,616579
"2014-04-24",121.77,121.94,120.05,120.95,762439
"2014-05-01",125.47,127.04,125.08,126.6,739959
"2014-05-08",127.58,130.66,126.83,129.51,1919477
"2014-05-15",131.65,131.7,129.72,130.6,767912
"2014-05-22",130.86,132.2,130.15,131.17,542123
"2014-05-29",131,132.06,130.72,132.03,553200
"2014-06-05",121.84,123.39,119.57,120.09,5433017
"2014-06-12",118.41,118.78,116.58,117.12,1210335
"2014-06-19",117,117.3,115.84,116.17,755811
"2014-06-26",116.02,117.54,115.61,116.55,1413415
"2014-07-03",118.31,119.65,118.14,119.6,790903
"2014-07-10",116.27,116.54,114.85,114.9,827413
"2014-07-17",109.96,111.5,109.5,110.46,994176
"2014-07-24",112.32,114.34,112.17,114.07,927613
"2014-07-31",112.34,112.65,110.1,110.18,722245
"2014-08-07",111.29,111.29,109.4,109.54,634760
"2014-08-14",112.1,113.07,112.01,112.66,730173
"2014-08-21",115.77,116,113.97,114.04,697499
"2014-08-28",117.5,117.52,116.27,117.46,760870
"2014-09-04",126.54,130,126.49,128.38,4049995
"2014-09-11",126.38,126.99,125.44,125.85,540586
"2014-09-18",127.1,127.37,126.22,127.16,511788
"2014-09-25",123.17,123.7,121.92,122.35,706606
"2014-10-02",120.2,122.19,119.4,121.93,575418
"2014-10-09",120.17,120.84,115.34,115.46,1095482
"2014-10-16",110.97,113.87,109.66,111.99,1236524
"2014-10-23",115.75,115.94,113.72,113.99,810318
"2014-10-30",113.84,115.65,113.65,114.75,630120
"2014-11-06",113.61,117.64,113.16,117.41,707134
"2014-11-13",117.9,118.94,117.28,118.8,629477
"2014-11-20",122.83,124.66,121.9,123,1082601
"2014-12-04",121.45,125.48,120.61,122.68,1989903
"2014-12-11",123.85,126.1,123.69,125.56,1301707
"2014-12-18",124.86,124.94,123.14,124.88,943206
"2015-01-08",120.5,122.14,117.82,119.09,1037179
"2015-01-15",114.7,114.83,110.7,110.85,1436959
"2015-01-22",112.53,114.22,112.21,113.67,1020528
"2015-01-29",112.13,113.92,111.61,112.94,690018
"2015-02-05",106.64,109.41,106.64,108.59,942574
"2015-02-12",104.8,105.75,104.48,105.41,619912
"2015-02-19",107.34,109.99,107.21,108.52,1302408
"2015-02-26",111.04,111.96,107.67,107.98,1331498
"2015-03-05",106.14,106.36,105.29,105.47,682802
"2015-03-12",97.18,98.93,96.51,97.86,2168595
"2015-03-19",101.12,101.99,100.56,101.63,1455742
"2015-03-26",104.67,107.11,102.17,104.56,3666127
"2015-04-02",107.5,108.86,106.87,107.47,1488964
"2015-04-09",111.08,111.98,110.5,111.03,969698
"2015-04-16",108.75,109.98,107.49,107.64,800621
"2015-04-23",103.31,106.13,102.93,105.29,908728
"2015-04-30",102.91,104.08,102.52,103.35,819105
"2015-05-07",105.06,105.63,103.93,105.5,563582
"2015-05-14",103.53,103.74,102.12,103.02,935227
"2015-05-21",104.58,105.87,104.42,105.82,461057
"2015-05-28",103.41,105.98,103.41,104.97,692660
"2015-06-04",114.32,116.91,113.71,115.58,1389910
"2015-06-11",114.27,114.86,111.5,112.51,1473318
"2015-06-18",113.17,114.2,113.17,113.19,763842
"2015-06-25",114.38,117.11,114.37,116.25,1043007
"2015-07-02",117.5,118.27,116.79,117.81,924478
"2015-07-09",114,115.56,112.81,112.86,740921
"2015-07-16",115.19,115.91,113.6,115.42,660238
"2015-07-23",115.66,116.48,114.5,114.65,544822
"2015-07-30",115.2,116.46,115.05,116.16,440141
"2015-08-06",117.31,117.74,114.84,115.21,834235
"2015-08-13",112.4,112.5,111,111.78,1288306
"2015-08-20",115.96,116.55,113.66,114.98,1160407
"2015-08-27",117.17,120,115.58,118.17,2788031
"2015-09-03",119,120.67,117.13,117.8,975433
"2015-09-10",114.96,115.93,113.83,114.49,857343
"2015-09-17",115.5,116.99,114.56,114.96,767654
"2015-09-24",108.3,108.46,105.52,107.1,1473355
"2015-10-01",101.81,102.71,99.19,99.94,1098170
"2015-10-08",98.99,102.22,98.02,101.6,977954
"2015-10-15",100.35,100.6,98.37,98.6,1188064
"2015-10-22",95.94,97.69,95.54,95.93,1715838
"2015-10-29",90.34,91.28,89,91,1145282
"2015-11-05",95.28,96.16,93.19,94.91,1427738
"2015-11-12",87.74,90.86,87.49,89.38,1348971
"2015-11-19",89.44,90.5,88.6,88.91,615930
"2015-12-03",92.29,92.47,82.8,83.02,4705562
"2015-12-10",78.38,78.87,77.06,77.21,1200032
"2015-12-17",75.97,76.04,73.38,74.09,3365147
"2015-12-24",73.87,73.87,72.42,72.79,392717
"2015-12-31",72.97,74.77,72.74,73.65,801756
"2016-01-07",71.68,73.23,70.98,71.44,1569827
"2016-01-14",69.93,69.93,67.66,68.78,915901
"2016-01-21",66.52,69.82,65.87,68.68,1059233
"2016-01-28",70.48,71.02,68.43,69.3,907457
"2016-02-04",78.17,78.17,76.15,77.42,2114049
"2016-02-11",70.86,71.5,69.33,70.46,845017
"2016-02-18",75.51,77.02,74.43,76.38,1168002
"2016-02-25",77.05,80.28,76.79,80.25,1340163
"2016-03-03",83.95,85.49,83.91,85.45,900280
"2016-03-10",85.29,86.29,84.05,85.6,732301
"2016-03-17",87.78,89.41,87.2,89.21,989881
"2016-03-24",92.43,95.25,90.69,94.29,3632285
"2016-03-31",98.69,100,98.5,99.06,1126838
"2016-04-07",95.73,96.67,94.42,95.22,1253891
"2016-04-14",94.93,95.73,94.5,94.93,636329
"2016-04-21",96.12,97.51,95.26,96.37,702749
"2016-04-28",97.62,97.86,95.21,95.51,568515
"2016-05-05",95.08,95.33,91.19,91.5,1968276
"2016-05-12",84.06,85.07,82.1,84.16,3356587
"2016-05-19",86.22,88.65,85.19,86.42,1035892
"2016-05-26",96.13,96.67,93.52,93.73,3014368
"2016-06-02",95.33,97.33,94.98,97.33,1342697
"2016-06-09",96.05,97.39,95.22,97.21,796135
"2016-06-16",96.59,96.85,95.28,96.72,849494
"2016-06-23",101.86,103.36,101.76,102.74,818012
"2016-06-30",92.68,94.33,92.05,94.23,1136461
"2016-07-07",94.62,95.6,93.56,94.91,894359
"2016-07-14",99.94,99.96,98.44,98.77,357779
"2016-07-21",99.94,101.2,98.96,99.6,629243
"2016-07-28",100.44,100.54,98.42,99.62,651875
"2016-08-04",96.1,98,96.1,96.47,661219
"2016-08-11",101.94,103.9,99.75,103.05,1540573
"2016-08-18",105.3,107.05,105,106.5,955300
"2016-08-25",110.18,111.75,105.16,107.37,2452504
"2016-09-01",107.84,108.81,107.05,108.18,750109
"2016-09-08",109.18,110.4,108.52,108.77,785031
"2016-09-15",105.73,107.59,105.27,107.48,855427
