"","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume"
"2012-12-20",61.97,62.27,61.48,62.05,479632
"2012-12-27",61.82,62.14,60.72,61.7,376414
"2013-01-03",64.33,64.7,63.57,63.88,407917
"2013-01-10",64.41,64.71,63.72,64.17,403306
"2013-01-17",65.02,65.58,64.85,65.26,640831
"2013-01-24",63.49,63.59,60.71,62.11,1891956
"2013-01-31",61.99,62.03,61.28,61.31,715028
"2013-02-07",62.07,62.09,61.19,61.58,509277
"2013-02-14",65.85,65.99,65.28,65.41,585215
"2013-02-21",63.76,64.28,63.26,64.13,694751
"2013-02-28",65.21,65.72,65.08,65.08,350352
"2013-03-07",64.74,65.18,64.03,64.21,546033
"2013-03-14",65.19,65.6,64.74,65.56,271626
"2013-03-21",61.75,62.47,60.96,62.19,921928
"2013-03-28",61.64,62.68,61.33,62.52,436005
"2013-04-04",60.37,61.29,60.37,61.05,387344
"2013-04-11",62.34,63.27,61.86,61.93,937873
"2013-04-18",58.96,58.99,57.01,57.75,2157094
"2013-04-25",59.48,59.57,59.07,59.28,1125804
"2013-05-02",59.42,60,59.03,59.88,465633
"2013-05-09",63.38,63.9,62.93,63.37,534306
"2013-05-16",65.68,66.67,65.65,66.27,837121
"2013-05-23",65.61,66.62,65.01,66.61,603709
"2013-05-30",67.54,69.03,67.45,69,1031448
"2013-06-06",64.8,65.39,63.41,64.37,1116628
"2013-06-13",61.67,63.56,61.52,63.36,398929
"2013-06-20",62.43,63.07,61.96,62.25,852510
"2013-06-27",63.02,63.3,62.55,62.75,430277
"2013-07-11",66.33,66.39,64.77,65.06,599557
"2013-07-18",63.07,63.27,60.16,62.77,2510259
"2013-07-25",62.56,62.95,62.2,62.48,1172111
"2013-08-01",62.49,62.89,62.31,62.38,1297069
"2013-08-08",63.36,63.6,62.9,63.17,696014
"2013-08-15",62.43,62.67,62,62.46,788246
"2013-08-22",62.24,62.98,62.02,62.64,253871
"2013-08-29",62.4,63.23,62.37,62.76,407463
"2013-09-05",62.41,62.97,62.09,62.34,560329
"2013-09-12",63.38,63.62,62.65,63.18,678267
"2013-09-19",63.43,64.4,63.33,63.58,652965
"2013-09-26",62.44,63.4,62.44,62.95,737958
"2013-10-03",63.59,64.31,63.28,63.95,841642
"2013-10-10",63.38,63.83,63.35,63.76,559523
"2013-10-17",64.65,67.45,64.02,67.45,2281391
"2013-10-24",67.3,67.77,67.17,67.6,417507
"2013-10-31",66.35,66.66,65.92,66.19,654149
"2013-11-07",67.18,67.52,66.44,66.58,328373
"2013-11-14",67.57,67.91,67.29,67.55,328061
"2013-11-21",67.41,68.33,67.09,68.13,468663
"2013-12-05",67.76,68.72,67.41,68.3,532707
"2013-12-12",68.01,68.41,67.44,67.54,584550
"2013-12-19",63.43,63.68,62.48,63.13,1333553
"2013-12-26",63.01,63.56,63,63.37,363293
"2014-01-02",63.38,63.6,62.6,63.14,548782
"2014-01-09",65.55,66.38,65,65.83,1037277
"2014-01-16",66.69,66.86,66.16,66.37,341972
"2014-01-23",65.93,66.24,65.22,65.52,389808
"2014-01-30",65.27,65.64,64.18,64.62,723350
"2014-02-06",62.55,63.04,62.3,62.88,409591
"2014-02-13",64.16,65.07,63.6,64.81,392483
"2014-02-20",64.45,64.75,64.36,64.44,553600
"2014-02-27",65.38,65.67,65.06,65.58,274266
"2014-03-06",66.18,66.96,66.17,66.58,245716
"2014-03-13",65.04,65.42,64.12,64.2,606819
"2014-03-20",64.28,64.44,63.66,64.08,690811
"2014-03-27",64.49,65.11,64.35,64.89,498042
"2014-04-03",67.02,67.5,66.63,66.8,444509
"2014-04-10",65.98,66.37,65.05,65.13,719486
"2014-04-17",66.95,67.03,65.3,66.68,437350
"2014-04-24",67.1,67.19,66.74,66.84,677064
"2014-05-01",67.54,67.96,67.26,67.74,450587
"2014-05-08",68.33,68.88,67.97,68.14,628679
"2014-05-15",68.82,69.13,67.5,67.67,728121
"2014-05-22",68,68.47,67.78,68.07,396030
"2014-05-29",68.63,69.39,68.2,69.33,407393
"2014-06-05",71.13,71.86,70.75,71.47,658917
"2014-06-12",71.52,71.84,70.74,70.83,356560
"2014-06-19",71.07,71.56,71.07,71.32,276382
"2014-06-26",71.29,71.46,70.59,71.07,310527
"2014-07-03",72.06,72.55,72.02,72.46,331363
"2014-07-10",71.1,71.93,70.88,71.6,340259
"2014-07-17",68.61,70.2,68.11,69.43,2058978
"2014-07-24",68.6,68.6,67.19,67.54,1654745
"2014-07-31",66.71,66.71,59.86,61.34,5793348
"2014-08-07",61.77,61.92,60.36,60.6,1356227
"2014-08-14",61.29,61.42,60.4,60.67,1122230
"2014-08-21",62,62.48,61.7,61.92,683020
"2014-08-28",62.09,63.68,61.61,63.21,1413522
"2014-09-04",63.53,64,63.35,63.54,635972
"2014-09-11",64.02,64.9,63.94,64.35,1368141
"2014-09-18",65.19,65.25,64.83,65.04,705048
"2014-09-25",62.8,62.8,60.56,60.63,1480498
"2014-10-02",57.78,58.95,57.22,58.88,1686635
"2014-10-09",58.5,58.68,56.25,56.3,1300182
"2014-10-16",52.65,54.25,52.44,53.89,1971073
"2014-10-23",57.24,58.35,55.97,56.8,2413706
"2014-10-30",57,57.67,56.68,57.35,1264316
"2014-11-06",60.63,60.98,59.9,60.86,1168030
"2014-11-13",61.68,62.42,61.3,61.88,1624324
"2014-11-20",61.05,61.83,60.8,61.55,1183741
"2014-12-04",61.17,61.8,60.54,61.8,1279755
"2014-12-11",58.95,59.99,57.68,57.87,1480797
"2014-12-18",58.01,58.84,57.5,58.84,1300161
"2015-01-08",57.53,58.91,57.36,58.73,1533673
"2015-01-15",59.76,59.97,57.86,58.08,1633077
"2015-01-22",58.93,59.74,58.43,59.55,1380144
"2015-01-29",53.81,56.17,46.94,47.77,10098613
"2015-02-05",49.03,49.95,48.88,49.75,2318017
"2015-02-12",52.94,54.12,52.75,53.96,1660132
"2015-02-19",54.34,54.76,53.94,54.43,1293020
"2015-02-26",56.34,56.72,55.89,56.3,738177
"2015-03-05",55.44,55.54,54.7,55.28,943677
"2015-03-12",53.5,54.38,53.25,53.65,952823
"2015-03-19",52.5,52.7,51.48,51.67,1211238
"2015-03-26",51.05,51.31,50.84,51,788058
"2015-04-02",52.52,53.46,52.27,52.89,931143
"2015-04-09",56.1,59.03,56.08,59.01,2317915
"2015-04-16",59.24,59.26,58.54,58.74,1292083
"2015-04-23",58.65,59.07,58.55,58.95,756374
"2015-04-30",60.25,60.78,59.47,59.7,1485473
"2015-05-07",62.28,64.54,61.44,62.83,3725792
"2015-05-14",62.81,63.86,62.61,63.63,1085326
"2015-05-21",62.23,62.81,62.05,62.71,669935
"2015-05-28",61.31,61.56,60.27,60.59,867507
"2015-06-04",61.05,61.7,60.87,61.27,1100619
"2015-06-11",61.3,61.68,61.19,61.46,600384
"2015-06-18",58.54,59.7,58.23,59.64,1274121
"2015-06-25",57.85,58.47,57.67,58.27,805915
"2015-07-02",54.54,55.13,54.3,55.03,1462075
"2015-07-09",53.89,54.16,53.42,53.44,918519
"2015-07-16",54.32,54.68,53.62,54.42,977455
"2015-07-23",51.84,52.08,51.29,51.32,694257
"2015-07-30",51.94,53.54,51.5,53.4,1830737
"2015-08-06",53.68,53.68,49.55,51.77,3864137
"2015-08-13",51.04,51.33,50.12,50.42,966783
"2015-08-20",49.41,49.94,49.01,49.32,830506
"2015-08-27",43.74,46.2,43.6,45.13,2054557
"2015-09-03",43.06,43.06,42.28,42.87,2689368
"2015-09-10",42.98,43.25,42.49,42.8,1659929
"2015-09-17",44.59,45.74,44.56,45.05,1665400
"2015-09-24",44.57,45.53,43.46,45.22,1613366
"2015-10-01",44.29,45.23,44.1,45.17,1621189
"2015-10-08",48.74,50.99,48.63,50.57,1726088
"2015-10-15",51.73,51.82,50.01,51.47,1460083
"2015-10-22",51.82,53.12,51.36,52.39,1463354
"2015-10-29",53.33,54.59,53.09,54.29,1360948
"2015-11-05",52.5,52.82,48.16,49.43,5880254
"2015-11-12",48.14,48.86,46.85,46.92,1314517
"2015-11-19",50.5,51.14,50.31,50.69,1066441
"2015-12-03",52.27,52.96,51.8,52.83,1451082
"2015-12-10",49.93,49.96,49.03,49.21,833764
"2015-12-17",51.99,53.1,51.33,52.42,1716108
"2015-12-24",56.25,56.5,55.8,55.95,380672
"2015-12-31",56.06,57.49,55.83,56.01,662967
"2016-01-07",51.26,51.7,49.48,49.95,1520951
"2016-01-14",48.03,49.65,46.84,48.9,1303152
"2016-01-21",47.99,50.74,47.42,49.43,1844342
"2016-01-28",51.65,52.52,51.28,51.76,1176720
"2016-02-04",53.64,54.26,51.23,51.95,2210503
"2016-02-11",48.78,50.83,48.42,50.09,1184982
"2016-02-18",51.34,55.6,50.95,54.53,3035848
"2016-02-25",53.6,55.46,53.26,55.44,830096
"2016-03-03",57.48,57.89,56.03,57.22,1257771
"2016-03-10",59.89,60.54,58.93,59.38,1365227
"2016-03-17",61.47,62.87,60.76,62.43,1335412
"2016-03-24",60.67,62.08,60.34,61.92,711052
"2016-03-31",63.88,64.33,63.65,63.93,1224451
"2016-04-07",65.9,66.93,64.24,64.69,1325731
"2016-04-14",65.24,65.89,64.89,65.45,1849733
"2016-04-21",65.65,65.99,65.53,65.64,1288338
"2016-04-28",67.47,67.65,66.15,66.42,648232
"2016-05-05",66.78,68.13,66.78,67.1,1051721
"2016-05-12",75.61,76.43,74.76,75.87,2190949
"2016-05-19",75.69,76.67,75,75.77,1619735
"2016-05-26",79.27,79.73,78.15,79.04,1216755
"2016-06-02",79.13,79.95,79.12,79.84,629910
"2016-06-09",80.64,81.02,79.83,80.26,1124586
"2016-06-16",79.31,80.05,78.91,79.99,909058
"2016-06-23",83.95,84.71,83.79,84.4,798969
"2016-06-30",79.13,80.5,77.92,79.31,24895474
"2016-07-07",81.18,82.2,80.88,81.32,865299
"2016-07-14",85.97,86.97,85.82,86.04,707623
"2016-07-21",86.26,86.6,83.85,84.27,1265574
"2016-07-28",84.66,86.14,84.25,85.11,1037734
"2016-08-04",84.17,84.66,80.39,82.12,2906576
"2016-08-11",82.12,83.11,81.62,82.58,1133081
"2016-08-18",81.01,81.32,80.8,81.28,1070082
"2016-08-25",82.31,83.38,82.13,82.57,753960
"2016-09-01",79.95,81.3,79.56,81.3,1181887
"2016-09-08",82.76,83.04,80.87,80.92,984259
"2016-09-15",75.9,77.31,75.39,77.25,1792692
