"","CLX.Open","CLX.High","CLX.Low","CLX.Close","CLX.Volume"
"2012-09-20",71.36,72,71.25,71.75,573022
"2012-09-27",72.08,72.18,71.36,71.63,521385
"2012-10-04",73.22,73.65,73.06,73.53,555359
"2012-10-11",74.39,74.39,73.78,73.78,710412
"2012-10-18",75.45,75.9,75.03,75.63,526736
"2012-10-25",73.34,73.74,72.5,72.81,695340
"2012-11-01",72.47,73.24,72.08,72.79,1059696
"2012-11-08",73.03,73.3,72.55,72.63,693105
"2012-11-15",72.7,73.16,72.53,72.67,845704
"2012-11-29",75.3,75.46,74.92,75.33,865106
"2012-12-06",75.54,75.81,75.33,75.79,457384
"2012-12-13",75.99,76.25,75.46,75.52,671130
"2012-12-20",75.61,75.96,75.04,75.34,629575
"2012-12-27",73.13,73.37,72.66,73.09,723433
"2013-01-03",74.01,74.23,73.67,73.89,778159
"2013-01-10",74.94,75.48,74.71,75.48,2555598
"2013-01-17",76.49,76.99,76.22,76.9,655685
"2013-01-24",77.29,77.78,77.11,77.17,741067
"2013-01-31",78.42,78.77,78.02,78.41,1053500
"2013-02-07",80.61,80.95,80.46,80.84,560389
"2013-02-14",81.02,81.5,80.95,81.39,793982
"2013-02-21",82.19,82.63,81.91,82.37,600818
"2013-02-28",84.47,84.95,83.97,84.01,1406943
"2013-03-07",84.5,84.91,84.08,84.16,1076395
"2013-03-14",83.98,84.65,83.86,83.95,656324
"2013-03-21",85.37,85.71,85.06,85.36,538188
"2013-03-28",87.38,88.63,87.15,88.53,707549
"2013-04-04",87.1,87.61,86.45,87.08,1042914
"2013-04-11",87.69,88.93,87.51,88.69,933490
"2013-04-18",88.86,89.11,88.54,88.84,681414
"2013-04-25",87.68,87.99,86.81,87.06,1189439
"2013-05-02",85.03,85.91,84.75,85.84,1023552
"2013-05-09",85.94,86.04,85.42,85.73,937929
"2013-05-16",87.82,87.97,87.2,87.57,633336
"2013-05-23",85.66,86.34,85.36,85.98,578903
"2013-05-30",84.85,85.65,84.75,84.79,673402
"2013-06-06",83.1,83.91,82.6,83.89,734869
"2013-06-13",84.3,85.53,84.16,85.35,622123
"2013-06-20",83.54,83.95,81.12,81.69,1296794
"2013-06-27",83.92,84.5,83.3,83.91,716954
"2013-07-11",85.53,85.83,85,85.34,810985
"2013-07-18",86.25,87.1,86.16,87.02,861494
"2013-07-25",84.84,85.63,84.79,85.33,726440
"2013-08-01",86.7,86.93,84.38,84.83,2020706
"2013-08-08",86.57,86.67,85.51,86.35,705975
"2013-08-15",85.04,85.22,84.11,84.5,968967
"2013-08-22",83.67,84.11,82.92,83.89,720361
"2013-08-29",81.76,82.75,81.54,82.41,559455
"2013-09-05",82.8,83.02,81.97,82.34,638677
"2013-09-12",83.66,84.23,83.6,84.02,579296
"2013-09-19",84.5,84.5,83.3,84.08,1565900
"2013-09-26",82.35,82.89,82.29,82.78,613851
"2013-10-03",82.65,83.75,81.68,82.69,1814152
"2013-10-10",82.77,83.53,82.36,83.51,822382
"2013-10-17",84.37,85.35,83.52,85.25,1907017
"2013-10-24",87.3,88.53,87.16,88.39,1360616
"2013-10-31",90,92,89.39,90.19,2732615
"2013-11-07",91.64,92.19,90.35,90.5,1069469
"2013-11-14",92.07,92.99,92.04,92.94,1026314
"2013-11-21",92.89,94.11,92.69,93.91,1190924
"2013-12-05",93.45,93.6,92.58,92.95,1562648
"2013-12-12",94.79,95.13,93.2,93.31,1396677
"2013-12-19",93.38,93.5,92.24,92.54,884350
"2013-12-26",93.03,93.03,92.38,92.69,407182
"2014-01-02",92.75,92.75,90.65,91.16,1353357
"2014-01-09",89.29,89.79,88.88,89.13,1776999
"2014-01-16",89.47,90.24,89.1,90.12,1395585
"2014-01-23",89.28,89.64,88.78,89.25,870582
"2014-01-30",88.12,88.14,87.36,87.47,1076190
"2014-02-06",84.58,85.15,84.17,85.06,1111230
"2014-02-13",86.07,87.29,86.07,86.96,761071
"2014-02-20",86.99,87.83,86.83,86.95,1260189
"2014-02-27",86.21,86.91,85.89,86.77,980096
"2014-03-06",86.54,87.13,86.41,86.63,785026
"2014-03-13",86.98,87.94,86.77,86.82,1076569
"2014-03-20",87.25,87.65,87.03,87.37,562438
"2014-03-27",87.98,90.4,87.8,88.05,1705479
"2014-04-03",88.16,88.34,87.63,88.25,1048532
"2014-04-10",89.32,90.3,88.85,88.87,1462143
"2014-04-17",90.29,90.91,89.97,90.84,996037
"2014-04-24",89.13,89.53,88.91,89.12,908135
"2014-05-01",88.69,89.99,87.5,89.4,2376029
"2014-05-08",87.74,88.11,87.46,88.01,1254645
"2014-05-15",88.83,89.17,88.24,88.35,867374
"2014-05-22",88.36,88.64,87.84,88.06,729893
"2014-05-29",88.61,89.52,88.5,89.48,819319
"2014-06-05",89.31,89.45,88.78,89.43,635951
"2014-06-12",91.15,91.21,89.96,90.4,1053465
"2014-06-19",91.43,92.14,91.36,92.11,754551
"2014-06-26",91.23,91.33,90.53,91.12,758944
"2014-07-03",91.83,92.25,91.6,91.9,551379
"2014-07-10",92.34,93.31,92.22,93.03,746143
"2014-07-17",92.64,92.74,92.03,92.04,659707
"2014-07-24",90.47,90.66,90.26,90.54,738020
"2014-07-31",87.75,88.09,86.61,86.87,1488120
"2014-08-07",88.1,88.29,87.12,87.24,888684
"2014-08-14",88.51,88.82,88.13,88.48,577305
"2014-08-21",89.03,89.55,88.84,89.42,586251
"2014-08-28",88.85,88.94,88.31,88.65,737496
"2014-09-04",88.74,89.4,88.65,88.81,994186
"2014-09-11",89.94,90.26,89.62,90.08,749751
"2014-09-18",89.96,90.22,89.37,89.9,545874
"2014-09-25",95.16,95.73,94.77,95.14,1210793
"2014-10-02",95.81,96.21,95.28,95.96,1013753
"2014-10-09",98.5,99.09,97.32,97.46,810783
"2014-10-16",96.09,96.93,95.57,96.13,1154871
"2014-10-23",99.57,99.57,98.37,98.43,1090973
"2014-10-30",98.08,98.63,97.34,98.6,898145
"2014-11-06",101,101.21,100.13,100.36,1180377
"2014-11-13",101.9,102.24,101.59,101.91,938234
"2014-11-20",100.85,100.96,100.15,100.24,797423
"2014-12-04",99.54,99.91,98.29,99.61,2177532
"2014-12-11",99.65,101.35,99.65,100.92,968156
"2014-12-18",102.8,103.83,102.12,103.82,1040808
"2015-01-08",106.24,107.45,106.17,107.31,1647810
"2015-01-15",107.79,108.97,107.08,107.39,1173996
"2015-01-22",109.13,110.16,108.51,110.11,1194985
"2015-01-29",107.69,108.84,107.23,108.65,1308912
"2015-02-05",109.43,110.11,107.57,108.05,1826157
"2015-02-12",107.76,108.35,107.59,108.26,736678
"2015-02-19",109.5,109.64,108.81,109.28,708120
"2015-02-26",109.03,109.46,108.6,109.1,547640
"2015-03-05",110,110.36,109.45,110.16,753130
"2015-03-12",107.7,109.32,107.47,109.21,733022
"2015-03-19",109.58,109.97,109.19,109.59,752968
"2015-03-26",109.98,110.06,109.19,109.64,756303
"2015-04-02",109.72,110.77,109.5,110.2,900697
"2015-04-09",110.61,110.98,109.89,110.89,667754
"2015-04-16",110.47,110.98,110,110.36,396566
"2015-04-23",108.66,109.61,108.41,109.1,543964
"2015-04-30",107.11,107.48,105.86,106.1,1379748
"2015-05-07",106.62,107.54,106.07,107.1,857942
"2015-05-14",107.75,108.69,107.4,108.47,614692
"2015-05-21",110.07,110.43,109.47,109.78,578693
"2015-05-28",109.26,109.88,108.51,108.93,872821
"2015-06-04",106.76,107.77,106.52,106.65,781263
"2015-06-11",106.64,106.74,105.49,105.77,733100
"2015-06-18",106.19,107.3,105.73,106.85,634792
"2015-06-25",106.01,106.28,105.68,106.22,598160
"2015-07-02",106.95,107.12,105.86,106.12,580859
"2015-07-09",109.52,109.52,106.74,106.81,508796
"2015-07-16",110,111.34,109.64,111.07,794795
"2015-07-23",110.83,111.22,110.2,110.61,433370
"2015-07-30",111.37,112.39,110.92,112.03,636281
"2015-08-06",119.3,119.75,118.5,119.39,959358
"2015-08-13",116.56,117.09,116.11,116.48,1073339
"2015-08-20",115.74,116.67,115.3,115.72,638253
"2015-08-27",110.92,111.98,109.64,111.43,780282
"2015-09-03",111,111.83,110.86,111.34,703207
"2015-09-10",109.37,110.4,108.77,109.42,575545
"2015-09-17",113.71,115.5,113.55,114.08,738145
"2015-09-24",113.68,114.53,113.38,113.91,1209400
"2015-10-01",115.53,115.94,114.62,115.38,1230575
"2015-10-08",119.05,120.3,118.47,120.18,834042
"2015-10-15",120.88,121.22,119.94,120.18,1020826
"2015-10-22",122.88,123.88,122.73,123.6,1067651
"2015-10-29",122.36,122.83,121.5,122.72,708277
"2015-11-05",123.92,124.44,123.06,124.22,1220890
"2015-11-12",122.96,123.52,121.8,121.83,824701
"2015-11-19",123.82,124.84,123.78,124.32,710216
"2015-12-03",126.53,127.64,125.24,126.05,1053924
"2015-12-10",127.72,127.9,126.42,126.87,1003724
"2015-12-17",131.38,131.78,130.44,131.34,2009424
"2015-12-24",127.97,128.34,127.36,127.86,248877
"2015-12-31",127.91,128.2,126.78,126.83,705383
"2016-01-07",125.42,126.92,125.2,125.64,1112336
"2016-01-14",128.23,128.99,127.19,127.32,1178316
"2016-01-21",125.37,126.38,124.24,125.89,1286689
"2016-01-28",124.45,126.23,123.73,126.03,1148604
"2016-02-04",131.56,131.59,124.21,124.71,2516056
"2016-02-11",127.15,127.94,125.08,126.98,2276425
"2016-02-18",129.43,129.58,127.76,127.89,942554
"2016-02-25",130.5,131.5,130.11,131.45,907370
"2016-03-03",126.05,126.05,124.4,125.59,1062195
"2016-03-10",125.72,126.57,124.91,125.51,928503
"2016-03-17",127.19,128.19,126.94,127.58,839099
"2016-03-24",126.91,127.58,126.2,126.56,874012
"2016-03-31",127.71,128.23,125.79,126.06,1573847
"2016-04-07",129.05,129.08,128.17,128.66,845165
"2016-04-14",126.16,127.44,125.98,126.55,811262
"2016-04-21",124.51,124.58,121.1,121.13,1309900
"2016-04-28",124.22,125.39,124.18,124.77,794341
"2016-05-05",129.53,130.55,128.35,128.94,1204294
"2016-05-12",132.79,133.12,132.19,132.88,872746
"2016-05-19",127.93,130.38,127.5,129.98,1272898
"2016-05-26",129.44,130.19,129.19,129.54,570950
"2016-06-02",130.04,130.04,128.88,129.83,719975
"2016-06-09",130.06,131.02,129.7,130.91,492211
"2016-06-16",132,133.38,131.91,133.11,715017
"2016-06-23",134.47,134.49,133.64,134.23,464595
"2016-06-30",135.58,138.41,134.81,138.39,1577889
"2016-07-07",138,138.29,136.84,137.52,1144712
"2016-07-14",136.93,138.37,136.56,136.72,743600
"2016-07-21",135.14,135.27,134.25,134.64,705910
"2016-07-28",131,131.18,129.54,130.83,1482855
"2016-08-04",131.61,133.96,131.61,133.91,1066499
"2016-08-11",134.32,134.7,133,133.2,598269
"2016-08-18",131.35,131.8,130.82,131.22,657163
"2016-08-25",130.83,131.63,130.62,131.05,686956
"2016-09-01",130.54,131.12,130.41,131.04,631247
"2016-09-08",128.86,129.07,126.66,126.99,1431325
"2016-09-15",122.47,122.97,122.22,122.54,725450
