"","SIG.Open","SIG.High","SIG.Low","SIG.Close","SIG.Volume"
"2014-04-03",106.93,107.37,106.62,107.11,985346
"2014-04-10",105.76,106.68,102.76,103.11,904776
"2014-04-17",103.35,103.35,99.81,100.45,1005461
"2014-04-24",99.79,100.82,97.91,100.18,817997
"2014-05-01",101.49,103,100.55,102.59,1103690
"2014-05-08",101.42,103.77,100.89,101.92,793055
"2014-05-15",99.74,100.39,95.03,98.79,2576298
"2014-05-22",102.21,106.11,102.21,104.65,2011247
"2014-05-29",105.32,108.82,105.22,108.37,1937295
"2014-06-05",105.66,105.99,104.32,105.89,472234
"2014-06-12",107.5,107.5,105.69,106.25,553946
"2014-06-19",109.28,109.45,108.78,109.4,351465
"2014-06-26",109.91,109.94,108.35,109.7,461899
"2014-07-03",110.6,112.35,109.67,112.15,435371
"2014-07-10",110.82,112.23,109.48,111.23,734269
"2014-07-17",110.85,111.26,108.83,109.1,438411
"2014-07-24",107.48,108.65,105.81,107.09,1193125
"2014-07-31",103.64,104.47,101.74,101.79,691299
"2014-08-07",102.93,103.22,101.93,102.1,266855
"2014-08-14",105.14,105.6,104.6,104.96,276634
"2014-08-21",106.74,106.84,105.5,105.72,373172
"2014-08-28",116.48,117.42,113.83,116.37,3562531
"2014-09-04",117.29,118.26,117,117.64,1084096
"2014-09-11",117.19,118.68,116.75,118.65,612695
"2014-09-18",117.46,117.46,116,116.14,522063
"2014-09-25",114.94,115.62,113.34,114.06,559497
"2014-10-02",112.2,114.36,110.97,114.04,575282
"2014-10-09",111.56,112.61,110.05,110.17,603223
"2014-10-16",104.39,108.89,104.39,108,1138659
"2014-10-23",110.78,113.99,110.69,113.04,881344
"2014-10-30",117.15,119.64,115.48,119.45,738086
"2014-11-06",120.26,121.52,119.86,121.32,1009868
"2014-11-13",123.26,123.4,122.01,122.52,441514
"2014-11-20",120.28,121.85,120.28,121.62,788762
"2014-12-04",128.07,128.33,127.05,127.7,473416
"2014-12-11",126.41,128.42,126.23,127.25,810741
"2014-12-18",128.93,129.84,127.96,129.74,471517
"2015-01-08",123.11,127,122.63,126.14,3058741
"2015-01-15",121.98,124.13,120.24,123.29,1147600
"2015-01-22",125.37,125.67,123.68,124.36,731336
"2015-01-29",123.19,123.91,122.18,123.43,554189
"2015-02-05",121.57,122.31,120.06,120.63,824280
"2015-02-12",120.26,120.8,118.67,119.83,478709
"2015-02-19",119.62,120.44,119.26,120,388358
"2015-02-26",119.06,119.83,118.45,119.38,494133
"2015-03-05",119.47,121.03,118.17,120.68,666825
"2015-03-12",120.38,123.09,120.1,122.96,561361
"2015-03-19",125,126.19,124.65,125.63,402073
"2015-03-26",130.01,135.98,129.51,135,2205263
"2015-04-02",138.37,140.32,137.52,139.36,735349
"2015-04-09",137.77,138.55,137.05,137.96,449234
"2015-04-16",134.71,135.57,134.14,134.23,349929
"2015-04-23",137.02,138.67,136.47,137.98,476275
"2015-04-30",135.04,135.4,133.51,134.13,479721
"2015-05-07",134.69,136.74,134.69,136.35,327702
"2015-05-14",135.59,135.92,132.04,132.8,1111588
"2015-05-21",135.87,136.77,135.39,136.4,465327
"2015-05-28",129.24,132.72,128.55,132.38,1780891
"2015-06-04",130.73,132.93,130,130.91,569835
"2015-06-11",131.94,132.98,130.18,130.59,472459
"2015-06-18",132.29,133.75,132.29,133.23,307846
"2015-06-25",132.02,132.02,129.54,130.46,808627
"2015-07-02",127.54,129.94,126.14,126.69,419960
"2015-07-09",123,123.84,120.08,120.73,1281045
"2015-07-16",123.84,124.52,122.77,122.88,546790
"2015-07-23",123.73,125.32,123.15,123.49,543267
"2015-07-30",121.39,121.99,120.59,121.85,613698
"2015-08-06",121.82,121.9,119.69,120.05,367840
"2015-08-13",119.83,121.24,119.46,120.34,474164
"2015-08-20",126.02,127.55,125.73,125.77,1128987
"2015-08-27",133.33,139.9,131.61,138.82,2539806
"2015-09-03",138.38,139.88,136.42,137.16,794337
"2015-09-10",137.71,139.21,137.08,137.92,724652
"2015-09-17",138.8,140.47,137.49,137.86,478904
"2015-09-24",140.54,142.03,139.38,141.6,728051
"2015-10-01",136.75,136.95,133.7,134.97,636983
"2015-10-08",137.87,142.52,137.87,141.93,738507
"2015-10-15",141.38,143.1,140.57,141.65,777469
"2015-10-22",147.7,149.43,146.89,147.59,767383
"2015-10-29",149.7,151,148.9,150.57,500820
"2015-11-05",148.86,149.69,146.65,147.76,347943
"2015-11-12",144.6,147.74,140.95,141.14,669098
"2015-11-19",141,141,138.01,139.71,746588
"2015-12-03",129.9,130.84,127.2,127.96,1379739
"2015-12-10",121.37,123.18,119.96,121.45,1535966
"2015-12-17",117.06,117.74,116.32,116.42,1027209
"2015-12-24",121.12,121.12,118.97,119.64,506089
"2015-12-31",121.58,125.58,121.21,123.69,1711571
"2016-01-07",128,135.59,127.61,133.28,3500846
"2016-01-14",124.26,125.74,121.5,124.5,1574427
"2016-01-21",120.98,122.32,118.46,119.53,1272287
"2016-01-28",119,119,112.57,113.39,1941919
"2016-02-04",111.09,111.98,108.59,109.82,1447242
"2016-02-11",95,96.57,93.45,94.71,1457358
"2016-02-18",103.3,104.96,102.06,103.93,1504358
"2016-02-25",98.01,99.61,96.05,97.17,1585292
"2016-03-03",111.93,114.78,111,112,2316204
"2016-03-10",109.51,111.37,107.74,109.65,966865
"2016-03-17",113.5,116.88,113.15,116.05,1367613
"2016-03-24",124.76,125.45,120.04,121.42,3463447
"2016-03-31",120.8,124.1,120.29,124.03,1201727
"2016-04-07",119.67,121.47,115.33,116.07,1521981
"2016-04-14",115.47,115.47,112.49,112.6,1449897
"2016-04-21",112.8,113.07,111.91,112.11,685842
"2016-04-28",110.15,111.81,108.41,108.69,639689
"2016-05-05",109.3,109.62,107.9,108.7,906229
"2016-05-12",103.98,105.68,103.11,104.1,903954
"2016-05-19",106.06,109.12,105.23,108.67,1388838
"2016-05-26",108.98,109.09,95.99,97,9944398
"2016-06-02",98.66,99.03,84.8,92.23,11586734
"2016-06-09",89,90.68,88.42,89.6,2611303
"2016-06-16",82.82,83.58,81.32,82.02,1576280
"2016-06-23",85.54,86.62,85,86.56,1606716
"2016-06-30",82,82.75,80.84,82.41,1822761
"2016-07-07",82.35,84.49,81.68,82.47,803008
"2016-07-14",89.66,91.59,89.24,91.59,2416773
"2016-07-21",89.55,89.83,86.97,87.46,1922286
"2016-07-28",87.22,87.43,85.57,86.92,1464005
"2016-08-04",84.6,86.21,83.86,86.21,1139715
"2016-08-11",88.17,90.85,88.17,90.62,1040263
"2016-08-18",90.68,93.06,90.17,92.94,985025
"2016-08-25",85.3,87.73,78.71,83.44,10811041
"2016-09-01",81.35,82.23,78.86,80.63,1620013
"2016-09-08",82.4,82.42,81.51,81.77,758647
"2016-09-15",78.69,79.93,78.59,79,1368028
