"","COTY.Open","COTY.High","COTY.Low","COTY.Close","COTY.Volume"
"2014-03-20",15,15.1,14.9,15.04,652482
"2014-03-27",14.84,15,14.77,14.93,542881
"2014-04-03",15.06,15.23,14.99,15.11,1752154
"2014-04-10",15.35,15.68,15.25,15.53,594050
"2014-04-17",15.78,15.81,15.51,15.75,429388
"2014-04-24",15.78,15.8,15.58,15.63,435303
"2014-05-01",15.99,16.18,15.82,16.04,752497
"2014-05-08",15.82,16.07,15.64,15.75,667976
"2014-05-15",16.09,16.23,15.78,15.97,1220817
"2014-05-22",16.2,16.48,16.1,16.43,745562
"2014-05-29",16.57,16.62,16.49,16.51,382080
"2014-06-05",16.98,16.98,16.66,16.89,622940
"2014-06-12",17.17,17.3,16.99,17.11,633960
"2014-06-19",17.22,17.38,17.12,17.37,436818
"2014-06-26",16.8,16.91,16.62,16.82,399282
"2014-07-03",17.79,18.15,17.69,18.15,857469
"2014-07-10",17.83,17.94,17.66,17.82,1545171
"2014-07-17",17.36,17.48,17.11,17.31,303498
"2014-07-24",17.31,17.32,17,17.11,199979
"2014-07-31",16.93,17.22,16.86,17.11,628570
"2014-08-07",17.43,17.49,17,17.05,637786
"2014-08-14",17.58,17.87,17.48,17.62,474598
"2014-08-21",17.97,18.17,17.83,18.09,604023
"2014-08-28",17.07,17.75,17.04,17.39,1479907
"2014-09-04",17.27,17.29,17.1,17.19,326647
"2014-09-11",17.26,17.56,17.12,17.56,886272
"2014-09-18",17.67,17.73,17.48,17.7,463025
"2014-09-25",17.29,17.3,16.91,17,528255
"2014-10-02",16.33,16.41,15.99,16.04,1476050
"2014-10-09",16.37,16.64,16.2,16.25,541639
"2014-10-16",16.26,16.77,16.23,16.55,734849
"2014-10-23",16.71,16.79,16.38,16.4,506739
"2014-10-30",16.34,16.34,16.03,16.22,693516
"2014-11-06",17.16,18,16.95,17.93,1452662
"2014-11-13",19.37,19.6,19.33,19.45,1261513
"2014-11-20",19.31,20,19.31,19.75,1432889
"2014-12-04",20.04,20.16,19.78,19.95,2164750
"2014-12-11",20.01,20.26,19.96,20.07,644781
"2014-12-18",19.78,20.06,19.73,20.04,1425769
"2015-01-08",20.33,20.66,20.18,20.46,679185
"2015-01-15",18.91,19.14,18.81,18.93,807455
"2015-01-22",19.25,19.33,18.86,19.13,1001735
"2015-01-29",18.75,19.38,18.75,19.32,1443799
"2015-02-05",19.48,21.4,19.02,21.24,4452798
"2015-02-12",21.92,22.34,21.92,22.03,877740
"2015-02-19",22.33,22.41,22.05,22.08,411352
"2015-02-26",22.35,22.52,22.04,22.18,411305
"2015-03-05",22.9,23.15,22.76,23.06,976940
"2015-03-12",22.18,22.51,22.09,22.48,714316
"2015-03-19",23.25,23.32,22.95,23.13,638957
"2015-03-26",23.86,24,23.39,23.96,1761188
"2015-04-02",23.75,23.99,23.27,23.77,1223180
"2015-04-09",23.64,23.71,23.29,23.5,596124
"2015-04-16",25.01,25.49,24.81,25.06,760563
"2015-04-23",24.9,25.18,24.83,25,862084
"2015-04-30",24.25,24.25,23.78,23.91,1008846
"2015-05-07",24.78,25.64,24.67,24.68,2915454
"2015-05-14",23.6,24.55,23.27,23.94,2389363
"2015-05-21",24.39,24.51,24.2,24.37,537014
"2015-05-28",24.81,25.17,24.74,25.14,841788
"2015-06-04",25.56,25.89,25.44,25.65,1020171
"2015-06-11",26.22,26.25,25.87,25.92,639695
"2015-06-18",31.3,31.74,30.81,30.91,1875577
"2015-06-25",32.04,32.21,31.61,32.13,1509672
"2015-07-02",32.67,32.67,32.1,32.36,883360
"2015-07-09",32,32.06,28.26,30.04,7430644
"2015-07-16",27.99,28.07,27.51,27.6,1842475
"2015-07-23",27.04,27.65,27.04,27.21,1571180
"2015-07-30",26.67,27.03,26.33,26.91,1287974
"2015-08-06",28.41,28.41,27.66,27.98,1298429
"2015-08-13",28.81,31.25,28.51,30.47,2838650
"2015-08-20",28.84,29.15,28.25,28.7,1311393
"2015-08-27",28.44,29.2,28.27,28.91,1352530
"2015-09-03",28.8,29.38,28.73,28.86,1782511
"2015-09-10",28.84,28.96,28.32,28.43,1909807
"2015-09-17",28.86,29.64,28.81,29.22,1306832
"2015-09-24",27.05,27.25,26.49,26.91,2081857
"2015-10-01",27.19,27.52,26.86,27.46,1603683
"2015-10-08",26.63,27.44,26.58,27.37,1173555
"2015-10-15",27.7,28.34,27.16,28.29,1400157
"2015-10-22",28.15,28.57,27.9,28.08,2261453
"2015-10-29",28.65,29.18,28.5,28.94,1105490
"2015-11-05",29.43,29.43,27.01,28.22,4773880
"2015-11-12",30.08,30.45,29.15,29.18,1131044
"2015-11-19",27.07,27.5,26.57,26.82,1406792
"2015-12-03",27.37,27.53,26.35,26.67,1759899
"2015-12-10",28.34,28.48,27.71,27.89,809463
"2015-12-17",28.05,28.06,27.53,27.55,500643
"2015-12-24",26.4,26.7,26.3,26.4,295042
"2015-12-31",25.24,26.04,25.24,25.63,786433
"2016-01-07",23.69,23.97,23.36,23.47,657080
"2016-01-14",22.55,22.82,22,22.14,1343203
"2016-01-21",23.14,23.54,22.07,22.45,1138842
"2016-01-28",23.45,23.57,23.12,23.45,832031
"2016-02-04",27.57,28.84,26.01,28.36,3947078
"2016-02-11",26.58,27,25.9,26.75,1155777
"2016-02-18",29,29.47,28.2,28.89,1571187
"2016-02-25",29.08,29.5,28.57,29.47,1058734
"2016-03-03",28.93,29.14,27.91,28.11,1099438
"2016-03-10",27.34,27.71,26.6,27.6,1150481
"2016-03-17",26.98,27.44,26.57,27.19,921811
"2016-03-24",26.4,26.7,26.18,26.69,739262
"2016-03-31",27.49,27.87,27.18,27.83,1197083
"2016-04-07",28.81,29.06,28.5,28.91,652416
"2016-04-14",29.85,30.59,29.43,29.58,1492257
"2016-04-21",29.84,30.17,29.6,29.7,844710
"2016-04-28",29.96,30.25,29.88,30.03,1192145
"2016-05-05",27.15,27.42,26.8,26.99,1750726
"2016-05-12",26.22,27.18,25.46,25.87,1668924
"2016-05-19",25.4,25.45,25.02,25.13,647230
"2016-05-26",25.98,26.36,25.76,26.1,792501
"2016-06-02",26.63,27,26.44,26.83,594096
"2016-06-09",26.2,26.75,26.02,26.72,715050
"2016-06-16",26.35,26.7,26.19,26.25,1181586
"2016-06-23",26.56,26.86,26.49,26.73,591527
"2016-06-30",25.61,26.04,25.38,25.99,1108428
"2016-07-07",26.38,26.5,26.08,26.44,740932
"2016-07-14",27.27,27.58,27.25,27.41,880818
"2016-07-21",27,27.14,26.6,26.62,699732
"2016-07-28",26.77,26.85,26.54,26.6,456505
"2016-08-04",27.38,27.79,27.11,27.19,942835
"2016-08-11",27.96,29.09,27.91,28.95,992620
"2016-08-18",27.5,28.84,27.5,28.58,1741494
"2016-08-25",28.33,28.86,27.47,27.64,1322654
"2016-09-01",26.64,26.8,25.55,25.71,3146825
"2016-09-08",25.33,25.33,24.48,24.78,4134319
"2016-09-15",24.09,24.37,24.09,24.33,8303924
