"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume"
"2015-04-30",97.51,98.1,96.45,96.93,650866
"2015-05-07",98,98.76,97.62,97.94,769553
"2015-05-14",98.9,99.72,98.77,99.61,565725
"2015-05-21",99.24,100.11,99.12,100.05,355244
"2015-05-28",100.38,100.93,99.83,100.29,372358
"2015-06-04",98.38,98.75,97.44,97.58,341696
"2015-06-11",99.13,99.58,98.92,99.37,278322
"2015-06-18",98.09,99.36,97.68,99.3,677341
"2015-06-25",97.48,99.92,97.48,99.63,502630
"2015-07-02",98.47,98.94,97.5,98.21,369625
"2015-07-09",96.99,97.49,96.23,96.46,707958
"2015-07-16",99.07,100.21,98.72,100.13,610787
"2015-07-23",101.81,102.96,99.19,100.13,1993808
"2015-07-30",101.76,102.31,101.12,102.16,508822
"2015-08-06",103.86,103.86,102.11,102.31,470915
"2015-08-13",102.91,104.61,102.64,103.86,440988
"2015-08-20",103.73,104,101.78,101.82,586652
"2015-08-27",97.16,98.95,96.76,98.85,927889
"2015-09-03",97.7,99.09,97.09,98.31,528406
"2015-09-10",98.45,98.68,97.45,97.86,919953
"2015-09-17",99.39,99.7,98.14,98.36,821052
"2015-09-24",97.19,97.75,96.52,97.39,547056
"2015-10-01",97.24,98.44,96.87,98.38,567958
"2015-10-08",102.55,104.93,102.22,104.7,558807
"2015-10-15",104.77,105.86,104.13,105.83,503505
"2015-10-22",104.4,105.84,102.23,103.29,1581918
"2015-10-29",106.62,106.8,105.91,106.66,465777
"2015-11-05",106.33,106.77,105.6,106.09,388620
"2015-11-12",106.27,107.62,105.65,105.95,503026
"2015-11-19",110.04,110.16,108.8,109.88,466860
"2015-12-03",112.07,112.33,108.91,109.35,666316
"2015-12-10",110.14,111.88,109.64,110.97,379389
"2015-12-17",113.05,113.82,111.74,113.2,954077
"2015-12-24",113.04,113.35,112.39,112.75,291993
"2015-12-31",112.5,112.72,111.35,111.37,708163
"2016-01-07",107.34,108.44,105.14,105.29,1087923
"2016-01-14",101,104.15,100.35,103.46,1263074
"2016-01-21",102,103.32,100.88,102.62,862969
"2016-01-28",103.56,103.68,101.65,101.77,931547
"2016-02-04",103.12,104.16,102.6,103.67,581841
"2016-02-11",93.96,96.63,91.72,93.45,1631665
"2016-02-18",102.22,102.55,100.41,100.89,768055
"2016-02-25",103.8,106.58,103.8,106.53,924632
"2016-03-03",106.7,107.17,105.92,107.13,513832
"2016-03-10",107.16,107.68,105.52,106.78,578986
"2016-03-17",109.92,111.54,109.83,111.31,540768
"2016-03-24",110.73,111.25,109.09,111.23,962916
"2016-03-31",114.01,114.67,113.4,114.29,532885
"2016-04-07",114.45,114.78,113.17,113.78,437989
"2016-04-14",115.18,117.22,115.18,115.97,626958
"2016-04-21",116.99,117.07,115.82,115.91,463565
"2016-04-28",117.79,122.55,115.66,120.32,2611144
"2016-05-05",119.35,120.22,119.3,120.04,541880
"2016-05-12",122.81,123.32,121.41,122.65,620063
"2016-05-19",122.5,122.98,121.33,122.55,502625
"2016-05-26",124.88,125.33,124.7,125.07,561148
"2016-06-02",125.45,126.33,124.99,126.31,450794
"2016-06-09",125.47,125.99,124.8,125.94,503115
"2016-06-16",120.92,122.53,120.25,122.35,792468
"2016-06-23",126.35,126.96,125.62,126.96,506794
"2016-06-30",125.83,128.41,125.63,128.4,932282
"2016-07-07",129.93,130.82,129.6,130.41,570990
"2016-07-14",134.81,134.97,133.41,133.62,578520
"2016-07-21",135.81,136.44,134.4,134.83,704335
"2016-07-28",134.38,135.44,131.87,133.49,1556301
"2016-08-04",130.48,132.04,130.37,131.28,797267
"2016-08-11",132.74,133.35,132.34,132.69,565181
"2016-08-18",131,131.59,130.54,131.41,344829
"2016-08-25",130.32,130.78,129.97,130.49,513686
"2016-09-01",131.87,133.13,131.48,133.09,508884
"2016-09-08",134.77,135.02,134.52,134.68,471855
"2016-09-15",131.86,134.71,131.22,134.35,732905
