"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume"
"2013-03-21",256.28,259.19,252.81,253,1039975
"2013-03-28",257.36,258.66,255.26,256.88,547640
"2013-04-04",248.22,251.15,247.6,251.11,806887
"2013-04-11",261.35,265.57,261.35,264.14,735726
"2013-04-18",251.01,251.18,243.58,245.3,1012457
"2013-04-25",259.87,264.33,259.26,263.57,755865
"2013-05-02",261.69,263.41,260.98,262.35,670708
"2013-05-09",274.73,278.82,272.43,275.8,891604
"2013-05-16",288.44,290.83,284.76,285.41,607621
"2013-05-23",280.85,283.69,277.45,282.8,748232
"2013-05-30",282.5,286.68,281.3,284.98,781861
"2013-06-06",264.68,269.23,260.52,268.99,1409330
"2013-06-13",268.78,272.7,264.71,272.43,1162736
"2013-06-20",264.72,265.92,250.55,252.01,2373379
"2013-06-27",257.35,265.5,257.35,264.06,1042380
"2013-07-11",267.57,272.03,266.95,269.89,932335
"2013-07-18",273.62,279.63,272.3,278.91,1234350
"2013-07-25",282.21,286.53,281.25,284.98,580320
"2013-08-01",286,287,283.68,285.27,774679
"2013-08-08",283.33,283.93,278.39,278.52,501211
"2013-08-15",274.44,274.66,267.57,270.09,593049
"2013-08-22",265.4,268.83,264.51,268.06,355452
"2013-08-29",257.54,262.6,257.3,260.54,335644
"2013-09-05",265.87,266.88,262.06,262.77,536225
"2013-09-12",259.48,263.85,259.48,262.26,608693
"2013-09-19",280.84,285.32,280.02,283.64,895849
"2013-09-26",271.21,273.25,270.57,272.68,314173
"2013-10-03",269.62,271.99,266.5,269.93,574752
"2013-10-10",268.24,277.74,268.24,277.25,577930
"2013-10-17",289.89,299.09,288.24,298.51,992658
"2013-10-24",304.73,308.42,303.24,306.95,609982
"2013-10-31",306.37,309.18,300.72,300.81,882224
"2013-11-07",308.49,308.49,296.54,296.68,480892
"2013-11-14",298.43,302.85,297.88,302.6,639617
"2013-11-21",299.28,303.88,297.81,303.43,400376
"2013-12-05",295.66,296.65,293.43,295.55,544521
"2013-12-12",292.33,295.36,291.67,291.77,717342
"2013-12-19",309.64,309.98,306.12,308.39,701684
"2013-12-26",323,323,313.05,315.39,340534
"2014-01-02",315.38,315.38,310.47,312.8,396548
"2014-01-09",317.32,318.92,314.01,316.08,472598
"2014-01-16",324.31,326,313.48,317.78,1525973
"2014-01-23",320.53,322.26,315.33,315.57,1136547
"2014-01-30",301.43,307.11,301.43,305.44,689184
"2014-02-06",291.31,295.64,290.4,294.87,858432
"2014-02-13",298.99,305.76,296.13,304.54,550482
"2014-02-20",300.39,301.95,297.5,300.52,606447
"2014-02-27",297.73,306.63,297.68,305.81,792483
"2014-03-06",308.8,312.21,307.28,311.11,737436
"2014-03-13",310.44,311.25,298.67,299.25,1027773
"2014-03-20",296.98,302.5,296.67,300.99,645977
"2014-03-27",309.5,310.74,305.55,306.5,666793
"2014-04-03",319.61,319.61,313.45,314.64,554549
"2014-04-10",309.1,309.13,295.95,295.95,875622
"2014-04-17",312.95,313.21,300.75,308.38,1011658
"2014-04-24",305.58,307.59,302.79,303.62,545078
"2014-05-01",299.98,302.77,298.01,301.05,589223
"2014-05-08",298.4,302.87,298.4,300.38,581905
"2014-05-15",301.22,301.75,295.15,297.02,662563
"2014-05-22",299.13,301.75,298.03,300.57,410575
"2014-05-29",302.83,305.23,301.95,304.82,406355
"2014-06-05",309.55,310.85,306.46,309.93,566360
"2014-06-12",311.54,311.86,307.24,308.82,519902
"2014-06-19",320.08,321.14,316.28,318.8,700855
"2014-06-26",317.25,317.81,312.54,315.22,605317
"2014-07-03",320.99,324.5,320.59,323.6,276463
"2014-07-10",316.48,317.84,314.02,315.9,538882
"2014-07-17",322.99,325.9,317.31,317.79,761671
"2014-07-24",318.28,319.17,316.44,317.36,395572
"2014-07-31",311.75,311.99,304.73,304.73,843511
"2014-08-07",305.51,307.74,301.52,302.97,431505
"2014-08-14",313.32,314.87,312.9,314.72,334284
"2014-08-21",324.45,326.4,322.96,326.29,515956
"2014-08-28",330.65,331.38,328.08,328.84,555235
"2014-09-04",333.05,334.95,330.83,331.73,441193
"2014-09-11",327.78,329.5,326.81,328.51,504958
"2014-09-18",330.92,334.2,330.13,333.61,482327
"2014-09-25",326.96,328.92,320.55,321.52,676133
"2014-10-02",321.97,324.66,319.12,323.59,476525
"2014-10-09",324.96,324.96,315.01,315.21,685195
"2014-10-16",302.48,315.74,302.01,310.69,916838
"2014-10-23",320.46,324.2,319.84,322.08,540398
"2014-10-30",330.02,334.31,330,333.23,601508
"2014-11-06",345.29,348.25,344.24,347.63,481749
"2014-11-13",350.32,350.8,346.1,348.58,395800
"2014-11-20",343.62,348.96,343.46,347.54,305289
"2014-12-04",355.41,360.99,354.34,360.71,582083
"2014-12-11",360.15,361.41,352.62,353.83,622411
"2014-12-18",355.13,358.85,351.53,358.84,579673
"2015-01-08",352.84,354.65,351.59,353.42,480797
"2015-01-15",349.07,349.58,340.57,342.45,662086
"2015-01-22",354,362.03,348.47,360.79,716518
"2015-01-29",345.79,348.16,342.77,346.94,593738
"2015-02-05",352.34,359.82,352.01,358.82,743609
"2015-02-12",370,375.46,370,374.88,445494
"2015-02-19",376.69,379.43,376.05,377.61,499029
"2015-02-26",374.79,377.01,373.25,375.02,397656
"2015-03-05",370,371.48,367.34,369.94,366051
"2015-03-12",360.6,368.93,360.6,368.71,474376
"2015-03-19",376,376.45,369.12,369.95,633193
"2015-03-26",360.74,364.81,360.01,362.15,417686
"2015-04-02",363.32,367.15,362.67,366.4,351835
"2015-04-09",370,371.78,367.68,371.53,392705
"2015-04-16",378.52,378.79,364.37,372.18,902460
"2015-04-23",368.5,372.56,366.93,371.93,432672
"2015-04-30",366.27,368.9,362.34,363.94,673283
"2015-05-07",363.5,367.57,362.83,365.68,431389
"2015-05-14",367.52,371.51,366.9,371.47,419021
"2015-05-21",370.5,371.77,368.03,368.22,390534
"2015-05-28",366.98,369.76,366.07,369.51,358134
"2015-06-04",362.72,364.52,356.4,357.83,639962
"2015-06-11",356.73,358.83,355.01,356.81,585815
"2015-06-18",358,361.81,356.59,360.88,445307
"2015-06-25",355.57,356.48,350.88,351.13,482272
"2015-07-02",348.23,348.5,343.66,345.4,433897
"2015-07-09",341.05,342.37,336.31,336.89,797278
"2015-07-16",349.65,354.99,349.04,354.28,806090
"2015-07-23",350.08,351.19,345.58,346.44,526610
"2015-07-30",339.71,341.04,337.79,338.75,622316
"2015-08-06",335.47,336.19,331.73,333.07,583768
"2015-08-13",327.93,329.4,325.03,325.91,474945
"2015-08-20",321.81,322.42,316.69,317.06,742472
"2015-08-27",306.53,314.99,306.53,314.47,944039
"2015-09-03",299.56,301.47,298.17,300.26,1148024
"2015-09-10",297.8,303.84,296.78,301.31,952905
"2015-09-17",312.23,316.74,310.66,311.63,958416
"2015-09-24",301,301.91,299.05,300.51,717500
"2015-10-01",297.07,298.76,291.5,295.92,814307
"2015-10-08",319.12,319.87,316.67,318.57,653577
"2015-10-15",324.45,327.26,320.59,325.63,737287
"2015-10-22",323.95,335.87,322.81,335.35,722000
"2015-10-29",345.68,350.99,343.5,349.86,926149
"2015-11-05",355.99,359.44,355.18,357.3,510675
"2015-11-12",346.52,349.77,345.02,345.74,628499
"2015-11-19",360.53,361.03,357.95,359.09,489754
"2015-12-03",359.08,360.62,350.1,352,890944
"2015-12-10",344.25,349.04,342.82,345.25,659404
"2015-12-17",332.85,336.35,328.58,330.21,1127062
"2015-12-24",340.37,340.87,335.18,337.4,240267
"2015-12-31",339.94,345.75,337.8,340.52,500006
"2016-01-07",320.6,325.65,312.61,315.73,1286052
"2016-01-14",305.26,315.45,299.31,310,1373717
"2016-01-21",292.79,296.89,289.48,289.9,1095899
"2016-01-28",302.61,307.81,298.04,299.17,1023803
"2016-02-04",302.25,316,302.25,313.7,1035413
"2016-02-11",289.47,297.23,289,294.21,1261868
"2016-02-18",319.52,320.05,314.14,315.97,660851
"2016-02-25",309.59,313.75,303.87,313.62,608686
"2016-03-03",323.46,324.97,320.43,323.14,838419
"2016-03-10",329.77,330,320,324.99,688346
"2016-03-17",334.23,344.73,332.67,341.94,863097
"2016-03-24",336.47,337.87,331.73,334.28,662382
"2016-03-31",340.34,344.2,339.93,340.57,511352
"2016-04-07",334.37,335.87,326.93,328.37,529756
"2016-04-14",343,356.2,342,354.91,833677
"2016-04-21",364.36,367.88,362.24,364.09,607856
"2016-04-28",363.2,365.88,357.68,358.83,509447
"2016-05-05",352.42,354.5,351.17,352.08,521642
"2016-05-12",356.56,357.71,352.68,355.6,393850
"2016-05-19",350.38,353.22,345.69,350.57,555103
"2016-05-26",364.1,364.85,361.44,363.1,342711
"2016-06-02",360.88,363.16,356.71,361.11,519437
"2016-06-09",356.65,359,355.39,357.96,331383
"2016-06-16",336.88,339.9,332.01,339.46,660676
"2016-06-23",352.81,356.93,351.91,356.85,421223
"2016-06-30",337.96,342.67,334.23,342.53,753556
"2016-07-07",335,337.55,331.2,335.11,776563
"2016-07-14",354.5,362,352.99,355.19,799529
"2016-07-21",359.28,360.3,357.66,359.5,593024
"2016-07-28",362.64,364.98,360.69,363.37,407274
"2016-08-04",367.67,369.16,365.65,366.25,453224
"2016-08-11",366.29,368.81,366.29,367.39,495647
"2016-08-18",369.02,370.9,369.02,370.79,291216
"2016-08-25",368,369.36,366.67,368.5,485993
"2016-09-01",374.12,375.83,366.72,372.17,457515
"2016-09-08",372.02,373.44,371.18,372.38,380102
"2016-09-15",360.7,366.86,359.35,365.5,592479
