"","TSN.Open","TSN.High","TSN.Low","TSN.Close","TSN.Volume"
"2012-08-30",15.54,15.68,15.33,15.46,5287405
"2012-09-06",15.68,15.82,15.58,15.75,7082335
"2012-09-13",16.18,16.49,16.14,16.35,4113230
"2012-09-20",16.54,16.68,16.46,16.56,4091415
"2012-09-27",16.29,16.49,16.24,16.36,2826462
"2012-10-04",16.42,16.49,16.22,16.44,4624970
"2012-10-11",16.17,16.53,16.09,16.11,6326768
"2012-10-18",16.42,16.63,16.4,16.62,3120411
"2012-10-25",16.53,16.64,16.3,16.37,4476429
"2012-11-01",16.85,17.22,16.81,17.19,7249300
"2012-11-08",16.99,17.16,16.64,16.71,4680154
"2012-11-15",16.72,16.83,16.55,16.76,4258369
"2012-11-29",19.11,19.25,19.03,19.19,3737188
"2012-12-06",19.6,19.74,19.58,19.68,4053553
"2012-12-13",19.74,19.9,19.52,19.6,2785082
"2012-12-20",19.68,19.76,19.6,19.7,3009024
"2012-12-27",19.35,19.42,19.17,19.37,2179282
"2013-01-03",19.92,20.5,19.83,20.35,5738978
"2013-01-10",20.36,20.37,20.11,20.16,2598413
"2013-01-17",20.51,21.44,20.5,21.23,7874904
"2013-01-24",22.24,22.4,22.14,22.3,2497353
"2013-01-31",22.15,22.42,22.08,22.12,5961078
"2013-02-07",23.44,23.9,23.41,23.77,9337911
"2013-02-14",23.86,24.24,23.78,24.22,4730889
"2013-02-21",23.52,23.55,23.1,23.4,5380324
"2013-02-28",22.59,22.88,22.45,22.67,5192966
"2013-03-07",23.71,24.12,23.6,23.77,3955114
"2013-03-14",24.21,24.46,24.06,24.36,2906663
"2013-03-21",24,24.12,23.87,23.95,2324324
"2013-03-28",24.22,24.85,24.05,24.82,5148778
"2013-04-04",24.43,24.86,24.39,24.7,4399097
"2013-04-11",23.42,23.77,22.47,23.75,4386265
"2013-04-18",23.58,23.66,23.37,23.61,2867201
"2013-04-25",24.88,24.98,24.66,24.88,3904652
"2013-05-02",24.4,24.68,24.35,24.61,2102909
"2013-05-09",25.08,25.22,24.82,24.88,4765174
"2013-05-16",25,25.16,24.85,24.88,5283950
"2013-05-23",25.08,25.21,24.76,24.92,4743681
"2013-05-30",25.42,25.76,25.21,25.49,5618486
"2013-06-06",24.7,24.88,24.51,24.81,2537516
"2013-06-13",25.4,25.79,25.37,25.71,2340681
"2013-06-20",25.37,25.61,25.14,25.22,4325542
"2013-06-27",25.32,25.62,25.21,25.23,2250865
"2013-07-11",27,27.21,26.87,27.01,3970254
"2013-07-18",27.09,27.27,26.88,26.95,2735965
"2013-07-25",27.05,27.14,26.76,27.1,1900340
"2013-08-01",27.88,28.56,27.86,28.46,5807896
"2013-08-08",30.77,31.01,30.6,30.77,9612753
"2013-08-15",31.44,31.59,31.04,31.47,4285514
"2013-08-22",31.55,31.72,31.33,31.4,2905727
"2013-08-29",28.45,29.05,28.32,28.91,5032391
"2013-09-05",29.49,29.83,29.36,29.76,4583462
"2013-09-12",30.08,30.32,29.96,30.2,4043921
"2013-09-19",30.49,30.49,30.02,30.42,4059513
"2013-09-26",28.68,28.73,28.26,28.54,6588505
"2013-10-03",28.23,28.41,28.02,28.23,4442967
"2013-10-10",28.88,29.32,28.88,29.3,3145823
"2013-10-17",29.53,29.88,29.44,29.77,2698249
"2013-10-24",28.67,28.71,28.3,28.33,3046046
"2013-10-31",27.79,27.87,27.39,27.67,4673647
"2013-11-07",27.97,28.01,27.48,27.56,3944299
"2013-11-14",28.2,28.67,27.85,28.63,4682738
"2013-11-21",31.06,31.58,31.02,31.4,3361261
"2013-12-05",33.29,33.29,32.38,32.91,6599078
"2013-12-12",33.79,33.96,33.32,33.59,3724296
"2013-12-19",33.76,33.93,33.5,33.84,3485394
"2013-12-26",33.42,33.63,33.2,33.3,1394877
"2014-01-02",33.52,33.53,33.09,33.17,2001435
"2014-01-09",33.97,34.92,33.9,34.6,4758159
"2014-01-16",34.76,35.74,34.26,35.04,6105657
"2014-01-23",35.32,35.5,35.12,35.46,2558452
"2014-01-30",34.52,34.61,34.26,34.49,3770551
"2014-02-06",35.65,35.97,35.38,35.7,3298905
"2014-02-13",36.78,37.62,36.73,37.47,3052551
"2014-02-20",38.31,39.31,38.31,39.17,3759007
"2014-02-27",39.05,39.25,38.58,38.91,3929739
"2014-03-06",40.42,40.49,40.02,40.17,3237252
"2014-03-13",40.5,40.8,40.29,40.47,2348602
"2014-03-20",41.88,42.34,41.5,42.29,2027322
"2014-03-27",42.82,42.97,42.36,42.87,2391001
"2014-04-03",41.42,42,41.36,41.99,5031639
"2014-04-10",42.25,42.54,41.24,41.32,4588423
"2014-04-17",42.64,42.95,42.44,42.65,2070534
"2014-04-24",43.29,43.29,41.88,42.5,4299914
"2014-05-01",42.24,42.5,41.64,42.41,2629156
"2014-05-08",39.21,39.77,38.91,39.16,4027006
"2014-05-15",40.05,40.63,39.66,40.6,2657815
"2014-05-22",39.71,39.83,38.67,39.13,4406677
"2014-05-29",42.38,44,42.18,43.25,11088831
"2014-06-05",41.53,41.62,40.7,40.9,5849816
"2014-06-12",35.74,35.9,35.03,35.17,7890019
"2014-06-19",36.09,36.11,35.78,35.97,5151057
"2014-06-26",36.43,37.05,36.27,37.03,4973953
"2014-07-03",39.1,39.11,38.28,38.51,3508372
"2014-07-10",38.48,39.29,38.35,39.13,2583870
"2014-07-17",39.25,39.48,38.85,39.06,1818708
"2014-07-24",39.2,39.82,39.05,39.77,2569582
"2014-07-31",37.57,37.76,37.1,37.21,32322769
"2014-08-07",37.19,37.29,36.12,36.39,4984488
"2014-08-14",37.75,37.8,37.46,37.59,2442580
"2014-08-21",37.81,37.81,37.41,37.45,2636520
"2014-08-28",37.7,38.2,37.48,38.04,5080292
"2014-09-04",37.78,38.09,37.3,37.39,3330063
"2014-09-11",38.61,38.93,38.44,38.81,2994964
"2014-09-18",38.65,38.86,38.33,38.78,2952608
"2014-09-25",37.99,38.11,37.53,37.78,3065296
"2014-10-02",39.94,41.17,39.94,40.83,7755008
"2014-10-09",41.51,42.1,40.83,40.96,3822251
"2014-10-16",38.01,38.46,37.02,37.12,7283749
"2014-10-23",38.85,38.97,38.23,38.32,3109390
"2014-10-30",39.19,39.95,38.9,39.62,3143833
"2014-11-06",41.5,41.78,41.2,41.53,2512219
"2014-11-13",40.31,41.36,40.26,41.18,4567557
"2014-11-20",43,43.37,42.54,42.56,5763203
"2014-12-04",41.55,41.74,40.56,40.7,5140681
"2014-12-11",40.87,42.29,40.78,41.73,5675274
"2014-12-18",39.89,39.95,38.25,39.72,9242713
"2015-01-08",40.02,41.21,39.94,41.2,5632835
"2015-01-15",40.2,40.43,39.54,40.09,6798803
"2015-01-22",40.96,41.2,40.48,41.1,4349517
"2015-01-29",40.17,40.27,39.47,40.21,5868322
"2015-02-05",39.31,40.04,39.31,40.02,3310518
"2015-02-12",40.2,40.82,40.05,40.79,3410645
"2015-02-19",41.27,41.54,40.9,41.34,3581809
"2015-02-26",41.33,41.49,40.69,40.87,2492582
"2015-03-05",41.25,41.45,40.4,40.56,3970420
"2015-03-12",37.8,38.25,37.37,37.56,6549617
"2015-03-19",39.51,40.17,39.47,39.83,3903488
"2015-03-26",38.06,38.32,37.69,38.16,3744765
"2015-04-02",38.3,39.21,38.26,38.63,3502983
"2015-04-09",38.76,38.77,38.36,38.67,5364705
"2015-04-16",39.58,39.85,39.28,39.33,2479588
"2015-04-23",38.09,38.54,37.88,38.29,2651955
"2015-04-30",39.2,39.69,39.05,39.5,4747476
"2015-05-07",40.35,40.6,40,40.39,2455830
"2015-05-14",41.41,41.93,41.4,41.72,3328309
"2015-05-21",43.51,43.8,43.12,43.49,4401730
"2015-05-28",42.62,42.65,42.06,42.35,3631206
"2015-06-04",41.76,42.05,41.28,41.36,2722200
"2015-06-11",41.4,41.51,41.16,41.32,3942344
"2015-06-18",42.31,42.44,42.27,42.31,2541700
"2015-06-25",45.1,45.1,44.55,44.65,4335970
"2015-07-02",43,43.43,42.74,42.93,2945642
"2015-07-09",43.17,43.24,42.66,42.67,4358003
"2015-07-16",43.73,43.82,43.29,43.45,4342045
"2015-07-23",43.1,43.51,42.87,43.13,2118600
"2015-07-30",43.69,44.42,43.49,44.38,4667553
"2015-08-06",41.46,42.14,41.03,42.07,4701846
"2015-08-13",42.41,42.66,42.24,42.3,4175680
"2015-08-20",42.75,43.86,42.65,43.45,5919232
"2015-08-27",41.11,42.46,41.07,42.34,4753503
"2015-09-03",42.1,43.03,42.04,42.69,3058990
"2015-09-10",42.51,43.16,41.95,42.85,3090527
"2015-09-17",43.55,44.14,43.44,43.68,3044948
"2015-09-24",41.95,43.11,41.64,42.98,4206186
"2015-10-01",43.27,43.75,42.78,43.67,3897278
"2015-10-08",44.61,46.04,44.45,45.99,5157755
"2015-10-15",44.54,44.65,43.47,43.93,5754283
"2015-10-22",46.38,47.45,46.18,47.18,3673465
"2015-10-29",44.84,45.05,43.83,43.85,4276262
"2015-11-05",45.31,45.69,44.98,45.6,2780854
"2015-11-12",44.58,44.59,43.4,43.61,3596067
"2015-11-19",45.21,45.34,43.73,44.46,4451688
"2015-12-03",50.75,51.84,50.75,51.48,9781017
"2015-12-10",53.07,54.03,52.87,53.41,8403562
"2015-12-17",53.64,53.67,52.46,52.88,4893430
"2015-12-24",53.89,54.18,53.89,53.94,959376
"2015-12-31",53.49,53.78,53.31,53.33,2338836
"2016-01-07",51.52,52.43,51.43,52.17,4630977
"2016-01-14",53.05,53.17,52.48,52.91,4039602
"2016-01-21",50,51.29,49.67,51.01,5607689
"2016-01-28",52.24,52.86,51.49,52.59,3428457
"2016-02-04",52.71,53.23,51.73,51.95,4987444
"2016-02-11",61.11,61.5,59.77,60.05,5296056
"2016-02-18",62.56,63.34,62.01,62.96,5000948
"2016-02-25",65.57,66.67,65.22,66.49,3901930
"2016-03-03",66,66.09,65.37,66.02,2970153
"2016-03-10",66.17,66.78,66.05,66.64,4625127
"2016-03-17",67.35,67.73,67.1,67.21,2443936
"2016-03-24",66.94,67.46,66.49,66.89,1844200
"2016-03-31",67.64,67.67,66.61,66.66,3083536
"2016-04-07",67.78,68.23,67.54,67.84,1995646
"2016-04-14",65.52,65.63,64.18,64.66,3451294
"2016-04-21",63.53,63.84,62.3,62.94,5210529
"2016-04-28",65.01,66.57,64.92,65.52,2806206
"2016-05-05",66.71,67.08,66.32,66.38,2437947
"2016-05-12",68.35,68.94,67.63,68.65,2849596
"2016-05-19",65,65.63,64.59,65.02,4208358
"2016-05-26",64.84,65.46,64.65,65.14,2326548
"2016-06-02",64.4,64.4,62.49,62.6,4063045
"2016-06-09",59.83,61.53,59.63,61.28,5104934
"2016-06-16",60.36,61.51,60.19,61.49,3951773
"2016-06-23",63.02,63.37,62.7,63.36,3180650
"2016-06-30",64.31,66.81,64.24,66.79,4877715
"2016-07-07",68,68,67.23,67.66,2801783
"2016-07-14",68.92,69.98,68.62,69.85,2177847
"2016-07-21",70.7,71.16,70.53,71.13,2030081
"2016-07-28",72.12,73.39,71.92,73.05,2634152
"2016-08-04",73.3,73.88,73,73.56,2789743
"2016-08-11",74.86,74.95,74.14,74.57,2279190
"2016-08-18",74.58,75.24,74.29,75.03,2192856
"2016-08-25",75.01,76.23,75,75.47,2385069
"2016-09-01",75.58,75.6,74.87,75.48,1871579
"2016-09-08",75.02,75.14,74.51,74.7,2067031
"2016-09-15",72.99,73.71,72.5,73.6,2161586
