"","IT.Open","IT.High","IT.Low","IT.Close","IT.Volume"
"2016-04-21",89.15,89.88,88.02,88.2,227728
"2016-04-28",87.89,88.39,87.06,87.26,170088
"2016-05-05",89.33,96.4,89.33,95.16,702174
"2016-05-12",97.5,98.44,96.77,98.08,549922
"2016-05-19",97.32,98.46,96.76,98.13,246952
"2016-05-26",101.39,102.43,100.96,102.02,261901
"2016-06-02",101.51,102.54,100.1,102.53,503126
"2016-06-09",101.14,101.67,100.98,101.16,335895
"2016-06-16",100.28,101,99.42,100.14,411317
"2016-06-23",99.26,99.84,98.86,99.82,571364
"2016-06-30",95.1,97.44,94.6,97.41,757039
"2016-07-07",97.58,98,97.01,97.32,290937
"2016-07-14",99.23,99.81,98.74,99.03,247980
"2016-07-21",98.73,99,98.36,98.51,316383
"2016-07-28",99.55,99.55,98.4,98.9,259932
"2016-08-04",96.45,97.69,94.58,95.34,671391
"2016-08-11",94.6,94.72,93.93,94.47,399645
"2016-08-18",90.88,91.28,90.59,90.99,328981
"2016-08-25",90.26,91.09,90.2,90.82,453490
"2016-09-01",90.75,91.2,90.45,90.79,272665
"2016-09-08",90.91,91.26,90.1,90.19,211061
"2016-09-15",88.83,90.4,88.15,90.33,343601
