"","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume"
"2013-10-10",59.95,60.61,59.85,60.61,1133277
"2013-10-17",60.4,60.96,60.25,60.92,1988883
"2013-10-24",62.3,62.8,62.08,62.51,1801952
"2013-10-31",62.31,62.98,62.08,62.52,1167668
"2013-11-07",62.85,63.42,62.44,62.49,1602133
"2013-11-14",64.41,64.96,64.27,64.58,1086546
"2013-11-21",64.85,65.46,64.69,65.41,1468476
"2013-12-05",64.75,65.57,64.7,65.23,1084837
"2013-12-12",64.4,65.1,64.21,64.86,1334700
"2013-12-19",66.06,66.35,65.82,65.85,2151957
"2013-12-26",67.09,67.49,66.94,67.18,861093
"2014-01-02",67.37,67.49,65.84,66.33,1101567
"2014-01-09",66.16,66.66,66.08,66.5,954551
"2014-01-16",65.7,65.98,65.53,65.81,1012139
"2014-01-23",64.68,65.42,64.56,65.34,2821341
"2014-01-30",64.73,65.2,64.55,64.91,1178178
"2014-02-06",63.1,63.46,63.01,63.4,862652
"2014-02-13",65.31,65.81,65.31,65.67,639200
"2014-02-20",64.99,65.28,64.59,65.22,994867
"2014-02-27",65.19,65.91,65.02,65.9,853359
"2014-03-06",66.4,66.79,66.32,66.57,687233
"2014-03-13",65.06,65.17,64.12,64.21,1242885
"2014-03-20",65.46,66.95,65.26,66.66,1051848
"2014-03-27",64.79,65.14,63.98,64.36,1155648
"2014-04-03",64.83,65.6,64.75,65.09,1072485
"2014-04-10",65.26,65.36,63.9,63.99,920648
"2014-04-17",63.07,63.27,62.07,63.15,2666474
"2014-04-24",63.61,63.77,62.92,63,1280794
"2014-05-01",60.18,62.74,59.92,62.65,4819144
"2014-05-08",66.93,67.88,66.83,67.38,1968851
"2014-05-15",67.33,67.45,66.2,66.34,1859252
"2014-05-22",66.28,66.95,66.04,66.63,1613814
"2014-05-29",67.05,67.1,66.9,66.91,1259035
"2014-06-05",67.23,67.71,67.09,67.17,1651814
"2014-06-12",66.84,67.03,66.29,66.46,1309960
"2014-06-19",66.61,67.07,66.61,67.06,1285125
"2014-06-26",66.68,66.68,66.16,66.56,575134
"2014-07-03",67.22,67.48,67.06,67.41,553532
"2014-07-10",66.1,66.6,65.95,66.45,935847
"2014-07-17",65.48,65.65,64.91,64.94,1475747
"2014-07-24",66,66.03,65.53,65.61,1192650
"2014-07-31",64.52,64.61,63.59,63.68,1617749
"2014-08-07",61.25,62.3,61.19,61.25,2258110
"2014-08-14",62.12,62.17,61.45,61.52,1451042
"2014-08-21",61.54,61.76,61.36,61.7,1578752
"2014-08-28",59.41,59.6,59.22,59.37,1992925
"2014-09-04",58.97,59.15,58.86,58.98,2950485
"2014-09-11",60.74,61.24,60.68,61.22,1117311
"2014-09-18",61.96,62.15,61.63,62.04,1952441
"2014-09-25",61.73,62.42,61.46,62.24,2384204
"2014-10-02",62.06,62.2,60.86,61.03,2723248
"2014-10-09",61.35,61.7,60.38,60.46,1427153
"2014-10-16",58.35,59.5,58.35,59.18,1579493
"2014-10-23",62.31,62.5,62.12,62.25,2149804
"2014-10-30",63.92,64.32,62.38,64.08,2456677
"2014-11-06",64.46,64.46,63.3,63.42,2683646
"2014-11-13",63.86,64.51,63.86,64.43,1655781
"2014-11-20",65.86,66.11,65.58,65.66,1958759
"2014-12-04",65.4,65.67,65.09,65.2,1411761
"2014-12-11",63.29,64.34,63.2,63.29,1506623
"2014-12-18",64.74,65.12,64.4,65.11,1844670
"2015-01-08",64.91,65.63,64.88,65.43,1237316
"2015-01-15",63.98,64.34,63.35,63.41,1471584
"2015-01-22",64.56,65.56,64.19,65.36,970439
"2015-01-29",63.75,63.99,62.94,63.83,1459563
"2015-02-05",63.85,64.1,63.16,64,2375790
"2015-02-12",68.87,70.02,68.87,70,2193812
"2015-02-19",69.38,69.66,68.95,69.03,1893841
"2015-02-26",68.11,68.57,67.75,68.47,1555504
"2015-03-05",67.91,68.14,67.72,67.93,1053188
"2015-03-12",64.72,65.34,64.67,64.96,1657436
"2015-03-19",66.45,67.01,66.05,66.34,1383468
"2015-03-26",64.93,65.56,64.53,65.42,957142
"2015-04-02",66.67,67.46,61.15,62.51,8069887
"2015-04-09",62.27,62.44,61.8,62.32,923864
"2015-04-16",61.71,62.13,61.71,61.86,1936373
"2015-04-23",61.18,61.46,60.84,60.84,1380575
"2015-04-30",59.45,59.84,59.32,59.75,1889957
"2015-05-07",59.29,60.4,59.12,60.01,1862761
"2015-05-14",59.62,59.9,59.42,59.79,906772
"2015-05-21",59.65,59.94,59.58,59.79,650145
"2015-05-28",58.96,59.87,58.84,59.63,854553
"2015-06-04",59.24,59.58,58.74,58.8,677462
"2015-06-11",58.46,58.74,58.23,58.55,896526
"2015-06-18",58,58.59,57.98,58.39,1213109
"2015-06-25",58.5,58.56,58.05,58.35,845556
"2015-07-02",57.73,57.73,57.4,57.51,765160
"2015-07-09",57.44,57.53,56.9,56.94,1263052
"2015-07-16",59.13,59.34,59.02,59.29,847289
"2015-07-23",59.47,59.5,58.73,58.85,818142
"2015-07-30",59.5,59.9,59.34,59.86,488350
"2015-08-06",63.91,64,62.81,63.8,2489516
"2015-08-13",64.52,64.87,64.12,64.34,1058381
"2015-08-20",65.05,65.09,63.89,63.89,1615244
"2015-08-27",63.48,64.56,63.28,64.29,2225394
"2015-09-03",65,65.47,64.61,65.11,6163277
"2015-09-10",68.27,69.63,68.01,69.09,3367210
"2015-09-17",67.47,67.76,66.8,67.03,2238169
"2015-09-24",67.32,68.01,66.94,67.91,2079024
"2015-10-01",68.35,68.6,67.29,67.76,2099334
"2015-10-08",69.73,69.91,69,69.5,1375339
"2015-10-15",69,69.44,68.94,69.27,1251958
"2015-10-22",69.21,70.98,69.16,70.48,1552759
"2015-10-29",70.17,70.62,70,70.13,973205
"2015-11-05",64.9,67.72,64.9,67.4,3080955
"2015-11-12",69.74,69.98,69.3,69.44,965898
"2015-11-19",72,72.97,71.67,72.45,1384785
"2015-12-03",72.13,72.22,70.86,71.08,817479
"2015-12-10",69.16,70.08,69.09,69.37,1099867
"2015-12-17",69.8,70.49,68.56,68.56,1079188
"2015-12-24",69.24,69.39,68.87,69.06,249539
"2015-12-31",69,69.24,68.45,68.45,327145
"2016-01-07",64.63,65.29,63.54,64.11,1197212
"2016-01-14",63.66,63.91,62.98,63.11,1204631
"2016-01-21",60.4,61.27,60.03,60.82,838640
"2016-01-28",64.96,65.45,64.38,64.74,1126368
"2016-02-04",64.7,64.91,63.81,64.25,927182
"2016-02-11",60.19,60.83,59.78,60.52,827228
"2016-02-18",65.17,65.41,64.67,64.78,948893
"2016-02-25",72.99,74.18,72.67,74.06,2073303
"2016-03-03",71.2,71.58,70.75,71.25,4281036
"2016-03-10",71.83,72.63,70.68,71.22,2886042
"2016-03-17",72.53,73.77,72.25,72.83,2172698
"2016-03-24",73.04,73.04,72.4,72.59,900934
"2016-03-31",74.78,75.83,74.78,75.7,1480308
"2016-04-07",75.77,75.92,74.86,74.99,1042460
"2016-04-14",75.45,75.67,74.9,75.31,790678
"2016-04-21",75.4,75.54,74.85,74.99,656224
"2016-04-28",75.7,76.15,75.17,75.34,659479
"2016-05-05",74.21,75.27,74.07,74.25,1356145
"2016-05-12",70.21,71.54,69.66,71.11,1853528
"2016-05-19",69.36,69.76,68.29,68.72,1240918
"2016-05-26",69.32,69.84,68.96,69.4,832033
"2016-06-02",69.06,69.16,68.62,68.8,2347608
"2016-06-09",68.92,69.25,68.35,68.56,1516270
"2016-06-16",67.12,67.87,67.03,67.8,2178586
"2016-06-23",67.83,68.16,67.7,68.01,1001844
"2016-06-30",65.37,65.98,64.88,65.97,1926564
"2016-07-07",65.19,65.43,64.76,65.05,930226
"2016-07-14",67.87,68.16,67.48,67.58,958920
"2016-07-21",67.83,68.13,67.31,67.55,718803
"2016-07-28",69.02,69.73,69.01,69.58,1215449
"2016-08-04",69.39,70.76,69.34,70.24,1759180
"2016-08-11",74.6,75.86,74.48,75.52,1616308
"2016-08-18",75.69,76.01,75.54,75.99,658780
"2016-08-25",76.82,77.38,76.78,77.18,956485
"2016-09-01",76.96,77.02,76.05,76.8,1562726
"2016-09-08",77.83,77.99,77.36,77.37,1478706
"2016-09-15",75.56,76.11,75.53,76.04,1535930
