"","MCO.Open","MCO.High","MCO.Low","MCO.Close","MCO.Volume"
"2016-03-17",94.74,98.34,94.74,97.5,1983101
"2016-03-24",93.52,93.52,91.93,92.95,1804770
"2016-03-31",95.72,96.78,95.39,96.56,1015349
"2016-04-07",93.09,94.42,92.61,92.86,1164977
"2016-04-14",97.86,98.31,97.41,97.99,957326
"2016-04-21",100.45,100.99,99.62,99.63,837836
"2016-04-28",99.54,100.82,98.82,99.1,1010914
"2016-05-05",93.8,94.42,93.14,93.29,851236
"2016-05-12",95.55,95.97,93.9,94.74,1368330
"2016-05-19",93.96,94.09,92.4,93.07,1070726
"2016-05-26",98,98.22,97.32,97.56,496900
"2016-06-02",98.72,99.59,98.35,99.59,971282
"2016-06-09",100.47,101.21,100.13,101.07,519796
"2016-06-16",97.48,97.48,96.25,96.97,2692469
"2016-06-23",99.62,101.7,99.38,101.7,718630
"2016-06-30",91.94,93.72,91.32,93.71,1656282
"2016-07-07",93.33,94.94,93.33,94.23,966908
"2016-07-14",102.76,103.79,102.25,103.01,1349996
"2016-07-21",103.92,104.42,103.71,104.31,1005318
"2016-07-28",104.45,106.58,104.45,106.18,698848
"2016-08-04",104.71,105.03,103.69,103.91,831995
"2016-08-11",104.21,105,104.15,104.51,605672
"2016-08-18",103.97,104.26,103.74,104.23,388321
"2016-08-25",105.21,106.02,104.89,105.7,687891
"2016-09-01",108.7,108.98,107.35,108.55,667962
"2016-09-08",110.1,110.66,109.52,109.94,665562
"2016-09-15",106.98,108.95,106.78,108.7,928317
