"","EL.Open","EL.High","EL.Low","EL.Close","EL.Volume"
"2013-03-07",65.82,66.23,65.68,65.9,1861704
"2013-03-14",65.26,65.34,64.88,65.02,1031362
"2013-03-21",63.43,63.64,63.02,63.04,1365131
"2013-03-28",63.79,64.11,63.12,64.03,1361753
"2013-04-04",64.92,65.16,64.37,64.53,1593376
"2013-04-11",65.57,67.78,65.4,67.56,2414767
"2013-04-18",66.86,67.39,66.49,67.21,1772266
"2013-04-25",69.12,69.85,68.51,68.93,1997319
"2013-05-02",67.09,71.78,66.7,70.6,4388008
"2013-05-09",69.98,70.1,69.13,69.27,1599155
"2013-05-16",71.29,71.57,70.67,70.78,1447642
"2013-05-23",70.17,70.81,69.69,70.33,1213648
"2013-05-30",69.44,70.18,69.41,69.58,1174720
"2013-06-06",66.54,66.92,65.23,65.97,2239303
"2013-06-13",67.29,68.35,66.89,68.05,1067966
"2013-06-20",67.91,67.91,65.27,65.51,2393708
"2013-06-27",66.27,67.03,66.22,66.47,1001255
"2013-07-11",68.08,68.35,67.69,68.06,1238198
"2013-07-18",66.35,67.14,66.35,66.74,1397831
"2013-07-25",64.62,65.74,64.44,65.29,3666857
"2013-08-01",66.13,67.01,65.91,66.79,2167500
"2013-08-08",66.74,66.96,65.86,66,1929255
"2013-08-15",66.89,68.82,66.68,67.36,6230378
"2013-08-22",66.28,67.38,66.24,67.27,1220723
"2013-08-29",64.73,65.86,64.45,65.37,1490215
"2013-09-05",67.42,67.93,67.16,67.37,1185972
"2013-09-12",69.82,70.58,69.54,70.33,1388683
"2013-09-19",72.15,72.48,71.45,72.43,1575554
"2013-09-26",71.15,71.55,70.5,70.74,1048535
"2013-10-03",70.22,70.32,69.23,69.44,921139
"2013-10-10",69.51,70.65,69.47,70.63,1473022
"2013-10-17",70.94,71.84,70.36,71.71,1314782
"2013-10-24",71.6,71.83,71.16,71.39,1052723
"2013-10-31",73.3,74.62,70.9,70.96,3044381
"2013-11-07",71.31,71.59,70.22,70.32,1368413
"2013-11-14",73.06,73.67,73.01,73.44,1097336
"2013-11-21",73.5,74.07,73.24,74.01,1127522
"2013-12-05",73.01,73.29,72.62,72.73,1901577
"2013-12-12",73.56,73.56,72.29,73.07,1665876
"2013-12-19",73.85,74.28,73.65,73.91,687797
"2013-12-26",74.6,74.93,74.19,74.64,564737
"2014-01-02",74.99,75.1,73.56,73.71,1084018
"2014-01-09",73.52,73.96,73.11,73.44,1145312
"2014-01-16",72.61,72.87,72.08,72.19,2140176
"2014-01-23",71.53,71.59,70.31,70.47,2260826
"2014-01-30",69.06,69.38,68.21,68.95,2451127
"2014-02-06",67.07,67.2,66.23,66.8,5131292
"2014-02-13",66.7,67.64,66.48,67.54,2961479
"2014-02-20",67.62,68.1,67.4,67.86,1871408
"2014-02-27",67.53,68.01,67.35,67.6,1995158
"2014-03-06",69.29,69.58,68.98,69.04,1275522
"2014-03-13",70.26,70.44,69.58,69.78,2149696
"2014-03-20",69.54,69.54,68.84,69.12,1441427
"2014-03-27",67.23,67.91,67,67.23,2435295
"2014-04-03",68.27,68.62,67.95,68.21,4221097
"2014-04-10",69.6,70.2,68.78,68.92,1663366
"2014-04-17",71.89,72.28,71.23,72.15,3037151
"2014-04-24",71.76,72.14,71.5,72.09,1022167
"2014-05-01",72.21,72.49,71.5,72.19,2519035
"2014-05-08",73.69,73.98,73.28,73.32,1845580
"2014-05-15",73.35,73.5,72.65,73.07,1315681
"2014-05-22",74.09,75.06,74.05,74.91,1752697
"2014-05-29",76.1,76.52,75.87,76.51,1974186
"2014-06-05",76.41,76.81,76.1,76.6,1126371
"2014-06-12",76.74,77.23,76.36,76.7,1671327
"2014-06-19",76.05,76.83,75.27,76.52,2036257
"2014-06-26",74.26,74.72,73.82,74.6,1379623
"2014-07-03",74.09,75.22,74.09,74.97,1158296
"2014-07-10",74.02,74.86,74.02,74.69,1414924
"2014-07-17",75.22,75.44,74.45,74.49,1177891
"2014-07-24",76.09,76.41,75.62,75.91,1602834
"2014-07-31",74.02,74.4,73.24,73.46,2010535
"2014-08-07",74.65,74.74,73.08,73.2,2216618
"2014-08-14",75.37,76.27,75.16,75.9,2275685
"2014-08-21",76.55,77.07,76.24,76.27,1725110
"2014-08-28",76.62,76.97,76.55,76.66,731221
"2014-09-04",76.25,77.05,76.12,76.65,1085282
"2014-09-11",74.47,74.83,74.06,74.74,1718718
"2014-09-18",74.81,75.3,74.7,74.96,1153397
"2014-09-25",74.86,74.95,74,74,1216072
"2014-10-02",73.88,74.24,73.57,73.7,2022615
"2014-10-09",74.62,74.96,73.45,73.61,1680197
"2014-10-16",70.51,72.27,70.51,71.78,1708694
"2014-10-23",74.75,74.96,74.1,74.23,1471440
"2014-10-30",74.55,75.14,74.07,74.94,944741
"2014-11-06",70.98,72.19,70.98,71.83,3857311
"2014-11-13",72.5,72.96,71.75,72.55,2470188
"2014-11-20",72.78,73.52,72.46,72.85,1705100
"2014-12-04",74.32,74.75,73.91,74.36,1723142
"2014-12-11",74.34,74.71,73.86,74.01,1376551
"2014-12-18",74.82,75.78,74.53,75.78,1782746
"2015-01-08",74.64,75.61,74.42,75.4,1475316
"2015-01-15",74.07,74.16,73.43,73.71,1540745
"2015-01-22",74.45,75.33,73.75,75.11,2247915
"2015-01-29",70.81,72.06,70.69,71.97,2648669
"2015-02-05",74.59,78.69,74.59,78.4,6222523
"2015-02-12",80.2,81.27,80.2,80.91,1666889
"2015-02-19",81.46,81.6,80.92,81.08,1189952
"2015-02-26",81.81,82.34,81.41,82.28,1802304
"2015-03-05",82.77,83.36,82.33,83.22,1881879
"2015-03-12",80.77,81.36,80.59,81.22,1497776
"2015-03-19",81.3,81.91,80.88,81.67,1057877
"2015-03-26",83.7,83.7,82.33,82.36,1464404
"2015-04-02",83.2,84.25,83.18,84.1,1079466
"2015-04-09",84.15,84.64,83.84,84.49,951299
"2015-04-16",84.44,84.49,83.84,83.92,821857
"2015-04-23",82.22,82.92,82.22,82.45,1012464
"2015-04-30",82.36,82.75,81.08,81.29,1384233
"2015-05-07",86.97,89.07,86.52,88.33,2774697
"2015-05-14",88.16,89.51,88.12,89.39,2668857
"2015-05-21",88.98,89.53,88.52,89.35,1453279
"2015-05-28",88.46,88.62,87.8,88.46,1033550
"2015-06-04",87.13,87.71,86.95,87.39,1487660
"2015-06-11",88.38,88.65,87.54,87.69,1192133
"2015-06-18",88.34,89,88.26,88.34,1362999
"2015-06-25",87.78,87.8,86.55,86.75,1747660
"2015-07-02",87.97,88.35,87.36,87.52,1064706
"2015-07-09",87.3,87.57,86.05,86.22,1298781
"2015-07-16",90.03,90.37,89.25,89.31,1932570
"2015-07-23",89.52,89.66,88.95,89.15,764863
"2015-07-30",89.09,89.8,88.61,89.53,845226
"2015-08-06",91.18,91.45,89.99,90.04,1279087
"2015-08-13",88.87,90.47,88.46,89.81,2209120
"2015-08-20",83,83.21,82.11,82.18,2214896
"2015-08-27",79.04,80.45,78.61,80.07,2375970
"2015-09-03",78.73,79.7,78.73,79.27,2468010
"2015-09-10",76.24,76.8,75.7,76.01,2052446
"2015-09-17",78.1,79.86,77.86,78.86,2004653
"2015-09-24",77.77,78.71,77.06,78.54,1690264
"2015-10-01",80.46,81.17,80.18,80.95,2742867
"2015-10-08",82.74,83.97,82.31,83.91,1245808
"2015-10-15",83.79,84.96,83.79,84.35,1832648
"2015-10-22",84.02,84.78,83.95,84.59,2623480
"2015-10-29",82.74,83.44,81.89,82.24,4918461
"2015-11-05",86.01,86.92,85.56,86.73,1751218
"2015-11-12",85.43,85.89,84.31,84.35,1433248
"2015-11-19",84.14,84.86,83.95,84.57,1802248
"2015-12-03",84.26,84.45,82.99,83.83,2391787
"2015-12-10",86.51,87.61,86.04,86.86,2311003
"2015-12-17",89.77,89.93,88.86,89.21,2147223
"2015-12-24",88.93,89.28,88.32,88.8,347029
"2015-12-31",88.62,89.15,88.03,88.06,863082
"2016-01-07",83.52,84.6,83,83.33,2140389
"2016-01-14",83.32,84.95,82.87,84.28,2003520
"2016-01-21",83.41,84.1,81.92,83.3,1840345
"2016-01-28",82.9,84.22,82.89,83.69,1776416
"2016-02-04",85.78,87.65,85.77,87.01,3176543
"2016-02-11",86.78,87.25,86,86.74,1850979
"2016-02-18",89.98,91.4,89.42,91.25,2078821
"2016-02-25",92.22,92.7,91.16,92.68,810246
"2016-03-03",91.86,92.4,91.43,92.2,1033747
"2016-03-10",92.2,92.7,90.95,91.77,955219
"2016-03-17",93.11,94.13,92.85,93.95,1019487
"2016-03-24",93.19,93.44,92.66,93.27,621865
"2016-03-31",94.15,94.67,93.95,94.31,1216219
"2016-04-07",95.09,95.1,93.5,94.54,1489998
"2016-04-14",94.61,95.3,94.15,94.71,1055095
"2016-04-21",96.04,96.25,93.69,93.89,1617194
"2016-04-28",95.67,97.46,95.47,97.12,1480372
"2016-05-05",93.13,94.26,92.97,93.28,1222929
"2016-05-12",95.43,95.86,93.72,94.61,1451524
"2016-05-19",90.04,91.09,89.84,91.01,1651663
"2016-05-26",92.12,92.26,91.43,91.44,1094897
"2016-06-02",92.74,93.35,92.6,93.2,1019647
"2016-06-09",92.41,92.71,91.85,92.28,1669464
"2016-06-16",90.97,91.87,90.62,91.71,1395724
"2016-06-23",94.05,95,93.98,94.95,1564137
"2016-06-30",89.74,91.09,89.65,91.02,2718722
"2016-07-07",91,91.75,91,91.55,1111878
"2016-07-14",93.69,94.28,93.53,94.03,1199886
"2016-07-21",93.22,93.63,92.64,92.86,1009469
"2016-07-28",92.56,92.88,92.01,92.11,1273698
"2016-08-04",93.79,94.27,93.32,93.68,1721352
"2016-08-11",92.96,93.24,91.76,92.53,2074628
"2016-08-18",93.18,95.38,92.96,95.1,3520724
"2016-08-25",90.56,91.77,90.3,91.23,1419420
"2016-09-01",89.43,89.5,88.34,88.95,1998994
"2016-09-08",88,88.54,87.5,88.09,2946028
"2016-09-15",87.57,88.11,87.05,87.86,1486465
