"","MU.Open","MU.High","MU.Low","MU.Close","MU.Volume"
"2013-04-11",9.91,10.15,9.77,9.98,28746254
"2013-04-18",9.53,9.58,9.11,9.23,34732735
"2013-04-25",9.36,9.64,9.32,9.53,28186686
"2013-05-02",9.1,9.36,9.07,9.32,26665800
"2013-05-09",10.22,10.75,10.21,10.71,46667416
"2013-05-16",10.93,11.26,10.93,11.06,35917238
"2013-05-23",10.73,11.49,10.57,11.39,57176354
"2013-05-30",11.81,11.99,11.75,11.89,25792078
"2013-06-06",12.18,12.54,12.14,12.35,47860153
"2013-06-13",12.53,12.92,12.47,12.91,30211967
"2013-06-20",13.48,13.81,13.19,13.54,75247845
"2013-06-27",14.3,14.53,14.27,14.34,38747012
"2013-07-11",12.87,12.88,12.47,12.7,52215540
"2013-07-18",13.79,13.86,13.63,13.69,38727441
"2013-07-25",12.95,13.42,12.8,13.29,42704823
"2013-08-01",13.38,13.63,13.3,13.58,32858803
"2013-08-08",13.81,14.05,13.61,13.95,39511734
"2013-08-15",14.41,14.41,13.97,14.13,53528832
"2013-08-22",13.75,14.08,13.74,13.86,15101681
"2013-08-29",13.23,13.74,13.23,13.57,23789213
"2013-09-05",14.95,15.21,14.94,15.17,38713853
"2013-09-12",16.52,16.85,16.14,16.2,55888192
"2013-09-19",17.51,17.59,17.02,17.16,43702829
"2013-09-26",17.32,17.53,17.18,17.47,49153362
"2013-10-03",17.94,18.1,17.37,18.02,59041674
"2013-10-10",18.36,18.59,18.06,18.43,78690487
"2013-10-17",17,17.16,16.74,17.14,40714771
"2013-10-24",16.43,16.92,16.4,16.83,30291279
"2013-10-31",17.28,17.8,17.18,17.68,42547363
"2013-11-07",17.83,18.16,17.58,17.72,54196790
"2013-11-14",18.91,19.2,18.9,19.19,31417954
"2013-11-21",19.04,20.12,18.96,19.99,93347344
"2013-12-05",21.86,22.09,21.59,21.65,30302830
"2013-12-12",22.69,23.09,22.36,22.54,52600226
"2013-12-19",21.75,22.28,21.56,21.62,37749438
"2013-12-26",21.83,22.25,21.74,21.74,17104548
"2014-01-02",21.68,21.79,21.27,21.66,26441939
"2014-01-09",23.6,23.71,22.91,23.24,42829964
"2014-01-16",23.48,23.59,22.9,23.13,28917082
"2014-01-23",23.31,23.65,23.24,23.64,29434357
"2014-01-30",23.11,23.76,22.95,23.45,32656206
"2014-02-06",23.51,24.77,23.5,24.11,65353680
"2014-02-13",24.84,25.01,24.68,24.91,23363836
"2014-02-20",25.35,25.66,25.32,25.49,23295076
"2014-02-27",24.15,24.34,23.9,24.19,39251635
"2014-03-06",24.85,24.87,24.3,24.77,32314899
"2014-03-13",24.91,24.94,23.6,24.11,35572925
"2014-03-20",23.93,24.36,23.89,24.01,19735496
"2014-03-27",22.81,22.83,21.92,22.24,35985041
"2014-04-03",24.56,24.73,23.78,24,40669984
"2014-04-10",22.7,22.95,21.62,21.68,37066481
"2014-04-17",23.11,24.14,23.03,23.91,46214837
"2014-04-24",26.45,26.62,25.34,26.16,39791385
"2014-05-01",26.21,26.82,25.85,26.25,28236683
"2014-05-08",26.34,27.4,26.23,26.93,27015384
"2014-05-15",26.81,26.89,25.25,25.86,41523467
"2014-05-22",27.03,27.39,26.87,27.17,14942634
"2014-05-29",28.79,29.03,28.43,28.58,23290112
"2014-06-05",29.09,29.48,28.91,29.04,21878494
"2014-06-12",31.07,31.22,30.56,30.86,28152930
"2014-06-19",32.09,32.17,31.55,31.81,22402283
"2014-06-26",32.31,32.4,31.8,32,20353255
"2014-07-03",34.09,34.28,33.65,33.73,13883943
"2014-07-10",32.18,33.1,31.8,32.77,32916829
"2014-07-17",33.83,34,32.99,33.05,36952481
"2014-07-24",33.87,34.28,33.63,33.88,22688383
"2014-07-31",31.17,31.25,29.85,30.55,64996154
"2014-08-07",30.9,31.19,29.38,29.68,35983615
"2014-08-14",30.87,31.24,30.8,31.04,16873665
"2014-08-21",33.04,33.32,32.75,33.19,16590165
"2014-08-28",32.81,32.9,32.6,32.81,10896421
"2014-09-04",31.95,32.83,31.83,32.12,24799988
"2014-09-11",31.85,32.19,31.71,32.04,11374567
"2014-09-18",32.24,32.48,31.98,32.48,12485146
"2014-09-25",32.41,32.56,31.35,31.7,36427686
"2014-10-02",33.65,34.08,32.95,33.81,27336977
"2014-10-09",32.12,32.18,30.41,30.64,35910826
"2014-10-16",27.33,28.86,27.19,28.3,42111567
"2014-10-23",31.04,31.37,30.57,30.89,22071147
"2014-10-30",31.75,32.08,30.94,31.82,26761018
"2014-11-06",33.5,33.79,33.15,33.35,23576567
"2014-11-13",32.98,33.21,32.75,32.94,10851337
"2014-11-20",32.73,33.48,32.49,33.21,13613313
"2014-12-04",36.03,36.5,35.67,36.07,16489038
"2014-12-11",35.16,35.82,34.9,35.19,13280098
"2014-12-18",34.62,34.79,34.05,34.45,18200620
"2015-01-08",32.56,33.87,32.55,33.67,31947111
"2015-01-15",30.25,30.42,29.27,29.3,28512434
"2015-01-22",30.45,30.95,30.23,30.89,22299238
"2015-01-29",29.29,29.83,28.86,29.71,30282696
"2015-02-05",29.3,29.52,29.12,29.49,19785893
"2015-02-12",31.06,32.05,30.94,31.94,23793236
"2015-02-19",32.12,32.2,31.72,31.81,13430963
"2015-02-26",30.54,30.97,30.36,30.62,14932004
"2015-03-05",29.45,29.84,28.97,29.28,24007735
"2015-03-12",27.11,28.38,27.1,28.02,19567667
"2015-03-19",28.1,28.23,27.92,28.05,21656559
"2015-03-26",25.76,27.17,25.61,26.66,44702370
"2015-04-02",27.75,27.76,26.71,26.72,41390489
"2015-04-09",27.07,27.86,27.01,27.82,18660009
"2015-04-16",27.9,28.18,27.77,28.01,16393469
"2015-04-23",28.93,29.78,28.86,29.52,22039721
"2015-04-30",28.79,28.85,27.85,28.13,18988895
"2015-05-07",27.8,27.9,26.89,27.27,29689317
"2015-05-14",27.33,27.52,26.47,26.69,32201120
"2015-05-21",26.62,27.14,26.34,26.9,17258148
"2015-05-28",28.19,28.62,28.11,28.28,18667001
"2015-06-04",26.9,27.24,26.71,26.98,22186159
"2015-06-11",25.2,25.39,24.97,25.02,25793546
"2015-06-18",24.64,24.82,24.43,24.46,21570828
"2015-06-25",24.13,24.24,23.66,24.02,38347834
"2015-07-02",18.83,19.38,18.81,19.07,26178060
"2015-07-09",17.87,18.01,17.14,17.15,47087077
"2015-07-16",19.25,19.74,19.09,19.61,34717212
"2015-07-23",18.33,18.93,18.3,18.7,32805214
"2015-07-30",19.75,20.1,19.46,19.9,31248653
"2015-08-06",18.93,18.96,18.45,18.72,29928553
"2015-08-13",18.23,18.38,17.67,17.7,15468644
"2015-08-20",15.35,15.37,14.66,14.74,54768259
"2015-08-27",14.63,15.93,14.63,15.67,42579160
"2015-09-03",16.39,17.21,16.26,16.59,26331157
"2015-09-10",16.81,17.42,16.71,17.2,20766592
"2015-09-17",16.68,16.81,16.31,16.41,22355530
"2015-09-24",14.8,15.52,14.6,15.34,32763287
"2015-10-01",14.99,15.04,14.5,14.77,34729705
"2015-10-08",18.59,19.1,18.45,18.72,33588992
"2015-10-15",18.87,19.15,18.5,18.66,19899516
"2015-10-22",16.4,17.01,16.07,16.72,33942942
"2015-10-29",16.69,16.74,16.19,16.21,16979046
"2015-11-05",17.52,17.72,16.36,16.51,26747751
"2015-11-12",15.28,15.75,15.28,15.35,14209610
"2015-11-19",15.71,16.28,15.71,15.87,18266712
"2015-12-03",15.95,16.2,15.5,15.61,15210101
"2015-12-10",14.29,14.8,14.26,14.66,14816962
"2015-12-17",14.65,14.77,14.25,14.32,29024397
"2015-12-24",14.2,14.59,14.19,14.48,14285507
"2015-12-31",14.1,14.29,14.03,14.16,13249373
"2016-01-07",13.86,14.27,13.63,13.66,26029226
"2016-01-14",12.08,12.26,11.53,12.02,35725446
"2016-01-21",10.45,10.9,10.13,10.85,52245574
"2016-01-28",10.48,10.55,9.71,9.88,37327615
"2016-02-04",10.71,11.55,10.7,11.23,26122826
"2016-02-11",9.72,9.95,9.45,9.69,27048495
"2016-02-18",11.57,11.75,11.32,11.49,21516056
"2016-02-25",10.67,10.74,10.21,10.72,16108813
"2016-03-03",11.73,11.85,11.6,11.79,16183340
"2016-03-10",10.95,11.06,10.66,10.88,17739028
"2016-03-17",10.72,11,10.6,10.87,19907156
"2016-03-24",10.5,10.6,10.33,10.5,22766817
"2016-03-31",10.31,10.49,10.01,10.47,48091702
"2016-04-07",10.42,10.65,10.39,10.51,19318660
"2016-04-14",10.79,10.79,10.39,10.4,17765411
"2016-04-21",10.8,10.89,10.6,10.65,15596097
"2016-04-28",11.53,12.4,11.52,11.62,41155450
"2016-05-05",10.06,10.4,10.01,10.06,26430177
"2016-05-12",10.15,10.26,9.35,9.63,40998792
"2016-05-19",10,10.26,9.92,10.07,18519356
"2016-05-26",11.71,12.03,11.69,11.95,23587130
"2016-06-02",12.95,13.2,12.75,13.11,31941886
"2016-06-09",12.47,12.7,12.24,12.51,21881739
"2016-06-16",11.87,11.98,11.58,11.95,22453124
"2016-06-23",13.41,14.16,13.41,14.05,71202971
"2016-06-30",13.34,13.78,13.22,13.76,48486133
"2016-07-07",11.9,12.55,11.89,12.2,33457144
"2016-07-14",13.5,13.55,13.27,13.29,18698912
"2016-07-21",13.48,13.5,13.08,13.18,16734740
"2016-07-28",14.13,14.19,13.7,13.81,25504204
"2016-08-04",13.61,14.2,13.6,14.03,23400072
"2016-08-11",14.25,14.48,14.21,14.43,14451251
"2016-08-18",15.55,15.8,15.51,15.77,16590746
"2016-08-25",15.9,16.55,15.88,16.2,34837771
"2016-09-01",16.61,16.8,16.3,16.64,15719453
"2016-09-08",17.18,17.86,16.88,17.45,39212054
"2016-09-15",16.9,17.46,16.85,17.45,24321661
