"","WDC.Open","WDC.High","WDC.Low","WDC.Close","WDC.Volume"
"2015-12-17",61.04,61.34,59.39,59.4,3050281
"2015-12-24",60.5,61.98,60.45,61.22,1480151
"2015-12-31",61.01,61.15,60.03,60.05,1499812
"2016-01-07",57.42,59.04,57.03,57.83,3030842
"2016-01-14",50.33,50.43,48.14,49.25,5993090
"2016-01-21",46.09,46.09,43.14,43.94,7290647
"2016-01-28",44.19,46.05,43.96,45.69,6411583
"2016-02-04",47.92,51.16,47.89,49.14,6374369
"2016-02-11",39.77,40.97,38.64,40.1,4894342
"2016-02-18",43.46,44.84,42.52,44.41,4592619
"2016-02-25",43.68,44.26,42.18,43.99,4801961
"2016-03-03",47.34,49.01,47.27,48.66,4404200
"2016-03-10",47.88,48.37,46.2,47.89,4641024
"2016-03-17",45.82,46.99,45.7,46,4225945
"2016-03-24",48.63,48.7,46.71,48.12,5930071
"2016-03-31",46.11,47.4,45.59,47.24,5199450
"2016-04-07",44.13,44.45,42.42,43.25,7548350
"2016-04-14",42.35,42.35,40.71,41.82,14665665
"2016-04-21",44.07,44.07,42.7,43.35,4493244
"2016-04-28",46.42,47.58,45.76,46.06,7206351
"2016-05-05",39.91,39.94,37.74,38.13,7279162
"2016-05-12",37.01,37.32,35.69,36.36,7564356
"2016-05-19",38.47,38.62,37.64,38.37,5113415
"2016-05-26",44.01,45.09,43.22,44.38,7989666
"2016-06-02",47.48,48.98,47.48,48.38,7597076
"2016-06-09",49.01,49.13,48.02,48.17,5829685
"2016-06-16",45.82,46.51,45.07,46.42,3287796
"2016-06-23",49.36,51.27,49.32,50.81,7104361
"2016-06-30",45.72,47.28,44.85,47.26,6241526
"2016-07-07",48.28,48.28,47.27,47.66,7831753
"2016-07-14",52.85,52.85,51.65,51.75,3621887
"2016-07-21",51.51,52.09,51.29,51.65,3142276
"2016-07-28",53.3,54.13,52.45,53.7,5052241
"2016-08-04",44.62,44.92,44.3,44.3,4199287
"2016-08-11",43.39,44.27,43.29,43.89,3790223
"2016-08-18",44.98,45.91,44.88,45.81,3701900
"2016-08-25",45.37,47.06,45.36,46.44,4123789
"2016-09-01",46.67,47.08,45.7,46.32,3015138
"2016-09-08",53.09,53.9,52.83,53.47,7121404
"2016-09-15",52.11,53.34,51.98,53.28,3977542
