"","REGN.Open","REGN.High","REGN.Low","REGN.Close","REGN.Volume"
"2013-03-14",173.72,174.57,171,171.93,376753
"2013-03-21",174.6,174.64,171.11,171.33,416084
"2013-03-28",170.42,177.75,169.83,176.4,917384
"2013-04-04",183.89,186.19,182.05,185.08,482932
"2013-04-11",200.91,209.29,199.85,208.35,1294044
"2013-04-18",214.91,214.91,203.7,206.66,823357
"2013-04-25",214.88,218.13,211.86,216.75,1055068
"2013-05-02",242.94,249.84,237.96,248.63,1927951
"2013-05-09",263.74,265.2,260.75,261.95,744880
"2013-05-16",272.86,275.72,261,264.66,986902
"2013-05-23",257.43,260.47,245.52,254.87,855134
"2013-05-30",248.51,253.42,246.69,252.18,435881
"2013-06-06",230.23,252.5,229.67,252.17,1388281
"2013-06-13",237.84,244.46,236.28,239.52,551048
"2013-06-20",228.01,228.3,218.28,219.61,988878
"2013-06-27",232.76,236.05,231.05,234.57,1064791
"2013-07-11",242.19,248.68,239.17,247.87,889688
"2013-07-18",269.71,273.8,264,267.48,487373
"2013-07-25",269.19,272.61,261.49,267.83,513828
"2013-08-01",272.57,278.73,267.8,278.29,519196
"2013-08-08",254.98,255.99,251.87,252.49,425756
"2013-08-15",240.2,240.8,233.5,233.82,664821
"2013-08-22",233.84,240.22,233.06,237.35,410114
"2013-08-29",241.08,247.76,241.02,243.58,606684
"2013-09-05",268.52,270,265.99,268.64,602739
"2013-09-12",276.97,278.81,272.2,273.6,328700
"2013-09-19",309.91,310.63,298.11,307.11,1045383
"2013-09-26",295.24,310.43,294.08,305.53,880012
"2013-10-03",312.92,314.99,300.18,303.57,919359
"2013-10-10",289.4,295,286.16,294.08,576554
"2013-10-17",306.81,310,300.53,307.86,704269
"2013-10-24",301.02,307.14,300.52,304.42,547124
"2013-10-31",291.86,295.48,287.11,287.6,530006
"2013-11-07",290.28,290.61,271,276.99,1416679
"2013-11-14",278.96,297,273.76,288.83,1519600
"2013-11-21",276,281.98,275.08,276.41,538285
"2013-12-05",287.81,289.65,282.95,283.2,497633
"2013-12-12",269.09,277.11,269,274,684687
"2013-12-19",270.17,270.95,264.35,270.55,748456
"2013-12-26",276.1,280.97,275.9,278.64,371251
"2014-01-02",275.77,277.6,269.74,274.59,553014
"2014-01-09",275.64,275.64,266.41,267.62,890298
"2014-01-16",287.72,292.75,286.12,290.48,892148
"2014-01-23",293,293.87,285.61,291.59,754740
"2014-01-30",287.63,294.99,284.62,292.97,980052
"2014-02-06",281.89,288.27,281.89,287.03,661049
"2014-02-13",314.16,327.91,314.11,326.98,1154429
"2014-02-20",324.31,328.94,323.15,327.62,950805
"2014-02-27",335,342.2,334.05,338.54,781742
"2014-03-06",347.09,352.49,338.01,338.45,1348847
"2014-03-13",339.8,342.56,326.5,328.07,932138
"2014-03-20",327.66,331.67,325.58,328.69,520648
"2014-03-27",307.66,316.5,302.87,311.86,1272293
"2014-04-03",306.26,306.5,293.5,298.6,1244438
"2014-04-10",304.6,304.99,291.67,293.62,1461391
"2014-04-17",300.45,304.96,296.02,296.74,607221
"2014-04-24",305.77,306.7,291.36,293.43,1022213
"2014-05-01",297.1,300.23,292.46,299.08,653063
"2014-05-08",278.34,291.66,278,281.2,1182872
"2014-05-15",286.64,291.31,281.31,289.6,783618
"2014-05-22",292.5,302.02,290.35,298.28,585067
"2014-05-29",305.27,308.57,303.7,306.22,629142
"2014-06-05",312.88,314.25,308.17,308.54,569950
"2014-06-12",309.15,315.62,307.92,310.47,452064
"2014-06-19",309.96,309.96,296.01,297.69,928626
"2014-06-26",281.15,281.97,278.51,279.8,1076094
"2014-07-03",308.16,313,308.16,311.16,636673
"2014-07-10",312.98,315.33,305.06,314.49,1158140
"2014-07-17",303.09,305.83,295.76,296.41,832800
"2014-07-24",310.4,311.5,303.02,304.44,605549
"2014-07-31",319.66,320.52,310.69,316.22,1190562
"2014-08-07",342.14,342.98,337.25,338.73,626562
"2014-08-14",342.27,348.1,341.86,347.74,566565
"2014-08-21",347,347,341.11,341.51,389668
"2014-08-28",348.93,351.42,346.47,346.92,401786
"2014-09-04",362.96,362.98,351.22,352.08,653655
"2014-09-11",352.66,353.11,347.01,350.34,381100
"2014-09-18",359.84,362.9,357.25,362.74,550332
"2014-09-25",363.35,364.71,354,355.54,692150
"2014-10-02",355.79,358.25,353.05,353.69,666295
"2014-10-09",361.24,361.26,352,355.04,648881
"2014-10-16",326.5,344.48,326.09,340.71,937878
"2014-10-23",387,397.35,386.5,393.96,870253
"2014-10-30",386.29,394.64,386.27,392.8,709185
"2014-11-06",371.01,377.45,367.78,376.94,699248
"2014-11-13",400,402.8,395.1,402.63,703700
"2014-11-20",413.21,417.86,405.96,406,645940
"2014-12-04",423.43,427.78,420.74,423.21,657333
"2014-12-11",425.69,432.22,423.52,424.35,500957
"2014-12-18",415.49,424.44,412.4,423.79,733769
"2015-01-08",411.57,412.99,401.16,403.25,1188043
"2015-01-15",405.48,407.22,395.56,397.12,982949
"2015-01-22",418.97,421.29,406.5,420.81,590904
"2015-01-29",408.68,415.5,401.17,414.64,583463
"2015-02-05",403.55,415.47,403.17,413.87,761283
"2015-02-12",401,405.2,396.62,401.74,661595
"2015-02-19",408.5,428.47,407.49,426.6,1451415
"2015-02-26",425,427.92,416.2,419.87,691046
"2015-03-05",414.93,430.67,414.21,428.95,1166024
"2015-03-12",427.39,427.44,422.21,425.16,541194
"2015-03-19",475.09,486.63,472.45,486.02,1142412
"2015-03-26",448,457.72,441.87,448.38,1133768
"2015-04-02",443.18,444.79,434.43,438.27,798341
"2015-04-09",452.33,458.44,449.51,455.04,465268
"2015-04-16",454.55,458.3,452.97,457.42,603697
"2015-04-23",478,482,475.07,480.08,1070759
"2015-04-30",467.28,471.22,451.59,457.46,683158
"2015-05-07",480.01,482.99,462,468.62,1340388
"2015-05-14",481.66,492.22,474,491.43,788522
"2015-05-21",513.09,518.2,510.2,516,864253
"2015-05-28",512.11,514.32,509.46,512.12,702544
"2015-06-04",510.84,519.8,510.19,518.62,816693
"2015-06-11",513.29,514.85,499.9,501.1,1115595
"2015-06-18",515.11,533.17,514.98,527.97,997268
"2015-06-25",517.97,525.95,516.6,519.24,483159
"2015-07-02",509.5,512.5,505.29,511.08,374932
"2015-07-09",505.15,513.18,503.64,509.03,650672
"2015-07-16",547,552,542.43,551.53,437827
"2015-07-23",558.19,559.78,553.14,556.61,492476
"2015-07-30",545.63,550.25,536.02,547.1,557047
"2015-08-06",593.66,593.66,579,582.47,726679
"2015-08-13",578.89,585.79,572.9,574.1,516189
"2015-08-20",561.33,567.86,546.01,546.65,783492
"2015-08-27",540,547.51,526.65,538,754434
"2015-09-03",523.45,523.64,506.83,508.51,598588
"2015-09-10",525.66,536.43,524.36,531.22,520708
"2015-09-17",538.02,556.31,537.95,550.97,808381
"2015-09-24",532.01,534.92,515.66,522,1047934
"2015-10-01",464.01,473.51,456.32,472.97,877062
"2015-10-08",482.78,496.68,468.54,491.21,838681
"2015-10-15",509.66,520,505.02,519.35,735343
"2015-10-22",518.12,528.88,511.25,525.11,971231
"2015-10-29",568.56,578,559,560.02,688448
"2015-11-05",564.94,574.25,561,564.16,1034150
"2015-11-12",566.02,566.37,551.51,552.53,574454
"2015-11-19",587,592.59,580.58,581.35,584773
"2015-12-03",547.59,549.99,534.13,535.73,748546
"2015-12-10",547.24,551.69,542.55,548.17,554363
"2015-12-17",560,563.03,551.2,551.49,619309
"2015-12-24",535.56,539.85,534.11,537.63,169358
"2015-12-31",542.62,550.66,542.62,542.87,310486
"2016-01-07",510.5,515.35,501.91,501.96,930973
"2016-01-14",461.85,486.52,453.16,479.08,1189068
"2016-01-21",462.16,469.98,452.01,461.57,889888
"2016-01-28",436,436.7,400,415.11,2295650
"2016-02-04",417.17,437.52,408.12,412.59,1281998
"2016-02-11",358.3,375.98,357.01,367.24,938844
"2016-02-18",395.65,405,386.01,387.3,721598
"2016-02-25",396.36,402.81,390.49,393.99,670154
"2016-03-03",406.23,409.44,395.21,401.94,780392
"2016-03-10",376.88,380.59,373.63,377.56,1172875
"2016-03-17",366.31,369.5,348.96,365.47,1496723
"2016-03-24",363.46,375.38,360.38,370.8,1045983
"2016-03-31",361.02,364.84,358.63,360.44,929007
"2016-04-07",425,433.93,417.02,418.48,1231380
"2016-04-14",412.16,414.58,401.81,406.83,452221
"2016-04-21",400.69,411.83,398,409.57,735510
"2016-04-28",387.11,401.78,385,391.3,923814
"2016-05-05",377.13,381.6,369.11,377.73,1500271
"2016-05-12",373.05,375,362.39,365.64,883369
"2016-05-19",387.12,394.01,379.33,383.3,1254231
"2016-05-26",393.49,394.9,388.08,393.54,731780
"2016-06-02",405.35,407.57,400.31,407.13,714191
"2016-06-09",386.41,392.63,381.08,381.08,660408
"2016-06-16",365.8,368.62,362.92,366.52,543026
"2016-06-23",355.59,358.77,352.23,357.14,701583
"2016-06-30",349.55,350.24,344.75,349.23,780984
"2016-07-07",370.87,372.29,364.07,371.45,976205
"2016-07-14",367.02,367.02,360.06,365.27,743864
"2016-07-21",386.25,395.42,385.62,389.52,782626
"2016-07-28",413.81,413.97,405.54,411.04,623765
"2016-08-04",443.29,443.99,417.5,433.4,2026865
"2016-08-11",416.02,423.44,415.02,421.35,372626
"2016-08-18",412.55,413.33,407.5,410.87,641759
"2016-08-25",404.97,410.88,392.49,400.25,830464
"2016-09-01",394.75,394.75,390.5,393.4,479344
"2016-09-08",398.28,404,396.63,401.83,672587
"2016-09-15",396.56,404.98,394.87,402.75,809803
