"","WMB.Open","WMB.High","WMB.Low","WMB.Close","WMB.Volume"
"2015-04-02",49.75,50.57,49.64,50.3,3200765
"2015-04-09",50.51,50.95,50.31,50.72,3584341
"2015-04-16",51.74,52.43,51.35,52.08,4466735
"2015-04-23",52.74,52.88,52.39,52.55,3921371
"2015-04-30",52.48,52.74,50.8,51.19,6192745
"2015-05-07",49.36,49.98,48.41,49.7,6632133
"2015-05-14",52.47,53.3,52.47,53.23,15642825
"2015-05-21",53.56,53.67,52.8,53.11,5561594
"2015-05-28",51.78,51.83,50.88,51.28,7945512
"2015-06-04",49.5,49.77,48.48,48.52,10708179
"2015-06-11",47.84,48.06,47.32,47.54,8190507
"2015-06-18",48.56,49.21,48.38,48.97,9940547
"2015-06-25",57,57.69,55.03,55.25,32031047
"2015-07-02",57.79,57.87,57.28,57.6,5519525
"2015-07-09",56.9,57.46,56.43,56.45,6973056
"2015-07-16",57.63,58.16,57.4,57.96,6215452
"2015-07-23",53.52,54,52.83,52.94,5747161
"2015-07-30",53.92,53.92,52.89,52.98,3934863
"2015-08-06",48.72,49.8,46.85,48.53,9119474
"2015-08-13",50.98,51.56,50.54,51.32,5337044
"2015-08-20",52.88,53.49,50.65,50.7,6043650
"2015-08-27",46.62,47.81,46.38,47.68,12605630
"2015-09-03",47.46,48.47,47.05,47.35,7260800
"2015-09-10",45.41,45.87,43.19,44.27,14563143
"2015-09-17",46.42,47.05,45.32,45.71,8790133
"2015-09-24",42.68,42.88,39.62,41.82,12958959
"2015-10-01",37.24,39.1,36.88,38.98,13760640
"2015-10-08",43.18,44.51,43.09,43.8,10167666
"2015-10-15",41.08,41.8,40.5,41.65,8210029
"2015-10-22",40.41,40.64,39.47,39.81,9185039
"2015-10-29",38.03,38.79,37.65,38.3,6391090
"2015-11-05",38.83,39.03,37.24,38.25,8280798
"2015-11-12",35.86,36,34.84,35.1,5714535
"2015-11-19",37.73,38.33,36.98,37.72,10321820
"2015-12-03",35.61,35.62,33.14,33.26,11994820
"2015-12-10",28.57,29.94,28.5,29.68,11899053
"2015-12-17",25.76,25.99,23.57,23.7,13430357
"2015-12-24",25.43,25.8,24.75,24.91,10222072
"2015-12-31",24.12,25.82,24.05,25.7,10001209
"2016-01-07",22.21,22.8,20.6,20.61,12550617
"2016-01-14",13.42,18.44,13.24,18.29,42502635
"2016-01-21",15.44,16.79,15.25,16.04,17350827
"2016-01-28",20.41,21.08,19.03,19.29,17340667
"2016-02-04",18.53,19.11,17.8,18.75,11551651
"2016-02-11",12.08,13.98,11.76,13.29,16230265
"2016-02-18",15.72,16.29,14.81,15.92,11987998
"2016-02-25",15.75,16.85,14.92,16.03,19203426
"2016-03-03",17.08,18.15,17.07,18.09,7094222
"2016-03-10",17.25,17.3,14.84,15.89,36163690
"2016-03-17",17.78,18.21,17.17,17.76,9429685
"2016-03-24",15.79,15.8,14.85,15.35,16642566
"2016-03-31",15.69,16.12,15.41,16.07,7519280
"2016-04-07",15.39,16.02,15.37,15.71,11947917
"2016-04-14",18.58,18.58,17.6,17.77,8660728
"2016-04-21",18.9,19.59,18.62,19.14,15677767
"2016-04-28",20.11,20.57,19.58,19.64,8023849
"2016-05-05",18.42,20.63,18.41,20.57,14747259
"2016-05-12",19.83,19.98,18.89,19.05,6429905
"2016-05-19",20.43,21.59,20.11,21.54,10950299
"2016-05-26",21.43,21.51,20.67,20.81,9021968
"2016-06-02",22.26,22.87,22.01,22.6,5449181
"2016-06-09",22.92,23.59,22.78,23.28,7747120
"2016-06-16",20.94,22.25,20.54,22.13,13474667
"2016-06-23",21.1,21.83,20.67,21.78,11725552
"2016-06-30",20.61,21.73,20.55,21.63,14657045
"2016-07-07",20.42,21.34,20.16,20.35,9616300
"2016-07-14",22.5,23.78,22.22,23.6,17948316
"2016-07-21",25.43,25.44,24.62,24.67,16357071
"2016-07-28",23.29,23.38,22.89,23.08,7244033
"2016-08-04",25.6,25.75,24.77,24.98,15330689
"2016-08-11",25.9,26.4,25.52,26.32,11634102
"2016-08-18",26.15,29.09,26.13,28.11,22242870
"2016-08-25",28,28.25,27.72,27.87,6170295
"2016-09-01",27.77,28.23,27.5,28.15,12462521
"2016-09-08",30.59,31.43,30.31,31.15,13070965
"2016-09-15",29.93,30.28,29.72,29.84,5393607
