"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume"
"2015-04-02",177.84,180.14,177.07,177.98,677969
"2015-04-09",178.13,179.14,176.34,177.73,1382328
"2015-04-16",180,180.57,176.1,177.68,1510860
"2015-04-23",179.06,182.05,178.61,181.91,1070535
"2015-04-30",167.21,167.81,164.94,165.6,2279683
"2015-05-07",162.63,166.27,162.63,164.54,917978
"2015-05-14",174.77,176.24,173.86,174.25,1264947
"2015-05-21",177.88,179.38,177.02,178.76,904546
"2015-05-28",178.08,179.75,177.27,178.41,1105214
"2015-06-04",212.5,214,211.46,213,1725240
"2015-06-11",215.07,216.66,213.37,214.17,1692833
"2015-06-18",201.3,202.84,198.91,199.3,1864917
"2015-06-25",184.83,199.99,184.38,197.37,8331749
"2015-07-02",192.02,192.93,185.01,187.5,3720369
"2015-07-09",187.26,188.14,186.16,186.16,3591337
"2015-07-16",187.9,187.98,185.72,186.42,1806868
"2015-07-23",186.21,186.48,184.21,184.73,1506982
"2015-07-30",184.96,186,183.2,183.7,740522
"2015-08-06",185.76,186.99,184.39,184.52,1114110
"2015-08-13",186,187.31,185.25,186.06,564785
"2015-08-20",188.09,189.58,185.45,186.09,1223739
"2015-08-27",181.04,184.9,180.8,184.81,1028841
"2015-09-03",182.35,184.43,181.04,182.16,743200
"2015-09-10",185.39,185.96,184.25,185.21,854190
"2015-09-17",188.1,190.1,187.25,188.59,899938
"2015-09-24",187.62,188.33,184.65,185.97,603904
"2015-10-01",178.77,180.55,175.97,180.07,1131759
"2015-10-08",180.55,181.22,178.98,180.3,1096177
"2015-10-15",181.13,183.37,180.2,183.25,1084536
"2015-10-22",176.86,178.19,162.21,165.11,3517796
"2015-10-29",178,183.3,175.41,180.57,1431731
"2015-11-05",177,179.98,176.32,179.05,810953
"2015-11-12",170.79,172.55,167.95,169.05,953021
"2015-11-19",165.29,168.18,163.4,164.25,2014621
"2015-12-03",173.17,173.62,168.24,168.6,685482
"2015-12-10",170.77,173.14,170.24,172.02,402610
"2015-12-17",176.35,177.83,175.31,176.88,716983
"2015-12-24",178.82,180.31,178.11,178.3,361787
"2015-12-31",178.4,179.75,178.4,178.51,590701
"2016-01-07",175.08,176.66,173.81,175.15,1923098
"2016-01-14",163.89,167.75,162.77,167.23,1383902
"2016-01-21",165.64,167.24,163.3,166.11,620624
"2016-01-28",161.31,162.7,158.8,159.79,791926
"2016-02-04",166.56,169.87,164.87,168.65,1039908
"2016-02-11",158.91,160.92,157.01,158.02,1031605
"2016-02-18",168,169,166.61,167.75,1475618
"2016-02-25",171.79,176.74,171.64,176.6,886487
"2016-03-03",182.05,183.56,180.41,183.22,637845
"2016-03-10",185,186.08,183.52,184.76,796180
"2016-03-17",182.93,182.94,179.3,182.54,743317
"2016-03-24",182.32,184.64,181.44,184.07,484886
"2016-03-31",184.52,185.75,182.48,182.95,866676
"2016-04-07",179.36,180.76,171.93,172.58,2690308
"2016-04-14",169.74,170.61,168.03,168.24,667356
"2016-04-21",174.2,175.37,172.29,173.45,502978
"2016-04-28",177.69,179.4,176.88,177.87,430517
"2016-05-05",175.29,176.39,173.99,174.11,1369899
"2016-05-12",170.1,171.52,165.55,165.81,858403
"2016-05-19",168.89,169.98,167.34,168.33,898298
"2016-05-26",174.67,174.82,172.98,174.25,1020349
"2016-06-02",177.81,187.4,175.27,187.36,3518084
"2016-06-09",187.03,188.58,187,188.35,621177
"2016-06-16",185.06,187.53,184.34,187.04,682483
"2016-06-23",188.85,190.62,185.61,187.31,1396675
"2016-06-30",183.5,183.5,177.9,179.88,3772832
"2016-07-07",180.37,180.37,158.6,162.74,9068720
"2016-07-14",162.22,162.44,159.55,161.27,1687912
"2016-07-21",153.75,174.77,153.58,171.53,10429804
"2016-07-28",171.36,172.38,170.87,172.21,636137
"2016-08-04",172.18,176.54,171.55,173.83,2383368
"2016-08-11",180,180.39,178.9,180.09,946237
"2016-08-18",178.47,180.07,178.47,179.48,907489
"2016-08-25",178.44,179.79,176.88,177.29,531620
"2016-09-01",179.23,179.23,176.3,176.53,566140
"2016-09-08",176.13,177.53,174.91,176.42,687684
"2016-09-15",174.39,176.54,174.26,174.78,401223
