"","NAVI.Open","NAVI.High","NAVI.Low","NAVI.Close","NAVI.Volume"
"2016-06-16",12.15,12.15,11.87,12.06,2873718
"2016-06-23",12.3,12.49,12.3,12.35,4183989
"2016-06-30",11.78,11.96,11.45,11.95,2469700
"2016-07-07",11.8,12.3,11.75,12.15,2219590
"2016-07-14",13.86,13.96,13.62,13.74,1973743
"2016-07-21",14.22,14.48,14.1,14.29,3264066
"2016-07-28",14.11,14.23,13.97,14.09,2050435
"2016-08-04",13.8,14.31,13.8,14.24,3160416
"2016-08-11",13.7,13.82,13.59,13.64,2456235
"2016-08-18",14.57,14.66,14.41,14.56,2712886
"2016-08-25",14.36,14.42,14.25,14.35,1859472
"2016-09-01",14.44,14.54,14.14,14.38,2025831
"2016-09-08",14.72,14.82,14.66,14.68,2310387
"2016-09-15",13.56,13.97,13.49,13.83,2727145
