"","HBAN.Open","HBAN.High","HBAN.Low","HBAN.Close","HBAN.Volume"
"2012-05-17",6.36,6.37,6.21,6.22,14551354
"2012-05-24",6.39,6.49,6.31,6.49,16978168
"2012-05-31",6.46,6.6,6.33,6.54,14550224
"2012-06-07",6.17,6.2,6,6.1,16478928
"2012-06-14",6.12,6.25,6.08,6.21,12039492
"2012-06-21",6.3,6.35,6.2,6.22,10598077
"2012-06-28",6.13,6.2,6.09,6.19,16338270
"2012-07-05",6.49,6.54,6.41,6.42,9590828
"2012-07-12",6.39,6.41,6.28,6.28,13607608
"2012-07-19",6.65,6.79,6.47,6.54,19656693
"2012-07-26",6.38,6.44,6.3,6.41,11128776
"2012-08-02",6.18,6.22,6.11,6.16,14832131
"2012-08-09",6.35,6.43,6.34,6.4,5310431
"2012-08-16",6.47,6.52,6.43,6.47,11769992
"2012-08-23",6.49,6.54,6.48,6.54,9326598
"2012-08-30",6.57,6.63,6.51,6.54,6015804
"2012-09-06",6.54,6.64,6.54,6.6,10403615
"2012-09-13",6.94,7.09,6.87,7.05,16676977
"2012-09-20",6.99,7,6.91,6.98,7965458
"2012-09-27",6.82,6.92,6.8,6.9,6586852
"2012-10-04",7.05,7.21,7.03,7.2,13121101
"2012-10-11",7.13,7.19,7.1,7.15,6977549
"2012-10-18",6.97,6.99,6.53,6.61,40625388
"2012-10-25",6.34,6.39,6.28,6.32,12056183
"2012-11-01",6.39,6.42,6.34,6.36,14524659
"2012-11-08",6.23,6.35,6.15,6.15,11774496
"2012-11-15",5.9,5.97,5.81,5.9,17465835
"2012-11-29",6.2,6.23,6.13,6.16,10297953
"2012-12-06",6.09,6.16,6.05,6.16,7706557
"2012-12-13",6.19,6.23,6.11,6.17,16848404
"2012-12-20",6.39,6.44,6.33,6.39,9774143
"2012-12-27",6.34,6.36,6.24,6.34,6251951
"2013-01-03",6.58,6.67,6.52,6.65,10460568
"2013-01-10",6.67,6.7,6.62,6.67,11405205
"2013-01-17",6.86,7.03,6.8,7,35547811
"2013-01-24",7.05,7.08,6.95,6.99,8355493
"2013-01-31",6.94,6.98,6.88,6.96,7149217
"2013-02-07",7.13,7.15,7.05,7.14,8097445
"2013-02-14",7.1,7.18,7.08,7.17,11092444
"2013-02-21",7.01,7.02,6.83,6.86,19457190
"2013-02-28",7.02,7.09,6.98,7.03,11466045
"2013-03-07",7.23,7.36,7.2,7.34,11208902
"2013-03-14",7.46,7.5,7.43,7.5,12376696
"2013-03-21",7.46,7.53,7.42,7.45,7950775
"2013-03-28",7.42,7.46,7.36,7.37,6387422
"2013-04-04",7.19,7.26,7.15,7.25,6662575
"2013-04-11",7.46,7.51,7.41,7.47,12435712
"2013-04-18",6.95,6.99,6.82,6.86,15942228
"2013-04-25",7.14,7.19,7.1,7.11,7701960
"2013-05-02",7.07,7.17,7.05,7.12,5344173
"2013-05-09",7.48,7.5,7.42,7.43,7159538
"2013-05-16",7.68,7.69,7.57,7.59,12217426
"2013-05-23",7.5,7.55,7.43,7.52,8729876
"2013-05-30",7.7,7.95,7.7,7.89,15903250
"2013-06-06",7.48,7.58,7.44,7.55,8927988
"2013-06-13",7.54,7.75,7.52,7.73,11088068
"2013-06-20",7.4,7.65,7.38,7.51,17665183
"2013-06-27",7.91,7.92,7.84,7.88,12628457
"2013-07-11",8.38,8.4,8.11,8.18,11781497
"2013-07-18",8.17,8.49,8.12,8.4,17057417
"2013-07-25",8.56,8.62,8.51,8.56,11688549
"2013-08-01",8.6,8.78,8.58,8.71,10471964
"2013-08-08",8.62,8.66,8.5,8.6,8360001
"2013-08-15",8.53,8.6,8.41,8.47,7845211
"2013-08-22",8.49,8.7,8.49,8.62,6812358
"2013-08-29",8.2,8.31,8.18,8.26,8081527
"2013-09-05",8.37,8.5,8.37,8.47,10048713
"2013-09-12",8.62,8.67,8.48,8.51,7663535
"2013-09-19",8.57,8.6,8.32,8.33,16297458
"2013-09-26",8.35,8.4,8.24,8.27,6150140
"2013-10-03",8.3,8.35,8.26,8.31,10374476
"2013-10-10",8.23,8.4,8.22,8.38,12802589
"2013-10-17",8.67,8.9,8.5,8.88,19339992
"2013-10-24",8.87,8.97,8.83,8.94,8362237
"2013-10-31",8.93,8.95,8.8,8.8,9794381
"2013-11-07",8.88,8.93,8.71,8.71,7896737
"2013-11-14",8.97,9,8.89,9,6092193
"2013-11-21",8.86,9.01,8.84,8.98,6255909
"2013-12-05",9.12,9.17,9,9.01,8317562
"2013-12-12",9.3,9.46,9.27,9.43,12030035
"2013-12-19",9.51,9.58,9.45,9.55,6164081
"2013-12-26",9.7,9.73,9.64,9.65,5579603
"2014-01-02",9.6,9.66,9.53,9.54,7039144
"2014-01-09",9.8,9.87,9.73,9.77,10238262
"2014-01-16",9.64,9.7,9.43,9.63,23518248
"2014-01-23",9.85,9.85,9.67,9.75,9554757
"2014-01-30",9.27,9.31,9.13,9.26,14176410
"2014-02-06",8.85,9.05,8.83,9.03,11272532
"2014-02-13",9.08,9.12,9,9.09,6460692
"2014-02-20",8.85,9,8.77,8.95,12283568
"2014-02-27",9.36,9.48,9.31,9.42,10420481
"2014-03-06",9.68,9.76,9.65,9.7,10814402
"2014-03-13",9.73,9.76,9.56,9.61,8285281
"2014-03-20",9.73,10.08,9.73,10.01,13705266
"2014-03-27",9.91,10.02,9.68,9.71,11010759
"2014-04-03",10.16,10.21,10.08,10.2,5272684
"2014-04-10",9.84,9.89,9.39,9.42,23297411
"2014-04-17",9.1,9.26,9.02,9.21,27894028
"2014-04-24",9.47,9.47,9.3,9.33,10052759
"2014-05-01",9.18,9.21,9.05,9.08,9492557
"2014-05-08",9.11,9.29,9.1,9.2,13286978
"2014-05-15",9.1,9.12,8.89,9.04,11553285
"2014-05-22",9.13,9.14,9.02,9.06,8721932
"2014-05-29",9.24,9.25,9.14,9.24,9149087
"2014-06-05",9.39,9.54,9.36,9.52,6084858
"2014-06-12",9.56,9.59,9.43,9.48,7067124
"2014-06-19",9.59,9.6,9.47,9.55,5535165
"2014-06-26",9.55,9.61,9.42,9.58,5751437
"2014-07-03",9.65,9.72,9.62,9.7,3903341
"2014-07-10",9.51,9.63,9.45,9.57,7788537
"2014-07-17",9.58,9.63,9.29,9.3,12546913
"2014-07-24",9.9,10.01,9.86,9.97,9856390
"2014-07-31",9.94,9.95,9.81,9.82,10191414
"2014-08-07",9.59,9.64,9.44,9.46,7386239
"2014-08-14",9.66,9.72,9.65,9.67,4024224
"2014-08-21",9.74,9.87,9.7,9.84,4988372
"2014-08-28",9.76,9.85,9.74,9.81,3262883
"2014-09-04",9.92,9.97,9.88,9.92,7178307
"2014-09-11",9.88,9.97,9.88,9.96,5927706
"2014-09-18",10.14,10.26,10.11,10.21,11193644
"2014-09-25",9.89,9.95,9.79,9.8,8530801
"2014-10-02",9.6,9.73,9.5,9.68,10915304
"2014-10-09",9.77,9.77,9.53,9.54,8154605
"2014-10-16",8.96,9.26,8.8,9.19,16853360
"2014-10-23",9.44,9.5,9.39,9.43,8480001
"2014-10-30",9.75,9.86,9.71,9.76,6975539
"2014-11-06",10.05,10.08,9.91,10.08,11691470
"2014-11-13",10.17,10.17,10.07,10.1,5589619
"2014-11-20",10.04,10.15,10.03,10.15,5925601
"2014-12-04",10.1,10.2,10.1,10.18,5440473
"2014-12-11",10.3,10.38,10.21,10.25,9914373
"2014-12-18",10.34,10.47,10.27,10.46,11372178
"2015-01-08",10.13,10.3,10.11,10.28,11257807
"2015-01-15",9.8,9.86,9.65,9.71,10945191
"2015-01-22",9.81,10.18,9.72,10.16,12438797
"2015-01-29",9.82,10.08,9.77,10.08,15199578
"2015-02-05",10.25,10.35,10.23,10.31,13631171
"2015-02-12",10.57,10.71,10.49,10.71,8227895
"2015-02-19",10.62,10.72,10.5,10.64,6359134
"2015-02-26",10.93,10.98,10.88,10.97,8900260
"2015-03-05",10.82,10.88,10.69,10.87,7668323
"2015-03-12",10.97,11.21,10.96,11.2,8442493
"2015-03-19",11.16,11.22,10.98,11.1,8434116
"2015-03-26",10.82,10.91,10.68,10.88,8535258
"2015-04-02",11,11.08,10.97,11.04,5585361
"2015-04-09",11.09,11.13,10.98,11.09,10253827
"2015-04-16",11.26,11.32,11.16,11.26,5137293
"2015-04-23",11,11.01,10.91,10.94,8657547
"2015-04-30",10.89,11.01,10.84,10.86,11572827
"2015-05-07",10.87,10.95,10.83,10.91,7403005
"2015-05-14",11.25,11.25,11.13,11.23,6011810
"2015-05-21",11.31,11.41,11.29,11.34,6637780
"2015-05-28",11.24,11.32,11.21,11.28,9811391
"2015-06-04",11.24,11.28,11.14,11.16,8945975
"2015-06-11",11.44,11.54,11.4,11.48,6570353
"2015-06-18",11.35,11.54,11.32,11.51,13679193
"2015-06-25",11.63,11.68,11.42,11.43,13886271
"2015-07-02",11.47,11.48,11.27,11.35,6485526
"2015-07-09",11.19,11.22,11.06,11.12,7771547
"2015-07-16",11.59,11.65,11.55,11.58,5939615
"2015-07-23",11.78,11.9,11.65,11.73,12862183
"2015-07-30",11.68,11.77,11.65,11.77,8228780
"2015-08-06",11.82,11.84,11.68,11.73,5621201
"2015-08-13",11.49,11.65,11.45,11.62,7866795
"2015-08-20",11.51,11.54,11.32,11.32,7771595
"2015-08-27",10.69,10.87,10.62,10.86,13085748
"2015-09-03",10.61,10.82,10.58,10.7,6318094
"2015-09-10",10.7,10.89,10.64,10.82,7060458
"2015-09-17",11.02,11.05,10.65,10.69,15592196
"2015-09-24",10.27,10.34,10.16,10.32,7711951
"2015-10-01",10.62,10.7,10.53,10.69,10732244
"2015-10-08",10.84,10.96,10.8,10.92,7005050
"2015-10-15",10.62,10.74,10.54,10.72,10916044
"2015-10-22",10.5,11.04,10.48,10.87,14842152
"2015-10-29",11.32,11.44,11.25,11.3,10113069
"2015-11-05",11.21,11.42,11.21,11.33,8252469
"2015-11-12",11.49,11.55,11.32,11.32,7946474
"2015-11-19",11.73,11.75,11.62,11.73,6810340
"2015-12-03",11.7,11.8,11.38,11.43,10719137
"2015-12-10",10.94,11.22,10.91,11.09,12857489
"2015-12-17",11.32,11.36,11.11,11.12,10936044
"2015-12-24",11.17,11.28,11.06,11.21,3705819
"2015-12-31",11.09,11.19,11.02,11.06,5767730
"2016-01-07",10.32,10.44,10.18,10.23,13055979
"2016-01-14",9.82,9.92,9.55,9.85,13622430
"2016-01-21",8.74,9.37,8.57,9,21703246
"2016-01-28",8.35,8.54,8.28,8.48,27978921
"2016-02-04",8.48,8.79,8.48,8.67,20018312
"2016-02-11",8.18,8.18,7.94,8,18707991
"2016-02-18",8.78,8.82,8.41,8.52,23684661
"2016-02-25",8.59,8.68,8.53,8.64,13801261
"2016-03-03",9.33,9.63,9.29,9.6,18043992
"2016-03-10",9.45,9.62,9.3,9.54,14057445
"2016-03-17",9.47,9.59,9.31,9.55,12778734
"2016-03-24",9.53,9.61,9.43,9.59,7319867
"2016-03-31",9.56,9.64,9.44,9.54,12330175
"2016-04-07",9.48,9.53,9.22,9.3,15524158
"2016-04-14",9.88,10.11,9.87,9.99,11266453
"2016-04-21",10.21,10.36,10.15,10.22,7863841
"2016-04-28",10.21,10.28,10.08,10.12,7754974
"2016-05-05",9.87,9.97,9.79,9.87,9908183
"2016-05-12",10,10.11,9.84,9.89,8609042
"2016-05-19",10.22,10.34,10.07,10.22,10944666
"2016-05-26",10.5,10.63,10.4,10.46,8488720
"2016-06-02",10.49,10.57,10.38,10.56,7496642
"2016-06-09",10.25,10.38,10.04,10.17,17555547
"2016-06-16",9.37,9.39,9.22,9.31,11060047
"2016-06-23",9.34,9.5,9.32,9.43,9374395
"2016-06-30",8.56,8.95,8.55,8.94,25205958
"2016-07-07",8.51,8.66,8.46,8.58,11964477
"2016-07-14",9.24,9.33,9.2,9.23,7686155
"2016-07-21",9.17,9.34,9.11,9.16,12386227
"2016-07-28",9.37,9.5,9.28,9.46,7452516
"2016-08-04",9.34,9.44,9.32,9.35,6384880
"2016-08-11",9.59,9.6,9.5,9.57,6532272
"2016-08-18",9.66,9.74,9.49,9.51,99726189
"2016-08-25",9.52,9.67,9.49,9.6,21377916
"2016-09-01",10.05,10.11,9.83,9.96,15098097
"2016-09-08",9.91,9.93,9.79,9.89,11886289
"2016-09-15",9.74,9.87,9.71,9.79,13509017
