"","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume"
"2016-03-31",124.95,126.66,124.42,124.72,1024571
"2016-04-07",123.49,124.43,122.23,123.04,652261
"2016-04-14",125.54,126.27,124.1,125.71,700434
"2016-04-21",128.07,130.14,127.26,127.68,718809
"2016-04-28",132.41,139.77,132.41,134.91,1508814
"2016-05-05",133.54,134.81,132.96,133.57,579630
"2016-05-12",136.48,136.48,132.6,133.29,652987
"2016-05-19",132.54,134.47,132.16,133.69,697730
"2016-05-26",135.56,136.43,133.11,134.45,716800
"2016-06-02",135.56,137.54,135.26,137.37,730902
"2016-06-09",138.55,139.46,137.63,138,420671
"2016-06-16",131.05,132.15,129.85,131.82,402679
"2016-06-23",136.16,138.28,136.07,138.28,714834
"2016-06-30",133.33,134.36,131.75,134.1,704349
"2016-07-07",134.01,135.19,133.82,134.74,642146
"2016-07-14",137.79,137.79,134.24,135.1,629059
"2016-07-21",135.76,138.1,135.52,137.31,625467
"2016-07-28",129.35,130.72,128.49,129.98,1237207
"2016-08-04",127.94,128.78,126.98,127.67,893010
"2016-08-11",126.47,127.22,126.06,126.82,414745
"2016-08-18",120.32,121.55,120.32,120.9,460566
"2016-08-25",119.94,121.28,119.55,120.12,478341
"2016-09-01",120.68,120.68,118.51,118.82,658240
"2016-09-08",122.01,122.01,120.96,121.55,670518
"2016-09-15",120.02,122.33,119.59,122,606331
