"","KLAC.Open","KLAC.High","KLAC.Low","KLAC.Close","KLAC.Volume"
"2013-06-13",55.34,56.83,55.03,56.61,1340336
"2013-06-20",55.55,55.87,54.22,54.43,1741440
"2013-06-27",55.84,56.43,55.5,55.57,1766395
"2013-07-11",59.65,60,59.25,59.93,2226667
"2013-07-18",60,60.47,59.47,60.18,1434700
"2013-07-25",59.95,60,59.3,59.79,2022551
"2013-08-01",59.17,60.18,58.85,60.12,1380002
"2013-08-08",58.66,58.9,57.71,58.43,1149929
"2013-08-15",58.29,58.32,57,57.07,1381723
"2013-08-22",56.19,56.84,56.04,56.43,1014983
"2013-08-29",54.85,55.63,54.7,55.34,611137
"2013-09-05",58.46,58.69,57.77,58.54,1776366
"2013-09-12",59.83,60.41,59.65,60.2,948143
"2013-09-19",62.11,62.44,61.32,61.76,957282
"2013-09-26",61.96,61.96,60.8,60.96,1368064
"2013-10-03",60.81,61.03,59.79,60.42,1263875
"2013-10-10",60.04,61.28,59.86,61.2,1073237
"2013-10-17",62.48,63.89,62.13,63.88,1134662
"2013-10-24",64.15,64.29,63.58,63.73,1928845
"2013-10-31",65.92,66.54,65.6,65.6,1329447
"2013-11-07",64.44,64.85,63.68,63.86,1228937
"2013-11-14",63.45,63.5,62.56,62.63,1056237
"2013-11-21",62.29,63.66,61.98,63.41,984678
"2013-12-05",61.99,62.3,61.52,61.81,1675293
"2013-12-12",61.73,62.13,60.54,60.92,1589279
"2013-12-19",62.55,62.75,61.95,62.7,670775
"2013-12-26",64.13,64.28,63.84,64.12,441535
"2014-01-02",64,64.11,63.13,63.38,982745
"2014-01-09",62.5,63.5,62.25,62.49,1917029
"2014-01-16",63.4,63.72,62.75,63.06,1065875
"2014-01-23",63.4,63.83,62.76,63.53,1872634
"2014-01-30",62.14,62.37,61.25,61.68,1498139
"2014-02-06",60.91,62.64,60.9,61.83,1742967
"2014-02-13",62.73,64.45,62.64,64.44,1287538
"2014-02-20",64.6,64.97,64.36,64.65,1154604
"2014-02-27",65.07,65.36,64.5,64.97,871982
"2014-03-06",65.44,66.24,65.29,66.13,830852
"2014-03-13",67.63,67.81,66.41,66.75,2131019
"2014-03-20",68.08,69.96,67.96,69.94,1791273
"2014-03-27",69.03,69.03,68.22,68.5,1399308
"2014-04-03",70.53,71.93,70.53,71.22,1650834
"2014-04-10",68.99,69.02,66.55,66.68,1809889
"2014-04-17",65.61,66.63,65.59,66.11,1293663
"2014-04-24",68.02,68.59,66.5,67.74,2469428
"2014-05-01",63.99,64.31,62.74,62.92,2399176
"2014-05-08",62.43,63.84,62.4,62.59,1194792
"2014-05-15",62.51,62.56,61.43,62.38,1455002
"2014-05-22",63.72,64.05,63.45,63.64,826911
"2014-05-29",65.48,65.71,65.04,65.65,1172122
"2014-06-05",66.21,66.7,65.79,66.45,969677
"2014-06-12",67.93,68.5,67.65,67.85,1527419
"2014-06-19",69.08,69.28,68.22,68.92,1010062
"2014-06-26",69.8,69.96,69.14,69.96,1150270
"2014-07-03",73.63,74.7,73.46,74.62,1509550
"2014-07-10",73.77,75.4,73.71,74.72,2034020
"2014-07-17",73.77,74.54,73.54,74.01,2266148
"2014-07-24",73.46,73.89,72.81,73.02,2282213
"2014-07-31",71.55,71.91,71.07,71.49,1584206
"2014-08-07",72.3,72.3,71.33,71.63,1540693
"2014-08-14",72.46,73.11,72.27,73.04,803543
"2014-08-21",74.85,75.3,74.6,75.14,576889
"2014-08-28",76.27,76.44,75.93,76.33,794521
"2014-09-04",77.72,78.14,77.34,77.6,1532017
"2014-09-11",78.38,78.78,78.12,78.64,1120817
"2014-09-18",79.57,80.89,79.44,80.86,1401748
"2014-09-25",80.33,80.51,78.89,79.53,1844057
"2014-10-02",76.26,76.9,75.58,76.65,1403352
"2014-10-09",75.57,76,73.62,73.65,2425585
"2014-10-16",66.33,68.95,66.18,68.23,1684463
"2014-10-23",70.74,71.7,70.08,71,3933185
"2014-10-30",75.98,76.41,75.15,76.36,1823992
"2014-11-06",81.46,82.03,80.6,80.83,1399868
"2014-11-13",79.57,80.27,79.23,79.44,1022293
"2014-11-20",80.88,81.36,80.25,80.7,2562186
"2014-12-04",71.14,71.71,69.97,70.33,1853470
"2014-12-11",69.49,70.34,69.02,69.15,1361465
"2014-12-18",68.67,69.58,68.07,69.58,1160376
"2015-01-08",68.38,69.44,68.18,68.93,1276060
"2015-01-15",67.25,69.09,66.36,66.87,3301435
"2015-01-22",69.49,71.13,68.68,70.95,2274474
"2015-01-29",62.53,63.57,62.11,63.39,1281010
"2015-02-05",63.15,63.38,62.36,63.27,1298802
"2015-02-12",63.6,63.94,63.04,63.87,869881
"2015-02-19",63.96,64.99,63.82,64.66,640140
"2015-02-26",65.9,66.12,65.13,65.51,775610
"2015-03-05",63.14,63.41,62.15,62.23,2591739
"2015-03-12",60.08,60.47,59.55,60.41,1168290
"2015-03-19",61.89,62.53,61.86,62.23,1021180
"2015-03-26",58.28,59.02,57.49,58.43,1779476
"2015-04-02",58.08,58.54,57.1,58.09,1117540
"2015-04-09",58.13,59.05,57.73,58.94,1588361
"2015-04-16",59.41,60.09,58.92,59.33,2134874
"2015-04-23",59.68,60.27,59.45,59.85,1751984
"2015-04-30",59.11,59.58,58.45,58.8,1478562
"2015-05-07",58.39,58.96,58.23,58.86,736866
"2015-05-14",59.11,59.49,58.36,59.35,1461119
"2015-05-21",59.07,59.24,58.75,59.16,690505
"2015-05-28",59.98,60.73,59.85,60.27,935961
"2015-06-04",58.27,58.49,57.02,57.25,1823833
"2015-06-11",56.33,56.59,56.14,56.48,1009109
"2015-06-18",57.31,58.34,57.17,58.2,1158615
"2015-06-25",57.42,57.8,57.07,57.34,1126596
"2015-07-02",56.73,57.35,56.7,57.26,829820
"2015-07-09",55.38,55.94,54.73,54.73,995729
"2015-07-16",54.52,54.56,51.67,52.58,3049707
"2015-07-23",51.76,53.34,51.51,52.84,2404453
"2015-07-30",51.72,52.44,51.46,52.06,1462421
"2015-08-06",52.72,52.72,51.42,51.95,1258902
"2015-08-13",52.74,52.74,51.51,51.52,1159784
"2015-08-20",49.35,49.54,48.4,48.44,1338144
"2015-08-27",48.67,49.83,48.53,49.59,1178031
"2015-09-03",48.68,49.65,48.56,48.83,1062715
"2015-09-10",49.17,51.85,49.02,51.48,2764971
"2015-09-17",52.8,52.8,51.09,51.31,2300945
"2015-09-24",47.34,48.61,46.76,48.2,2242936
"2015-10-01",49.98,50.06,48.72,49.6,1773313
"2015-10-08",52.78,53.44,52.4,53.29,1420412
"2015-10-15",52.7,53.13,52.08,52.65,1463064
"2015-10-22",63.41,65.89,63.41,64.9,11594532
"2015-10-29",65.51,66.88,65.25,66.32,2018095
"2015-11-05",67.03,67.35,66.43,67,1766472
"2015-11-12",66.23,66.38,65.74,65.86,2876384
"2015-11-19",67.47,67.47,66.63,66.9,1380141
"2015-12-03",67.86,68.12,66.61,66.61,1691245
"2015-12-10",67.58,68.99,67.47,68.49,1227030
"2015-12-17",69.25,69.39,68.05,68.05,1267498
"2015-12-24",69.2,69.7,69.2,69.51,370175
"2015-12-31",69.49,69.91,69.21,69.35,854096
"2016-01-07",65.42,66.66,65.41,65.94,1789560
"2016-01-14",65.03,67.14,64.81,66.66,2479583
"2016-01-21",65.3,65.32,64.35,64.63,981114
"2016-01-28",64.38,66.34,64.38,65.45,1255144
"2016-02-04",66.81,67.11,66.33,66.88,1657505
"2016-02-11",62.54,63.36,62.33,62.88,1999210
"2016-02-18",65.56,65.69,64.82,64.85,3397516
"2016-02-25",66.3,67.46,66.19,67.45,978463
"2016-03-03",68.36,68.71,68.08,68.7,1282664
"2016-03-10",68.13,69.17,68.13,68.7,1868612
"2016-03-17",70.47,70.96,70.15,70.86,760414
"2016-03-24",70.91,70.91,70.11,70.8,886151
"2016-03-31",72.7,72.97,71.92,72.81,950916
"2016-04-07",72.49,72.69,71.8,72.11,1229709
"2016-04-14",72.38,72.7,71.93,72.49,516009
"2016-04-21",73,73.59,71.7,71.99,1077953
"2016-04-28",71.97,71.97,70.72,70.82,1479564
"2016-05-05",69.09,69.63,69.07,69.39,1121318
"2016-05-12",69.52,69.57,68.49,68.82,684554
"2016-05-19",68,68.25,67.73,67.88,708778
"2016-05-26",71.68,71.99,71.54,71.92,457181
"2016-06-02",72.98,73.65,72.74,73.27,1529840
"2016-06-09",73.05,73.45,72.62,73.41,466057
"2016-06-16",72.69,73.02,72.3,72.79,594122
"2016-06-23",74.88,75.17,74.57,74.85,1638338
"2016-06-30",72.37,73.25,72.02,73.25,1819624
"2016-07-07",72.16,72.9,72.08,72.24,1893686
"2016-07-14",76,76.1,74.87,75.22,1854248
"2016-07-21",76.47,76.51,75.62,75.74,473702
"2016-07-28",77.38,77.85,76.88,77.45,946068
"2016-08-04",75.95,76.81,75.95,76.8,401520
"2016-08-11",69.86,70.16,66.88,67.51,3423726
"2016-08-18",69.54,69.88,69.4,69.73,608373
"2016-08-25",67.21,67.47,66.97,67.3,1365572
"2016-09-01",69.56,70.77,69.34,70.74,1935572
"2016-09-08",70.66,70.73,70.18,70.46,973168
"2016-09-15",68.75,70.41,68.75,70.26,2449557
