"","CMS.Open","CMS.High","CMS.Low","CMS.Close","CMS.Volume"
"2012-11-29",24.13,24.29,23.99,24.23,3881810
"2012-12-06",24.66,24.78,24.55,24.69,1611699
"2012-12-13",24.45,24.54,24.34,24.42,2189400
"2012-12-20",24.64,24.72,24.47,24.62,1677578
"2012-12-27",24.31,24.43,24,24.24,1909601
"2013-01-03",24.82,25,24.74,24.88,2509956
"2013-01-10",24.89,24.95,24.79,24.95,2055553
"2013-01-17",24.85,24.98,24.8,24.91,1962382
"2013-01-24",25.22,25.47,25.18,25.28,1288635
"2013-01-31",25.62,25.74,25.54,25.7,1939900
"2013-02-07",25.65,25.79,25.53,25.65,1551978
"2013-02-14",25.83,25.92,25.68,25.75,2744338
"2013-02-21",25.96,26.15,25.84,26.12,2150695
"2013-02-28",26.41,26.75,26.33,26.61,1983723
"2013-03-07",26.95,27.05,26.83,26.85,1380315
"2013-03-14",27.15,27.36,27.06,27.35,2012082
"2013-03-21",27.2,27.25,27.08,27.13,1988742
"2013-03-28",27.46,27.95,27.39,27.94,2240301
"2013-04-04",27.83,28.15,27.81,28.14,1969583
"2013-04-11",28.47,28.52,28.34,28.45,2026500
"2013-04-18",28.6,28.8,28.53,28.66,2032593
"2013-04-25",29.39,29.51,29.15,29.24,5797039
"2013-05-02",29.45,29.51,29.17,29.33,2235003
"2013-05-09",28.96,29.08,28.27,28.37,2118710
"2013-05-16",28.89,28.92,28.59,28.66,1809276
"2013-05-23",27.96,28.19,27.58,27.95,2750663
"2013-05-30",27.36,27.69,27.18,27.19,1982267
"2013-06-06",26.37,26.93,26.31,26.93,2965039
"2013-06-13",26.51,27.23,26.46,27.2,2668983
"2013-06-20",26.69,26.74,25.88,25.95,3000742
"2013-06-27",27.5,27.72,27.45,27.52,2085771
"2013-07-11",27.87,27.92,27.68,27.78,4014463
"2013-07-18",28.19,28.46,28.16,28.46,2218791
"2013-07-25",28.38,28.82,27.73,28.21,8993625
"2013-08-01",28.17,28.54,28.14,28.46,2977816
"2013-08-08",28.08,28.32,27.91,28.22,1674400
"2013-08-15",27.14,27.26,26.89,26.92,1413793
"2013-08-22",26.62,26.82,26.58,26.75,1753518
"2013-08-29",26.6,26.75,26.42,26.54,1992980
"2013-09-05",26.02,26.12,25.74,25.86,2996628
"2013-09-12",26.03,26.24,25.89,25.91,2177644
"2013-09-19",26.9,27.04,26.78,26.82,2531676
"2013-09-26",26.42,26.54,26.3,26.35,5526967
"2013-10-03",26.34,26.34,25.92,25.99,3037351
"2013-10-10",26.28,26.59,26.02,26.53,1924960
"2013-10-17",26.72,27.33,26.59,27.27,3594500
"2013-10-24",27.69,27.93,27.52,27.84,7867422
"2013-10-31",27.42,27.6,27.06,27.46,3200981
"2013-11-07",27.6,27.81,27.32,27.37,2800906
"2013-11-14",27.02,27.4,26.99,27.3,2865666
"2013-11-21",27.3,27.43,27.18,27.31,2624498
"2013-12-05",26.51,26.59,26.22,26.27,2851662
"2013-12-12",25.96,26.4,25.96,26.14,4334504
"2013-12-19",26.71,26.71,26.39,26.67,2008264
"2013-12-26",26.82,26.82,26.59,26.66,988111
"2014-01-02",26.8,26.8,26.2,26.3,2218229
"2014-01-09",26.34,26.61,26.16,26.53,2663837
"2014-01-16",26.46,26.63,26.36,26.62,2154701
"2014-01-23",26.85,26.96,26.64,26.91,1713594
"2014-01-30",26.71,27.43,26.66,27.23,2611660
"2014-02-06",26.94,27.12,26.82,26.94,2590654
"2014-02-13",27.88,28.21,27.86,28.2,1403088
"2014-02-20",28.42,28.71,28.4,28.61,1626878
"2014-02-27",28.35,28.55,28.14,28.25,1644021
"2014-03-06",28.24,28.28,27.99,28,1831527
"2014-03-13",28.17,28.72,28.15,28.59,3328690
"2014-03-20",28.36,28.4,28.06,28.37,1385808
"2014-03-27",28.6,28.88,28.44,28.86,1733977
"2014-04-03",29.23,29.34,29.06,29.21,2206413
"2014-04-10",29.46,29.68,29.28,29.38,3761564
"2014-04-17",30.14,30.31,29.66,29.78,1892416
"2014-04-24",29.65,30,29.48,29.95,2846729
"2014-05-01",30.3,30.43,29.91,30.22,4024702
"2014-05-08",30.3,30.31,29.8,29.88,2384656
"2014-05-15",29.29,29.43,29.12,29.23,2596227
"2014-05-22",28.9,29.36,28.88,29.22,3004003
"2014-05-29",29.66,29.69,29.21,29.46,2389964
"2014-06-05",29.93,30.16,29.7,30.12,1744997
"2014-06-12",29.36,29.42,28.97,29.41,2646748
"2014-06-19",30.46,30.86,30.46,30.72,2911216
"2014-06-26",30.75,30.86,30.63,30.8,2235247
"2014-07-03",30.02,30.02,29.69,29.74,2591086
"2014-07-10",30.01,30.4,29.98,30.39,2025888
"2014-07-17",30.19,30.35,30.05,30.07,2010093
"2014-07-24",30.65,30.69,30.41,30.57,2225951
"2014-07-31",29.15,29.38,28.87,28.93,2435703
"2014-08-07",28.27,28.61,28.23,28.5,2958221
"2014-08-14",29.38,29.58,29.3,29.54,1558042
"2014-08-21",29.99,30.18,29.95,30.06,1376088
"2014-08-28",29.98,30.42,29.86,30.39,2477549
"2014-09-04",30.39,30.5,30.17,30.33,1671844
"2014-09-11",30.07,30.27,29.94,30.22,1230184
"2014-09-18",29.76,29.88,29.2,29.43,3618295
"2014-09-25",29.55,29.71,29.46,29.56,5064875
"2014-10-02",29.81,29.99,29.68,29.78,1689290
"2014-10-09",30.71,30.91,30.17,30.17,3055421
"2014-10-16",30.38,30.64,30.12,30.59,4188423
"2014-10-23",31.82,32.24,31.8,31.93,2042922
"2014-10-30",32.22,32.8,32.15,32.77,2317567
"2014-11-06",33.09,33.2,32.31,32.37,4352761
"2014-11-13",32.58,32.69,32.23,32.31,2082462
"2014-11-20",32.67,32.74,32.45,32.51,1688922
"2014-12-04",33.71,33.82,33.44,33.63,2189555
"2014-12-11",33.48,34.01,33.42,33.69,1293945
"2014-12-18",34.02,34.55,33.89,34.55,1586509
"2015-01-08",35.59,35.84,35.56,35.67,1695606
"2015-01-15",36.01,36.25,35.84,36.18,1757052
"2015-01-22",37.34,37.49,36.84,37.05,1960664
"2015-01-29",37.12,38.25,36.76,38.2,2579829
"2015-02-05",37.12,37.43,36.93,37.32,2045437
"2015-02-12",35.58,35.73,35.27,35.53,1806564
"2015-02-19",36.01,36.08,35.3,35.46,3018174
"2015-02-26",35.63,35.71,35.26,35.32,2103990
"2015-03-05",34.36,34.77,34.33,34.63,1928240
"2015-03-12",32.97,34.2,32.87,33.77,5072154
"2015-03-19",35.29,35.68,35.06,35.13,4358944
"2015-03-26",34.37,34.65,34,34.11,3652794
"2015-04-02",35.21,35.37,35.09,35.29,2373213
"2015-04-09",34.79,34.84,34.28,34.45,2642617
"2015-04-16",34.67,34.76,34.12,34.52,2837511
"2015-04-23",34.9,35.42,34.82,35.01,3716479
"2015-04-30",34.7,34.73,33.62,33.93,5143293
"2015-05-07",33.25,33.48,33.1,33.17,5018990
"2015-05-14",32.9,33.46,32.9,33.35,2906373
"2015-05-21",34.13,34.24,33.82,34.21,2265401
"2015-05-28",34.05,34.17,33.91,34.12,1483287
"2015-06-04",32.56,32.97,32.46,32.49,3286716
"2015-06-11",32.33,32.65,32.23,32.6,4895633
"2015-06-18",32.4,32.88,32.4,32.8,2733901
"2015-06-25",31.69,31.8,31.36,31.39,3113489
"2015-07-02",32.5,32.77,32.49,32.75,3702243
"2015-07-09",33.85,34.04,33.4,33.51,3543802
"2015-07-16",33.85,34.37,33.83,34.33,1727504
"2015-07-23",32.99,33.07,32.4,32.7,3168489
"2015-07-30",33.55,34.08,33.45,33.92,2123081
"2015-08-06",33.68,34.02,33.51,33.99,2242642
"2015-08-13",35.02,35.33,34.7,35.19,1500278
"2015-08-20",35.57,35.95,35.37,35.65,2576373
"2015-08-27",33.33,33.78,33.15,33.76,2973687
"2015-09-03",32.32,32.56,32.17,32.49,2166163
"2015-09-10",32.2,32.66,32.15,32.25,2107716
"2015-09-17",33.24,34.28,33.17,33.79,3217845
"2015-09-24",33.63,34.24,33.33,34.22,2180112
"2015-10-01",35.39,35.45,34.53,34.93,3029230
"2015-10-08",35.34,35.98,35.16,35.91,1519203
"2015-10-15",35.7,36.3,35.64,36.24,1402915
"2015-10-22",36.77,37.3,36.68,37.17,1308067
"2015-10-29",35.56,36.22,35.13,35.75,3976737
"2015-11-05",35.77,36.11,35.7,35.83,3180385
"2015-11-12",35.27,35.64,34.68,34.82,1641764
"2015-11-19",35.41,35.7,35.24,35.44,1910114
"2015-12-03",34.66,34.66,34.18,34.24,2896565
"2015-12-10",35.27,35.31,34.72,34.87,2808003
"2015-12-17",36.17,36.42,35.86,36.2,2303965
"2015-12-24",36.03,36.14,35.89,36.01,1003659
"2015-12-31",36.57,36.72,35.83,36.08,1307705
"2016-01-07",35.59,36.24,35.52,36.16,3259507
"2016-01-14",36.1,36.95,35.91,36.71,3514663
"2016-01-21",36.02,36.27,35.6,35.96,2561392
"2016-01-28",37.35,38.31,37.04,37.87,2901966
"2016-02-04",37.57,39.76,37.57,39.26,4000562
"2016-02-11",39.45,39.61,39.08,39.27,2554818
"2016-02-18",38.98,39.85,38.83,39.68,2287652
"2016-02-25",40.39,40.79,40.12,40.59,2121668
"2016-03-03",39.33,39.71,38.78,39.69,3340689
"2016-03-10",40.92,41.16,40.63,41.01,3162143
"2016-03-17",41.5,41.86,41.36,41.78,3206144
"2016-03-24",41.58,41.85,41.52,41.68,1297747
"2016-03-31",42.26,42.49,42.05,42.44,2035795
"2016-04-07",41.67,42.07,41.43,41.57,2943356
"2016-04-14",41.2,41.43,41.14,41.29,1266251
"2016-04-21",40.16,40.16,39.24,39.38,2915003
"2016-04-28",39.53,40.58,38.92,40.37,2824512
"2016-05-05",41.24,41.72,40.95,41.21,1770859
"2016-05-12",41.61,42.19,41.42,42.09,2278077
"2016-05-19",40.13,40.87,39.85,40.83,2006375
"2016-05-26",40.98,41.46,40.81,41.43,1362939
"2016-06-02",41.9,42.02,41.55,42.01,1342780
"2016-06-09",42.84,43.44,42.84,43.39,1666061
"2016-06-16",43.3,43.9,43.3,43.71,1673780
"2016-06-23",43.66,43.69,43.35,43.59,2610556
"2016-06-30",44.95,45.86,44.81,45.86,2484813
"2016-07-07",46.05,46.25,45.16,45.26,2427348
"2016-07-14",44.64,44.9,44.48,44.76,1623687
"2016-07-21",44.71,45.13,44.56,45.11,1578853
"2016-07-28",44.7,45.1,44.46,44.99,2215455
"2016-08-04",44.19,44.64,44.08,44.32,1456635
"2016-08-11",43.68,43.84,43.55,43.72,1648158
"2016-08-18",43,43.57,42.96,43.57,2093533
"2016-08-25",42.88,43.04,42.78,42.96,1121906
"2016-09-01",41.95,42.01,41.72,41.85,1476759
"2016-09-08",42.67,43.04,42.64,42.93,1157454
"2016-09-15",41.6,41.89,41.41,41.88,2108663
