"","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume"
"2012-08-16",56,56.09,55.42,55.66,689223
"2012-08-23",54.41,54.72,54.02,54.54,696810
"2012-08-30",53.03,53.46,52.36,52.43,1150303
"2012-09-06",51.51,52.58,51.5,52.05,1327224
"2012-09-13",52.88,53.16,52.41,52.52,1102802
"2012-09-20",51.31,51.43,50.56,51.35,1076179
"2012-09-27",52.45,53.06,52.06,52.95,848082
"2012-10-04",53.7,54.27,53.39,54.26,1047232
"2012-10-11",55.16,55.6,54.56,54.79,1131959
"2012-10-18",58.6,58.89,58.07,58.23,765203
"2012-10-25",57.3,57.37,56.55,57.28,639443
"2012-11-01",58.24,58.9,57.97,58.6,1370687
"2012-11-08",59.52,59.65,58.39,58.6,698905
"2012-11-15",59.37,60.04,58.75,59.1,1178676
"2012-11-29",60,60,59.26,59.84,831161
"2012-12-06",58.75,58.97,58.35,58.71,547331
"2012-12-13",57.5,58.3,56.43,56.66,984744
"2012-12-20",58.47,58.86,58.08,58.75,736171
"2012-12-27",58.54,58.87,58.12,58.64,682440
"2013-01-03",61.14,61.56,60.54,61.26,519284
"2013-01-10",61.94,62,61.26,61.4,432718
"2013-01-17",61.69,63.22,61.59,62.78,947084
"2013-01-24",64.46,68.58,63.93,67.57,2893196
"2013-01-31",66.84,67.65,66.59,67.27,610114
"2013-02-07",67.94,68.54,67.62,68.28,453183
"2013-02-14",66.97,67.7,66.66,67.41,452537
"2013-02-21",66.56,67.37,65.53,66.05,500145
"2013-02-28",69.8,70.1,69.05,69.66,1007106
"2013-03-07",70,70.08,68.71,69.22,817839
"2013-03-14",74.37,74.93,73.55,74.51,1165784
"2013-03-21",74.37,75.02,73.71,73.97,686908
"2013-03-28",73.83,74.59,73.34,74.48,626186
"2013-04-04",73,73.02,71.68,72.46,527455
"2013-04-11",74.85,75.14,73.85,74.22,1090228
"2013-04-18",69.96,70.32,69.04,69.4,766997
"2013-04-25",70.27,71.41,70.27,71,719132
"2013-05-02",69.76,70.44,69.44,69.66,529215
"2013-05-09",72.35,72.65,71.21,71.86,729467
"2013-05-16",74.08,74.74,73.89,74.45,768002
"2013-05-23",74.74,75.77,74.36,75.66,429309
"2013-05-30",74.53,74.95,74.25,74.29,385342
"2013-06-06",70.51,71.29,69.73,71.24,755171
"2013-06-13",70.85,72.77,70.46,72.61,382296
"2013-06-20",71.86,72,70.6,70.8,549300
"2013-06-27",70.88,71.84,70.41,71.36,369879
"2013-07-11",77.29,77.76,76.82,76.9,452377
"2013-07-18",74.77,75.99,74.77,75.61,415057
"2013-07-25",74.03,74.78,73.75,74.5,316452
"2013-08-01",75.88,78.39,75.83,77.78,1106942
"2013-08-08",75.38,76.14,75.02,75.92,207426
"2013-08-15",74,74.46,72.85,73.09,731476
"2013-08-22",73.43,75,73.06,74.33,192463
"2013-08-29",72.99,74.08,72.56,73.14,538251
"2013-09-05",72.6,73.01,72.34,72.81,460405
"2013-09-12",74.32,74.6,74.18,74.32,725628
"2013-09-19",74.46,74.46,73.92,74.33,1002449
"2013-09-26",73.16,73.16,71.59,71.9,791338
"2013-10-03",73.46,73.64,72.25,72.44,583345
"2013-10-10",71.48,72.23,70.6,72.14,1453780
"2013-10-17",73.11,74.74,72.93,74.66,728648
"2013-10-24",74.77,75.26,74.32,75.19,913997
"2013-10-31",75.45,75.57,74.5,75.03,717035
"2013-11-07",73.69,73.85,72.7,72.95,1060125
"2013-11-14",72.93,73.09,72.23,72.3,668994
"2013-11-21",72.13,73,72.13,72.96,425898
"2013-12-05",75.86,76.51,75.66,76.01,806961
"2013-12-12",75.2,75.49,73.7,74.61,887129
"2013-12-19",76.33,76.86,75.78,76.02,457360
"2013-12-26",77.41,78.16,77.22,77.43,322503
"2014-01-02",77.17,77.29,76.26,76.6,538630
"2014-01-09",77.13,77.5,76.73,77.48,1069635
"2014-01-16",78.98,79,78.21,78.51,459073
"2014-01-23",78.11,79.17,77.6,78.49,1099473
"2014-01-30",74.95,75.99,74.51,75.51,552466
"2014-02-06",73.61,74.59,73.19,74.13,555676
"2014-02-13",72.82,73.64,72.68,73.43,551426
"2014-02-20",71.5,71.85,70.73,71.65,624591
"2014-02-27",71.13,71.45,70.78,71.13,948281
"2014-03-06",72.57,73.87,72.37,73.84,691309
"2014-03-13",72.84,73.27,71.55,71.9,703938
"2014-03-20",70.69,70.82,69.94,70.2,1347720
"2014-03-27",69.53,70.08,69.51,69.97,779018
"2014-04-03",73.7,74.13,73.55,73.8,907612
"2014-04-10",72.84,73.07,71.76,71.96,1179337
"2014-04-17",75.62,76.27,75.41,75.81,804726
"2014-04-24",76.34,76.41,75.38,76.04,571431
"2014-05-01",76.24,77.18,75.62,77.1,837040
"2014-05-08",76.57,77.2,75.76,75.8,1012246
"2014-05-15",76.89,77.16,76.29,76.97,535533
"2014-05-22",76.65,77.64,76.34,77.48,728306
"2014-05-29",77.88,77.94,77.44,77.84,454271
"2014-06-05",77.32,77.38,76.46,76.88,881757
"2014-06-12",76.32,76.32,74.94,75.35,981328
"2014-06-19",76.4,76.65,75.89,76.46,747292
"2014-06-26",75.35,75.47,73.36,73.52,1493855
"2014-07-03",73.94,74.34,73.66,74.21,278947
"2014-07-10",73.3,73.84,73.01,73.47,563015
"2014-07-17",77.96,78.25,77.47,77.58,1536576
"2014-07-24",78.88,79.73,78.62,79.72,770482
"2014-07-31",77.81,78.46,77.21,77.26,986752
"2014-08-07",75.48,75.94,74.96,75.01,492995
"2014-08-14",76.17,76.35,75.36,75.6,804580
"2014-08-21",76.49,76.53,75.95,76.13,394788
"2014-08-28",75.02,75.73,74.64,75.67,606276
"2014-09-04",76.28,76.98,75.83,76.94,923679
"2014-09-11",74.64,75.34,74.39,75.26,773114
"2014-09-18",74.17,74.41,73.79,73.95,1098226
"2014-09-25",72.49,73.15,71.73,72.85,1180198
"2014-10-02",73.46,74.72,73.27,74.58,850236
"2014-10-09",74.1,74.16,73.02,73.05,568949
"2014-10-16",72.89,75.5,72.4,74.72,2531642
"2014-10-23",77.41,77.95,77,77.54,668677
"2014-10-30",78.96,79.53,77.77,78.48,944993
"2014-11-06",80.84,81.18,80.68,81.1,1006750
"2014-11-13",81.33,81.76,80.23,80.53,1004456
"2014-11-20",79.57,81.03,79.57,81.01,473036
"2014-12-04",81.02,81.53,80.58,81.27,767252
"2014-12-11",80.41,81.5,80.12,80.52,594194
"2014-12-18",84,84.5,82.8,84.38,789966
"2015-01-08",80.65,81.44,80.29,81.26,731760
"2015-01-15",78.78,79,77.93,78.28,602903
"2015-01-22",83.1,85.32,82.75,84.23,1355915
"2015-01-29",80.5,80.51,79.54,80.15,745806
"2015-02-05",82.45,83.39,82.08,83.18,811897
"2015-02-12",81.15,82.15,81.13,81.79,681579
"2015-02-19",82.8,83.88,82.61,82.9,455073
"2015-02-26",86,86.85,85.52,86.02,434377
"2015-03-05",83.93,84.44,83.5,84.41,517643
"2015-03-12",87.46,87.9,86.21,86.41,1202766
"2015-03-19",89.52,89.97,88.33,88.55,1410234
"2015-03-26",85.42,85.86,84.76,85.39,1025966
"2015-04-02",85.46,85.81,84.13,84.17,672548
"2015-04-09",85.92,86.58,85.84,86.45,788340
"2015-04-16",91.77,92.2,91.02,91.32,966121
"2015-04-23",91.75,92.15,91.16,91.47,799270
"2015-04-30",87.58,88.27,86.86,87.2,744356
"2015-05-07",87.02,87.88,86.88,87.31,717954
"2015-05-14",87.2,88.39,86.68,87.75,1024102
"2015-05-21",86.63,86.71,85.82,86.48,788003
"2015-05-28",85.41,85.61,84.09,84.59,533668
"2015-06-04",85.5,85.9,84.98,85.45,728463
"2015-06-11",86.22,87.49,86.1,86.93,898941
"2015-06-18",85.33,86.7,84.94,86.32,459363
"2015-06-25",85,85.36,83.83,83.92,1066459
"2015-07-02",82.91,83.34,81.9,82.11,1104620
"2015-07-09",84,84.7,83.65,84.02,1316453
"2015-07-16",84.88,85.68,84.64,84.79,1286853
"2015-07-23",83.18,83.18,81.29,81.69,1994779
"2015-07-30",83.3,84.45,83.07,84.45,581281
"2015-08-06",83.71,83.86,81.74,82.15,934957
"2015-08-13",80.46,80.73,79.85,80.08,679378
"2015-08-20",79.05,79.59,78.05,78.07,878879
"2015-08-27",73.37,73.98,72.62,73.51,1375945
"2015-09-03",74.42,75.7,74.04,75.35,1642087
"2015-09-10",75.71,76.27,75.52,75.7,1005996
"2015-09-17",78.37,78.93,77.87,78,707444
"2015-09-24",74.74,74.95,73.35,73.54,819261
"2015-10-01",71.25,71.8,71.09,71.78,844112
"2015-10-08",74.04,75.51,74.04,75.35,870451
"2015-10-15",75.46,75.46,74.18,74.92,1024323
"2015-10-22",77.31,77.42,76.52,76.98,749389
"2015-10-29",75.69,77.76,75.52,76.97,887919
"2015-11-05",75.6,76.01,74.74,74.91,611443
"2015-11-12",74.33,74.8,73.9,74.09,1016251
"2015-11-19",77.58,78.22,77.04,77.6,634446
"2015-12-03",77.99,78.03,76.42,77.01,1469165
"2015-12-10",73.98,74.81,73.53,73.79,869230
"2015-12-17",74.21,74.97,72.42,72.58,868495
"2015-12-24",72.49,73.49,72.18,72.97,269911
"2015-12-31",72.83,74.2,72.59,73.36,585400
"2016-01-07",69.87,69.93,68.42,68.92,843256
"2016-01-14",66.25,66.75,64.6,65.56,2219982
"2016-01-21",67.99,68.63,66.01,66.99,2647586
"2016-01-28",70.39,70.94,69.19,70.25,934610
"2016-02-04",72.27,75.18,72.27,75.02,1411798
"2016-02-11",72.67,73.46,71.54,72.97,1047536
"2016-02-18",77.09,77.61,76.6,77.36,1529900
"2016-02-25",75.98,77.18,75.64,77.15,648322
"2016-03-03",77.42,78.72,77.42,78.52,658229
"2016-03-10",80.19,81.26,79.83,80.97,1286328
"2016-03-17",82.48,84.61,82.15,84.46,944909
"2016-03-24",85.5,86.16,85.26,86.01,541224
"2016-03-31",84.33,84.93,83.48,84.24,588548
"2016-04-07",82.79,83.67,81.79,82.71,616554
"2016-04-14",86.38,86.63,85.43,85.62,492381
"2016-04-21",88.67,88.67,85.75,85.92,1366257
"2016-04-28",86,86.26,84.4,84.69,478678
"2016-05-05",82.62,83.31,81.69,82.18,824300
"2016-05-12",83.82,84.08,82.49,82.78,410194
"2016-05-19",79.44,80.32,79.19,80.08,829687
"2016-05-26",81.46,81.86,80.68,81.35,452418
"2016-06-02",81.74,82.54,80.86,81.9,523817
"2016-06-09",82.7,82.92,80.86,81.73,588373
"2016-06-16",79.47,79.51,78.14,79.33,845933
"2016-06-23",80.44,80.75,79.89,80.75,420319
"2016-06-30",80.12,80.93,79.02,80.93,905471
"2016-07-07",81.97,82.92,81.56,82.44,889409
"2016-07-14",86.14,86.59,85.05,85.31,703495
"2016-07-21",80.97,81.89,80.24,81.45,780728
"2016-07-28",82.99,83.7,82.71,83.17,432913
"2016-08-04",81.66,82.21,81,81.3,548242
"2016-08-11",82,82.66,81.25,82.18,879068
"2016-08-18",82.54,82.89,82.11,82.38,514824
"2016-08-25",81.95,82.59,81.24,81.38,618535
"2016-09-01",79.57,80.64,79.57,80.63,714975
"2016-09-08",79.91,80.45,79.84,80.36,624244
"2016-09-15",80.46,82.02,80.01,81.54,688929
