"","INCY.Open","INCY.High","INCY.Low","INCY.Close","INCY.Volume"
"2013-01-17",18.93,19.21,18.52,19.21,1164622
"2013-01-24",18.42,19.11,18.04,18.25,2438234
"2013-01-31",17.86,18.49,17.79,18.38,1709135
"2013-02-07",18.29,18.36,17.44,18.02,1465973
"2013-02-14",19.29,21,18.33,20.56,4904125
"2013-02-21",21.11,21.27,20.7,20.98,4260201
"2013-02-28",21.64,22.29,21.6,22.23,1554780
"2013-03-07",22.89,23.15,22.58,23.03,1033181
"2013-03-14",24.14,25.29,24.11,24.95,3116166
"2013-03-21",22.86,23.15,22.6,22.79,1063133
"2013-03-28",22.61,23.44,22.59,23.41,903695
"2013-04-04",22.06,22.14,21.54,21.62,812495
"2013-04-11",22.01,22.67,21.97,22.47,1559573
"2013-04-18",21.34,21.34,20.69,21.14,813661
"2013-04-25",22.36,22.84,22,22.77,736004
"2013-05-02",21.8,22.1,20.9,21.47,2130112
"2013-05-09",22.41,22.67,22.06,22.37,661465
"2013-05-16",23.71,23.77,22.62,23.17,1327701
"2013-05-23",22.11,22.69,21.56,22.17,1270757
"2013-05-30",22.89,23.23,22.68,22.74,940962
"2013-06-06",20.58,21.55,20.58,21.49,1363326
"2013-06-13",20.83,21.94,20.44,21.6,1615148
"2013-06-20",20.09,20.17,19.42,19.53,1222971
"2013-06-27",21.15,21.98,21.15,21.4,853926
"2013-07-11",23.68,23.83,23.48,23.64,693335
"2013-07-18",22.58,23.08,22.48,22.71,1630299
"2013-07-25",22.96,23.63,22.51,23.38,907060
"2013-08-01",23.59,26.21,23.59,25.83,1979767
"2013-08-08",26.52,26.96,26.2,26.76,1436379
"2013-08-15",26.85,26.98,26.49,26.6,1397724
"2013-08-22",35.26,35.47,34.02,34.66,2656092
"2013-08-29",34.91,35.26,34.11,34.24,1570105
"2013-09-05",34.85,35.39,34.6,35.17,1505965
"2013-09-12",36.3,37.71,36.11,37.25,1359951
"2013-09-19",36.32,36.83,35.68,36.16,1244944
"2013-09-26",36.7,38.29,36.29,37.54,1149726
"2013-10-03",40.67,41.24,39.01,40.82,2970140
"2013-10-10",35.5,37.42,35.46,37.23,1306589
"2013-10-17",38.98,39.07,37.8,38.35,1575165
"2013-10-24",39.08,40.51,38.72,39.82,939418
"2013-10-31",38,40.1,36.82,39,2288033
"2013-11-07",35.4,38.29,35.2,36.97,3834115
"2013-11-14",44.48,45.43,43.21,45.01,2629824
"2013-11-21",47.08,48.41,46.92,47.94,1073440
"2013-12-05",46.01,46.8,45.28,46.55,1041702
"2013-12-12",47.42,49.34,47.41,48.5,1123969
"2013-12-19",49,50.44,48.55,50.11,1375464
"2013-12-26",50.84,51.68,49.89,50.68,636234
"2014-01-02",50.32,52.1,49.66,51.23,978188
"2014-01-09",55,56.26,54.29,56.17,1228253
"2014-01-16",62.18,63.93,61.89,63.48,1864721
"2014-01-23",64.97,66.19,63.89,65.6,1035002
"2014-01-30",66,67.45,65.7,66.45,1574776
"2014-02-06",62.63,64.35,62.27,62.58,1789637
"2014-02-13",66.5,68.17,65.34,66.14,4162170
"2014-02-20",61.44,64.09,61.18,63.92,2474153
"2014-02-27",66.96,68.27,65.78,65.91,1501952
"2014-03-06",67.21,68.9,65.44,65.61,2280367
"2014-03-13",65.29,65.81,61.6,62.43,1547202
"2014-03-20",64.43,65.83,63.36,63.8,1076921
"2014-03-27",51.8,53.7,49.71,51.94,2782300
"2014-04-03",54.33,54.81,51.01,51.42,3234918
"2014-04-10",52.2,52.32,46.56,47.13,2421888
"2014-04-17",43.95,46.15,42.94,44.54,3681855
"2014-04-24",48.04,48.14,45.27,47.3,1394028
"2014-05-01",47.32,51.24,46.11,50.05,2656228
"2014-05-08",51.58,53.15,50.1,50.38,1333613
"2014-05-15",50.45,54.35,50,50.95,5291697
"2014-05-22",46.81,48.99,46.57,48.03,1414011
"2014-05-29",49.11,49.8,48.95,49.5,1166968
"2014-06-05",52.97,53.31,52.19,52.98,1665026
"2014-06-12",53.83,54.5,53,53.2,1141868
"2014-06-19",56.22,56.42,54.72,55.91,985719
"2014-06-26",56.24,56.68,55.01,55.99,803791
"2014-07-03",56.07,56.47,55.33,55.62,629818
"2014-07-10",51.21,52.05,50.69,50.92,1098869
"2014-07-17",46.99,47.24,45.08,45.35,1637229
"2014-07-24",48.48,48.74,47.66,47.95,1156774
"2014-07-31",48.49,49.88,46.12,47.57,2592294
"2014-08-07",47.85,48.25,46.9,47.27,676711
"2014-08-14",49.85,51.76,49.53,51.08,962492
"2014-08-21",51.95,52.14,49.72,50.19,754991
"2014-08-28",54,55.54,53.65,53.94,570043
"2014-09-04",52.95,53.64,51.66,51.93,555095
"2014-09-11",50.6,50.98,49.38,50.15,961340
"2014-09-18",48.45,49.41,47.85,48.88,905446
"2014-09-25",49.04,49.88,48.13,48.66,885694
"2014-10-02",47.7,48.49,45.42,46.63,1789217
"2014-10-09",48,48.47,47.01,47.59,1570668
"2014-10-16",46.93,51.96,46.47,51.5,1359419
"2014-10-23",53.02,55.15,52.38,54.95,1037723
"2014-10-30",59.02,64.88,59.02,64.18,2509110
"2014-11-06",67.79,69.32,66.97,68.4,1536821
"2014-11-13",71.76,72.8,70.77,71.21,889207
"2014-11-20",70.46,72.28,69.74,71.61,900434
"2014-12-04",74.24,74.66,72.91,74.12,1076342
"2014-12-11",76.58,79.13,75.25,75.92,1204244
"2014-12-18",76.36,77.85,75.88,77.05,1173524
"2015-01-08",75,75.65,72.94,73.21,1098148
"2015-01-15",76.11,76.45,72.54,72.9,1395027
"2015-01-22",77.99,78.25,75.67,77.61,861712
"2015-01-29",81.7,81.7,79.56,81.34,842318
"2015-02-05",73.5,75.66,73.31,75.25,968012
"2015-02-12",76.62,78.67,73.51,75.66,1316303
"2015-02-19",78.95,80.9,78.61,80.15,880025
"2015-02-26",85.65,88.44,84.38,87.54,1359116
"2015-03-05",89.6,94.48,89.09,91.97,2811793
"2015-03-12",90,90.07,88.78,89.96,1208126
"2015-03-19",93.17,97.13,93.17,97.08,1509481
"2015-03-26",89.59,90.95,87.79,89.2,1353003
"2015-04-02",89.56,89.7,87.18,88.79,764691
"2015-04-09",91.5,92.38,90.5,92.28,501970
"2015-04-16",100.84,103.74,100.4,102.76,1752498
"2015-04-23",107.6,108.43,106.58,107.85,1108069
"2015-04-30",99.64,102.72,96.02,97.16,1916724
"2015-05-07",100.63,103.64,100.32,102.08,1202535
"2015-05-14",104.99,107.7,102.88,106.78,1199885
"2015-05-21",110.17,110.88,108.18,108.41,611970
"2015-05-28",107.92,108.69,106.11,108.14,639191
"2015-06-04",108.09,109.01,105.89,106.84,1183450
"2015-06-11",105.69,106.18,103.83,106.11,795528
"2015-06-18",105.68,110.99,105.4,108.9,880597
"2015-06-25",105.43,107.23,103.17,104.45,943246
"2015-07-02",104.4,105.71,103.64,105.58,907409
"2015-07-09",106.8,109.36,106.64,108.11,625696
"2015-07-16",117.06,118.86,116.3,117.69,820594
"2015-07-23",115.17,115.66,112.3,113.21,544232
"2015-07-30",102.96,103.92,99.65,102.96,1120978
"2015-08-06",111.95,113.62,104.2,104.35,1452085
"2015-08-13",107.69,109.94,104.24,107.91,924089
"2015-08-20",111.35,114.2,107.37,107.52,1361601
"2015-08-27",109.8,113.87,109.38,113.85,1498256
"2015-09-03",124.78,124.8,115.4,116.07,1525136
"2015-09-10",118.16,126.94,118.16,124.5,1786019
"2015-09-17",130.9,133,128.51,130.11,1383838
"2015-09-24",115.21,116.53,109.13,111.95,1542382
"2015-10-01",110.37,118.03,107.65,117.93,2930851
"2015-10-08",108.63,108.71,99.8,103.44,3118420
"2015-10-15",105.36,112.67,104.57,112.52,2206571
"2015-10-22",107.03,110.79,103.87,109.02,1381766
"2015-10-29",120.61,124.34,116.15,117.03,1489679
"2015-11-05",117.2,119.1,113.2,116.76,1502916
"2015-11-12",106.36,107.83,103.38,104.2,1068535
"2015-11-19",116.66,117.86,113.66,116.43,896120
"2015-12-03",113.15,113.44,105.5,106.83,1609358
"2015-12-10",107.96,110.92,107.02,110.2,823767
"2015-12-17",114.25,118.49,114.19,114.81,1221239
"2015-12-24",110.26,111.07,108.4,108.92,406648
"2015-12-31",108.24,109.92,108.24,108.45,872220
"2016-01-07",100.1,100.79,95.62,95.76,1798173
"2016-01-14",79.76,82.59,74.73,80.98,2452721
"2016-01-21",73.87,76.72,71,73.78,2186073
"2016-01-28",70.01,70.57,64.51,67.81,6975228
"2016-02-04",68.92,73,66.56,72.03,2962388
"2016-02-11",58.6,66.28,55,65.51,15389600
"2016-02-18",74.86,75.36,70.96,71.02,1588856
"2016-02-25",74,76.78,73.31,74.28,1559872
"2016-03-03",74,74,71.27,72.56,1659105
"2016-03-10",69.89,71.62,67.88,68.65,1588343
"2016-03-17",64.03,64.79,60.3,63.05,2625723
"2016-03-24",67.07,72.71,65.5,69.76,1886430
"2016-03-31",68.58,74.19,68.51,72.47,2160513
"2016-04-07",81.5,84.42,78.64,79.4,1487069
"2016-04-14",79.3,79.8,78.03,78.54,981489
"2016-04-21",78.06,79.03,76.02,77.56,1656423
"2016-04-28",73.21,74.55,71.32,72.34,1269840
"2016-05-05",68.97,71.01,68.03,70.41,1571445
"2016-05-12",70.8,71.34,68.31,70.54,1036045
"2016-05-19",76.99,78.95,74.92,76.04,927139
"2016-05-26",82.63,83.02,81.05,81.78,1382665
"2016-06-02",85.17,87.88,84.9,87.71,1188332
"2016-06-09",83.59,83.87,81.58,81.61,871367
"2016-06-16",78.78,80.26,78.37,80,770892
"2016-06-23",79.3,81.79,78.12,81.66,1098998
"2016-06-30",78.88,80.43,77.85,79.98,1063029
"2016-07-07",82.53,84.06,82.18,83.53,699360
"2016-07-14",83.31,83.8,81.27,82.14,735916
"2016-07-21",87.18,89.27,86.29,87.79,1398404
"2016-07-28",88.69,88.94,86.89,88.12,574745
"2016-08-04",91.47,92.04,89.75,90.12,826561
"2016-08-11",83.5,83.73,80.49,81.21,1712304
"2016-08-18",76.5,77.2,75.87,76.16,1246928
"2016-08-25",82.45,85.07,78.7,80.1,1639390
"2016-09-01",81.61,81.73,79.89,80.81,670199
"2016-09-08",82.2,82.57,81.19,81.56,807735
"2016-09-15",80.03,80.84,78.04,80.36,1098050
