"","ENB.Open","ENB.High","ENB.Low","ENB.Close","ENB.Volume"
"2013-11-21",42.04,42.17,41.8,41.91,600629
"2013-12-05",40.6,41,40.25,40.98,1763679
"2013-12-12",40.8,41.26,40.68,41.18,872357
"2013-12-19",41.93,42.63,41.64,42.5,699442
"2013-12-26",43.39,43.56,43.27,43.49,452473
"2014-01-02",43.57,43.76,43.14,43.27,627021
"2014-01-09",43.03,43.94,42.7,43.45,3321880
"2014-01-16",42.5,42.79,42.3,42.77,672064
"2014-01-23",42.4,42.64,42.29,42.52,869504
"2014-01-30",41.64,41.83,41.51,41.7,920314
"2014-02-06",41.36,41.82,41.08,41.81,610278
"2014-02-13",42.54,43.44,42.45,43.14,960921
"2014-02-20",42.56,42.97,42.46,42.93,1131054
"2014-02-27",42.37,42.37,42.02,42.21,847380
"2014-03-06",44.31,44.33,43.94,44.25,1090406
"2014-03-13",44.68,44.74,44.14,44.14,1162615
"2014-03-20",44.06,44.34,43.7,44.27,597809
"2014-03-27",44.84,45.34,44.74,45.14,566462
"2014-04-03",46.56,46.62,45.83,45.92,812930
"2014-04-10",46.72,46.98,46.59,46.73,842601
"2014-04-17",46.95,47.26,46.68,46.96,1060964
"2014-04-24",47.24,47.44,46.96,47.18,486569
"2014-05-01",48.26,48.96,48.25,48.62,828837
"2014-05-08",48.96,49.25,48.58,48.66,554300
"2014-05-15",47.78,48.05,47.59,47.68,794723
"2014-05-22",48.36,48.57,48.2,48.2,330164
"2014-05-29",47.92,47.93,46.95,47.25,1256397
"2014-06-05",47.34,47.45,46.93,47.21,626918
"2014-06-12",46.64,46.78,46.25,46.76,719137
"2014-06-19",46.88,47.18,46.55,46.94,2512290
"2014-06-26",47.32,47.38,46.85,47.22,706591
"2014-07-03",47.71,47.78,47.53,47.73,348145
"2014-07-10",47.33,47.71,47.22,47.64,876445
"2014-07-17",48.03,48.79,47.93,48.59,1108839
"2014-07-24",50.53,51.23,50.51,51.22,1041258
"2014-07-31",50.2,50.25,48.92,48.98,1519926
"2014-08-07",49.01,49.14,48.37,48.71,538162
"2014-08-14",49.21,49.39,48.96,49.15,438916
"2014-08-21",50.51,50.6,50.12,50.21,1284913
"2014-08-28",50.43,50.5,49.97,50.26,760047
"2014-09-04",50.86,50.93,50.3,50.52,783538
"2014-09-11",50.74,51.11,50.37,50.58,581076
"2014-09-18",49.52,50.44,49.12,50.42,1342369
"2014-09-25",49.04,49.04,47.76,47.77,1988848
"2014-10-02",47.51,47.51,45.5,46.9,2058796
"2014-10-09",46.36,46.4,45.37,45.6,1712023
"2014-10-16",43.32,45.67,43.06,45.13,1837496
"2014-10-23",45.75,46.84,45.75,46.55,1117147
"2014-10-30",47.23,47.75,47.1,47.28,883167
"2014-11-06",45.57,45.93,45.01,45.14,1076855
"2014-11-13",45.88,46.21,45.25,45.44,1086116
"2014-11-20",45.98,46.69,45.83,46.43,813665
"2014-12-04",54.87,57.19,52.36,52.8,7135127
"2014-12-11",47.71,49.16,47.71,48.01,1194223
"2014-12-18",48.69,49.39,47.39,48.33,962240
"2015-01-08",47.82,47.92,47.15,47.45,1522211
"2015-01-15",45.55,45.55,44.5,45.03,1396339
"2015-01-22",48.64,49.94,48.47,49.51,1168147
"2015-01-29",49.1,50.15,48.28,48.87,972231
"2015-02-05",50.54,50.96,50.46,50.76,1173081
"2015-02-12",49.24,50.06,49.15,49.59,731008
"2015-02-19",49.04,49.7,48.95,49.33,732049
"2015-02-26",47.23,47.23,45.93,46,1344915
"2015-03-05",46.31,46.7,46.21,46.49,1039516
"2015-03-12",45.93,46.4,45.5,46.33,906542
"2015-03-19",48.69,48.8,47.75,47.79,685898
"2015-03-26",50.08,50.45,48.85,48.99,624930
"2015-04-02",47.53,48.35,47.53,48.23,534075
"2015-04-09",49.37,50.24,49.35,49.99,678436
"2015-04-16",52.22,53.21,51.55,52.85,1111874
"2015-04-23",53.05,54.33,52.82,53.71,1156438
"2015-04-30",52.88,52.99,52.16,52.33,1352290
"2015-05-07",50.47,50.5,49.55,50.47,796224
"2015-05-14",51.21,51.43,50.28,50.4,633809
"2015-05-21",50.23,51.31,50.13,51.12,650621
"2015-05-28",48.12,48.61,48.05,48.6,733609
"2015-06-04",48.1,48.23,47.16,47.33,1008662
"2015-06-11",46.29,46.39,45.96,46.03,473261
"2015-06-18",45.51,45.73,45.18,45.46,712181
"2015-06-25",48.77,49.08,48.42,48.53,1098750
"2015-07-02",46.31,47.08,45.58,46.9,885664
"2015-07-09",46.22,46.39,45.07,45.18,944510
"2015-07-16",45.48,46.01,45.06,45.81,481288
"2015-07-23",42.9,42.97,42.19,42.42,1047823
"2015-07-30",42.81,43.31,42.65,43.25,716404
"2015-08-06",43.16,43.38,42.61,43.15,1565999
"2015-08-13",42.41,42.6,41.78,42.07,744951
"2015-08-20",40.64,40.81,39.84,39.86,1862012
"2015-08-27",39.02,40.45,38.66,40.12,1963005
"2015-09-03",39.84,41.07,39.74,40.81,1458580
"2015-09-10",40.42,40.84,40.15,40.24,842279
"2015-09-17",39.3,39.6,38.83,39.04,1417648
"2015-09-24",38.29,38.5,37.93,38.29,1372241
"2015-10-01",37.54,38.24,36.91,37.37,1411716
"2015-10-08",42.78,43.17,41.96,42.91,1307553
"2015-10-15",43.11,44.15,42.96,43.86,1195573
"2015-10-22",43.72,43.98,43.3,43.67,1882989
"2015-10-29",43,43.49,42.67,43.35,876582
"2015-11-05",41.15,41.39,40.08,40.16,1596125
"2015-11-12",36.88,37.08,36.53,36.66,2268809
"2015-11-19",37.71,37.9,37.22,37.3,1305273
"2015-12-03",35.61,35.85,34.24,34.36,1327225
"2015-12-10",31.69,32.42,31.42,31.91,1649226
"2015-12-17",31.99,32.06,31.36,31.46,4800390
"2015-12-24",33.7,33.92,33.42,33.52,760933
"2015-12-31",32.61,33.25,32.48,33.19,1490874
"2016-01-07",31.06,31.81,30.76,31,1478571
"2016-01-14",30.12,31.28,29.97,31.17,2647139
"2016-01-21",28.73,31.35,28.56,31.26,3914704
"2016-01-28",33.42,33.79,32.44,33.05,1425668
"2016-02-04",34.7,35.48,34.46,34.67,1251101
"2016-02-11",30.68,31.43,30.2,30.83,1889397
"2016-02-18",33.72,33.72,31.8,32.09,2371894
"2016-02-25",30.82,33.71,29.89,33.69,9777122
"2016-03-03",34.8,35.54,34.49,35.33,1622231
"2016-03-10",38.13,38.43,37.47,38.1,1638971
"2016-03-17",38.9,39.4,38.78,39.05,1220423
"2016-03-24",36.72,37.76,36.55,37.46,931876
"2016-03-31",38.68,39.3,38.68,38.91,798780
"2016-04-07",37.5,37.88,37.3,37.69,617452
"2016-04-14",40.72,40.74,40.16,40.57,567368
"2016-04-21",42.12,42.5,41.95,42.17,654957
"2016-04-28",41.74,42.56,41.52,41.9,628309
"2016-05-05",40.2,40.22,39.01,39.1,1318826
"2016-05-12",40.68,40.84,39.95,40.24,1063162
"2016-05-19",39.45,39.77,38.94,39.74,815802
"2016-05-26",41.41,41.43,40.51,40.63,634520
"2016-06-02",39.82,40.57,39.81,40.44,648775
"2016-06-09",42.02,42.56,42.02,42.43,444032
"2016-06-16",40.64,40.8,40.14,40.63,1330945
"2016-06-23",42.91,43.08,42.78,43.04,1120406
"2016-06-30",42.12,42.45,41.69,42.36,1016821
"2016-07-07",42.71,42.78,41.16,41.39,1348778
"2016-07-14",42.48,42.68,41.77,41.79,1316123
"2016-07-21",40.99,41.01,40.39,40.69,1347304
"2016-07-28",38.78,39.23,38.66,39.09,1272902
"2016-08-04",40.58,41.41,40.56,41.29,762952
"2016-08-11",41.69,41.98,41.33,41.93,595994
"2016-08-18",41.68,42.42,41.62,42.32,570974
"2016-08-25",40.71,40.71,39.93,40.02,954939
"2016-09-01",39.24,39.68,39.2,39.57,1341193
"2016-09-08",44.16,45.77,44.07,45.73,10533796
"2016-09-15",43.67,44.16,43.52,43.92,2621017
