"","RMD.Open","RMD.High","RMD.Low","RMD.Close","RMD.Volume"
"2014-07-03",50.04,50.25,49.76,50.08,1237478
"2014-07-10",48.88,49.84,48.88,49.59,847539
"2014-07-17",48.86,49.16,48.57,48.65,857124
"2014-07-24",50.17,50.6,50.05,50.28,419432
"2014-07-31",51.4,51.83,50.84,51.74,1287225
"2014-08-07",49.83,50.35,49.68,49.97,963478
"2014-08-14",51.27,51.61,51.14,51.54,960547
"2014-08-21",52.02,52.02,51.46,51.75,566120
"2014-08-28",52.66,53.14,52.65,52.93,908802
"2014-09-04",53.5,53.66,53.24,53.35,779049
"2014-09-11",52.52,52.97,52.52,52.79,821626
"2014-09-18",51.58,51.78,51.38,51.58,561382
"2014-09-25",49.95,50,49.32,49.83,716919
"2014-10-02",49.37,49.87,49.13,49.84,1049735
"2014-10-09",50.64,50.75,47.9,48.94,3955419
"2014-10-16",45.83,46.6,45.74,46.25,1609829
"2014-10-23",47.6,48.1,47.46,47.7,1160488
"2014-10-30",51.58,52.14,51.38,52.11,759305
"2014-11-06",51.44,51.65,51.14,51.57,410655
"2014-11-13",52.07,52.49,51.95,51.99,588157
"2014-11-20",51.79,52.54,51.71,52.5,563165
"2014-12-04",53.85,54.25,53.66,54.25,475473
"2014-12-11",53.54,53.78,53.18,53.59,698038
"2014-12-18",55.12,56.42,55.03,55.92,1339010
"2015-01-08",57.25,58.14,57.1,57.99,1061074
"2015-01-15",60.41,60.59,60.15,60.27,1217093
"2015-01-22",59.99,61.95,59.64,61.86,2015318
"2015-01-29",63.25,63.38,62.29,63.03,1139471
"2015-02-05",63.32,64.09,63.01,63.9,838405
"2015-02-12",65.5,65.69,64.85,65.46,676284
"2015-02-19",65.62,65.62,65.11,65.16,557880
"2015-02-26",64.99,64.99,64.19,64.24,676567
"2015-03-05",65.11,66,65.11,65.71,751737
"2015-03-12",68.14,68.82,68.08,68.7,548648
"2015-03-19",72.33,72.8,71.36,71.69,1170085
"2015-03-26",70.03,70.55,69.69,70.25,552908
"2015-04-02",71.68,72.69,71.4,72.52,669140
"2015-04-09",72.95,73.92,72.74,73.84,559100
"2015-04-16",73.12,73.15,72.17,72.25,746682
"2015-04-23",72.52,74.14,72.3,73.38,1203814
"2015-04-30",63.98,64.53,63.68,63.94,882836
"2015-05-07",64.99,65.35,64.83,65.17,505666
"2015-05-14",55.56,56.84,55.56,56.46,2820205
"2015-05-21",57.24,57.46,56.76,57.32,732486
"2015-05-28",57.99,58.74,57.99,58.65,572943
"2015-06-04",59.22,59.7,58.78,59.59,766809
"2015-06-11",59.06,59.4,58.89,59.1,902147
"2015-06-18",56.85,57.39,56.62,57.2,856857
"2015-06-25",56.53,57,56,56.19,830874
"2015-07-02",55.53,55.54,54.81,55.31,843412
"2015-07-09",56.25,57.05,55.93,56.77,748964
"2015-07-16",57.78,57.9,57.48,57.79,489174
"2015-07-23",56.61,56.61,56.18,56.27,956045
"2015-07-30",55,56.26,55,56.12,1077472
"2015-08-06",55.86,56.31,54.35,54.83,884048
"2015-08-13",54.76,55.64,54.67,55.3,371788
"2015-08-20",53.96,54.62,53.49,53.93,839109
"2015-08-27",52.1,52.21,51.04,51.65,1021587
"2015-09-03",52,52.43,51.58,51.63,450399
"2015-09-10",50.07,51.04,49.91,50.72,812411
"2015-09-17",50.76,51.9,50.71,51.25,595307
"2015-09-24",49.64,51.8,49.64,51.72,1170281
"2015-10-01",50.96,51.32,50.48,51.25,1018939
"2015-10-08",53.59,53.98,53.37,53.91,607478
"2015-10-15",55.35,56.35,55.28,56.33,606851
"2015-10-22",56.06,56.14,55.3,55.5,1172944
"2015-10-29",57.14,57.51,56.96,57.31,601976
"2015-11-05",58.36,58.57,57.84,58.48,373287
"2015-11-12",57.84,57.91,57.25,57.36,832743
"2015-11-19",58.13,58.34,57.77,58.24,453348
"2015-12-03",59.53,59.92,58.1,58.32,969522
"2015-12-10",55.38,56,55.22,55.68,1224344
"2015-12-17",55.73,56,55.15,55.19,3083393
"2015-12-24",54.08,54.19,53.89,53.92,257375
"2015-12-31",54.2,54.49,53.68,53.69,543082
"2016-01-07",50.81,52.02,50.77,51.86,1364869
"2016-01-14",53.23,54.27,52.8,54.17,1198334
"2016-01-21",53.88,55.14,53.28,54.04,1864954
"2016-01-28",57.95,58.02,55.98,56.25,1485473
"2016-02-04",57.28,58,56.92,57.82,1762889
"2016-02-11",56.73,57.57,56.17,57.12,1449045
"2016-02-18",59.41,59.87,59.08,59.2,780333
"2016-02-25",58,58,57.21,57.4,1066521
"2016-03-03",57.51,58.03,56.99,57.43,948301
"2016-03-10",58.13,59.05,57.92,58.8,1782598
"2016-03-17",57.08,57.38,55.76,56,1512160
"2016-03-24",55.78,56.07,55.13,55.47,795793
"2016-03-31",56.84,58.21,56.84,57.82,1139737
"2016-04-07",59.11,59.58,58.63,59,1123801
"2016-04-14",60.1,60.4,59.41,59.46,717188
"2016-04-21",59.48,60.52,59.48,60.44,1218696
"2016-04-28",57.16,57.34,55.96,56.5,2620471
"2016-05-05",56.29,56.64,56.09,56.41,737921
"2016-05-12",57.61,58.07,57.33,57.81,745876
"2016-05-19",56.71,57.07,56.28,56.84,551918
"2016-05-26",57.72,58.38,57.61,58.22,554096
"2016-06-02",59.17,59.56,59.12,59.55,455566
"2016-06-09",59.87,60.55,59.87,60.5,520557
"2016-06-16",58.78,58.92,58.18,58.74,397693
"2016-06-23",62.75,64.12,62.73,64.08,1110228
"2016-06-30",61.78,63.25,61.53,63.23,1013166
"2016-07-07",63.59,63.93,63.28,63.35,704876
"2016-07-14",65,65.14,64.71,65.1,654884
"2016-07-21",65.91,66.37,65.63,65.89,414100
"2016-07-28",65.19,65.82,64.96,65.7,1084202
"2016-08-04",68.6,69.45,68.28,69.1,597430
"2016-08-11",70.48,70.8,70.22,70.51,619420
"2016-08-18",68.59,69.59,68.57,69.57,661679
"2016-08-25",68.16,68.87,68.02,68.44,885265
"2016-09-01",67.06,67.5,66.81,67.12,1224305
"2016-09-08",67.53,67.68,67.05,67.06,633350
"2016-09-15",64.84,65.49,64.72,64.96,1070496
