"","DHI.Open","DHI.High","DHI.Low","DHI.Close","DHI.Volume"
"2013-01-24",21.85,22.15,21.53,21.72,6766114
"2013-01-31",23.03,23.67,22.86,23.66,9198577
"2013-02-07",23.45,23.52,22.87,23.17,4585379
"2013-02-14",23.78,23.98,23.72,23.78,3426160
"2013-02-21",22,22.42,21.53,22.17,8511594
"2013-02-28",22.67,22.96,22.29,22.3,4503225
"2013-03-07",23.7,23.87,23.36,23.82,5059669
"2013-03-14",24.2,24.58,24.16,24.53,4225842
"2013-03-21",25.34,25.34,24.45,24.88,9355324
"2013-03-28",24.39,24.5,24.02,24.3,4062927
"2013-04-04",22.89,23.04,22.6,22.88,4511329
"2013-04-11",23.03,23.59,23.03,23.33,3252258
"2013-04-18",22.1,22.14,21.24,21.48,5308924
"2013-04-25",24.21,24.79,24.01,24.53,7239551
"2013-05-02",25.83,26.53,25.64,26.42,6286910
"2013-05-09",26.86,27.31,26.78,26.82,5127040
"2013-05-16",27.28,27.56,26.5,26.8,5263774
"2013-05-23",25.7,26.43,25.46,26.01,8166767
"2013-05-30",24.63,25.05,24.32,24.74,5493196
"2013-06-06",22.53,23.41,22.13,23.27,10560059
"2013-06-13",22.45,23.73,22.45,23.66,7235894
"2013-06-20",23.09,23.09,21.06,21.31,17925267
"2013-06-27",21.08,21.77,20.83,21.71,9363196
"2013-07-11",21.92,23.01,21.92,22.98,11785174
"2013-07-18",22.28,22.38,21.66,21.67,4976999
"2013-07-25",20.35,20.39,19.13,19.38,22967666
"2013-08-01",20.36,20.76,19.93,20.11,7393494
"2013-08-08",19.18,19.22,18.86,18.91,5454334
"2013-08-15",17.82,19.36,17.59,19.12,16225504
"2013-08-22",18.97,19.44,18.86,19.28,3760664
"2013-08-29",17.81,18.53,17.73,18.4,8412892
"2013-09-05",17.82,17.86,17.52,17.77,5902609
"2013-09-12",19.48,20.07,19.3,19.36,6758925
"2013-09-19",21.45,21.6,20.79,21.01,8474964
"2013-09-26",20.16,20.26,19.83,19.99,4249999
"2013-10-03",19.49,19.69,18.98,19.07,8795255
"2013-10-10",18.25,18.61,18.09,18.29,6603490
"2013-10-17",17.99,19.25,17.97,19.14,12642686
"2013-10-24",19.57,20.23,19.57,19.87,6940133
"2013-10-31",19.53,19.53,18.94,18.95,6530074
"2013-11-07",18.92,19.24,18.44,18.55,8053581
"2013-11-14",19.08,19.9,18.91,19.59,10835879
"2013-11-21",19.13,19.51,18.7,19.44,8783104
"2013-12-05",18.94,19.1,18.72,18.79,6757126
"2013-12-12",18.93,19.18,18.83,18.99,5193468
"2013-12-19",19.93,20.25,19.93,20.16,7487836
"2013-12-26",21.33,21.73,21.32,21.37,5170139
"2014-01-02",21.81,22.04,21.64,21.83,6140313
"2014-01-09",21.86,22,21.58,21.75,4988366
"2014-01-16",21.53,21.97,21.23,21.92,5325092
"2014-01-23",21.79,22.04,21.7,21.96,5503516
"2014-01-30",23.31,23.59,22.64,22.88,7753453
"2014-02-06",22.94,23.88,22.93,23.57,12390092
"2014-02-13",23.13,23.34,22.85,23.24,5623618
"2014-02-20",23.15,23.46,22.95,23.33,5310785
"2014-02-27",24.82,25.02,24.64,24.87,6749886
"2014-03-06",24,24.12,23.69,23.86,4005214
"2014-03-13",22.78,22.83,21.92,22.16,5725749
"2014-03-20",22.48,22.61,21.72,21.87,7860075
"2014-03-27",21.13,21.58,20.95,21.24,6320866
"2014-04-03",22.26,22.48,21.93,22.43,4122252
"2014-04-10",21.92,22.35,21.77,21.79,5891732
"2014-04-17",21.85,21.86,21.35,21.5,4370893
"2014-04-24",22.42,23.35,22.25,23.13,15567068
"2014-05-01",22.35,23.12,22.24,22.83,5922559
"2014-05-08",22.45,22.76,22.09,22.23,4900106
"2014-05-15",22.07,22.36,21.47,22.25,7068910
"2014-05-22",22.17,22.8,22.09,22.65,6300168
"2014-05-29",23.68,24.05,23.45,23.88,6980283
"2014-06-05",23.68,24.19,23.58,24,4100471
"2014-06-12",23.91,24.04,23.45,23.52,4782907
"2014-06-19",23.48,23.8,23.36,23.42,3364308
"2014-06-26",24.04,24.13,23.63,23.88,3941372
"2014-07-03",24.74,24.95,24.64,24.82,2463592
"2014-07-10",24.02,24.59,23.96,24.42,4416133
"2014-07-17",24.22,24.24,23.64,23.71,5829167
"2014-07-24",24.04,24.31,21.87,21.94,26162205
"2014-07-31",20.62,20.82,20.47,20.7,7645262
"2014-08-07",20.25,20.32,19.99,20.11,4973024
"2014-08-14",20.45,20.89,20.43,20.87,5519539
"2014-08-21",21.87,22.04,21.65,21.8,3013481
"2014-08-28",21.55,21.7,21.37,21.66,2912209
"2014-09-04",21.34,21.5,21.23,21.36,7276882
"2014-09-11",21.84,22,21.75,21.95,4914138
"2014-09-18",22.36,22.36,21.97,22.16,3263956
"2014-09-25",21.09,21.17,20.68,20.81,6023552
"2014-10-02",20.34,20.54,20.08,20.5,5267322
"2014-10-09",20.98,21.18,20.61,20.64,4822139
"2014-10-16",20.3,21.07,20.24,20.31,10198879
"2014-10-23",22.82,23.26,22.28,22.94,5707858
"2014-10-30",22.84,22.91,22.43,22.81,4175888
"2014-11-06",22.51,22.97,22.43,22.94,4814749
"2014-11-13",24,24.4,24,24.29,5674169
"2014-11-20",24.75,25.59,24.64,25.3,9452128
"2014-12-04",25.1,25.13,24.54,24.57,7956030
"2014-12-11",24.15,24.68,23.76,24.36,7415477
"2014-12-18",24.48,24.6,24.12,24.47,4066778
"2015-01-08",25.59,26.21,25.55,25.93,8526861
"2015-01-15",25.01,25.29,23.11,23.18,14786621
"2015-01-22",23.52,23.81,23.22,23.69,5639513
"2015-01-29",23.98,24.92,23.95,24.84,7416537
"2015-02-05",25.86,26.08,25.32,25.78,7541843
"2015-02-12",26.94,27.36,26.77,27.34,3431517
"2015-02-19",27.15,27.6,27.05,27.33,3400898
"2015-02-26",27.34,27.42,27.01,27.22,4209168
"2015-03-05",26.97,27.1,26.83,27.02,2296286
"2015-03-12",26.14,26.63,26.07,26.6,2739120
"2015-03-19",27.32,27.61,26.59,26.95,4559433
"2015-03-26",26.77,26.99,26.58,26.69,3155152
"2015-04-02",28.34,29.08,28.27,29.01,5075998
"2015-04-09",28.43,28.69,27.87,28.48,3612715
"2015-04-16",28.89,28.89,28.27,28.46,5499628
"2015-04-23",26.92,26.92,25.93,26.15,15602049
"2015-04-30",25.77,25.92,25.34,25.4,6600451
"2015-05-07",25.2,25.81,25.19,25.72,3945170
"2015-05-14",25.48,25.87,25.32,25.79,3837837
"2015-05-21",26.87,27.03,26.63,26.9,6156961
"2015-05-28",26.26,26.77,26.18,26.35,4233777
"2015-06-04",26.23,26.64,26.1,26.21,4410373
"2015-06-11",26.42,26.84,26.39,26.42,2935602
"2015-06-18",26.66,26.98,26.63,26.82,3261721
"2015-06-25",28.08,28.32,27.81,27.86,3152360
"2015-07-02",27.66,27.94,27.3,27.59,3395942
"2015-07-09",27.9,28.06,27.66,27.67,3309536
"2015-07-16",27.76,27.76,27.24,27.54,5337319
"2015-07-23",27.95,28,27.15,27.43,3621866
"2015-07-30",28.49,29.49,28.36,29.47,8909049
"2015-08-06",28.83,28.88,28.43,28.62,4305226
"2015-08-13",30,30.85,29.9,30.68,6681250
"2015-08-20",31.96,32.29,31.64,31.66,5505977
"2015-08-27",29.97,30.45,29.42,30.32,7772612
"2015-09-03",31.14,31.42,30.82,31.28,5329197
"2015-09-10",30.64,30.83,29.82,30.78,5858446
"2015-09-17",31.68,33.06,31.52,32.15,8366584
"2015-09-24",29.81,30.54,29.43,30.48,5498583
"2015-10-01",29.43,29.71,28.96,29.58,4554369
"2015-10-08",30.58,30.78,30.22,30.65,5235522
"2015-10-15",29.38,29.95,28.93,29.92,6918048
"2015-10-22",31.25,31.41,30.1,30.95,7102089
"2015-10-29",30.13,30.28,28.68,29.18,10309438
"2015-11-05",29.87,29.91,28.92,29.4,6493121
"2015-11-12",31.75,31.88,30.71,30.99,5860238
"2015-11-19",31.87,32.17,31.79,32.06,3988109
"2015-12-03",32.42,32.55,31.46,31.66,4879326
"2015-12-10",32.05,32.64,31.92,32.35,3262225
"2015-12-17",32.38,32.61,31.51,31.52,2819561
"2015-12-24",32.11,32.44,32.03,32.16,1033544
"2015-12-31",32.32,32.47,32.02,32.03,1752243
"2016-01-07",28.89,29.4,28.44,28.53,6552075
"2016-01-14",27.26,27.41,26.57,26.92,10452639
"2016-01-21",26.55,27.33,26.25,26.65,6413992
"2016-01-28",27.09,27.43,26.43,26.78,6153179
"2016-02-04",25.58,26.21,25.42,25.67,5842857
"2016-02-11",23.98,24.19,23.01,23.23,5842127
"2016-02-18",24.76,24.88,24.26,24.58,4612073
"2016-02-25",26.5,27.33,26.46,27.22,5165546
"2016-03-03",28.08,28.67,28.02,28.63,4559609
"2016-03-10",28.23,28.61,27.58,28.11,4062879
"2016-03-17",29.78,30.27,29.61,30.12,3396029
"2016-03-24",29.43,29.48,29.08,29.4,3423364
"2016-03-31",30.1,30.39,29.96,30.23,4003763
"2016-04-07",30.21,30.58,30.07,30.25,2857020
"2016-04-14",31.56,31.73,31.24,31.4,3619846
"2016-04-21",31.63,32.51,31.57,31.78,5677538
"2016-04-28",31.24,31.32,30.26,30.36,4319650
"2016-05-05",29.81,29.88,29.43,29.61,3025098
"2016-05-12",29.23,29.4,28.86,29.15,4002222
"2016-05-19",29.12,29.31,28.82,29.24,2987141
"2016-05-26",30.57,30.79,30.38,30.59,2458972
"2016-06-02",30.76,31.06,30.5,31.06,3806997
"2016-06-09",31.81,31.94,31.62,31.73,2233029
"2016-06-16",30.46,30.66,30.17,30.54,3102596
"2016-06-23",31.18,31.29,30.86,31.29,1715343
"2016-06-30",31.05,31.52,30.75,31.48,3494284
"2016-07-07",32.9,33.24,32.6,32.83,5287311
"2016-07-14",34.15,34.28,33.9,34,3394310
"2016-07-21",34.24,34.56,33.85,34.29,7150579
"2016-07-28",33.75,33.98,33.63,33.74,3033502
"2016-08-04",32.27,32.4,31.71,32.07,3649870
"2016-08-11",32.29,32.62,32.12,32.35,2530822
"2016-08-18",32.08,32.23,31.75,32.05,3212745
"2016-08-25",32.57,32.89,32.5,32.63,1851387
"2016-09-01",32.11,32.22,31.47,31.56,3592069
"2016-09-08",31.97,31.97,31.52,31.54,2895031
"2016-09-15",30.11,30.57,29.95,30.47,4008110
