"","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume"
"2014-06-19",150.45,151.45,146.46,147.42,299815
"2014-06-26",146.71,146.83,145.21,145.98,188016
"2014-07-03",145.97,146.93,145.68,146.43,298214
"2014-07-10",144.18,144.86,143.72,143.98,252831
"2014-07-17",143.35,144,142.32,142.5,803046
"2014-07-24",143.31,143.65,142.71,142.96,286845
"2014-07-31",146.14,146.69,144,144.07,630493
"2014-08-07",144.29,145.83,143.95,144.4,484122
"2014-08-14",147.48,148.16,147.16,148.12,176012
"2014-08-21",150.76,151.06,150,150.73,187473
"2014-08-28",150.63,150.63,149.81,150.38,161264
"2014-09-04",149.62,150.15,148.31,148.83,347613
"2014-09-11",147.42,147.87,147.02,147.66,343879
"2014-09-18",149.98,150.45,149.52,150.23,243094
"2014-09-25",147.3,147.3,145.55,145.56,294371
"2014-10-02",145.46,145.83,143.52,144.83,442246
"2014-10-09",147,147,143.25,143.25,325180
"2014-10-16",138.87,141.75,137.55,141.11,530882
"2014-10-23",148.66,150.9,148.66,150.53,462416
"2014-10-30",153.68,155.34,153.45,154.83,434938
"2014-11-06",157,158.31,156.44,158.23,511378
"2014-11-13",156.76,158.2,156.37,156.74,283367
"2014-11-20",156.31,157.6,155.22,157.21,208161
"2014-12-04",159.26,160.09,158.07,158.79,190765
"2014-12-11",153.44,155.13,152.71,153.03,224958
"2014-12-18",154.23,157.64,153.67,157.59,493235
"2015-01-08",152.01,153.14,150.96,152.21,626559
"2015-01-15",147.73,148.48,145.38,145.88,732609
"2015-01-22",149.01,150.47,147.09,150.23,429752
"2015-01-29",154.19,156.71,154.04,156.43,598825
"2015-02-05",158.12,162.53,157.88,162.11,670087
"2015-02-12",163.84,165.13,163.52,165.07,394894
"2015-02-19",167.11,168.03,166.96,167.4,292016
"2015-02-26",168.4,169.33,167.71,168.57,304916
"2015-03-05",166.9,168.8,166.29,168.61,332751
"2015-03-12",166,168.84,165.82,168.6,300666
"2015-03-19",170.43,170.43,168.16,169.17,302485
"2015-03-26",170.47,170.91,169.81,170.48,389291
"2015-04-02",169.85,172.65,169.35,171.38,405333
"2015-04-09",169.69,170.69,168.82,170.49,562329
"2015-04-16",170.62,171.44,169.21,170.65,276374
"2015-04-23",168.29,170.82,167.44,170.05,554344
"2015-04-30",170.41,170.65,167.88,168.17,676804
"2015-05-07",167.59,169.16,166.77,168.88,379623
"2015-05-14",175.32,176.62,174.6,176.35,443486
"2015-05-21",177.01,177.64,176.02,177.2,278895
"2015-05-28",177.5,177.64,176.01,177.18,225655
"2015-06-04",175.83,175.83,174.02,174.33,260638
"2015-06-11",177.22,178.33,176.93,177.71,265588
"2015-06-18",174.83,177.39,174.61,177.01,376439
"2015-06-25",175.95,176.59,174.91,175.09,226253
"2015-07-02",174.71,174.89,173.6,174.59,462947
"2015-07-09",173.47,174.37,171.3,171.56,341666
"2015-07-16",177.25,177.97,176.47,177.08,178573
"2015-07-23",174.78,176.16,173.63,173.81,384952
"2015-07-30",165.99,167.63,165.39,167.07,271388
"2015-08-06",167.39,168.28,166.27,166.95,343983
"2015-08-13",168.24,169.8,167.4,169.06,217005
"2015-08-20",167.9,169.22,165.68,165.71,352330
"2015-08-27",159.14,163.9,158.44,163.25,632180
"2015-09-03",159.07,162.53,158.21,158.74,506829
"2015-09-10",157.77,160.14,157.77,159.04,368440
"2015-09-17",162.06,163.98,161.03,161.47,452221
"2015-09-24",151.8,154.97,150.91,153.91,648603
"2015-10-01",157.59,157.86,156.25,157.75,586645
"2015-10-08",167.9,174.34,166.03,173.97,710334
"2015-10-15",174.72,174.9,172.3,174.64,349540
"2015-10-22",173.86,176.88,172.99,175.5,1001925
"2015-10-29",183.4,184.57,183.1,184.24,258038
"2015-11-05",187.44,188.82,186.28,187.91,414604
"2015-11-12",185.78,187.62,184.25,184.33,263093
"2015-11-19",190.79,191.81,188.74,189.44,445628
"2015-12-03",188.38,189.26,185.82,187.62,592200
"2015-12-10",185.11,187.64,184.38,186.52,286450
"2015-12-17",186.46,188.32,183.4,184.6,649221
"2015-12-24",189.54,190.35,189.14,189.84,117615
"2015-12-31",190.07,191.16,189.5,189.79,248284
"2016-01-07",179.83,181.26,177.48,177.89,444893
"2016-01-14",170.95,172.36,168.8,170.84,834101
"2016-01-21",167.69,168.88,165.22,166.4,584646
"2016-01-28",170.09,171.24,168.14,169.72,415366
"2016-02-04",162.04,168.1,160.49,166.97,721042
"2016-02-11",157.6,161.11,157.18,159.97,467272
"2016-02-18",169.6,172.36,168.88,170.5,631085
"2016-02-25",171.22,172.2,169.25,171,507768
"2016-03-03",171.21,172.47,170.63,172.38,346442
"2016-03-10",170.58,171.51,168.79,170.46,358422
"2016-03-17",177.69,180.69,177.52,179.78,542753
"2016-03-24",179.05,180.67,178.86,180.53,363128
"2016-03-31",181.84,183.69,181.14,182.77,354326
"2016-04-07",178,178.86,176.01,176.56,554896
"2016-04-14",178.78,178.91,176.73,176.9,425554
"2016-04-21",178.44,179.75,177.48,178.72,399790
"2016-04-28",177.97,179.5,176.35,176.8,510636
"2016-05-05",174.53,175.86,173.78,174.37,400598
"2016-05-12",176.23,177.48,174.81,177.15,424926
"2016-05-19",179.61,180.52,178.24,179.99,616405
"2016-05-26",173.9,174.37,170.22,171.71,793633
"2016-06-02",170.88,171.99,170.25,171.65,469025
"2016-06-09",173.24,175,172.73,174.25,325695
"2016-06-16",167.93,169.02,165.93,168.62,324920
"2016-06-23",171.58,172.97,171.22,172.91,270322
"2016-06-30",167.41,170.61,167.33,170.56,494290
"2016-07-07",167.25,168.07,166.1,167.27,383290
"2016-07-14",171.39,172.7,171.12,172.02,516081
"2016-07-21",173.54,174.02,171.56,171.85,336511
"2016-07-28",167.16,169.43,166.98,169.12,822472
"2016-08-04",169.77,170.22,169.13,169.57,460251
"2016-08-11",171.86,174.6,171.86,174.45,458413
"2016-08-18",172.72,173.22,172.07,173.22,301999
"2016-08-25",175.97,176.88,175.78,176.83,222642
"2016-09-01",177.12,180.87,176.93,180.71,561088
"2016-09-08",179.64,181.51,178.9,180.21,539783
"2016-09-15",175.81,178.5,175.48,178.19,378529
