"","CVX.Open","CVX.High","CVX.Low","CVX.Close","CVX.Volume"
"2015-11-09",93.48,94.45,92.1,92.32,7618513
"2015-11-10",92.1,93.5,91.84,93.23,6794321
"2015-11-11",93.39,93.71,91.86,92.19,6012065
"2015-11-12",90.75,91.15,89.25,89.86,8902468
"2015-11-13",89.57,89.97,88.19,88.68,7630120
"2015-11-16",87.79,91.47,87.79,91.45,9948993
"2015-11-17",91.27,92.5,90.7,91.03,7558487
"2015-11-18",91.44,92.75,91.03,92.21,6916603
"2015-11-19",92.03,92.37,90.43,90.83,6096269
"2015-11-20",90.64,91.31,88.81,89.01,8487104
"2015-11-23",88.65,90.44,88.11,90.01,6886801
"2015-11-24",90.19,92.3,89.8,91.35,8546149
"2015-11-25",90.71,91.32,90.16,90.87,5419252
"2015-11-27",90.25,90.84,90.05,90.37,2547796
"2015-11-30",90.64,91.96,90.44,91.32,11305223
"2015-12-01",90.97,92.65,90.97,92.48,6973282
"2015-12-02",92.6,92.69,90.03,90.25,11759483
"2015-12-03",90.81,91.42,88.36,88.85,10996782
"2015-12-04",87.9,89.82,86.49,89.71,13170192
"2015-12-07",87.48,87.94,84.9,87.28,15378937
"2015-12-08",85.81,88,84.25,86.44,13397477
"2015-12-09",86.67,90.14,86.3,87.6,14675834
"2015-12-10",88,90.46,87.61,89.3,14534835
"2015-12-11",87.85,87.91,86.09,86.44,13186853
"2015-12-14",86.3,89.59,85.41,89.33,12281736
"2015-12-15",90.58,93.4,90.55,92.76,19158528
"2015-12-16",92.58,93.82,90.81,93.44,16917859
"2015-12-17",93.5,94,90.4,90.54,14082454
"2015-12-18",90.06,91.27,89.3,89.81,20167178
"2015-12-21",90.4,90.7,88.21,89.24,12852265
"2015-12-22",89.12,90.79,88.3,90.27,9661724
"2015-12-23",92.2,93.85,91.57,93.81,11172797
"2015-12-24",93.95,93.95,92.01,92.05,4998746
"2015-12-28",90.31,90.72,89.69,90.36,6799990
"2015-12-29",91.89,92.58,91.07,91.25,6471219
"2015-12-30",90.1,90.98,89.89,90.09,5600215
"2015-12-31",89.38,90.86,89.02,89.96,6988718
"2016-01-04",89.53,90.11,87.57,88.85,11337692
"2016-01-05",89.05,89.65,87.84,89.61,7883427
"2016-01-06",87.44,87.78,85.16,86.07,14511395
"2016-01-07",84.55,85.75,82.67,83.02,15368822
"2016-01-08",83.39,83.84,81.22,82.13,11891638
"2016-01-11",82.85,82.97,79.77,80.77,14366364
"2016-01-12",82.2,82.4,79.69,82.15,13477497
"2016-01-13",83.16,84.25,80.01,81.33,15445396
"2016-01-14",81.95,86.17,80.95,85.47,16341491
"2016-01-15",81.64,83.81,80.87,83.67,16958991
"2016-01-19",84.17,84.75,80.79,81.51,13045179
"2016-01-20",79.98,80.31,75.33,78.98,26135488
"2016-01-21",78.8,81.65,78.02,81.05,16103986
"2016-01-22",84.46,85.19,81.72,83.54,15719945
"2016-01-25",82.29,84.29,80.8,80.89,11999047
"2016-01-26",81.97,84.5,81.35,84.12,12146638
"2016-01-27",83.95,86.1,82.36,83.29,12316209
"2016-01-28",85.75,86.69,83.7,85.92,13012190
"2016-01-29",84.05,86.71,82.95,86.47,20122446
"2016-02-01",85.15,86.09,84.24,85.29,10938356
"2016-02-02",82.71,83.04,80.96,81.24,13263052
"2016-02-03",82.39,84.63,80.2,84.62,13947952
"2016-02-04",84.59,86.19,83.83,84.79,12721980
"2016-02-05",83.94,84.29,82.26,82.88,15045344
"2016-02-08",81.76,86.7,81.1,85.99,17683827
"2016-02-09",85.08,85.79,82.17,82.92,12417612
"2016-02-10",82.77,83.9,81.5,83.04,12001461
"2016-02-11",81.6,83.66,80.64,82.99,12649942
"2016-02-12",83.8,85.58,83.2,85.43,9799137
"2016-02-16",85.23,85.39,83.3,84.81,10236427
"2016-02-17",85.41,88.66,85.02,88.31,12591198
"2016-02-18",88.75,89.25,86.61,86.73,9508994
"2016-02-19",86.33,86.54,84.8,86.5,9750436
"2016-02-22",87.87,89.84,87.5,88.82,10291303
"2016-02-23",88.39,88.48,84.7,84.91,10570297
"2016-02-24",83.33,85.49,82.9,85.27,9756537
"2016-02-25",85.67,85.71,83.74,85.3,9444937
"2016-02-26",86.97,87.1,84.28,84.35,9354731
"2016-02-29",84.94,85.2,83.07,83.44,11282443
"2016-03-01",84.12,86.53,83.37,86.13,11605897
"2016-03-02",85.4,87.18,84.4,87.14,9630954
"2016-03-03",87,87.57,86.05,87.53,8521189
"2016-03-04",87.42,88.62,86.7,87.93,9316697
"2016-03-07",87.94,90.76,87.55,90.67,12769397
"2016-03-08",90.38,91.08,88.33,88.74,10311164
"2016-03-09",89.7,94.64,89.47,92.82,19300224
"2016-03-10",92.79,93.95,92.02,93.94,12078268
"2016-03-11",94.95,96.14,93.38,94.58,14089185
"2016-03-14",93.57,94.83,93.09,94.26,6890479
"2016-03-15",93.15,94.4,92.25,94.27,7006274
"2016-03-16",94.72,96.14,93.72,95.4,9931558
"2016-03-17",96.25,97.74,95.29,96.89,10653984
"2016-03-18",97.85,97.91,95.86,97.69,14429189
"2016-03-21",97.02,97.54,95.91,96.44,8031140
"2016-03-22",95.75,96.91,95.32,95.5,7532751
"2016-03-23",94.72,94.81,93.04,93.59,10222174
"2016-03-24",92.54,94.94,92.25,94.85,8157517
"2016-03-28",94.9,95.08,94,94.68,5052040
"2016-03-29",93.79,95.39,92.94,95.32,6372677
"2016-03-30",96.35,96.69,95.16,95.25,6182944
"2016-03-31",95.19,96.2,94.95,95.4,5943656
"2016-04-01",93.69,94.78,93.32,94.26,7527099
"2016-04-04",94.44,94.48,93.04,93.43,6505512
"2016-04-05",93,93.35,92.43,92.67,6653081
"2016-04-06",93.15,95,92.82,94.84,6833364
"2016-04-07",94.37,95.03,94.08,94.79,6674082
"2016-04-08",96.25,96.87,95.76,96.33,7065717
"2016-04-11",96.87,97.3,95.15,95.24,6590094
"2016-04-12",95.69,97.94,95.43,97.51,8775674
"2016-04-13",97.8,97.91,97.03,97.6,6359492
"2016-04-14",97.65,98.27,97.36,97.98,6144232
"2016-04-15",97.71,97.8,96.96,97.23,6404856
"2016-04-18",95.76,98.76,95.52,98.7,7767955
"2016-04-19",99,100.53,98.16,100.5,10569064
"2016-04-20",100.08,102.54,99.84,101.69,10145229
"2016-04-21",101.64,102.8,101.11,101.4,8272966
"2016-04-22",101.74,102.5,101.5,102.01,5717340
"2016-04-25",101.47,101.77,100.83,101.51,6608903
"2016-04-26",102.05,102.98,101.71,102.29,5644867
"2016-04-27",102.9,103.94,102.38,103.85,8374781
"2016-04-28",103.13,104.26,102.05,102.4,7565313
"2016-04-29",101.14,102.63,100.61,102.18,8793309
"2016-05-02",101.83,103.85,101.8,103.31,6810507
"2016-05-03",102.26,102.35,101.05,101.32,6916901
"2016-05-04",101.06,102.3,100.39,100.59,7367304
"2016-05-05",101.85,102.6,100.86,101.42,6467279
"2016-05-06",100.84,102.7,100.84,101.86,5959849
"2016-05-09",101.62,101.8,99.08,100.35,9270673
"2016-05-10",100.64,101.29,100.41,101.27,6689400
"2016-05-11",101.24,101.74,100.15,101.14,6815642
"2016-05-12",102.15,102.42,101.08,102.12,6529082
"2016-05-13",101.63,102.04,100.36,100.74,5545802
"2016-05-16",101.87,102.6,101.4,102.29,6765668
"2016-05-17",101.07,102.18,100.34,100.75,6959601
"2016-05-18",100.9,101.27,99.44,100.06,5879964
"2016-05-19",99.26,100.08,98.52,99.85,6234614
"2016-05-20",100.3,100.4,99.49,99.79,4706842
"2016-05-23",99.18,100.13,99.07,99.38,4183024
"2016-05-24",99.94,100.76,99.62,100.19,4369507
"2016-05-25",100.82,101.98,100.82,101.77,5425240
"2016-05-26",101.85,102.37,100.97,101.5,4143901
"2016-05-27",101.38,102.11,100.87,102.02,5003781
"2016-05-31",102.15,102.28,100.57,101,8141820
"2016-06-01",100.24,101.38,99.89,101.13,4815151
"2016-06-02",100.4,100.57,99.72,100.53,6714072
"2016-06-03",100.65,101.14,100,100.66,4957789
"2016-06-06",101.34,102.04,100.92,101.17,5948247
"2016-06-07",101.84,103.7,101.61,103.32,9806977
"2016-06-08",103.55,104.08,102.67,103.09,6318120
"2016-06-09",102.04,103.12,102.03,102.81,4247517
"2016-06-10",102.47,102.97,101.26,101.98,8108398
"2016-06-13",101.5,103.1,101.38,102.1,6360132
"2016-06-14",101.76,102.05,100.52,101.28,6924022
"2016-06-15",100.63,101.64,100.25,100.63,5627043
"2016-06-16",99.97,101.26,98.77,101.07,8042951
"2016-06-17",101.44,101.74,100.4,101.57,8762183
"2016-06-20",102.88,103.4,102.6,102.61,6627025
"2016-06-21",102.69,103.45,102.27,103.24,4938680
"2016-06-22",103.5,103.55,102.18,102.29,4866770
"2016-06-23",103.45,104.45,103.07,104.44,5593573
"2016-06-24",101.46,103.01,101.17,101.9,11481402
"2016-06-27",101.25,101.4,99.52,100.36,8358543
"2016-06-28",101.22,102,100.64,101.63,7171111
"2016-06-29",102.52,104.68,102.3,103.42,8887532
"2016-06-30",103.56,105,103.28,104.83,7649684
"2016-07-01",104.78,104.88,103.78,104.15,6117805
"2016-07-05",103.5,103.87,102.84,103.57,7766602
"2016-07-06",103.26,104.6,102.46,104.58,6166864
"2016-07-07",104.89,105,102.14,103.05,7707427
"2016-07-08",103.88,104.97,103,104.77,9043626
"2016-07-11",104.81,106,104.8,105.39,7206107
"2016-07-12",106.3,107.3,106.18,106.78,8377156
"2016-07-13",106.78,107.2,105.86,106.65,5959947
"2016-07-14",107.2,107.58,106.43,106.7,4750875
"2016-07-15",107.33,107.54,106.39,107.03,6164280
"2016-07-18",106.67,106.75,106.02,106.09,4931504
"2016-07-19",105.98,106.26,105.65,106.04,4630831
"2016-07-20",105.93,106.13,105,105.59,6802012
"2016-07-21",105.4,105.85,104.87,105.39,6055444
"2016-07-22",105.68,106,105.2,105.66,5255366
"2016-07-25",104.86,105.11,102.78,103.07,7783953
"2016-07-26",102.57,103.16,102.08,102.68,6101108
"2016-07-27",102.68,103.32,101.8,102.26,5412159
"2016-07-28",102.09,102.22,100.98,101.79,8226205
"2016-07-29",100.53,102.66,99.85,102.48,10157617
"2016-08-01",101.33,102.1,98.62,99.11,11550573
"2016-08-02",99.52,100.07,97.91,99.59,9752702
"2016-08-03",99.65,100.64,99.29,100.61,6611694
"2016-08-04",100.28,101.08,100,100.39,6088117
"2016-08-05",100.99,101.07,99.72,100.51,6710481
"2016-08-08",100.99,101.68,100.72,101.2,5447467
"2016-08-09",101.85,102,100.77,101.32,4957302
"2016-08-10",101.65,101.81,99.94,100.14,5081280
"2016-08-11",100.65,101.86,100.39,101.4,4836566
"2016-08-12",101.74,102.33,101.26,102.16,5198969
"2016-08-15",102.61,103.06,102.42,102.77,4886280
"2016-08-16",102.77,102.93,102.33,102.62,5384319
"2016-08-17",101.5,102.3,101.02,102.22,5311568
"2016-08-18",102.63,103.6,102.06,103.55,6944424
"2016-08-19",103.07,103.13,102.12,102.32,5057240
"2016-08-22",101.75,102.4,101.24,101.94,5494929
"2016-08-23",102.03,102.17,101.5,101.68,4929677
"2016-08-24",101.4,102.29,101.28,102.2,5178275
"2016-08-25",102.29,102.29,101.53,101.89,4490051
"2016-08-26",102.11,102.48,100.86,101.32,4776217
"2016-08-29",101.24,102.23,101,102.05,4026893
"2016-08-30",102.3,102.63,101.37,101.7,3712813
"2016-08-31",101.2,101.33,99.92,100.58,6249070
"2016-09-01",100.35,100.58,99.47,100.21,6044999
"2016-09-02",100.89,101.46,100.26,100.93,4653599
"2016-09-06",101.21,102.61,100.97,102.43,5428985
"2016-09-07",102.75,103.05,102.24,102.88,5284271
