"","AMD.Open","AMD.High","AMD.Low","AMD.Close","AMD.Volume"
"2013-08-22",3.63,3.65,3.6,3.63,10079612
"2013-08-29",3.43,3.48,3.37,3.38,13448078
"2013-09-05",3.32,3.49,3.3,3.41,23102073
"2013-09-12",3.76,3.8,3.69,3.75,28947696
"2013-09-19",3.96,4,3.92,3.95,24274623
"2013-09-26",3.94,3.98,3.88,3.89,17460257
"2013-10-03",3.93,3.94,3.86,3.9,25498523
"2013-10-10",3.72,3.8,3.72,3.79,24019364
"2013-10-17",4.12,4.13,4.06,4.09,45837997
"2013-10-24",3.2,3.3,3.16,3.23,43033226
"2013-10-31",3.31,3.35,3.25,3.34,18062739
"2013-11-07",3.33,3.33,3.23,3.28,18856239
"2013-11-14",3.55,3.57,3.47,3.52,15123192
"2013-11-21",3.43,3.44,3.35,3.37,13648029
"2013-12-05",3.56,3.65,3.55,3.64,14465719
"2013-12-12",3.68,3.75,3.64,3.69,10013887
"2013-12-19",3.64,3.68,3.6,3.65,10421404
"2013-12-26",3.8,3.85,3.79,3.8,9887552
"2014-01-02",3.85,3.98,3.84,3.95,20569754
"2014-01-09",4.2,4.23,4.05,4.09,30691932
"2014-01-16",4.5,4.51,4.32,4.38,47551923
"2014-01-23",3.67,3.68,3.58,3.62,29894494
"2014-01-30",3.51,3.52,3.45,3.48,17113312
"2014-02-06",3.32,3.46,3.32,3.41,16120622
"2014-02-13",3.64,3.71,3.64,3.7,13369550
"2014-02-20",3.72,3.75,3.66,3.69,13333914
"2014-02-27",3.69,3.77,3.68,3.71,18237447
"2014-03-06",3.72,3.74,3.71,3.73,10835025
"2014-03-13",3.94,3.99,3.84,3.86,19802985
"2014-03-20",3.96,4.05,3.9,4.05,23600569
"2014-03-27",3.99,4.07,3.87,3.91,24531988
"2014-04-03",4.07,4.1,3.97,4,16802336
"2014-04-10",3.97,4.01,3.84,3.85,21364259
"2014-04-17",3.78,3.8,3.69,3.69,32048060
"2014-04-24",4.27,4.35,4.2,4.28,27532799
"2014-05-01",4.13,4.24,4.1,4.2,37807284
"2014-05-08",3.95,4.03,3.91,3.93,14554485
"2014-05-15",3.96,3.98,3.89,3.96,18005650
"2014-05-22",4.09,4.09,4.01,4.01,11903117
"2014-05-29",4.02,4.06,4.01,4.03,8877728
"2014-06-05",4.04,4.09,4.02,4.08,13723807
"2014-06-12",4.33,4.44,4.28,4.29,26709456
"2014-06-19",4.42,4.45,4.33,4.36,10889007
"2014-06-26",3.95,4.09,3.94,4.03,21640483
"2014-07-03",4.36,4.4,4.14,4.24,22521686
"2014-07-10",4.18,4.36,4.14,4.29,39245492
"2014-07-17",4.66,4.68,4.5,4.57,51309835
"2014-07-24",3.75,3.8,3.71,3.73,27967555
"2014-07-31",3.8,3.99,3.78,3.91,112162894
"2014-08-07",4.14,4.2,4.07,4.1,32712281
"2014-08-14",4.1,4.17,4.08,4.08,26148058
"2014-08-21",4.29,4.29,4.21,4.24,11940449
"2014-08-28",4.14,4.19,4.07,4.14,10332157
"2014-09-04",4.18,4.25,4.15,4.15,12796439
"2014-09-11",4.03,4.08,4.02,4.08,8087351
"2014-09-18",3.88,3.94,3.7,3.88,16141381
"2014-09-25",3.7,3.72,3.6,3.63,17556480
"2014-10-02",3.37,3.44,3.28,3.39,27904965
"2014-10-09",3.03,3.2,2.94,2.95,69528861
"2014-10-16",2.56,2.72,2.54,2.64,38795420
"2014-10-23",2.68,2.71,2.65,2.69,23739082
"2014-10-30",2.79,2.79,2.7,2.75,13026110
"2014-11-06",2.78,2.8,2.75,2.76,8932899
"2014-11-13",2.71,2.74,2.65,2.66,10915428
"2014-11-20",2.6,2.72,2.59,2.69,15043856
"2014-12-04",2.75,2.75,2.66,2.69,15542199
"2014-12-11",2.51,2.54,2.46,2.49,10151618
"2014-12-18",2.58,2.59,2.54,2.55,12423873
"2015-01-08",2.59,2.64,2.56,2.61,11136587
"2015-01-15",2.62,2.65,2.49,2.52,17744035
"2015-01-22",2.42,2.5,2.37,2.47,36169577
"2015-01-29",2.63,2.69,2.51,2.61,17790203
"2015-02-05",2.88,3.37,2.87,3.31,73355631
"2015-02-12",3.08,3.15,3.05,3.12,12974994
"2015-02-19",3.06,3.08,3.01,3.06,6573575
"2015-02-26",3.1,3.12,3.06,3.08,8680872
"2015-03-05",3.1,3.1,2.98,2.98,11472270
"2015-03-12",2.76,2.79,2.72,2.76,13847187
"2015-03-19",2.76,2.78,2.73,2.74,8819433
"2015-03-26",2.59,2.7,2.53,2.65,28286331
"2015-04-02",2.66,2.7,2.65,2.69,7047568
"2015-04-09",2.69,2.75,2.69,2.72,7127564
"2015-04-16",2.72,2.94,2.7,2.87,28617313
"2015-04-23",2.28,2.36,2.26,2.33,15130407
"2015-04-30",2.28,2.31,2.26,2.26,11465305
"2015-05-07",2.32,2.32,2.26,2.32,15015605
"2015-05-14",2.38,2.39,2.33,2.33,8865090
"2015-05-21",2.31,2.35,2.28,2.28,7127745
"2015-05-28",2.28,2.33,2.27,2.27,12354612
"2015-06-04",2.28,2.33,2.26,2.33,11575844
"2015-06-11",2.34,2.35,2.31,2.32,7671032
"2015-06-18",2.5,2.59,2.48,2.52,25400150
"2015-06-25",2.62,2.66,2.57,2.58,18360175
"2015-07-02",2.43,2.63,2.39,2.53,31185949
"2015-07-09",2.04,2.06,1.93,1.98,23378175
"2015-07-16",1.97,2,1.87,1.87,20653274
"2015-07-23",1.8,1.81,1.75,1.76,10641876
"2015-07-30",1.94,1.99,1.88,1.93,15837969
"2015-08-06",2.15,2.17,2.1,2.11,9475686
"2015-08-13",1.9,1.91,1.79,1.79,7839742
"2015-08-20",1.79,1.8,1.7,1.7,13657549
"2015-08-27",1.74,1.84,1.74,1.78,11825718
"2015-09-03",1.76,1.85,1.76,1.79,7154175
"2015-09-10",1.84,1.88,1.83,1.84,4272761
"2015-09-17",1.9,1.94,1.87,1.89,5824637
"2015-09-24",1.68,1.73,1.66,1.72,11190207
"2015-10-01",1.77,1.77,1.72,1.74,5409887
"2015-10-08",1.87,1.95,1.85,1.93,9145870
"2015-10-15",1.97,2.06,1.95,1.97,27090258
"2015-10-22",2.1,2.16,2.09,2.14,8201923
"2015-10-29",2.15,2.18,2.11,2.13,4474372
"2015-11-05",2.21,2.24,2.17,2.2,4295809
"2015-11-12",2.05,2.07,2,2,3532542
"2015-11-19",2.1,2.16,2.09,2.14,4669730
"2015-12-03",2.25,2.31,2.2,2.23,7059859
"2015-12-10",2.36,2.5,2.33,2.45,13069423
"2015-12-17",2.52,2.6,2.52,2.56,11374071
"2015-12-24",2.88,3,2.86,2.92,11900888
"2015-12-31",2.97,3.01,2.87,2.87,11086106
"2016-01-07",2.43,2.48,2.26,2.28,22203514
"2016-01-14",2.29,2.35,2.21,2.21,15561379
"2016-01-21",1.82,2.18,1.81,2.09,26371831
"2016-01-28",2.16,2.17,2.07,2.08,7112022
"2016-02-04",2.06,2.17,2.03,2.09,8278563
"2016-02-11",1.82,1.94,1.81,1.86,7856550
"2016-02-18",1.93,1.98,1.9,1.91,10804012
"2016-02-25",2.02,2.04,1.98,2.03,5579840
"2016-03-03",2.32,2.55,2.3,2.46,22065262
"2016-03-10",2.29,2.31,2.15,2.26,9603469
"2016-03-17",2.77,2.81,2.7,2.8,28956253
"2016-03-24",2.69,2.81,2.62,2.79,10017222
"2016-03-31",2.84,2.88,2.8,2.85,9048107
"2016-04-07",2.76,2.83,2.61,2.64,13360428
"2016-04-14",2.77,2.79,2.7,2.72,8935350
"2016-04-21",2.65,2.7,2.6,2.62,12213209
"2016-04-28",3.69,3.8,3.6,3.61,20146577
"2016-05-05",3.64,3.8,3.6,3.66,21521277
"2016-05-12",3.65,3.68,3.55,3.59,9230215
"2016-05-19",3.83,3.85,3.69,3.77,17622956
"2016-05-26",4.19,4.38,4.17,4.35,22611941
"2016-06-02",4.37,4.4,4.07,4.24,35335045
"2016-06-09",4.41,4.54,4.32,4.52,16219074
"2016-06-16",4.5,4.75,4.46,4.75,34182650
"2016-06-23",5.17,5.26,5.05,5.21,29159174
"2016-06-30",5.13,5.19,4.95,5.14,26124847
"2016-07-07",5.07,5.1,4.94,5.02,15813768
"2016-07-14",5.15,5.24,5.06,5.17,20050141
"2016-07-21",5.43,5.45,5.1,5.22,40242023
"2016-07-28",6.79,6.98,6.74,6.82,27515622
"2016-08-04",6.39,6.61,6.37,6.47,22411032
"2016-08-11",6.5,6.59,6.46,6.58,13240292
"2016-08-18",6.74,7.07,6.72,7.04,30783305
"2016-08-25",7.49,7.49,7.2,7.46,16451281
"2016-09-01",7.18,7.44,7.09,7.35,22284592
"2016-09-08",6.64,6.65,6.15,6.22,90814651
"2016-09-15",6.09,6.2,5.95,6.02,52718477
