"","ANSS.Open","ANSS.High","ANSS.Low","ANSS.Close","ANSS.Volume"
"2013-06-06",72.61,74.35,72.35,74.31,377505
"2013-06-13",72.41,74.25,72.13,73.96,236297
"2013-06-20",74.42,74.94,72.8,72.89,202642
"2013-06-27",72.72,74.17,72.51,74.04,200845
"2013-07-11",76.2,78.59,76.2,78.35,371854
"2013-07-18",79.22,79.6,78.98,79.14,102156
"2013-07-25",79.91,80.74,78.75,79.22,373570
"2013-08-01",81,89.6,80.87,88.93,1058144
"2013-08-08",87.82,88.25,86.59,87.99,160797
"2013-08-15",87.32,87.63,86.41,86.53,186182
"2013-08-22",84.92,86.69,84.92,86.31,118642
"2013-08-29",83.74,85.61,83.62,84.38,127174
"2013-09-05",84.13,85.35,84.13,85.1,166932
"2013-09-12",87.9,88.55,87.34,88.31,434052
"2013-09-19",87.76,87.99,86.62,86.65,308519
"2013-09-26",86.63,88.4,86.63,87.72,286944
"2013-10-03",86.91,87.16,84.65,85.23,535473
"2013-10-10",84.54,85.64,83.85,85.63,233446
"2013-10-17",84.98,85,84.24,84.57,434263
"2013-10-24",86.59,87.66,86.4,86.99,231266
"2013-10-31",87.39,88.33,86.68,87.45,298165
"2013-11-07",89,89.42,81.2,84.18,905387
"2013-11-14",84.39,84.88,84.05,84.14,481250
"2013-11-21",83.77,85.16,83.56,85.05,191286
"2013-12-05",85.79,85.87,84.8,85.21,285803
"2013-12-12",83.55,83.93,83.01,83.14,223325
"2013-12-19",86.45,87.16,85.72,85.84,295314
"2013-12-26",87.6,87.71,86.72,86.97,270473
"2014-01-02",86.44,87.15,85.29,86.01,276882
"2014-01-09",85.52,86,84.18,84.51,338473
"2014-01-16",85,85.86,85,85.4,300177
"2014-01-23",83.6,84.39,82.58,83.33,402871
"2014-01-30",79.17,79.39,78.5,78.78,885518
"2014-02-06",77.83,79.66,77.1,79.62,382293
"2014-02-13",80.22,82.13,80.1,82.06,289980
"2014-02-20",82.57,83.18,81.42,83.11,320616
"2014-02-27",84.02,84.28,80.07,83.2,643810
"2014-03-06",83.79,83.83,83.08,83.38,388011
"2014-03-13",81.64,82.78,77.93,78.3,574640
"2014-03-20",72.95,74.72,72.1,73.89,763767
"2014-03-27",76.1,76.1,74.2,75.69,811727
"2014-04-03",77.59,78.06,77.28,77.45,424092
"2014-04-10",76.03,76.34,74.57,75.02,528927
"2014-04-17",74.98,75.96,74.65,75.81,254916
"2014-04-24",75.99,76.7,74.84,76.66,503353
"2014-05-01",75.54,75.54,71.5,72.49,1032985
"2014-05-08",75.26,75.91,74.46,74.51,451234
"2014-05-15",74.18,74.65,72.61,73.71,239077
"2014-05-22",74.06,74.76,73.57,74.27,318632
"2014-05-29",74.38,74.39,73.84,73.92,194929
"2014-06-05",74.58,75.28,74.28,74.96,329632
"2014-06-12",75.24,76.7,75.02,75.6,355765
"2014-06-19",75.88,76.33,75.02,75.1,435540
"2014-06-26",73.91,74.37,73.1,74.05,953843
"2014-07-03",76.67,77.82,76.55,77.75,269607
"2014-07-10",74.36,75.23,73.67,74.74,507315
"2014-07-17",75.18,75.7,74.67,74.71,363164
"2014-07-24",76.02,77.45,76.02,77.22,345368
"2014-07-31",77.63,78.03,76.76,76.94,584226
"2014-08-07",78.99,79.4,78.55,78.85,841338
"2014-08-14",79.44,79.82,79.27,79.78,360582
"2014-08-21",82.06,82.72,81.44,82.7,437132
"2014-08-28",81.04,81.78,80.42,80.63,358547
"2014-09-04",81.59,82.05,80.94,81.22,325388
"2014-09-11",80,80.98,80,80.95,226399
"2014-09-18",79.82,80.5,79.59,80.23,141400
"2014-09-25",76.92,77.09,75.27,75.43,499492
"2014-10-02",75.15,76.74,74.83,76.37,414446
"2014-10-09",76.87,76.91,75.8,75.95,409517
"2014-10-16",71.62,72.63,71.09,72.42,728401
"2014-10-23",75.25,75.52,74.7,75,458813
"2014-10-30",76.29,77.65,76.29,77.26,360383
"2014-11-06",76.11,78.46,76.11,78.4,516665
"2014-11-13",79.9,80.33,78.41,79.29,388571
"2014-11-20",79.1,79.87,78.91,79.78,324722
"2014-12-04",83,83.25,82.37,83.11,475796
"2014-12-11",81.99,83.14,81.5,81.65,239363
"2014-12-18",82.87,83.38,82.1,83.34,339992
"2015-01-08",80.11,82.16,80.11,81.66,430259
"2015-01-15",81.15,81.68,80.35,80.83,420101
"2015-01-22",83.48,84.93,82.72,84.64,347403
"2015-01-29",81.86,82.47,81.03,82.17,410644
"2015-02-05",82.77,83.77,82.32,83.74,456710
"2015-02-12",85.34,86.3,85.25,85.9,263271
"2015-02-19",85.73,86.79,85.49,86.63,170551
"2015-02-26",87,88.24,84.44,85.59,441456
"2015-03-05",86.32,86.59,85.64,86.38,439613
"2015-03-12",85.29,85.86,84.7,84.9,423684
"2015-03-19",87.71,88.04,87.11,87.85,289439
"2015-03-26",85.92,87.07,85.32,86.73,295388
"2015-04-02",88.14,88.99,86.71,86.99,571603
"2015-04-09",88.38,88.82,87.8,88.28,371412
"2015-04-16",86.95,87.93,86.71,87.78,309787
"2015-04-23",86.69,88.61,86.61,88.07,325121
"2015-04-30",86.25,86.62,85.66,85.84,507852
"2015-05-07",84.15,86.58,84.14,86.22,643993
"2015-05-14",88.7,90.7,88.34,90.48,946411
"2015-05-21",90.25,90.87,89.96,90.22,229053
"2015-05-28",89.97,90.03,89.25,89.71,189681
"2015-06-04",90.54,90.94,89.53,89.64,286922
"2015-06-11",90.43,91.99,90.02,91.8,472828
"2015-06-18",89.96,90.8,89.48,90.72,280532
"2015-06-25",91.31,92.19,91.31,91.87,351437
"2015-07-02",91.42,91.88,90.77,91.41,247124
"2015-07-09",91.74,91.97,91.19,91.4,298817
"2015-07-16",93.41,93.82,92.57,93.72,249816
"2015-07-23",93.74,94.35,93.22,93.49,424848
"2015-07-30",92.56,94.21,92.39,93.71,238234
"2015-08-06",94.91,95.3,92.02,92.96,511858
"2015-08-13",94.3,95.17,93.92,94.33,327998
"2015-08-20",95.25,96.24,93.2,93.24,385416
"2015-08-27",88.94,90.15,88,89.79,416423
"2015-09-03",89.14,90.58,88.61,90.09,421498
"2015-09-10",90.86,92.24,90.35,91.65,351556
"2015-09-17",92.63,93.76,92.14,92.36,297170
"2015-09-24",90.29,91.19,89.81,90.68,324842
"2015-10-01",88.31,88.81,86.41,87.34,573882
"2015-10-08",89.14,90.28,88.92,90.25,249005
"2015-10-15",90.66,91.36,89.93,90.82,375509
"2015-10-22",91.92,93.79,91.76,93.08,258354
"2015-10-29",96.85,96.85,94.99,95.52,255685
"2015-11-05",91.22,95.72,90.82,93.39,1363758
"2015-11-12",90.76,91.86,90.57,90.59,410435
"2015-11-19",90.97,91.7,90.86,91.5,626186
"2015-12-03",93.3,94.26,92,92.36,517392
"2015-12-10",90.78,92.15,90.64,91.03,350606
"2015-12-17",92.25,92.97,91.06,91.36,591513
"2015-12-24",92.92,93.67,92.19,93.35,132593
"2015-12-31",93.59,94.17,92.27,92.5,299234
"2016-01-07",87.18,88.18,86.38,87.23,589420
"2016-01-14",84.66,85.66,83.64,84.9,557010
"2016-01-21",85.22,85.98,83.9,85.07,750547
"2016-01-28",85.5,85.5,84.47,85.1,321677
"2016-02-04",87.11,88.78,86.78,88.18,359105
"2016-02-11",82.65,84.16,82.64,83.5,416621
"2016-02-18",86.4,87.1,85.01,85.57,548640
"2016-02-25",88.38,88.38,82.45,84.22,1502611
"2016-03-03",86.51,86.78,85.61,86.26,585647
"2016-03-10",87.11,87.85,85.27,86.08,284046
"2016-03-17",86.78,88.45,86.63,87.98,364965
"2016-03-24",86.82,87.65,86.44,87.3,363997
"2016-03-31",88.57,89.68,87.91,89.46,399408
"2016-04-07",88.62,88.84,86.74,87.26,302790
"2016-04-14",89.33,89.46,88.43,88.52,246632
"2016-04-21",91.14,91.57,90.28,90.65,286840
"2016-04-28",91.44,91.75,89.95,90.56,245323
"2016-05-05",85.14,87.68,83.19,83.76,1898655
"2016-05-12",86.67,87.09,85.69,86.5,585785
"2016-05-19",84.76,85.21,83.45,85.01,769789
"2016-05-26",87.79,88.95,87.21,88.28,514078
"2016-06-02",88.4,88.95,87.83,88.95,426548
"2016-06-09",88.77,89.03,88.04,88.99,449023
"2016-06-16",87.41,88,86.89,87.97,278738
"2016-06-23",90.11,92.45,90,92.41,586911
"2016-06-30",88.56,90.76,88.42,90.75,690245
"2016-07-07",89.44,89.87,88.98,89.68,303554
"2016-07-14",91.42,91.97,91.04,91.08,331772
"2016-07-21",90.44,90.7,89.24,89.39,604319
"2016-07-28",89.96,90.4,89.39,90.07,277393
"2016-08-04",94,94.42,92.44,92.8,1070755
"2016-08-11",96,96.8,96,96.71,465797
"2016-08-18",97.53,97.88,97.26,97.43,304279
"2016-08-25",97.71,98.97,97.71,98.39,306541
"2016-09-01",95.04,95.94,94.26,94.58,1029543
"2016-09-08",95.15,95.15,94.45,94.62,229091
"2016-09-15",92.01,93.62,91.25,93.58,419897
