"","WY.Open","WY.High","WY.Low","WY.Close","WY.Volume"
"2014-03-20",29.11,29.28,28.89,29.28,3591395
"2014-03-27",28.97,28.97,28.63,28.84,4620267
"2014-04-03",29.5,29.8,29.35,29.75,4277739
"2014-04-10",28.63,28.84,28.09,28.19,3402732
"2014-04-17",27.79,27.95,27.67,27.87,4481880
"2014-04-24",28.64,28.8,28.5,28.74,3611717
"2014-05-01",29.76,29.95,29.54,29.93,3442307
"2014-05-08",30.35,30.6,30.07,30.17,2930632
"2014-05-15",30.44,30.45,29.83,30.07,2330742
"2014-05-22",30.23,30.53,30.12,30.35,22033722
"2014-05-29",31.19,31.48,31.07,31.27,6095492
"2014-06-05",30.97,31.35,30.84,31.29,16633308
"2014-06-12",31.01,31.07,30.76,30.89,6729072
"2014-06-19",30.82,30.94,30.71,30.87,4391656
"2014-06-26",32.33,32.75,32.31,32.7,17516588
"2014-07-03",32.79,33.75,32.64,33.22,57594697
"2014-07-10",32.81,33,32.54,32.57,11816280
"2014-07-17",32.25,32.58,32.17,32.25,7772719
"2014-07-24",32.18,32.26,31.95,32.05,3152398
"2014-07-31",31.73,31.8,31.3,31.32,5407874
"2014-08-07",31.66,31.73,31.47,31.55,1653101
"2014-08-14",32.61,33.15,32.5,33.06,3871449
"2014-08-21",34.1,34.42,34.1,34.38,4236482
"2014-08-28",33.98,34.15,33.88,33.95,2289356
"2014-09-04",34.09,34.18,33.77,33.9,2925550
"2014-09-11",33.57,33.81,33.53,33.69,1786263
"2014-09-18",32.89,33.01,32.47,32.63,4132232
"2014-09-25",32.11,32.15,31.85,31.96,2850445
"2014-10-02",31.79,32.22,31.61,32.06,3101814
"2014-10-09",32.12,32.31,31.69,31.77,5711721
"2014-10-16",31.79,32.67,31.7,32.39,4344940
"2014-10-23",33.5,33.9,33.43,33.74,2401398
"2014-10-30",33.06,33.63,32.88,33.54,4727032
"2014-11-06",34.37,34.48,34.1,34.24,2924183
"2014-11-13",34.03,34.28,33.89,33.95,1644202
"2014-11-20",34.03,34.28,34,34.18,4735208
"2014-12-04",35.35,35.37,35.06,35.3,2150502
"2014-12-11",36.06,36.39,36.01,36.09,2994362
"2014-12-18",35.28,35.56,35.14,35.3,5907202
"2015-01-08",36.42,36.73,36.33,36.57,3004544
"2015-01-15",36.62,36.77,36.33,36.37,2959758
"2015-01-22",35.93,36.53,35.72,36.48,3112686
"2015-01-29",35.66,35.7,35.12,35.41,4823835
"2015-02-05",35.43,35.66,35.31,35.51,2601387
"2015-02-12",35.26,35.64,35.17,35.56,1967340
"2015-02-19",35.32,35.37,35.04,35.16,2742536
"2015-02-26",34.97,35.58,34.9,35.09,4099662
"2015-03-05",34.36,34.53,34.11,34.13,2599734
"2015-03-12",33.55,33.9,33.4,33.74,2735763
"2015-03-19",33.99,34.26,33.85,33.89,2359092
"2015-03-26",33.2,33.35,32.74,33.06,3960576
"2015-04-02",32.82,33.04,32.6,32.64,4511722
"2015-04-09",32.31,32.41,32.08,32.16,3023714
"2015-04-16",31.89,32.3,31.47,32.15,3505511
"2015-04-23",31.73,32,31.56,31.86,2148591
"2015-04-30",31.6,31.67,31.25,31.51,4560332
"2015-05-07",31.24,32.12,31.11,32.04,4486357
"2015-05-14",32.2,32.67,32.11,32.53,3338928
"2015-05-21",32.59,32.71,32.44,32.58,2693771
"2015-05-28",33.01,33.06,32.65,32.96,3565840
"2015-06-04",31.79,31.92,31.64,31.69,12328547
"2015-06-11",31.92,32.25,31.87,32.17,3342279
"2015-06-18",32.82,33.05,32.69,32.71,5711259
"2015-06-25",32.3,32.41,31.84,31.86,2614904
"2015-07-02",32.15,32.34,31.78,31.84,2279279
"2015-07-09",31.76,31.86,31.25,31.26,2457032
"2015-07-16",30.77,31.26,30.74,30.96,4295136
"2015-07-23",30.14,30.16,29.87,30.03,3029397
"2015-07-30",30.14,30.52,30.04,30.46,3261303
"2015-08-06",30.78,30.88,30.46,30.66,2754746
"2015-08-13",30.83,31.16,30.69,30.99,5021349
"2015-08-20",30.74,30.82,30.53,30.58,3005234
"2015-08-27",27.7,28.23,27.4,28,4375238
"2015-09-03",27.91,28.09,27.8,27.9,3311491
"2015-09-10",26.96,27.49,26.91,27.29,4763969
"2015-09-17",28.43,29.15,28.38,28.62,5017540
"2015-09-24",27.42,27.45,27.04,27.25,2780143
"2015-10-01",27.62,27.62,26.75,27,3119200
"2015-10-08",28.13,28.6,28.08,28.55,2719700
"2015-10-15",28.88,29,28.53,28.94,3144616
"2015-10-22",29.44,30.07,29.33,30.01,3455984
"2015-10-29",29.11,29.32,28.83,29.17,4075070
"2015-11-05",30.92,31.24,30.76,31.08,3259685
"2015-11-12",29.72,29.75,29.39,29.39,5174071
"2015-11-19",32,32.1,31.72,31.93,5245668
"2015-12-03",31.75,31.82,31.2,31.46,3700202
"2015-12-10",31.21,31.28,30.82,30.93,3188688
"2015-12-17",30.86,31.01,30.39,30.64,3945748
"2015-12-24",30.58,30.86,30.48,30.72,1470145
"2015-12-31",30.33,30.34,29.84,29.98,2302927
"2016-01-07",28.92,28.95,28.1,28.16,4917361
"2016-01-14",26.89,26.96,26.37,26.41,5584118
"2016-01-21",24.7,25.46,24.51,25,5425560
"2016-01-28",24.73,24.91,24.26,24.42,7185936
"2016-02-04",25.39,26.04,25.38,25.74,6340032
"2016-02-11",22.35,22.53,22.06,22.22,8328780
"2016-02-18",24.18,24.26,23.53,23.84,7251485
"2016-02-25",25.13,25.44,24.7,25.36,7478146
"2016-03-03",27.31,27.39,27.02,27.26,6642361
"2016-03-10",27.65,28.1,27.55,28.06,6375382
"2016-03-17",29.49,30.49,29.43,30.08,9898783
"2016-03-24",30.14,30.39,29.83,30.34,4489225
"2016-03-31",31,31.33,30.82,30.98,6816389
"2016-04-07",30.62,31.03,30.56,30.79,4426188
"2016-04-14",31.8,31.88,31.5,31.71,3231311
"2016-04-21",31.89,32.17,31.75,31.83,5054095
"2016-04-28",32.56,32.56,31.9,32.02,4309132
"2016-05-05",31.49,31.9,31.38,31.54,5286920
"2016-05-12",31.13,31.38,31.02,31.23,3472836
"2016-05-19",30.25,30.38,29.99,30.31,5253452
"2016-05-26",31.46,31.55,31.19,31.25,3290208
"2016-06-02",31.27,31.37,31.13,31.33,3071237
"2016-06-09",30.78,30.78,30.01,30.37,5041410
"2016-06-16",28.54,28.75,28.08,28.72,4949198
"2016-06-23",28.92,29.52,28.74,29.52,6694537
"2016-06-30",29.32,30.02,29.26,29.77,12056729
"2016-07-07",30.09,30.43,29.99,30.14,4601497
"2016-07-14",32.14,32.26,31.96,32.04,3646063
"2016-07-21",32.3,32.48,32.2,32.29,2508482
"2016-07-28",32.45,32.59,32.12,32.37,5266252
"2016-08-04",32.33,32.73,32.17,32.65,3288339
"2016-08-11",32.87,32.91,32.4,32.47,2903220
"2016-08-18",31.73,31.75,31.19,31.41,2986360
"2016-08-25",31.08,31.65,31.08,31.54,3297000
"2016-09-01",31.82,32.02,31.47,31.87,2783878
"2016-09-08",31.63,31.92,31.59,31.79,5924458
"2016-09-15",29.81,30.3,29.66,30.14,2491885
