"","PWR.Open","PWR.High","PWR.Low","PWR.Close","PWR.Volume"
"2012-07-19",22.99,23.12,22.29,22.71,3225511
"2012-07-26",22.48,22.77,22.33,22.69,1147172
"2012-08-02",23.57,24.1,23.05,23.93,4660354
"2012-08-09",24.73,24.74,24.35,24.58,1284875
"2012-08-16",24.76,25.14,24.66,25.08,1400547
"2012-08-23",24.34,24.75,24.24,24.31,1433174
"2012-08-30",23.77,23.83,23.56,23.62,751908
"2012-09-06",24.21,24.85,24.21,24.78,1211337
"2012-09-13",24.91,25.98,24.85,25.7,2755575
"2012-09-20",25.13,25.21,24.75,24.93,1958347
"2012-09-27",24.87,24.94,24.67,24.73,1381889
"2012-10-04",25,25.16,24.77,24.83,1791357
"2012-10-11",24.16,24.34,23.82,24.07,2338669
"2012-10-18",24.23,24.56,24.13,24.14,2480808
"2012-10-25",23.54,23.66,23.31,23.55,869209
"2012-11-01",26.08,26.34,25.34,25.72,4019329
"2012-11-08",26.6,26.6,26.01,26.04,1946551
"2012-11-15",25.06,25.26,24.77,24.98,1823859
"2012-11-29",25.17,25.47,25.13,25.4,1868722
"2012-12-06",25.91,25.95,25.52,25.7,1548002
"2012-12-13",27.38,27.41,26.9,27.05,1740809
"2012-12-20",27.23,27.61,27.18,27.6,1498009
"2012-12-27",27.01,27.04,26.51,26.99,1355320
"2013-01-03",27.91,27.95,27.57,27.67,1829182
"2013-01-10",28.94,29.21,28.84,29.19,2043205
"2013-01-17",28.67,28.78,28.47,28.61,1701310
"2013-01-24",29.29,29.94,29.15,29.59,1873273
"2013-01-31",28.91,29.06,28.69,28.97,1561330
"2013-02-07",28.54,28.68,28.25,28.56,1361293
"2013-02-14",28.9,29.39,28.84,29.11,1515245
"2013-02-21",27.64,28.88,27.64,28.44,4230023
"2013-02-28",28.1,28.54,27.87,28.4,2520538
"2013-03-07",29.25,29.39,29.06,29.26,1116339
"2013-03-14",29.64,29.77,29.52,29.73,933157
"2013-03-21",29.21,29.27,28.55,28.61,2007945
"2013-03-28",28.42,28.64,28.33,28.58,1719964
"2013-04-04",26.5,26.71,26.41,26.63,3376190
"2013-04-11",28.11,28.21,27.86,27.94,1380797
"2013-04-18",27.04,27.04,26.52,26.7,1889528
"2013-04-25",27.52,28.01,27.5,27.78,1476255
"2013-05-02",28.54,29.33,27.89,28.63,3063488
"2013-05-09",28.99,29.11,28.73,28.79,965972
"2013-05-16",29.7,29.89,29.61,29.74,1351502
"2013-05-23",29.09,29.54,29.06,29.3,1335587
"2013-05-30",28.61,28.78,28.43,28.57,1175640
"2013-06-06",26.89,27.48,26.76,27.29,3256704
"2013-06-13",26.18,26.38,25.77,26.26,3364770
"2013-06-20",26.59,26.64,26.08,26.17,2313119
"2013-06-27",26.45,26.82,26.28,26.7,2265703
"2013-07-11",27.48,27.65,27.15,27.34,1138595
"2013-07-18",27.83,28.15,27.77,27.82,1662722
"2013-07-25",27.73,27.77,27.4,27.77,1284732
"2013-08-01",28.75,29.13,27.47,28.14,4530783
"2013-08-08",27.26,27.46,27.13,27.35,2034960
"2013-08-15",26.87,26.97,26.63,26.73,1198436
"2013-08-22",26.41,27,26.41,26.87,1292177
"2013-08-29",26.21,26.56,26.15,26.34,822731
"2013-09-05",25.91,26.13,25.74,26.08,1393059
"2013-09-12",25.97,26.32,25.96,26.2,1949337
"2013-09-19",27.62,27.88,27.4,27.75,2019917
"2013-09-26",28.07,28.36,27.97,28.21,1946179
"2013-10-03",27.92,27.94,27.33,27.74,1695520
"2013-10-10",27.38,27.7,27.19,27.68,1596113
"2013-10-17",27.99,28.68,27.91,28.61,1159672
"2013-10-24",29.19,29.38,29.14,29.22,956316
"2013-10-31",29.76,30.3,28.79,30.21,7170726
"2013-11-07",30.36,30.45,29.76,29.87,2474991
"2013-11-14",30.04,30.25,29.88,30.07,1327700
"2013-11-21",29.47,29.49,29.12,29.36,1431606
"2013-12-05",29.36,29.43,29.06,29.12,1185344
"2013-12-12",29.04,29.07,28.62,28.82,1312109
"2013-12-19",30.33,30.38,30.06,30.28,2122959
"2013-12-26",31.2,31.42,31.15,31.29,653292
"2014-01-02",31.37,31.57,31.25,31.29,959400
"2014-01-09",31.49,31.94,31.34,31.79,3052944
"2014-01-16",31.46,31.53,31.16,31.36,1212008
"2014-01-23",31.94,32.06,31.67,32.02,1176671
"2014-01-30",30.76,31.1,30.38,31,1150537
"2014-02-06",30.7,30.9,30.59,30.71,1539096
"2014-02-13",31.35,31.79,31.21,31.77,901735
"2014-02-20",33.99,35.35,33.89,34.54,7544888
"2014-02-27",34.76,35.23,34.64,35.01,1531310
"2014-03-06",35.8,36.59,35.8,36.43,2286419
"2014-03-13",35.63,35.72,34.99,35.27,2065734
"2014-03-20",36.12,36.59,35.89,36.57,1573803
"2014-03-27",35.95,36.3,35.89,36.1,1516993
"2014-04-03",37.12,37.12,36.62,36.83,3511221
"2014-04-10",36.44,36.67,35.94,36.08,1408241
"2014-04-17",35.75,36.68,35.59,36.64,1518206
"2014-04-24",36.07,36.11,35.57,35.7,1210943
"2014-05-01",35.28,36.56,34.59,35.17,2279698
"2014-05-08",34.16,34.6,33.87,34.01,1957017
"2014-05-15",33.3,33.37,32.53,33.01,1866576
"2014-05-22",32.75,33.1,32.6,33,1064591
"2014-05-29",34.13,34.34,33.96,34.09,1715359
"2014-06-05",33.65,34.42,33.6,34.4,2226594
"2014-06-12",34.38,34.44,33.78,33.83,1182788
"2014-06-19",34.2,34.64,33.99,34.54,1682363
"2014-06-26",34.36,34.43,34,34.37,1060479
"2014-07-03",35.49,35.63,35.36,35.47,651597
"2014-07-10",34.61,34.89,34.43,34.67,991152
"2014-07-17",34.84,35.08,34.57,34.65,977056
"2014-07-24",35.33,35.49,34.77,34.97,1439846
"2014-07-31",34.59,35.42,33.35,33.49,3759446
"2014-08-07",33.82,33.83,33.16,33.36,1416241
"2014-08-14",34.99,35.14,34.85,34.96,1431812
"2014-08-21",35.28,36.06,35.22,35.99,1380420
"2014-08-28",35.98,36.29,35.88,36.23,803504
"2014-09-04",37.2,37.43,36.8,36.92,900439
"2014-09-11",36.78,37.26,36.74,37.11,707858
"2014-09-18",37.01,37.33,36.82,37.05,1079122
"2014-09-25",36.89,36.94,36.19,36.22,926790
"2014-10-02",35.11,35.32,34.69,35.28,1441872
"2014-10-09",34.83,34.96,33.37,33.38,2929329
"2014-10-16",30.23,30.71,30.01,30.37,2835313
"2014-10-23",32.38,32.85,32.33,32.47,1253797
"2014-10-30",32.61,33.17,32.55,33.14,909126
"2014-11-06",33.28,34.34,33.11,33.95,3086656
"2014-11-13",34.05,34.29,33.55,33.65,1206329
"2014-11-20",32.37,33.11,32.29,33.11,1408874
"2014-12-04",29.65,29.87,28.95,29.62,2794366
"2014-12-11",28.22,28.84,28.02,28.08,1977735
"2014-12-18",27.19,27.74,26.92,27.13,3848591
"2015-01-08",27.42,28.1,27.14,28.02,4004580
"2015-01-15",26.56,26.86,25.74,25.79,3487295
"2015-01-22",27.33,27.48,27.01,27.24,2207017
"2015-01-29",26.31,26.9,25.87,26.79,2658851
"2015-02-05",28.59,29.01,28.5,28.94,2010800
"2015-02-12",28.61,29.01,28.61,28.86,1121113
"2015-02-19",28.79,29.94,28.75,29.61,2965226
"2015-02-26",29.08,29.2,28.74,28.86,1626036
"2015-03-05",28.63,28.75,28.39,28.7,1055061
"2015-03-12",28.07,28.33,28.01,28.14,1969123
"2015-03-19",28.19,28.21,27.6,27.82,1220083
"2015-03-26",27.83,28.39,27.83,28.24,1704372
"2015-04-02",28.37,29.06,28.29,28.44,918249
"2015-04-09",28.46,28.73,28.23,28.69,1540930
"2015-04-16",29.82,29.86,29.48,29.52,2009019
"2015-04-23",28.99,29.34,28.89,29.21,1320311
"2015-04-30",29.63,29.7,28.51,28.91,4873269
"2015-05-07",27.92,28.23,27.87,28.03,1666410
"2015-05-14",29.47,29.59,29.18,29.37,3007440
"2015-05-21",29.8,30.2,29.73,30.15,1500189
"2015-05-28",29.36,29.51,29.01,29.41,1076476
"2015-06-04",29.85,29.85,29.07,29.18,2787891
"2015-06-11",29.35,29.61,29.3,29.45,1175824
"2015-06-18",29.87,30.17,29.77,29.8,2106257
"2015-06-25",29.63,29.77,29.15,29.19,1598581
"2015-07-02",28.83,28.91,28.35,28.55,1853752
"2015-07-09",28.12,28.26,27.87,27.93,2374318
"2015-07-16",28.52,28.63,28.33,28.51,1528120
"2015-07-23",27.85,28.01,27.4,27.46,1930937
"2015-07-30",27.73,27.88,27.47,27.78,1224194
"2015-08-06",23.15,23.77,22.68,23.34,6587656
"2015-08-13",24.84,24.89,24.14,24.19,4153222
"2015-08-20",24.01,24.18,23.65,23.66,2873570
"2015-08-27",22.81,23.83,22.68,23.65,3727416
"2015-09-03",23.82,24.15,23.6,23.88,3087823
"2015-09-10",24.34,24.82,24.1,24.54,2974221
"2015-09-17",24.89,25.19,24.65,24.74,3176670
"2015-09-24",23.5,24.21,23.36,24.1,3253277
"2015-10-01",24.29,24.8,24.2,24.69,3771995
"2015-10-08",26.1,26.82,25.99,26.78,2400564
"2015-10-15",25.64,26.21,25.56,26.21,2113682
"2015-10-22",19.56,19.73,18.97,19.32,5162012
"2015-10-29",19.65,20.23,19.65,19.85,3603751
"2015-11-05",20.04,21.14,19.8,20.73,5894284
"2015-11-12",21,21.13,20.55,20.67,4199074
"2015-11-19",21.29,21.93,21.2,21.55,3212510
"2015-12-03",22.67,23.25,22.53,22.94,5706966
"2015-12-10",20.36,20.66,20.18,20.42,2803288
"2015-12-17",20.62,20.68,19.85,19.86,3008963
"2015-12-24",20.86,21,20.61,20.68,1024387
"2015-12-31",20.4,20.56,20.18,20.25,2291099
"2016-01-07",19.02,19.32,18.88,18.92,2769105
"2016-01-14",18.17,18.41,17.88,18.03,4361911
"2016-01-21",17.66,18.17,17.5,17.66,5410348
"2016-01-28",18.03,18.18,17.62,18,3001961
"2016-02-04",18.61,19.22,18.56,18.9,2701080
"2016-02-11",17.1,17.6,16.77,17.29,3695510
"2016-02-18",19.2,19.2,18.37,18.57,4368698
"2016-02-25",19.4,20.11,19.3,19.92,5252604
"2016-03-03",21.23,21.53,21.15,21.51,2963207
"2016-03-10",21.99,22.19,21.79,22.11,3299226
"2016-03-17",22.22,22.63,22.18,22.52,1982756
"2016-03-24",22.25,22.41,22.16,22.3,2664273
"2016-03-31",22.65,22.78,22.51,22.56,1783807
"2016-04-07",22.29,22.39,21.71,21.84,3444529
"2016-04-14",22.79,22.82,22.6,22.61,1166461
"2016-04-21",22.89,22.98,22.72,22.95,2105614
"2016-04-28",24.12,24.28,23.5,23.58,2222647
"2016-05-05",23,23.67,22.38,23.16,3881662
"2016-05-12",23.79,23.95,23.33,23.41,2130850
"2016-05-19",22.29,22.64,22.13,22.57,2607729
"2016-05-26",23.52,23.68,23.37,23.57,2448279
"2016-06-02",23.87,23.89,23.52,23.63,1838175
"2016-06-09",24.15,24.17,23.88,24.1,1467668
"2016-06-16",22.87,23.14,22.7,23.09,1803773
"2016-06-23",23.79,24.13,23.77,24.11,1854842
"2016-06-30",22.5,23.12,22.41,23.12,2308880
"2016-07-07",23.53,23.94,23.52,23.66,2174464
"2016-07-14",25.68,25.77,25.32,25.36,1828837
"2016-07-21",25.51,25.74,25.4,25.42,1191497
"2016-07-28",25.78,25.92,25.5,25.57,1160970
"2016-08-04",24.42,24.61,23.22,23.45,5867721
"2016-08-11",24.77,25.29,24.77,25.07,2046005
"2016-08-18",25.49,26.18,25.47,26.14,3835196
"2016-08-25",26.26,26.45,26.08,26.22,1432791
"2016-09-01",25.67,25.76,25.22,25.74,1634824
"2016-09-08",26.07,26.21,26.03,26.11,1226055
"2016-09-15",24.77,25.01,24.65,24.94,1329781
