"","AMAT.Open","AMAT.High","AMAT.Low","AMAT.Close","AMAT.Volume"
"2013-04-25",13.74,14.2,13.67,14.15,20829658
"2013-05-02",14.47,14.8,14.41,14.79,14535759
"2013-05-09",14.86,15,14.82,14.92,9214060
"2013-05-16",14.84,14.93,14.32,14.66,22155203
"2013-05-23",14.43,14.63,14.34,14.6,15548738
"2013-05-30",14.85,15.43,14.84,15.25,19744829
"2013-06-06",15.2,15.24,14.88,14.95,16832567
"2013-06-13",15.29,15.6,15.24,15.6,11424337
"2013-06-20",15.51,15.53,15.02,15.07,18636542
"2013-06-27",15.13,15.14,14.88,14.91,9374777
"2013-07-11",16.47,16.5,16.28,16.49,14302293
"2013-07-18",16.64,16.7,16.4,16.56,10658701
"2013-07-25",16.06,16.18,15.92,16.13,6567836
"2013-08-01",16.45,16.64,16.38,16.49,10080333
"2013-08-08",16.02,16.02,15.58,15.65,19918773
"2013-08-15",15.42,15.59,15.28,15.32,11225679
"2013-08-22",15.61,15.74,15.58,15.66,9567986
"2013-08-29",14.92,15.15,14.9,15.14,12229860
"2013-09-05",15.63,15.7,15.52,15.68,9345957
"2013-09-12",15.95,16,15.83,15.93,8891666
"2013-09-19",16.28,16.43,16.08,16.08,7976104
"2013-09-26",17.86,17.9,17.58,17.77,16847324
"2013-10-03",17.5,17.51,17.24,17.33,13019148
"2013-10-10",17.48,17.93,17.45,17.88,10927830
"2013-10-17",17.73,18.12,17.72,18.08,11486237
"2013-10-24",17.67,17.85,17.54,17.82,12100232
"2013-10-31",17.82,18.05,17.81,17.86,10983507
"2013-11-07",17.89,17.93,17.32,17.36,11617200
"2013-11-14",17.86,17.87,17.5,17.56,12179155
"2013-11-21",16.88,17.3,16.82,17.26,13571549
"2013-12-05",16.63,16.82,16.41,16.5,14030083
"2013-12-12",16.83,16.85,16.69,16.72,9532657
"2013-12-19",16.95,17.03,16.79,16.88,9392604
"2013-12-26",17.41,17.48,17.38,17.44,3836304
"2014-01-02",17.69,17.69,17.37,17.55,7785873
"2014-01-09",17.42,17.5,17.32,17.4,8837992
"2014-01-16",17.87,17.88,17.61,17.63,6960778
"2014-01-23",17.51,17.56,17.4,17.53,8232195
"2014-01-30",16.92,16.92,16.68,16.78,10336297
"2014-02-06",16.91,17.18,16.88,17.05,7924097
"2014-02-13",17.79,19,17.73,18.87,31649491
"2014-02-20",18.75,19,18.72,18.99,16166132
"2014-02-27",19,19.07,18.85,19.01,12154584
"2014-03-06",19.18,19.38,19.1,19.38,13373449
"2014-03-13",19.58,19.67,18.77,18.88,19390652
"2014-03-20",19.46,20.2,19.38,20.19,27535598
"2014-03-27",19.86,20.02,19.64,19.69,12449639
"2014-04-03",20.85,21.16,20.73,20.84,19373025
"2014-04-10",19.96,19.99,19.03,19.09,19609316
"2014-04-17",18.89,19.07,18.7,18.99,10238706
"2014-04-24",19.45,19.59,19.19,19.37,11860889
"2014-05-01",19.11,19.29,18.86,18.88,17221392
"2014-05-08",18.8,19.63,18.76,19.32,21343337
"2014-05-15",18.9,18.97,18.48,18.69,15801723
"2014-05-22",19.94,20.19,19.86,19.89,9347211
"2014-05-29",20.58,20.58,20.24,20.28,16091386
"2014-06-05",21.6,21.9,21.41,21.78,21007446
"2014-06-12",21.8,22.01,21.59,21.75,10857541
"2014-06-19",22.47,22.49,22.22,22.46,12922954
"2014-06-26",22.6,22.64,22.16,22.42,12812770
"2014-07-03",22.85,22.95,22.72,22.81,5488520
"2014-07-10",22.91,23.05,22.73,22.87,14261832
"2014-07-17",22.72,23.07,22.66,22.76,11318251
"2014-07-24",21.94,22,21.71,21.76,10357125
"2014-07-31",21.1,21.36,20.93,20.96,12963351
"2014-08-07",21.25,21.44,20.6,20.69,15622534
"2014-08-14",21,21.24,20.99,21.15,11241007
"2014-08-21",21.92,22.2,21.88,22.2,11350001
"2014-08-28",22.48,22.84,22.48,22.8,9035068
"2014-09-04",22.95,22.95,22.54,22.54,12291982
"2014-09-11",22.36,22.93,22.28,22.93,12632892
"2014-09-18",22.46,22.62,22.36,22.6,9095093
"2014-09-25",21.95,21.96,21.47,21.51,9120543
"2014-10-02",20.97,21.04,20.39,20.53,24922735
"2014-10-09",20.99,21.26,20.7,20.87,17546488
"2014-10-16",19.09,19.95,19.05,19.87,17523746
"2014-10-23",20.6,21.19,20.6,20.9,19158545
"2014-10-30",21.36,21.46,20.95,21.34,13317895
"2014-11-06",22.58,22.75,22.39,22.59,11774263
"2014-11-13",22.87,22.98,22.5,22.62,13873351
"2014-11-20",22.45,22.7,22.37,22.63,9402409
"2014-12-04",24.62,24.85,24.29,24.4,10152666
"2014-12-11",23.87,24.26,23.71,23.79,7741559
"2014-12-18",24.87,25.02,24.58,25.01,18581776
"2015-01-08",23.69,24.32,23.67,24.22,16696854
"2015-01-15",23.57,23.72,23.24,23.32,26527390
"2015-01-22",24.3,24.63,23.76,24.62,12543536
"2015-01-29",23.37,23.72,23.06,23.62,8518901
"2015-02-05",23.63,24.05,23.37,23.96,13207026
"2015-02-12",23.65,24.31,23.58,24.14,19818346
"2015-02-19",24.01,25.39,24.01,24.93,29232446
"2015-02-26",25.05,25.05,24.45,24.91,21342145
"2015-03-05",24.29,24.35,24.07,24.18,10047363
"2015-03-12",23.34,23.78,23.23,23.77,14311034
"2015-03-19",24.37,24.37,23.97,24.08,9698597
"2015-03-26",22.25,22.88,21.8,22.4,34670386
"2015-04-02",22.48,22.6,22.2,22.27,9281092
"2015-04-09",22.31,22.58,22.11,22.51,14365460
"2015-04-16",22.2,22.22,21.71,21.88,33201490
"2015-04-23",22.14,22.24,21.95,22.17,9290279
"2015-04-30",19.92,19.92,19.64,19.79,33200136
"2015-05-07",19.21,19.67,19.2,19.56,14345884
"2015-05-14",20.03,20.1,19.78,19.86,30896506
"2015-05-21",19.83,20.26,19.82,20.15,11820898
"2015-05-28",20.34,20.6,20.29,20.36,18479785
"2015-06-04",20.24,20.31,19.86,20.06,17684747
"2015-06-11",20.04,20.11,19.74,19.78,16586540
"2015-06-18",19.62,19.86,19.58,19.84,16078011
"2015-06-25",20.22,20.28,20.01,20.06,10723542
"2015-07-02",19.55,19.64,19.45,19.61,9066974
"2015-07-09",18.74,18.91,18.51,18.52,14214396
"2015-07-16",18.43,18.48,17.64,17.87,32327000
"2015-07-23",17.47,17.86,17.46,17.72,13400511
"2015-07-30",17.6,17.74,17.53,17.57,12332833
"2015-08-06",17.11,17.19,16.8,16.85,12857169
"2015-08-13",17.38,17.45,17,17.05,17273873
"2015-08-20",16.31,16.37,15.97,15.98,12808254
"2015-08-27",15.38,16,15.36,15.94,21173550
"2015-09-03",15.78,16.12,15.74,15.76,13278553
"2015-09-10",15.41,15.8,15.26,15.56,15152640
"2015-09-17",16.04,16.31,15.92,16.02,15399226
"2015-09-24",14.55,14.88,14.29,14.69,19844873
"2015-10-01",14.72,14.78,14.45,14.67,13815665
"2015-10-08",15.39,15.72,15.33,15.67,11238239
"2015-10-15",15.6,15.9,15.4,15.72,23374392
"2015-10-22",16.2,16.67,16.08,16.21,31904671
"2015-10-29",16.5,16.82,16.37,16.74,14602585
"2015-11-05",16.91,17.01,16.68,16.81,9606067
"2015-11-12",16.69,16.83,16.5,16.53,18419405
"2015-11-19",18.2,18.42,18.14,18.2,12904476
"2015-12-03",19.23,19.31,18.68,18.76,15094918
"2015-12-10",18.88,18.98,18.71,18.75,13510955
"2015-12-24",19.08,19.19,19.02,19.11,3215265
"2015-12-31",18.94,18.96,18.67,18.67,8685066
"2016-01-07",17.3,17.61,17.02,17.21,17003235
"2016-01-14",16.36,17.03,16.2,16.81,20722407
"2016-01-21",16.55,17.1,16.26,16.81,17642906
"2016-01-28",17.23,17.58,16.67,16.68,17497129
"2016-02-04",17.34,17.77,17.26,17.58,12717702
"2016-02-11",15.72,15.94,15.44,15.64,11135202
"2016-02-18",17.17,17.29,17.03,17.17,12395611
"2016-02-25",18.76,18.95,18.58,18.89,10076395
"2016-03-03",19.4,19.55,19.31,19.45,8132091
"2016-03-10",19.34,19.64,19.2,19.57,15376158
"2016-03-17",19.87,20.44,19.87,20.28,13482543
"2016-03-24",20.28,20.32,19.71,20.15,14045087
"2016-03-31",20.91,21.41,20.89,21.18,14425822
"2016-04-07",20.9,20.99,20.68,20.8,9063715
"2016-04-14",21.33,21.52,20.72,21.48,17890320
"2016-04-21",21.09,21.24,20.85,20.94,8923205
"2016-04-28",21.26,21.29,20.72,20.81,10875739
"2016-05-05",19.89,19.98,19.7,19.85,9254979
"2016-05-12",20.14,20.18,19.46,19.63,11751838
"2016-05-19",19.79,20.04,19.72,19.91,13621845
"2016-05-26",23.67,23.87,23.6,23.73,12321209
"2016-06-02",24.5,24.65,24.44,24.52,18034782
"2016-06-09",24.03,24.46,23.91,24.42,11920923
"2016-06-16",23.52,23.74,23.32,23.69,12827761
"2016-06-23",24.34,24.53,24.13,24.52,10942852
"2016-06-30",23.71,23.98,23.46,23.97,10256713
"2016-07-07",24.02,24.46,24,24.29,10056914
"2016-07-14",26.08,26.24,25.74,26.1,14888635
"2016-07-21",26.61,26.66,26.06,26.23,14638512
"2016-07-28",26.82,26.95,26.58,26.62,8239113
"2016-08-04",26.2,26.37,26.14,26.37,4926186
"2016-08-11",26.56,26.99,26.41,26.82,7599083
"2016-08-18",27.6,27.71,27.26,27.68,20765004
"2016-08-25",29.63,29.96,29.59,29.65,10441738
"2016-09-01",29.94,30.29,29.82,30.29,10705194
"2016-09-08",29.86,29.96,29.64,29.79,8170398
"2016-09-15",29.58,30.38,29.52,30.15,15579797
