"","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume"
"2015-05-07",424.15,428.5,422.85,426.88,2766132
"2015-05-14",429.45,433,427.01,432.28,1888477
"2015-05-21",428,436.9,428,431.63,4121401
"2015-05-28",429.71,431.35,425.47,426.57,1912436
"2015-06-04",434.4,436.76,429.26,430.78,2510761
"2015-06-11",432.29,438.89,431.47,432.97,2922459
"2015-06-18",430.3,439.73,429.4,439.39,3378360
"2015-06-25",438.07,443.47,436.39,440.1,2237458
"2015-07-02",437,438.2,433.48,437.71,1343397
"2015-07-09",434.9,438.72,434.15,434.39,2271395
"2015-07-16",465.5,475.88,464.8,475.48,4095581
"2015-07-23",491.66,491.66,475.7,482.18,9374431
"2015-07-30",527.65,539.2,524.29,536.76,3743065
"2015-08-06",539.3,542.74,527.52,529.46,3820453
"2015-08-13",527.37,534.66,525.48,529.66,2895238
"2015-08-20",530.39,533.25,515.77,515.78,4374857
"2015-08-27",513.71,522.69,507.26,518.37,6064885
"2015-09-03",514.5,515.84,502.57,504.72,3098941
"2015-09-10",515.15,526.13,514.78,522.24,2562832
"2015-09-17",526.98,546.97,526.57,538.87,4124870
"2015-09-24",530.55,534.56,522.87,533.75,3481804
"2015-10-01",511,520.8,506,520.72,3741058
"2015-10-08",536.71,539.39,519.89,533.16,4648953
"2015-10-15",547.75,563,547,562.44,4914627
"2015-10-22",562.7,569.15,556.67,563.91,7250534
"2015-10-29",617.7,627.54,615.39,626.55,3858609
"2015-11-05",647.1,657,643.09,655.65,4707393
"2015-11-12",673,675.64,664.22,665.6,4246218
"2015-11-19",664.99,672.86,659,661.27,4674078
"2015-12-03",679.44,682.79,661.48,666.25,5064736
"2015-12-10",665.59,668.53,659.56,662.32,3455472
"2015-12-17",680,682.5,670.65,670.65,3681645
"2015-12-24",663.35,664.68,660.6,662.79,1092970
"2015-12-31",686.08,687.75,675.89,675.89,3749560
"2016-01-07",621.8,630,605.21,607.94,7074915
"2016-01-14",580.25,602.25,569.88,593,7203038
"2016-01-21",573.58,588.81,568.22,575.02,4932633
"2016-01-28",608.37,638.06,597.55,635.35,12615917
"2016-02-04",525,538.99,519.22,536.26,6176558
"2016-02-11",491.17,509.3,484,503.82,7372686
"2016-02-18",541.19,541.2,523.73,525,4704237
"2016-02-25",555.52,559.39,545.29,555.15,4510534
"2016-03-03",577.96,579.87,573.11,577.49,2736673
"2016-03-10",566.74,567,547.9,558.93,3914343
"2016-03-17",569.51,571.4,555.01,559.44,5918200
"2016-03-24",567.11,583.55,567.08,582.95,5141569
"2016-03-31",599.28,600.75,592.21,593.64,2673617
"2016-04-07",598.76,599.6,589.08,591.43,3153717
"2016-04-14",615.07,624.38,615.07,620.75,3474327
"2016-04-21",631,637.82,628.5,631,2550919
"2016-04-28",615.54,626.8,599.2,602,7142090
"2016-05-05",673.31,676.49,656,659.09,4875480
"2016-05-12",717.38,722.45,711.51,717.93,5034666
"2016-05-19",691.88,699.4,689.56,698.52,3014968
"2016-05-26",708.33,715,707.29,714.91,2436846
"2016-06-02",720.97,728.28,715.5,728.24,3026583
"2016-06-09",723.1,728.91,722.3,727.65,2170318
"2016-06-16",712.05,718,705.3,717.51,3097961
"2016-06-23",715.5,722.12,712.5,722.08,2824974
"2016-06-30",717.2,719.37,712.54,715.62,2855142
"2016-07-07",739.33,739.55,731.63,736.57,2945783
"2016-07-14",748.86,749.04,739.02,741.2,2390472
"2016-07-21",747.5,749.36,742.79,744.43,2317072
"2016-07-28",745.98,753.36,739.7,752.61,7617580
"2016-08-04",753.7,765,750.35,760.77,3178208
"2016-08-11",769.94,773.75,769.12,771.24,2019740
"2016-08-18",764,765.17,760.6,764.46,1458834
"2016-08-25",756,760.56,754.74,759.22,1622992
"2016-09-01",770.9,772.04,766.75,770.62,1792271
"2016-09-08",783.89,786.5,781.44,784.06,2030511
"2016-09-15",762,770.87,757.58,769.69,3043534
