"","ORLY.Open","ORLY.High","ORLY.Low","ORLY.Close","ORLY.Volume"
"2013-07-25",124.03,124.28,120.8,122.63,1866180
"2013-08-01",126.23,128.24,126.09,128.09,765366
"2013-08-08",125.91,126.2,123.58,125.61,894864
"2013-08-15",125.66,126.14,123.12,123.18,434054
"2013-08-22",122.58,123.62,121.51,122.33,431108
"2013-08-29",121.72,123.53,121.44,123.07,428563
"2013-09-05",123.67,124.48,123.05,123.5,323687
"2013-09-12",125.58,126.29,125.02,125.75,490843
"2013-09-19",127.08,127.5,126.1,126.64,697050
"2013-09-26",125.63,126.37,124.78,125.86,463688
"2013-10-03",126.62,127.4,125.22,125.61,370900
"2013-10-10",123.8,126.15,123.12,125.94,666403
"2013-10-17",132.08,135.62,131.62,135.19,1052371
"2013-10-24",125.8,127.2,122.75,125.08,3329906
"2013-10-31",124.17,124.8,123.51,123.81,709218
"2013-11-07",124.93,124.93,123,123.1,672933
"2013-11-14",125.5,125.89,124.27,125.62,453976
"2013-11-21",125.04,126.04,124.51,125.09,513371
"2013-12-05",121.06,122.19,120.92,120.96,1101990
"2013-12-12",127.97,127.97,124.42,124.92,798699
"2013-12-19",129.53,129.82,128.19,129.14,457668
"2013-12-26",129.35,129.81,128.15,129.64,290763
"2014-01-02",128.42,129.64,128.2,128.76,537637
"2014-01-09",133.22,133.82,132.32,132.49,606218
"2014-01-16",133,133.75,132.04,133.72,391301
"2014-01-23",135.02,136.15,133.6,134.35,588492
"2014-01-30",131.18,132.34,130.05,132.29,557597
"2014-02-06",142.32,149.99,141.93,146.72,2707517
"2014-02-13",150.68,152.87,150.3,152.82,898254
"2014-02-20",154.48,154.98,153.18,154.26,489401
"2014-02-27",152,152.29,149.55,150.5,857903
"2014-03-06",150.75,150.75,149.41,149.75,471401
"2014-03-13",150.07,150.07,146.42,146.68,474370
"2014-03-20",146.25,147.29,145.56,146.72,473304
"2014-03-27",146.69,147.47,145.13,145.68,446884
"2014-04-03",149.42,150.2,147.65,148.53,428295
"2014-04-10",145.07,145.79,142.42,142.44,737685
"2014-04-17",145.18,147.97,144.64,146.44,898856
"2014-04-24",145.65,147.89,143.25,147.69,1626001
"2014-05-01",148.99,150.08,147.7,147.91,537698
"2014-05-08",146.05,147.77,145.24,146.56,794481
"2014-05-15",147.76,148.37,144.38,146.11,563858
"2014-05-22",146.78,149.01,146,148.12,482931
"2014-05-29",146.36,147.18,146.04,146.52,668975
"2014-06-05",150.91,152.05,149.9,151.45,483714
"2014-06-12",150.06,150.96,148.24,148.75,406807
"2014-06-19",151.51,152.01,150.14,150.57,377928
"2014-06-26",149.07,149.56,148.44,149.31,427545
"2014-07-03",152.07,153.11,151.71,152.95,274864
"2014-07-10",153.82,154.81,153.32,153.59,565193
"2014-07-17",153.06,154.64,151.89,152.06,612632
"2014-07-24",153.27,154,150.24,151.77,1653961
"2014-07-31",151.16,152.39,149.78,150,1155469
"2014-08-07",151.05,151.05,148.74,148.86,404947
"2014-08-14",151.89,153.97,151.56,153.92,813349
"2014-08-21",154.65,156.21,153.82,154.47,507752
"2014-08-28",155.6,156.87,154.21,156.46,352214
"2014-09-04",157.09,158.37,157.09,157.43,477619
"2014-09-11",155.76,155.8,153.7,154.79,648797
"2014-09-18",154.97,155.51,153.62,155.18,555176
"2014-09-25",151.02,151.72,149.51,149.57,553514
"2014-10-02",149.47,151.48,149.47,150.95,533538
"2014-10-09",153.11,153.86,150.06,150.06,780619
"2014-10-16",147.83,151.3,146.82,149.46,913268
"2014-10-23",165,169.13,163.72,167.44,1886938
"2014-10-30",173.16,175.8,172.77,174.9,587304
"2014-11-06",176.68,180,175.63,179.61,749418
"2014-11-13",180.4,181.92,179.91,181.63,550704
"2014-11-20",177.31,179.28,177.31,178.71,407448
"2014-12-04",188.86,189.73,187.04,188.93,672673
"2014-12-11",191.02,193.93,190.86,191.87,657297
"2014-12-18",194.19,194.73,191.02,193.58,951147
"2015-01-08",191.27,194.37,190.5,193.24,1288836
"2015-01-15",183.1,183.95,179.81,179.96,636361
"2015-01-22",185.35,189.99,184.64,189.32,554466
"2015-01-29",190.46,192.74,189.32,192.65,656817
"2015-02-05",201.72,214.15,200.87,208.24,2992152
"2015-02-12",207.57,208.05,206,206.57,615348
"2015-02-19",206.06,206.68,204.09,204.91,383069
"2015-02-26",208.1,209.65,207.34,209.34,493371
"2015-03-05",207.54,209.56,207.11,208.02,554546
"2015-03-12",205.37,210.11,205.09,209.55,591045
"2015-03-19",214.33,215.23,213.38,214.97,368019
"2015-03-26",208.42,211.89,206.86,211.19,575184
"2015-04-02",215.34,216.8,214.31,215.58,480103
"2015-04-09",217.28,222.94,216.47,218.52,461963
"2015-04-16",216.06,216.57,214.5,215.41,599373
"2015-04-23",225,230.77,224,228.31,1374785
"2015-04-30",220.87,222.86,216.72,217.83,657049
"2015-05-07",217.88,220.66,217.84,219.38,584488
"2015-05-14",221.23,222.62,218.86,222.28,456622
"2015-05-21",220.98,225.46,220.98,224.94,465442
"2015-05-28",222.72,223.58,221.26,222.67,438622
"2015-06-04",223.11,224.86,221.87,222.12,433607
"2015-06-11",226.47,227.67,225.57,226.03,410758
"2015-06-18",226.52,229.98,226.52,229.36,583172
"2015-06-25",230.96,233.45,230.61,231.77,512550
"2015-07-02",231.98,232.58,230.15,231.24,379121
"2015-07-09",233.51,233.96,230.47,231.38,498500
"2015-07-16",239.2,239.3,237.32,238.97,494462
"2015-07-23",241.04,244.31,240.03,240.67,541850
"2015-07-30",246.41,247,236.79,238.15,928765
"2015-08-06",244.13,245.12,240.58,241.18,467659
"2015-08-13",247.22,256.52,246.33,253.92,981537
"2015-08-20",253.82,255.27,251.32,251.32,546332
"2015-08-27",240.76,244.74,238.76,242.96,815585
"2015-09-03",241.14,242.25,237.07,237.94,537815
"2015-09-10",238.89,242.53,238.89,241.24,655193
"2015-09-17",253.31,255.57,250.07,250.68,844740
"2015-09-24",246.11,249.32,245.78,247.98,576083
"2015-10-01",251,253.46,246.96,251.9,841379
"2015-10-08",250.52,254.25,249.44,253.56,408588
"2015-10-15",249.16,251.99,247.26,251.45,744609
"2015-10-22",254.54,257.47,253.46,256.98,680071
"2015-10-29",273.34,277.96,268.34,275.95,1436784
"2015-11-05",272.23,274.36,270.35,273.48,467552
"2015-11-12",266.75,269.98,263.02,266.9,655323
"2015-11-19",269.56,271.18,267.88,268.96,435263
"2015-12-03",261.73,263.22,252.63,253.37,1300158
"2015-12-10",257.44,259.99,256.04,256.43,758271
"2015-12-17",259.88,259.88,254.28,254.35,752611
"2015-12-24",254.08,254.77,252.96,253.42,218651
"2015-12-31",255.95,257.41,253.42,253.42,413466
"2016-01-07",237.1,244.3,236,240.17,1053397
"2016-01-14",235.49,238.34,233.29,235.99,756694
"2016-01-21",236.43,239.47,233.48,236.71,950531
"2016-01-28",248.07,257.75,246.39,256.34,1655270
"2016-02-04",253.24,253.6,247.05,250.88,999985
"2016-02-11",242,253.49,238.48,249.53,2626483
"2016-02-18",254.27,255.72,251.51,253.41,730308
"2016-02-25",264.77,267.78,262.9,267.27,772217
"2016-03-03",266.51,270.76,265.02,267.93,1143532
"2016-03-10",264.77,268.59,263.87,268.14,682416
"2016-03-17",269.15,269.81,266.42,267.75,639381
"2016-03-24",276.35,277.17,273.4,274.76,570981
"2016-03-31",277.56,277.66,273.51,273.66,563062
"2016-04-07",270.16,273.49,267.63,269.33,475008
"2016-04-14",274,274,269.48,269.79,766879
"2016-04-21",273.1,273.4,269.69,269.76,606615
"2016-04-28",261.54,269.46,261,265.03,1852401
"2016-05-05",267.71,267.71,263.32,263.45,629777
"2016-05-12",263.01,266.4,261.85,265.13,639473
"2016-05-19",249.03,256.1,248.02,255.46,1017550
"2016-05-26",264.18,267.75,263.66,264.12,767853
"2016-06-02",263.19,263.73,260.11,262.69,732436
"2016-06-09",261.23,264.37,260.46,262.35,471609
"2016-06-16",258.98,259.98,258.01,259.81,454655
"2016-06-23",264.29,265.6,262.56,264.25,448142
"2016-06-30",274,274,269.94,271.1,1063401
"2016-07-07",276.71,277.59,274.32,275.28,468803
"2016-07-14",277.13,278,275.52,277.65,393142
"2016-07-21",273.49,273.95,270.32,271.33,468758
"2016-07-28",278.8,292.84,275.01,288.67,2382089
"2016-08-04",287.25,289.95,286.88,288.71,504559
"2016-08-11",288.88,291.56,287.85,288.1,604869
"2016-08-18",286.24,286.32,284.4,286.01,365603
"2016-08-25",283.7,285.58,283.38,284.17,404954
"2016-09-01",280.7,283.5,280,282.13,526130
"2016-09-08",282,283.09,280.78,281.95,823476
"2016-09-15",276.18,277.05,274.88,276.04,664931
