"","KMX.Open","KMX.High","KMX.Low","KMX.Close","KMX.Volume"
"2014-03-20",46.99,47.54,46.93,47.39,930330
"2014-03-27",45.37,45.56,44.9,45.45,1582500
"2014-04-03",47.91,48.3,47.14,47.56,3010029
"2014-04-10",45.01,45.46,43.68,43.76,2399762
"2014-04-17",43.76,44.66,43.76,44.44,1555434
"2014-04-24",43.38,43.7,43.05,43.54,1646793
"2014-05-01",43.87,44.58,43.81,44.48,1744332
"2014-05-08",44.06,45.1,43.99,44.6,1910515
"2014-05-15",44.6,44.71,43.85,44.19,1225158
"2014-05-22",44.26,44.92,44.22,44.53,943518
"2014-05-29",45.01,45.23,44.81,44.98,958433
"2014-06-05",46.01,46.27,45.93,46.11,1345881
"2014-06-12",45.53,45.56,43.86,43.87,2470185
"2014-06-19",45.25,45.32,44.76,45.28,2460785
"2014-06-26",50.3,51.62,50.22,51.57,2100263
"2014-07-03",52.7,53.15,52.42,52.95,822258
"2014-07-10",52.52,52.6,51.94,52.43,2128323
"2014-07-17",52.21,52.45,51.03,51.1,1462268
"2014-07-24",51.03,51.33,50.77,50.92,1133959
"2014-07-31",49.51,49.97,48.64,48.81,1185920
"2014-08-07",50.19,50.32,49.28,49.39,698156
"2014-08-14",49.95,50.84,49.91,50.7,947951
"2014-08-21",51.39,51.45,50.79,51.08,913704
"2014-08-28",51.09,52.17,50.94,51.96,610158
"2014-09-04",52.99,53.59,52.9,53.34,1683744
"2014-09-11",51.76,52.66,51.76,52.54,1482015
"2014-09-18",53.57,53.64,53.2,53.52,1396990
"2014-09-25",48.21,48.31,47.06,47.52,2645408
"2014-10-02",46.13,46.2,45.26,46.05,2651415
"2014-10-09",47.13,47.73,46.29,46.3,2100438
"2014-10-16",44.51,46.44,44.34,45.88,3308728
"2014-10-23",49.58,53.31,49.58,52.73,6202877
"2014-10-30",54.89,55.93,54.81,55.76,1576159
"2014-11-06",56.13,56.63,55.25,56.26,2550207
"2014-11-13",56.12,56.53,55.64,55.85,1703210
"2014-11-20",54.82,55.67,54.82,55.05,1183423
"2014-12-04",58.42,59.75,58.29,59.32,1797078
"2014-12-11",59.02,60.66,59.02,59.51,2033824
"2014-12-18",60.42,60.54,59.22,60.53,3831629
"2015-01-08",65.66,66.3,65.48,66.09,1514306
"2015-01-15",64.04,64.94,62.18,62.23,1286540
"2015-01-22",63.29,64.44,62.76,64.24,1084829
"2015-01-29",62.6,63.45,62.22,63.31,918569
"2015-02-05",64.66,64.98,64.24,64.53,1384175
"2015-02-12",66.04,66.67,65.51,66.58,1066382
"2015-02-19",67.55,68.41,67.34,68.3,1081883
"2015-02-26",68.12,68.3,67.57,67.73,870420
"2015-03-05",64.69,65.02,64.53,64.62,1296591
"2015-03-12",62.3,62.95,62.15,62.45,2225547
"2015-03-19",65.21,65.83,65.16,65.64,976580
"2015-03-26",65.87,66.19,65.26,65.8,1862781
"2015-04-02",71.98,75.4,71.97,74.73,9037218
"2015-04-09",74,74.55,73.4,74.11,1486638
"2015-04-16",72.42,72.45,71.57,71.68,926642
"2015-04-23",70.78,71.05,70.3,70.72,1024588
"2015-04-30",68.44,68.83,67.69,68.11,1416418
"2015-05-07",69.93,71.03,69.78,70.84,1240268
"2015-05-14",71.91,72.05,71.28,71.72,1597930
"2015-05-21",72.01,72.94,71.92,72.51,1298392
"2015-05-28",72.92,73.15,72.16,72.38,858798
"2015-06-04",72.48,73.2,72.39,73.09,1287132
"2015-06-11",73.47,73.69,72.67,72.78,798687
"2015-06-18",72.4,72.88,71.72,71.96,2928179
"2015-06-25",68.49,68.68,67.9,68.07,1157991
"2015-07-02",67.34,67.52,66.54,66.67,1064529
"2015-07-09",66.71,66.71,66.17,66.25,1676802
"2015-07-16",67.82,68.99,67.63,68.87,1198747
"2015-07-23",66.66,66.82,65.11,65.19,1818728
"2015-07-30",64.11,64.23,63.55,63.99,1017889
"2015-08-06",64.25,64.32,61.64,62.1,2448376
"2015-08-13",62.65,63.18,62.04,62.62,1076059
"2015-08-20",61.77,62.44,61.26,61.32,994843
"2015-08-27",59.15,60.41,58.64,60,1614548
"2015-09-03",60.1,61.38,59.94,60.58,1357572
"2015-09-10",59.53,60.52,59.1,59.82,1387975
"2015-09-17",62.1,62.96,61.68,61.96,2165779
"2015-09-24",58.68,59.44,58.22,59.07,2011902
"2015-10-01",59.55,59.75,57.71,58.65,2215138
"2015-10-08",59.36,60.42,59.12,59.96,1468100
"2015-10-15",56.97,57.22,56.25,56.98,1758608
"2015-10-22",57.67,58.84,57.66,58.24,2329835
"2015-10-29",57.92,58.55,57.68,58.41,2127310
"2015-11-05",57.33,57.55,56.73,57.06,2193360
"2015-11-12",55.6,56.1,55.45,55.45,1439597
"2015-11-19",56.54,57.05,56.1,56.35,1427290
"2015-12-03",57.99,59.14,57.64,58.22,2912343
"2015-12-10",58.78,59.17,58.47,58.65,1440811
"2015-12-17",58.81,59.16,57.11,57.15,4761109
"2015-12-24",53.52,53.75,53.01,53.23,849845
"2015-12-31",54.28,54.92,53.97,53.97,1689020
"2016-01-07",47.67,47.9,46.75,47.11,7094200
"2016-01-14",46.26,47.35,45.44,47.06,3649312
"2016-01-21",44.94,47.12,44.87,45.78,4303829
"2016-01-28",44.95,45.13,42.73,42.9,5784566
"2016-02-04",42.56,44.02,41.99,43.9,3164854
"2016-02-11",42.11,42.97,41.46,42.15,3096987
"2016-02-18",47.77,47.98,46.36,46.64,2956750
"2016-02-25",45.22,46.27,44.75,46.26,2257954
"2016-03-03",47.66,50.54,47.52,50.29,4314173
"2016-03-10",50.98,51.67,50.36,50.98,1690286
"2016-03-17",49.36,49.72,47.07,49.31,2463158
"2016-03-24",48.21,48.89,47.11,48.83,2299405
"2016-03-31",50.81,51.37,50.28,51.1,2538105
"2016-04-07",54.66,54.66,48.78,49.48,11244234
"2016-04-14",54.2,54.33,53.16,53.62,3038079
"2016-04-21",54.1,54.72,51.68,52.43,2919090
"2016-04-28",54.85,55.36,53.78,53.93,1151775
"2016-05-05",51.61,51.71,50.47,50.6,2077115
"2016-05-12",51.15,51.3,50.49,51,1959042
"2016-05-19",50.79,51.91,50.72,51.32,1909955
"2016-05-26",54.08,54.42,53.15,53.39,1652345
"2016-06-02",51.77,52.3,51.11,52.09,3613826
"2016-06-09",51.94,51.98,50.98,51.81,2414120
"2016-06-16",48.93,49.44,47.87,49.2,2490878
"2016-06-23",47.21,48.19,46.86,46.98,3706080
"2016-06-30",47.91,49.13,47.38,49.03,3445983
"2016-07-07",50.4,51.09,49.99,50.44,1931472
"2016-07-14",55.01,55.54,54.83,55.4,1769301
"2016-07-21",57.11,58.72,56.58,57.56,4857563
"2016-07-28",58.09,58.48,57.09,58.35,2011964
"2016-08-04",56.27,57.74,56.27,57.52,2649787
"2016-08-11",58.91,59.81,58.55,59.17,2089834
"2016-08-18",59.15,59.51,58.23,59.15,3130666
"2016-08-25",57.9,58.78,57.9,58.38,1260942
"2016-09-01",59.03,59.48,58.39,59.01,1139066
"2016-09-08",60.3,60.54,59.94,60.17,1488520
"2016-09-15",56.74,57.32,56.51,56.9,2353182
