"","ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume"
"2013-10-31",54.01,54.56,53.9,54.22,3509466
"2013-11-07",55.05,55.17,53.1,53.17,5526686
"2013-11-14",57.56,57.99,56.91,57.17,4571882
"2013-11-21",56.28,56.59,55.86,56.23,2461187
"2013-12-05",55.63,55.75,54.47,55.04,7792707
"2013-12-12",54.46,54.94,53.93,53.99,6248166
"2013-12-19",58.75,58.98,58.07,58.13,3310530
"2013-12-26",59.53,59.99,59.48,59.58,1026504
"2014-01-02",59.06,59.53,58.94,59.29,2746370
"2014-01-09",58.99,59.53,58.72,59.09,2427430
"2014-01-16",61.59,61.98,61.26,61.63,3747779
"2014-01-23",61.18,61.43,60.32,60.88,2671273
"2014-01-30",59.12,59.9,59.02,59.39,2768347
"2014-02-06",60.7,61.65,60.65,61.34,2898235
"2014-02-13",64.84,67.11,64.83,67.04,3606875
"2014-02-20",68.19,68.66,67.7,68.48,3162167
"2014-02-27",67.9,70.08,67.82,69.92,4724503
"2014-03-06",69.14,69.42,68.85,68.92,3059167
"2014-03-13",68.48,68.83,66.62,67.08,2870932
"2014-03-20",67.55,69.08,67.44,68.49,5280229
"2014-03-27",63.6,65.16,63.05,64.53,5556655
"2014-04-03",65.5,65.5,62.17,62.45,6984492
"2014-04-10",63.05,63.45,61.27,61.49,5648690
"2014-04-17",62.96,64.23,62.53,64.04,3746019
"2014-04-24",64.89,65,62.93,63.22,3961243
"2014-05-01",61.69,63.1,61.31,62.59,2839294
"2014-05-08",58.34,60.61,57.9,59.08,3824949
"2014-05-15",60.71,60.95,59.56,60.2,5699227
"2014-05-22",62.29,63.46,61.91,63.15,1814664
"2014-05-29",64.93,65.82,64.93,65.45,2060964
"2014-06-05",64.3,65.62,63.92,65.47,2041860
"2014-06-12",67.23,67.46,66.28,66.56,1940112
"2014-06-19",73.17,73.57,72.24,72.95,4413446
"2014-06-26",72.44,72.9,72.18,72.85,2075399
"2014-07-03",72.95,73.71,72.68,73.57,1396076
"2014-07-10",70.46,72.08,70.31,71.7,1853157
"2014-07-17",72.11,72.47,71.31,71.39,2032437
"2014-07-24",72.3,72.9,72.2,72.8,2414071
"2014-07-31",71.31,71.54,69.01,69.25,3822933
"2014-08-07",68.69,68.88,67.57,67.83,2292520
"2014-08-14",69.89,70.07,69.59,70.05,1318652
"2014-08-21",71.07,71.9,70.83,71.73,1886928
"2014-08-28",71.23,71.72,70.86,71.37,1062891
"2014-09-04",72.63,73.2,72.26,72.46,1976048
"2014-09-11",72.03,72.57,71.78,72.42,1708796
"2014-09-18",67.28,68.15,67.1,67.91,5173855
"2014-09-25",68.85,69.02,67.53,67.71,3622948
"2014-10-02",67.83,67.95,66.15,67.06,3936898
"2014-10-09",67.83,67.96,65.48,65.66,3376811
"2014-10-16",60.72,63.72,60.72,62.86,6639958
"2014-10-23",65.62,66.4,65.17,65.92,1783779
"2014-10-30",67.23,68.61,67.23,68.57,1896316
"2014-11-06",71.59,72.37,71.37,72.1,2345269
"2014-11-13",71.65,72.08,71.3,71.72,2560802
"2014-11-20",70.33,70.55,70.02,70.44,2250485
"2014-12-04",73.09,73.23,72.4,73.03,1428212
"2014-12-11",70.1,71.14,69.66,69.74,5176598
"2014-12-18",75.41,75.54,74.6,74.89,6913456
"2015-01-08",71.4,73.06,71.31,72.92,2624237
"2015-01-15",71.71,71.75,70.16,70.29,2839158
"2015-01-22",71.9,73.65,70.9,73.48,2178508
"2015-01-29",70.03,71.82,69.78,71.64,2538051
"2015-02-05",72.47,73.18,72.32,73.1,1438782
"2015-02-12",73.6,74.76,73.31,74.59,2243474
"2015-02-19",77.42,77.94,77.2,77.73,1556077
"2015-02-26",78.32,79.07,78.02,78.96,1545990
"2015-03-05",77.6,78.71,77.3,78.62,1850110
"2015-03-12",76.14,77.44,75.97,77.4,1683176
"2015-03-19",76.48,77.38,75.29,77.14,3519153
"2015-03-26",72.43,73.36,72.12,72.97,2965546
"2015-04-02",75.17,76.17,74.61,75.68,2158435
"2015-04-09",75.62,76.35,75.21,76.33,1556186
"2015-04-16",75.41,75.69,75.1,75.15,2069782
"2015-04-23",75.08,76.8,75,76.52,1714116
"2015-04-30",76.4,77.24,75.31,76.06,2109174
"2015-05-07",74.4,74.84,74.17,74.73,2010135
"2015-05-14",77.64,79.81,77.1,79.43,3068066
"2015-05-21",79.54,80.74,79.19,80.56,2761464
"2015-05-28",80.17,80.42,79.74,80.02,1248364
"2015-06-04",79.86,80.38,78.64,78.75,1659256
"2015-06-11",79.81,80.29,79.42,79.65,1918251
"2015-06-18",77.82,79.94,77.82,79.39,3858561
"2015-06-25",83.82,84.27,83.49,83.94,3052904
"2015-07-02",81.19,81.29,80.38,80.75,2200892
"2015-07-09",80.74,81.67,80.41,80.47,3068877
"2015-07-16",82.65,82.67,82.2,82.52,2058116
"2015-07-23",80.8,81.4,80.48,80.64,2579457
"2015-07-30",79.9,81.8,79.2,81.29,2072732
"2015-08-06",83.47,83.63,82.07,82.19,2272316
"2015-08-13",83.82,84.83,83,84.31,1963567
"2015-08-20",84.66,84.9,82.69,82.69,3062571
"2015-08-27",78.41,79.28,77.39,78.91,5181685
"2015-09-03",77.6,79.55,77.36,78.32,3458182
"2015-09-10",78.63,78.97,78.01,78.7,3518004
"2015-09-17",80.45,81.88,79.7,80.31,4717581
"2015-09-24",85.07,85.37,83.36,83.91,4441906
"2015-10-01",82.42,83.77,81.57,83.75,3393685
"2015-10-08",80.45,82.48,80.2,82.26,4568589
"2015-10-15",84.19,86.86,84.09,86.77,4369843
"2015-10-22",86.56,88.83,86.56,88.46,3535106
"2015-10-29",88.26,88.5,87.51,88.12,1592963
"2015-11-05",91.5,91.87,89.79,90.55,1835567
"2015-11-12",91.08,91.88,90.74,90.84,2447249
"2015-11-19",91.52,92.13,91.28,91.76,2396945
"2015-12-03",91.97,92.76,89.72,89.91,2425554
"2015-12-10",90.41,90.43,88.51,88.96,4751879
"2015-12-17",95.7,96.42,94.19,94.2,3069671
"2015-12-24",94.45,95.19,94.03,94.3,602505
"2015-12-31",95.07,95.21,93.88,93.94,1453954
"2016-01-07",89.4,91.4,88.71,89.11,2717802
"2016-01-14",88.92,90.3,87.32,89.8,4052473
"2016-01-21",88.64,89.93,87.14,88,4298740
"2016-01-28",85.54,85.74,82.7,84.52,5315530
"2016-02-04",87.82,87.97,85.78,86.36,3407163
"2016-02-11",74.04,75.53,73.58,74.94,4965850
"2016-02-18",82.3,82.82,80.14,80.53,3515594
"2016-02-25",84.76,86.72,84.15,86.68,3274214
"2016-03-03",88.5,88.5,85.85,87.21,3082086
"2016-03-10",85.06,86.52,83.59,84.85,2968680
"2016-03-17",88.66,90.21,87.25,89.96,6357164
"2016-03-24",91.5,92.74,91.25,92.52,3260637
"2016-03-31",93.76,94.58,93.23,93.8,6556403
"2016-04-07",94.72,94.89,93.19,93.78,2335578
"2016-04-14",94.34,94.71,94.01,94.44,1764045
"2016-04-21",96.21,97.14,95.76,96.37,2066874
"2016-04-28",94.8,95.74,93.15,93.64,3497651
"2016-05-05",93.1,94.22,92.92,93.5,1890230
"2016-05-12",96.31,96.98,94.93,95.96,1198115
"2016-05-19",96.41,96.94,95.25,95.88,1981657
"2016-05-26",99.81,100.32,99.07,99.37,1942901
"2016-06-02",99.98,100.17,99.17,100.17,1761940
"2016-06-09",98.36,98.7,97.85,98.07,1609440
"2016-06-16",96.5,97.3,95.54,97.19,1952549
"2016-06-23",94.73,96.28,94.31,96.21,3803197
"2016-06-30",94.48,95.88,94.13,95.79,3544671
"2016-07-07",95.01,95.51,94.54,95.14,1576636
"2016-07-14",98,98.14,97.46,97.7,1402541
"2016-07-21",98.12,98.42,96.08,96.34,2579487
"2016-07-28",97.92,98.61,97.57,98.44,1665971
"2016-08-04",96.5,97.28,96.19,97.09,1282611
"2016-08-11",100.85,101.93,100.59,101.67,2259559
"2016-08-18",99.6,100.93,99.6,100.67,2027030
"2016-08-25",101.15,101.79,100.91,101.69,1174109
"2016-09-01",102.23,102.97,101.81,102.9,2006579
"2016-09-08",102.77,102.97,101.62,101.88,2110629
"2016-09-15",98.84,100.04,98.49,99.62,3094979
