"","FCX.Open","FCX.High","FCX.Low","FCX.Close","FCX.Volume"
"2014-03-06",33.96,34.21,33.71,33.83,6629204
"2014-03-13",30.99,31.13,30.38,30.64,11172563
"2014-03-20",30.78,31.08,30.56,30.9,9039111
"2014-03-27",31.81,32.77,31.81,32.41,9929204
"2014-04-03",33.63,33.66,33.23,33.41,8074874
"2014-04-10",34,34,32.89,33.19,12864577
"2014-04-17",33.06,33.29,32.99,33.01,7186923
"2014-04-24",34.28,34.48,33.8,33.93,12376610
"2014-05-01",34.22,34.48,34.04,34.17,6567665
"2014-05-08",33.85,34.12,33.63,33.84,7345645
"2014-05-15",35.32,35.47,34.92,35.21,8285218
"2014-05-22",34.42,34.52,34.21,34.3,6503571
"2014-05-29",33.85,34.39,33.81,34.27,6381972
"2014-06-05",34.51,34.93,34.36,34.77,7490776
"2014-06-12",33.87,34.01,33.52,33.67,7158374
"2014-06-19",34.99,34.99,34.56,34.61,7706360
"2014-06-26",35.79,35.93,35.48,35.7,6065089
"2014-07-03",38.16,38.59,38.04,38.51,12172045
"2014-07-10",38.77,39.32,38.51,38.86,13146937
"2014-07-17",38.6,38.85,38.33,38.5,14014497
"2014-07-24",38.12,38.14,37.3,37.53,16150348
"2014-07-31",37.51,37.77,37.14,37.22,8276286
"2014-08-07",36.83,37,35.72,36.15,12685769
"2014-08-14",35.95,36.08,35.78,36.05,8077439
"2014-08-21",36.86,36.9,36.45,36.68,5189054
"2014-08-28",36.14,36.17,35.63,36.16,7663173
"2014-09-04",35.32,35.67,35.05,35.22,6082931
"2014-09-11",34.35,34.73,34.12,34.56,6753675
"2014-09-18",34.41,34.65,34.17,34.31,9330697
"2014-09-25",32.99,33,32.44,32.67,9216405
"2014-10-02",31.9,32.12,31.25,32.07,14230744
"2014-10-09",32.34,32.35,31.04,31.14,13007579
"2014-10-16",29.49,30.75,29.42,30.24,13671089
"2014-10-23",31.02,31.18,30.76,30.96,10839499
"2014-10-30",28.63,28.64,28.06,28.08,16474537
"2014-11-06",27.21,27.78,27.07,27.57,13550360
"2014-11-13",28.61,28.71,27.82,27.9,11509580
"2014-11-20",27.8,28.62,27.75,28.57,8810237
"2014-12-04",26.6,26.84,26.29,26.43,8874870
"2014-12-11",23.33,23.82,22.86,22.98,26720436
"2014-12-18",22.59,22.83,22.16,22.82,21206746
"2015-01-08",23.05,23.5,22.82,23.37,10959110
"2015-01-15",19.08,19.3,18.32,18.33,25351462
"2015-01-22",20.48,20.56,19.74,20.02,19039488
"2015-01-29",17.42,17.42,16.43,16.83,33264381
"2015-02-05",18.23,19.62,18.11,19.59,35384073
"2015-02-12",19.01,19.57,18.93,19.47,17414758
"2015-02-19",20.96,21.26,20.91,21.11,18731503
"2015-02-26",21.9,21.9,21.04,21.11,14163830
"2015-03-05",20.88,20.92,20.14,20.19,17984482
"2015-03-12",19.38,19.63,18.81,18.89,13714432
"2015-03-19",18.04,18.05,17.09,17.26,24104055
"2015-03-26",19.54,20,19.26,19.5,21683388
"2015-04-02",18.8,19.07,18.74,19,14145924
"2015-04-09",18.71,19.2,18.67,18.78,12318362
"2015-04-16",20.72,21.21,20.49,20.83,25937764
"2015-04-23",19.83,20.57,19.55,20.07,26085538
"2015-04-30",22.68,23.66,22.42,23.27,25088286
"2015-05-07",22.74,23.02,22.48,22.91,15409455
"2015-05-14",22.78,23.3,22.66,22.8,14059796
"2015-05-21",21.24,21.56,20.85,21.35,17040382
"2015-05-28",20.07,20.24,19.72,20.16,13264672
"2015-06-04",19.65,19.7,19.4,19.52,14532351
"2015-06-11",20.36,20.4,19.8,19.93,12578945
"2015-06-18",20.25,20.35,19.72,20.13,12247982
"2015-06-25",20.4,20.66,19.57,19.74,17142496
"2015-07-02",18.6,18.84,18.27,18.4,13265693
"2015-07-09",17.17,17.34,16.76,16.78,17844552
"2015-07-16",16.65,16.67,16.1,16.3,12697872
"2015-07-23",15.32,15.39,13.3,13.64,60229713
"2015-07-30",12.3,12.49,11.57,11.84,29185421
"2015-08-06",10.84,11.3,10.72,11.21,28172348
"2015-08-13",10.19,10.28,9.96,10.07,27176612
"2015-08-20",9.99,10.12,9.59,9.71,45078120
"2015-08-27",8.63,10.48,8.56,10.19,105442550
"2015-09-03",10.02,10.35,9.86,10.13,40524399
"2015-09-10",10.82,11.34,10.78,11.27,54059875
"2015-09-17",11.66,12.59,11.56,12.05,48532495
"2015-09-24",9.7,10.14,9.57,9.99,46863378
"2015-10-01",9.91,10.14,9.51,9.82,31182843
"2015-10-08",12.95,13.62,12.71,13.46,52240346
"2015-10-15",12.92,13.2,12.84,13,25871150
"2015-10-22",11.54,12.8,11.53,12.02,36114081
"2015-10-29",11.58,12,11.53,11.63,18722690
"2015-11-05",11.77,11.86,11.21,11.48,36790527
"2015-11-12",8.86,9.18,8.6,8.77,46989003
"2015-11-19",8.8,8.85,8.4,8.41,27375410
"2015-12-03",7.85,7.98,7.63,7.68,45469069
"2015-12-10",7.07,7.45,6.93,7.36,47513636
"2015-12-17",6.57,6.64,6.1,6.12,53127460
"2015-12-24",7.53,7.64,7.26,7.57,23225204
"2015-12-31",6.69,6.93,6.68,6.77,24444702
"2016-01-07",5.98,6.04,5.43,5.61,66615374
"2016-01-14",3.81,4.23,3.78,4.2,77641903
"2016-01-21",4.14,4.43,3.97,4.33,61069146
"2016-01-28",4.8,4.88,4.21,4.42,66798479
"2016-02-04",5.1,6.03,5.09,5.72,116216107
"2016-02-11",4.81,5.08,4.65,4.89,37983506
"2016-02-18",7.4,7.42,6.65,7.15,59714392
"2016-02-25",7.14,7.34,6.79,7.12,35394025
"2016-03-03",8.66,9.2,8.46,9.11,66661356
"2016-03-10",8.86,9.65,8.75,9.6,55706602
"2016-03-17",10.43,11.07,10.06,10.9,52864350
"2016-03-24",9.37,10.14,9.1,10.11,52599782
"2016-03-31",10.13,10.46,10.13,10.34,32891995
"2016-04-07",9.28,9.51,8.76,8.85,61054077
"2016-04-14",10.85,11.07,10.54,10.73,37715602
"2016-04-21",12.59,12.7,11.47,11.52,65943751
"2016-04-28",12.66,13.36,12.61,12.66,62536272
"2016-05-05",12.09,12.22,11.08,11.29,50090990
"2016-05-12",11.67,11.98,10.83,11.03,47835040
"2016-05-19",10.33,11.02,10.22,10.98,47873767
"2016-05-26",11.91,12.04,11.28,11.34,31344838
"2016-06-02",10.49,10.71,10.35,10.66,29646145
"2016-06-09",11.21,11.21,10.78,10.9,49003555
"2016-06-16",10.81,10.82,10.32,10.78,39528419
"2016-06-23",11.72,11.93,11.62,11.77,33441226
"2016-06-30",10.85,11.18,10.61,11.14,33685284
"2016-07-07",11.07,11.41,10.56,10.67,38483315
"2016-07-14",13.03,13.22,12.68,12.95,31588304
"2016-07-21",12.5,12.89,12.44,12.87,34293023
"2016-07-28",13.13,13.2,12.72,12.94,24785448
"2016-08-04",12.23,12.6,12.2,12.32,23465725
"2016-08-11",12.15,12.2,11.93,12.11,21594116
"2016-08-18",12.2,12.27,12.04,12.23,20883112
"2016-08-25",11.08,11.3,10.89,11.09,31324983
"2016-09-01",10.32,10.47,10.18,10.35,20780182
"2016-09-08",10.62,10.71,10.28,10.62,29252616
"2016-09-15",9.81,9.95,9.43,9.78,40676682
