"","SU.Open","SU.High","SU.Low","SU.Close","SU.Volume"
"2012-09-06",32.02,32.7,32.02,32.38,4226995
"2012-09-13",33.5,34.51,33.28,34.24,4481379
"2012-09-20",33.22,33.95,33.15,33.89,3232806
"2012-09-27",32.84,33.22,32.77,33.1,3765647
"2012-10-04",33.45,34,33.43,33.83,6332071
"2012-10-11",33.26,33.35,32.98,33.05,4916732
"2012-10-18",34.05,34.63,33.99,34.32,3557457
"2012-10-25",33.45,33.64,33.19,33.33,3590118
"2012-11-01",34.04,34.92,34.01,34.78,5423530
"2012-11-08",33.78,34.07,33.27,33.27,3685601
"2012-11-15",31.38,32.02,31.33,31.62,5111389
"2012-11-29",33.29,33.45,33.01,33.08,3651928
"2012-12-06",32.73,33.15,32.52,32.79,3528047
"2012-12-13",32.69,32.7,31.96,32.13,4370033
"2012-12-20",33.05,33.21,32.85,33.11,2428590
"2012-12-27",32.69,32.76,32.24,32.73,3465000
"2013-01-03",33.79,33.97,33.6,33.74,5251196
"2013-01-10",33.95,34.29,33.91,34.14,3154131
"2013-01-17",34.44,34.55,34.33,34.46,2327035
"2013-01-24",33.98,34.14,33.89,34.02,2474434
"2013-01-31",34.15,34.34,33.99,34.02,3649554
"2013-02-07",32.64,32.84,31.83,32.3,8744293
"2013-02-14",32.74,32.74,32.06,32.16,4378004
"2013-02-21",31.21,31.23,30.66,30.92,3331440
"2013-02-28",30.2,30.43,30.05,30.25,2964964
"2013-03-07",30.5,30.9,30.5,30.6,3828411
"2013-03-14",30.4,30.96,30.33,30.83,4299168
"2013-03-21",30.27,30.56,30.19,30.19,3145528
"2013-03-28",29.77,30.24,29.75,30.01,4222973
"2013-04-04",29.5,29.53,28.79,28.91,6347718
"2013-04-11",29.79,29.84,29.35,29.36,2721501
"2013-04-18",27.51,27.82,27.04,27.61,4409635
"2013-04-25",29.03,29.17,28.7,28.97,5456957
"2013-05-02",30.48,30.65,30.13,30.56,7488836
"2013-05-09",31.93,32.03,31.62,31.7,5328042
"2013-05-16",31.56,31.98,31.42,31.51,4371355
"2013-05-23",30.72,31.49,30.59,31.4,7048050
"2013-05-30",31.34,31.55,31.07,31.34,3468357
"2013-06-06",30.42,30.8,30.22,30.78,4844028
"2013-06-13",30.17,30.9,30.07,30.79,4005216
"2013-06-20",29.89,30.13,29.47,29.75,5362351
"2013-06-27",29.25,29.59,29.21,29.5,5558976
"2013-07-11",31.03,31.79,30.84,31.72,6400729
"2013-07-18",31.47,31.75,31.34,31.38,3366384
"2013-07-25",31.66,32.25,31.59,31.95,3140630
"2013-08-01",31.83,32.93,31.8,32.57,6165468
"2013-08-08",32.14,32.24,31.8,32.08,3837878
"2013-08-15",32.84,33.99,32.7,33.94,7754964
"2013-08-22",33.16,33.81,33.15,33.65,2711927
"2013-08-29",34.73,34.74,34.2,34.3,2860046
"2013-09-05",34.22,34.63,34.18,34.54,3520520
"2013-09-12",35.39,36.12,35.37,36.09,4186863
"2013-09-19",36.75,36.76,36.12,36.13,3330511
"2013-09-26",36.19,36.3,36.02,36.26,2614819
"2013-10-03",35.65,35.65,34.9,35.11,4978101
"2013-10-10",35.25,35.59,34.84,35.44,2850761
"2013-10-17",36.25,36.39,36.09,36.33,2872963
"2013-10-24",35.22,35.58,35.09,35.56,3910580
"2013-10-31",36.6,37,36.2,36.35,5021829
"2013-11-07",35.16,35.21,34.3,34.49,6615649
"2013-11-14",35.38,35.7,35.04,35.67,3434998
"2013-11-21",36.09,36.35,35.89,36.1,3599203
"2013-12-05",34.63,34.68,34.1,34.1,5740691
"2013-12-12",33.38,33.98,33.13,33.84,3972434
"2013-12-19",34.03,34.44,34.01,34.2,3217023
"2013-12-26",34.81,34.89,34.66,34.88,1371245
"2014-01-02",34.92,34.97,34.35,34.46,3577892
"2014-01-09",34.54,34.66,34.13,34.36,3420798
"2014-01-16",34.18,34.4,34.02,34.33,2089643
"2014-01-23",34.12,34.3,33.91,34.07,3764255
"2014-01-30",32.78,32.9,32.44,32.65,2958792
"2014-02-06",31.88,32.38,31.82,32.34,3701641
"2014-02-13",32.79,33.53,32.69,33.51,2972368
"2014-02-20",33.12,33.3,33.02,33.08,2443528
"2014-02-27",33.09,33.19,32.79,33.06,2597401
"2014-03-06",33,33.25,32.87,33.24,2301458
"2014-03-13",33.18,33.24,32.72,32.78,2275915
"2014-03-20",32.4,32.53,32.23,32.44,3040448
"2014-03-27",33.11,33.8,33.01,33.72,3806957
"2014-04-03",35.65,35.67,35.28,35.5,2629231
"2014-04-10",36.38,36.6,36.02,36.14,2635132
"2014-04-17",36.46,36.9,36.27,36.73,2538867
"2014-04-24",37.74,37.75,37.1,37.15,2503379
"2014-05-01",38.42,38.81,38.31,38.78,3124741
"2014-05-08",39.6,39.75,38.88,38.97,3548399
"2014-05-15",39.44,39.57,38.94,39.4,3405064
"2014-05-22",38.88,39.05,38.79,38.98,2543004
"2014-05-29",38.5,38.73,38.2,38.45,2686044
"2014-06-05",38.83,38.98,38.52,38.78,2459272
"2014-06-12",41.09,41.91,41.09,41.82,6701890
"2014-06-19",42.72,42.82,42.26,42.43,4579276
"2014-06-26",41.7,42.45,41.51,42.44,3416209
"2014-07-03",43,43.15,42.66,43.08,1598474
"2014-07-10",41.7,42.41,41.65,42.25,2749467
"2014-07-17",41.84,41.89,41.06,41.16,2667488
"2014-07-24",42.34,42.58,42.05,42.27,2573703
"2014-07-31",41.29,41.59,40.62,41.07,4737827
"2014-08-07",39.4,39.52,38.54,38.95,3205280
"2014-08-14",38.73,38.9,38.15,38.46,3048289
"2014-08-21",39.91,40.1,39.74,39.96,2497903
"2014-08-28",40.62,40.87,40.54,40.79,1784158
"2014-09-04",40.52,41.14,40.39,40.52,4379968
"2014-09-11",39.09,39.46,38.9,39.19,3197965
"2014-09-18",39.19,39.58,39,39.31,3056016
"2014-09-25",36.72,36.76,36.28,36.3,4250150
"2014-10-02",35.65,36.1,34.92,35.87,5555431
"2014-10-09",34.25,34.27,33.2,33.56,7151976
"2014-10-16",31.57,33.51,31.33,32.98,8561621
"2014-10-23",34.17,34.84,34.04,34.66,3995217
"2014-10-30",34.58,35.2,34.47,34.85,5212518
"2014-11-06",33.59,33.91,33.09,33.62,5803380
"2014-11-13",35.03,35.2,34.12,34.46,4844680
"2014-11-20",34.07,35.21,34.03,35.1,3098577
"2014-12-04",32.68,32.79,31.48,31.57,5092213
"2014-12-11",27.84,28.82,27.64,28.23,6300383
"2014-12-18",32.01,32.02,30.21,31.14,8456883
"2015-01-08",30.25,30.69,30.15,30.32,7289820
"2015-01-15",29.97,30,28.58,28.6,5527606
"2015-01-22",29.5,30.06,29.21,29.85,5605988
"2015-01-29",29.44,29.63,28.29,28.91,5175921
"2015-02-05",30.34,31.04,29.92,31.01,7703826
"2015-02-12",31.08,31.5,30.98,31.32,3479688
"2015-02-19",30.14,31,29.85,30.8,4791120
"2015-02-26",30.48,30.58,30.2,30.48,3040798
"2015-03-05",30.11,30.16,29.55,29.71,2954550
"2015-03-12",28.45,28.59,27.82,27.9,1805868
"2015-03-19",28.01,28.17,27.63,27.69,3252752
"2015-03-26",29.59,29.82,29.09,29.3,3560644
"2015-04-02",29.47,30.95,29.47,30.77,8207221
"2015-04-09",31.03,31.74,31.03,31.28,3346505
"2015-04-16",32.96,33.26,32.68,32.91,3357136
"2015-04-23",32.79,33.41,32.74,32.98,3084182
"2015-04-30",33.06,33.13,32.25,32.6,5863195
"2015-05-07",30.51,30.58,29.8,29.97,5688393
"2015-05-14",30.41,30.61,30.14,30.24,2955422
"2015-05-21",30.03,30.36,29.86,30.17,2497980
"2015-05-28",28.9,29.36,28.67,29.33,3236559
"2015-06-04",28.89,29.1,28.74,28.89,3451975
"2015-06-11",29.48,29.53,28.74,28.9,3141481
"2015-06-18",28.38,28.4,27.79,27.82,2821975
"2015-06-25",28.83,28.85,27.96,28.04,4663071
"2015-07-02",27.52,27.78,27.52,27.61,2627134
"2015-07-09",27.4,27.46,26.53,26.6,4362287
"2015-07-16",27.42,27.53,27.08,27.16,3203360
"2015-07-23",25.71,25.82,25.3,25.77,5729804
"2015-07-30",27.36,28.57,27.31,28.26,7248559
"2015-08-06",28.05,28.65,27.83,28.63,4670518
"2015-08-13",28.59,28.64,28,28.2,3748842
"2015-08-20",26.67,26.99,26.14,26.16,4255608
"2015-08-27",26.51,27.65,26.48,27.56,9220511
"2015-09-03",26.52,27.3,26.3,26.49,5659285
"2015-09-10",26.16,26.77,26.04,26.47,4291877
"2015-09-17",26.39,27.18,26.04,26.68,6941948
"2015-09-24",25.37,26.17,25.35,25.87,5048008
"2015-10-01",27.26,27.65,26.46,26.58,4437884
"2015-10-08",27.22,28.73,27.2,28.53,6160471
"2015-10-15",28.51,28.74,28.24,28.6,3159203
"2015-10-22",28.32,29.14,28.31,29.08,5449832
"2015-10-29",28.5,29.6,28.39,29.48,6155281
"2015-11-05",30.07,30.69,29.77,29.87,3767059
"2015-11-12",28.28,28.81,28.04,28.1,4072229
"2015-11-19",28.02,28.36,27.82,27.91,3719749
"2015-12-03",27.76,27.86,27.33,27.54,3552985
"2015-12-10",25.82,26.69,25.7,26.17,3120149
"2015-12-17",25.37,25.52,25.04,25.4,5207017
"2015-12-24",26.83,26.96,26.54,26.62,1138357
"2015-12-31",25.49,25.92,25.49,25.8,2572241
"2016-01-07",23.73,23.93,23.42,23.63,6546191
"2016-01-14",21.95,22.63,21.61,22.55,4719873
"2016-01-21",19.7,21.15,19.59,20.84,8368101
"2016-01-28",23.28,23.52,22.79,23.34,6959653
"2016-02-04",22.64,23.97,22.64,23.12,6258628
"2016-02-11",20.63,21.25,20.35,21.12,7374313
"2016-02-18",24.44,24.49,23.68,23.99,6566777
"2016-02-25",24.12,24.8,24.01,24.65,4219168
"2016-03-03",24.85,25.23,24.64,24.96,5759879
"2016-03-10",25.83,26.03,25.2,25.67,3302139
"2016-03-17",27.93,28.23,27.64,28.14,3692553
"2016-03-24",26.35,27.16,26.22,27.07,3798095
"2016-03-31",27.45,27.93,27.4,27.81,3025265
"2016-04-07",27.05,27.28,26.72,26.9,2430477
"2016-04-14",28.91,28.99,28.49,28.72,2717440
"2016-04-21",28.98,28.99,28.19,28.33,4164450
"2016-04-28",28.7,29.9,28.54,29.36,5025619
"2016-05-05",26.99,27.08,25.41,25.78,10838060
"2016-05-12",27.18,27.5,26.48,26.57,5524624
"2016-05-19",26.11,26.22,25.76,26.17,3283066
"2016-05-26",27.82,27.82,27.4,27.54,4978879
"2016-06-02",26.73,27.44,26.69,27.43,3989461
"2016-06-09",27.68,27.9,27.5,27.67,5544923
"2016-06-16",25.9,26.41,25.6,26.27,4146364
"2016-06-23",27.53,28.29,27.47,28.2,5723672
"2016-06-30",27.39,27.79,27.18,27.73,3607344
"2016-07-07",28.45,28.48,27.58,27.74,3443976
"2016-07-14",28.61,28.69,28.33,28.41,2653588
"2016-07-21",27.59,27.84,27.44,27.5,2928336
"2016-07-28",26.44,26.75,26.25,26.71,4835791
"2016-08-04",26.37,26.75,26.29,26.63,2392960
"2016-08-11",27.75,28.1,27.64,27.96,3093637
"2016-08-18",28.51,28.76,28.47,28.72,4014022
"2016-08-25",28.08,28.2,27.91,28.07,2652656
"2016-09-01",26.8,27.19,26.76,26.93,5456764
"2016-09-08",27.49,27.81,27.31,27.68,5861752
"2016-09-15",26.02,26.39,25.94,26.2,3589344
