"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume"
"2014-02-20",51.19,52.11,50.73,51.86,6078933
"2014-02-27",50.6,50.92,50.47,50.91,5052972
"2014-03-06",52.04,52.77,51.97,52.04,6529013
"2014-03-13",51.89,52.1,51.14,51.32,4839437
"2014-03-20",52.86,53.8,52.52,53.68,6922666
"2014-03-27",51.53,51.84,51.43,51.66,4777964
"2014-04-03",53.35,53.83,53.2,53.5,6841426
"2014-04-10",50.08,50.27,47.29,47.35,13177840
"2014-04-17",47.92,48.78,47.72,48.55,6196807
"2014-04-24",50.13,50.13,49,49.32,6628778
"2014-05-01",51.89,52.1,51.41,51.61,4279836
"2014-05-08",52.69,53.09,51.96,52.15,4092123
"2014-05-15",52.96,53.07,52.42,52.69,6963814
"2014-05-22",53.29,54.34,52.94,53.63,4486352
"2014-05-29",54.1,54.45,53.75,54.03,2768582
"2014-06-05",54.55,55.32,54.36,55.3,4847296
"2014-06-12",54.22,54.25,53.46,53.66,3941639
"2014-06-19",54.14,54.81,53.92,54.19,3960078
"2014-06-26",55.07,56.54,54.97,56.51,10716502
"2014-07-03",57.9,58.27,57.65,58.22,3828923
"2014-07-10",54.5,55.88,54.28,55.79,7553623
"2014-07-17",53.21,55,52.88,53.52,18698975
"2014-07-24",54.22,54.56,53.97,54.08,11712776
"2014-07-31",53.13,53.4,52.3,52.34,15479875
"2014-08-07",51.59,52.71,51.42,52.43,17178896
"2014-08-14",53.62,54.23,53.53,54.19,7959787
"2014-08-21",54.79,55.12,54.68,54.96,8063190
"2014-08-28",55.52,55.68,55.25,55.6,7277891
"2014-09-04",55.36,55.6,55.09,55.54,10019368
"2014-09-11",57,57.88,56.85,57.85,9943954
"2014-09-18",59.6,59.65,59.1,59.45,10980541
"2014-09-25",58.47,59.5,57.96,58,10079604
"2014-10-02",57.54,57.7,56.14,56.67,8371796
"2014-10-09",58.52,58.55,56.71,56.72,11913149
"2014-10-16",55.8,55.9,52.84,52.9,61236795
"2014-10-23",58.1,59.7,57.88,59.52,14729311
"2014-10-30",60,61.43,59.91,61.18,11635283
"2014-11-06",62.75,63.39,62.42,62.71,5152441
"2014-11-13",64.25,64.79,63.4,63.63,4510242
"2014-11-20",65.04,65.68,64.93,65.19,4975545
"2014-12-04",68.35,69.86,68.29,69.57,7670135
"2014-12-11",66.48,67.96,66.24,67.03,9518016
"2014-12-18",67.86,68.01,67.2,67.92,7184735
"2015-01-08",68.16,68.29,67.42,67.63,7948950
"2015-01-15",64,64.11,62.87,62.89,6149083
"2015-01-22",63.2,63.45,61.88,62.98,8941679
"2015-01-29",62.12,63.38,61.59,63.12,8485561
"2015-02-05",57.54,58.26,56.15,57.99,18964680
"2015-02-12",57.4,57.58,56.16,57.05,11940929
"2015-02-19",58.92,59.08,58.65,59,8665548
"2015-02-26",60.35,60.81,60.27,60.52,7328227
"2015-03-05",57.21,59.48,56.65,56.86,47051781
"2015-03-12",56.78,58.9,56.65,58,18227835
"2015-03-19",60.09,61.48,59.99,61.19,14110516
"2015-03-26",57.98,58.09,57.22,57.27,10853908
"2015-04-02",57.44,57.81,56.9,57.01,8787023
"2015-04-09",59.2,60.43,59.05,60.32,12697994
"2015-04-16",61.8,62.91,61.65,62.59,9815626
"2015-04-23",65.26,65.31,62.73,64.25,18405300
"2015-04-30",65.39,65.92,64.32,64.66,10298594
"2015-05-07",63.59,64.81,63.59,64.7,8638220
"2015-05-14",65.86,66.27,64.94,65.97,5868887
"2015-05-21",65.45,65.8,64.87,65.65,10553421
"2015-05-28",67.42,67.53,66.63,67.47,12891458
"2015-06-04",66.55,67.87,66.52,67.42,10539019
"2015-06-11",68.67,68.67,67.65,68.04,7552238
"2015-06-18",67.79,69.07,67.79,68.98,9079024
"2015-06-25",69.67,70.38,69.29,69.82,6191194
"2015-07-02",68.68,68.9,67.79,68.21,6245709
"2015-07-09",68.48,68.92,67.8,67.97,6516775
"2015-07-16",70.14,70.3,69.83,69.99,6844740
"2015-07-23",70.25,70.93,70.14,70.52,5636576
"2015-07-30",70.86,70.88,69.27,70.16,6820441
"2015-08-06",70.37,70.78,68.8,69.24,6172233
"2015-08-13",68.68,69.09,68.21,68.54,7184948
"2015-08-20",68,68.43,67.48,67.48,9539731
"2015-08-27",64.03,64.6,63,64.51,11126675
"2015-09-03",61.45,62.28,61.35,61.58,11605761
"2015-09-10",59.36,60.13,58.89,59.58,9260678
"2015-09-17",59.56,60.92,59.39,59.86,10028374
"2015-09-24",56.93,57.48,55.92,56.57,8559457
"2015-10-01",54.68,55.23,53.93,55.13,9116188
"2015-10-08",55.13,56.16,54.8,56.04,6723723
"2015-10-15",54.32,56.2,53.85,56.14,7781605
"2015-10-22",53.88,54.44,45.45,48.27,45965750
"2015-10-29",53.2,55.18,53.02,54.1,8923792
"2015-11-05",63.7,64.18,61.69,62.77,10210131
"2015-11-12",60.79,61.73,60.15,60.23,7495509
"2015-11-19",61.22,61.73,60.14,60.55,5349079
"2015-12-03",57.71,57.75,55.53,56.12,9701454
"2015-12-10",56,56.65,55.65,55.78,6736882
"2015-12-17",57.66,57.93,56.35,56.38,7848920
"2015-12-24",58.38,58.73,58,58.46,2152905
"2015-12-31",59.5,59.93,59.2,59.24,6104841
"2016-01-07",56.52,57.84,56.34,57.21,9292609
"2016-01-14",51.32,56.83,50.71,54.56,16657499
"2016-01-21",57.29,58.77,56.92,58.36,12064369
"2016-01-28",57.23,57.73,54.78,55.85,10509789
"2016-02-04",56.74,57.31,55.36,56.76,10309403
"2016-02-11",52.3,53.12,51.82,52.18,8491489
"2016-02-18",55.53,55.53,54.17,54.55,6538195
"2016-02-25",55.17,56.23,54.43,56.2,6635240
"2016-03-03",55.69,56.09,55.15,55.93,9283743
"2016-03-10",56.56,57.37,55.32,56.23,5627193
"2016-03-17",56.46,56.46,54.41,55.32,8242004
"2016-03-24",56.14,56.25,55.67,56.12,4973900
"2016-03-31",57.02,57.46,56.82,57.12,4911473
"2016-04-07",59.42,59.9,58.76,59.3,7804414
"2016-04-14",59.15,59.49,59,59.28,4898280
"2016-04-21",60.57,61.43,60.54,61.37,5671629
"2016-04-28",58.56,62.1,57.53,61.2,16190287
"2016-05-05",61.41,62.4,61.09,62.34,8624345
"2016-05-12",62.86,63.07,62.39,62.49,7872274
"2016-05-19",60.06,60.35,58.9,59.28,9811484
"2016-05-26",61,62.17,60.9,61.9,6299837
"2016-06-02",62.87,65.15,62.83,65.09,11628027
"2016-06-09",61.5,62.17,60.52,60.75,11503706
"2016-06-16",59.93,60.94,59.91,60.9,7011206
"2016-06-23",60.86,61.32,60.62,61.31,5328196
"2016-06-30",61.79,62.02,61.14,61.91,7920605
"2016-07-07",63.6,63.75,63.21,63.43,7081909
"2016-07-14",63.7,64.14,62.94,63.62,12090057
"2016-07-21",63.23,64,63.17,63.89,6515660
"2016-07-28",64.79,65.06,63.93,64.72,6556138
"2016-08-04",66.58,66.98,66.08,66.1,4901851
"2016-08-11",66.86,67.11,66.7,66.95,4246610
"2016-08-18",66.57,67.43,66.55,66.77,8205847
"2016-08-25",65.04,65.43,64.27,64.72,6378983
"2016-09-01",64.1,64.14,63.6,64.03,5126674
"2016-09-08",63.96,64.15,63.44,64.06,8238846
"2016-09-15",63.17,63.82,62.92,63.35,7811582
