"","RRC.Open","RRC.High","RRC.Low","RRC.Close","RRC.Volume"
"2012-05-31",58.68,58.78,55.95,57.44,4168567
"2012-06-07",59.2,59.74,56.45,56.65,2444002
"2012-06-14",55.46,57.41,54.88,57.23,3177615
"2012-06-21",59.52,59.53,56.81,56.92,1732235
"2012-06-28",62.33,63.2,60.29,61.37,3630378
"2012-07-05",62.57,62.64,61.32,61.63,982417
"2012-07-12",57.78,57.92,56.5,57.5,2977715
"2012-07-19",62.91,63.07,61.31,61.6,1454448
"2012-07-26",62.02,62.46,58.76,61.17,2097659
"2012-08-02",62.72,62.81,60.05,61.16,2003610
"2012-08-09",64.6,67.35,64.41,66.14,1804980
"2012-08-16",67.27,69.68,67.18,68.91,3240024
"2012-08-23",66.92,66.97,65.59,65.66,1106911
"2012-08-30",65.13,65.23,64.38,64.55,763485
"2012-09-06",66.02,66.67,65.24,65.84,2483984
"2012-09-13",70.59,71.63,69.41,70.7,2226510
"2012-09-20",68.37,69.53,67.8,69.22,1146453
"2012-09-27",68.54,70.76,68.5,70.08,1593476
"2012-10-04",69.56,70.67,69.27,70.57,1216750
"2012-10-11",71.11,73.41,70.68,73.28,2501903
"2012-10-18",70.35,70.96,69.92,70.5,1454161
"2012-10-25",66.97,67.39,64.14,66.45,3194416
"2012-11-01",65.41,65.99,64.33,65.47,1549781
"2012-11-08",66.22,67.41,65.73,65.75,1571542
"2012-11-15",67.31,68.08,66.45,67.33,993376
"2012-11-29",67.75,68.84,65.58,65.67,2680419
"2012-12-06",64.6,65,63.95,64.58,1751028
"2012-12-13",65.58,65.85,63.47,63.56,1754767
"2012-12-20",63.47,64.14,62.99,63.38,2265780
"2012-12-27",62.98,63.13,62.11,62.97,895085
"2013-01-03",61.97,63.92,61.62,63.4,1842417
"2013-01-10",63.72,64.6,63.23,63.83,1476780
"2013-01-17",67.02,68.05,66.84,67.46,1891041
"2013-01-24",68.14,69.4,68.14,68.51,1145304
"2013-01-31",68.15,69.13,66.02,67.17,2169105
"2013-02-07",70.8,71.32,70.19,71,1186025
"2013-02-14",71.12,72.12,70.78,71.73,1408524
"2013-02-21",70.22,70.56,68.97,70.15,1098074
"2013-02-28",74.21,77.18,73.92,76.8,3149574
"2013-03-07",77.82,79.5,77.47,78.84,1760186
"2013-03-14",79.91,82.16,79.64,82.07,1698988
"2013-03-21",81.48,82.27,80.45,81.74,1498535
"2013-03-28",82,82.19,80.54,81.04,1330738
"2013-04-04",76.52,76.9,75.66,76.51,1062534
"2013-04-11",80.5,81.02,79.65,80.29,1320286
"2013-04-18",72.06,75.09,71.14,74.55,3196364
"2013-04-25",75.77,78.69,75.69,77.46,1801786
"2013-05-02",72.05,73.1,71.44,72.49,2395344
"2013-05-09",74.32,76.5,74.09,75.96,1827521
"2013-05-16",75.46,76.05,74.71,74.86,666644
"2013-05-23",76.21,78.21,75.75,78.03,983268
"2013-05-30",76.75,77.19,76.03,76.22,937494
"2013-06-06",73.33,74.24,72.77,74.22,1089325
"2013-06-13",73.24,74.85,72.79,74.79,1229993
"2013-06-20",77.96,78.45,75.99,77.52,2395303
"2013-06-27",79.7,81.13,78.72,78.94,2433880
"2013-07-11",80.1,80.31,77.49,77.73,2473447
"2013-07-18",74.66,77.99,74.66,77.5,1262654
"2013-07-25",79.33,85.23,78.1,81.39,7936252
"2013-08-01",79.48,80.57,78.76,80.51,1256848
"2013-08-08",79.32,80.02,77.89,79.93,1491393
"2013-08-15",77.15,78.19,76.4,78.08,1330217
"2013-08-22",76.07,77.46,76.05,77.28,1105635
"2013-08-29",76.71,76.89,75.1,75.57,1151581
"2013-09-05",76.6,77.22,76.16,76.46,1555486
"2013-09-12",79.63,79.85,78.69,78.99,1170473
"2013-09-19",79.95,80.37,78.46,78.83,1394491
"2013-09-26",76.03,78.14,75.88,78.09,2109135
"2013-10-03",75.41,75.93,74.94,75.22,1128992
"2013-10-10",76.11,78.46,75.49,77.98,2317054
"2013-10-17",80.9,80.95,77.61,78.54,2250926
"2013-10-24",74.05,74.96,72.68,73.2,2230019
"2013-10-31",77.33,77.57,75.54,75.71,2185667
"2013-11-07",74.78,74.99,73.04,73.93,2619528
"2013-11-14",74.63,75.04,73.91,74.09,1544390
"2013-11-21",77.75,79.45,77.4,79.1,1635846
"2013-12-05",76.6,79.42,76.15,79.4,2002482
"2013-12-12",80.4,81.5,79.4,80.28,1313420
"2013-12-19",81.18,82.82,80.65,81.78,2123512
"2013-12-26",83.59,83.81,82.54,83.58,674746
"2014-01-02",83.13,84.28,81.08,81.74,1996492
"2014-01-09",82.56,83.05,80.46,81.23,1607259
"2014-01-16",84.1,84.97,83,83.97,1662795
"2014-01-23",88.05,88.71,86.22,86.68,1745422
"2014-01-30",84.63,86.5,84.62,85.46,2145210
"2014-02-06",86.41,87.29,83.01,83.99,3591769
"2014-02-13",83.73,85.05,82.97,84.21,1347334
"2014-02-20",86.72,87.75,85.54,87.52,2089001
"2014-02-27",84.96,87.3,84.95,86.76,1833102
"2014-03-06",83.42,84.57,82.39,84.23,1415443
"2014-03-13",85.64,87.73,85.54,86.59,1671065
"2014-03-20",86.77,87.92,86,87.55,1259335
"2014-03-27",84.73,85.45,83.58,85.25,1647953
"2014-04-03",86.42,88.41,86.31,87.82,2133039
"2014-04-10",88.05,89.2,87,88.13,1913936
"2014-04-17",90.55,92.98,89.71,92.91,1312953
"2014-04-24",93.83,95.41,93.36,93.56,1763606
"2014-05-01",90.13,90.94,88.24,89.23,1711533
"2014-05-08",89.81,90.64,87.97,88.05,1130648
"2014-05-15",90.19,90.38,88.08,89.49,2039986
"2014-05-22",91.03,91.04,88.85,88.91,939782
"2014-05-29",90.55,92.14,89.13,91.93,1282845
"2014-06-05",93.44,94.02,92.4,93.7,772199
"2014-06-12",86.54,87.86,86.3,87.73,5319748
"2014-06-19",87.93,88.79,87.47,88.3,973077
"2014-06-26",87.54,87.54,85.76,86.63,1328004
"2014-07-03",85.64,85.99,84.65,85.79,667828
"2014-07-10",83.58,83.75,81.81,82.1,2915483
"2014-07-17",80.97,81.19,77.36,77.39,3610160
"2014-07-24",77.25,78.59,76.94,77.4,2792279
"2014-07-31",75.65,76.53,74.96,75.59,2359722
"2014-08-07",75.43,75.6,73.84,74.28,1780242
"2014-08-14",75.06,75.88,74.38,75.69,2283074
"2014-08-21",77.16,77.31,76.18,77.19,909129
"2014-08-28",78,78.54,77.71,78.25,662562
"2014-09-04",76.2,76.47,73.75,74.2,2096766
"2014-09-11",73.71,74.11,73.18,73.64,1725994
"2014-09-18",73.31,73.32,71.64,71.87,2285798
"2014-09-25",68.69,68.78,67.16,67.31,2577136
"2014-10-02",66.97,68.38,65.89,67.96,2531373
"2014-10-09",64.83,64.88,63.43,63.43,2167693
"2014-10-16",64.1,70.15,64.1,69.14,4548091
"2014-10-23",67.52,69.97,67.41,68.61,2073555
"2014-10-30",67.81,68.82,65.65,66.06,2682145
"2014-11-06",69.83,72.94,69.1,72.8,3182993
"2014-11-13",71.51,71.92,70.11,70.71,2287962
"2014-11-20",72.73,74.47,72.35,73.1,1974783
"2014-12-04",63.58,64.06,60.12,60.55,3831785
"2014-12-11",52,54.78,51.83,52.98,3636018
"2014-12-18",63.81,64.28,57.94,60.09,5369204
"2015-01-08",49.26,50.53,48.4,50.05,3099208
"2015-01-15",48.93,49.08,46.87,46.95,4883975
"2015-01-22",49.82,50.18,48.02,49.03,2354080
"2015-01-29",47.4,47.85,44.92,45.49,4435570
"2015-02-05",50.79,52.44,50.42,51.71,3348048
"2015-02-12",52.14,52.75,50.37,50.77,2407400
"2015-02-19",50.29,53.05,50.1,52.02,2333231
"2015-02-26",53.23,53.59,50.48,50.82,3683132
"2015-03-05",49.69,50.34,49.09,49.76,1957016
"2015-03-12",48.09,48.15,45.33,45.4,2702984
"2015-03-19",47.74,48.7,47.05,47.65,2226113
"2015-03-26",51.97,52.45,50.76,51.12,3215677
"2015-04-02",51.43,53.95,51.4,53.77,3201183
"2015-04-09",55.44,56.05,55,55.87,2211115
"2015-04-16",61,62.52,59.75,60.96,4248530
"2015-04-23",60.61,62.15,60.56,61.94,2253321
"2015-04-30",62.26,64.62,60.29,63.56,3753520
"2015-05-07",61.96,62.02,60.31,60.8,3232414
"2015-05-14",62.93,63.2,60.92,61.04,2883201
"2015-05-21",58.76,59.09,58.09,58.73,1930508
"2015-05-28",56.61,56.72,55.17,55.48,2989273
"2015-06-04",54.79,55.8,54.52,55.51,3709750
"2015-06-11",53.08,53.26,51.61,52.7,4367520
"2015-06-18",53.11,53.32,51.18,51.2,4016883
"2015-06-25",50.94,51.49,50.57,51.04,2891169
"2015-07-02",48.22,48.88,47.75,47.97,2366827
"2015-07-09",46.1,46.91,46.02,46.29,4971824
"2015-07-16",46.77,46.96,46.08,46.21,3575372
"2015-07-23",41.41,43.33,41.17,42.95,4687075
"2015-07-30",42.11,42.18,39.04,39.85,8515374
"2015-08-06",36.31,38.11,35.81,37.95,3851136
"2015-08-13",38.23,38.5,36.43,36.94,4015467
"2015-08-20",35.98,36.44,35.48,35.48,3225886
"2015-08-27",35.88,38.46,35.46,38.01,6933246
"2015-09-03",38.18,39.51,37.47,38.37,4515857
"2015-09-10",36.05,36.43,35.54,36.05,3969641
"2015-09-17",38.83,40.06,37.85,38.98,3686136
"2015-09-24",34.45,35.41,33.93,34.86,3664023
"2015-10-01",32.86,35.13,30.97,31.55,5635855
"2015-10-08",36.55,37.59,36.08,37.41,2894599
"2015-10-15",34.15,34.94,33.44,34.82,3369375
"2015-10-22",33.45,33.68,31.55,32.31,5022254
"2015-10-29",31.95,31.95,27.55,29.64,6827198
"2015-11-05",33.9,36.23,33.67,35.38,5893008
"2015-11-12",29.75,30.26,29.03,29.66,6257229
"2015-11-19",31.76,32.07,30.94,31.7,3983818
"2015-12-03",28.93,29.6,27.84,28.16,4149995
"2015-12-10",25.93,26.62,25.3,25.41,5285856
"2015-12-17",21.86,21.86,20.84,21.17,7482261
"2015-12-24",24.17,24.97,24.15,24.4,3056454
"2015-12-31",22.97,24.87,22.97,24.61,6234982
"2016-01-07",23.34,25.04,23.33,24.1,7871727
"2016-01-14",24.27,24.37,22.48,23.14,10576097
"2016-01-21",21.97,26.4,21.81,26.03,11831589
"2016-01-28",28.13,28.77,26.6,27.85,5144609
"2016-02-04",28.93,30.94,28,29.82,9310894
"2016-02-11",26.2,27.12,25.49,26.91,5180843
"2016-02-18",27.52,27.53,25.33,26.04,5224520
"2016-02-25",23.24,23.99,22.42,23.35,5720112
"2016-03-03",28.4,30.9,28.09,30.73,9980368
"2016-03-10",28.93,30.27,28.24,30.03,4157630
"2016-03-17",33.92,33.92,32.75,33.62,4336521
"2016-03-24",30,31.09,29.38,30.72,5286657
"2016-03-31",32.44,33.47,32.06,32.38,2785261
"2016-04-07",31.64,32.98,31.53,32.83,3803465
"2016-04-14",37.79,37.88,35.79,36.98,5650188
"2016-04-21",38.76,38.76,36.97,37.17,3565507
"2016-04-28",41.4,42.68,40.52,40.75,5218847
"2016-05-05",43.3,43.43,41.61,42.42,2778188
"2016-05-12",43.75,44.25,41.91,42.26,2958111
"2016-05-19",38.08,40.77,37.84,39.95,6229890
"2016-05-26",43.5,44.12,41.53,41.61,4413000
"2016-06-02",42.56,43.39,41.93,43.26,3289392
"2016-06-09",43.98,46.32,43.74,46.21,3994104
"2016-06-16",42.65,43.24,41.16,42.84,3376566
"2016-06-23",45.73,46.22,45.17,45.44,2586491
"2016-06-30",43.75,44.14,42.76,43.14,3670138
"2016-07-07",43.84,44.38,42.25,42.55,3335430
"2016-07-14",45.07,45.16,42.72,43.02,3035801
"2016-07-21",42,43.18,40.65,40.7,3982352
"2016-07-28",40.7,41.89,39.84,40.75,3640039
"2016-08-04",40.36,41.08,39.89,40.11,2592496
"2016-08-11",38.32,39.13,37.92,38.51,3095309
"2016-08-18",39.19,40.82,38.91,40.79,3043978
"2016-08-25",40.41,40.87,40.04,40.12,1767682
"2016-09-01",38,39.29,38,39.07,2397122
"2016-09-08",41.45,43.29,41.37,43.07,3941220
"2016-09-15",39.29,40.06,38.56,39.37,4564292
